%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1591609537244401679,1768,1591609537206700386,,2.0
1591609537273633764,1769,1591609537238496156,,2.0
1591609537293163502,1770,1591609537273946117,,2.0
1591609537341806933,1771,1591609537303513855,,2.0
1591609537378073322,1772,1591609537337394621,,2.0
1591609537420998306,1773,1591609537370964140,,2.0
1591609537453994710,1774,1591609537405602211,,2.0
1591609537483375084,1775,1591609537439880836,,2.0
1591609537500140555,1776,1591609537472841702,,2.0
1591609537531311432,1777,1591609537510030232,,2.0
1591609537566202612,1778,1591609537540153826,,2.0
1591609537593161703,1779,1591609537570024005,,2.0
1591609537643717522,1780,1591609537602693037,,2.0
1591609537674006480,1781,1591609537636193903,,2.0
1591609537715986391,1782,1591609537668755908,,2.0
1591609537745425544,1783,1591609537705181543,,2.0
1591609537796562661,1784,1591609537735955219,,2.0
1591609537831110711,1785,1591609537769898865,,2.0
1591609537906703160,1786,1591609537806925808,,2.0
1591609537939593101,1787,1591609537843231457,,2.0
1591609537973291586,1788,1591609537868771234,,2.0
1591609538004543000,1789,1591609537902407784,,2.0
1591609538016294177,1790,1591609537935829298,,2.0
1591609538061086757,1791,1591609537970190527,,2.0
1591609538072833141,1792,1591609538001571587,,2.0
1591609538099318795,1793,1591609538033995660,,2.0
1591609538125278971,1794,1591609538069265709,,2.0
1591609538157190956,1795,1591609538112805131,,2.0
1591609538177590841,1796,1591609538146781466,,2.0
1591609538198934236,1797,1591609538172320382,,2.0
1591609538224620269,1798,1591609538201837832,,2.0
1591609538260150523,1799,1591609538234783645,,2.0
1591609538307076250,1800,1591609538266709632,,2.0
1591609538323434718,1801,1591609538302654285,,2.0
1591609538368858074,1802,1591609538336660750,,2.0
1591609538391169292,1803,1591609538369186067,,2.0
1591609538445276218,1804,1591609538406110914,,2.0
1591609538465737831,1805,1591609538440901229,,2.0
1591609538503945629,1806,1591609538471874560,,2.0
1591609538532739615,1807,1591609538505169580,,2.0
1591609538575983955,1808,1591609538541462809,,2.0
1591609538604229379,1809,1591609538575336686,,2.0
1591609538638222275,1810,1591609538606654153,,2.0
1591609538660301431,1811,1591609538641272807,,2.0
1591609538714025592,1812,1591609538673282011,,2.0
1591609538743641736,1813,1591609538709982652,,2.0
1591609538764434372,1814,1591609538740651052,,2.0
1591609538811990890,1815,1591609538774151464,,2.0
1591609538825808100,1816,1591609538804875622,,2.0
1591609538859743335,1817,1591609538838800337,,2.0
1591609538894631360,1818,1591609538872547936,,2.0
1591609538923913244,1819,1591609538906577348,,2.0
1591609538955838046,1820,1591609538937713017,,2.0
1591609538990636737,1821,1591609538971295273,,2.0
1591609539025653130,1822,1591609539006619329,,2.0
