%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1591954887215111039,4320,1591954887163229942,,0.0
1591954887316945492,4321,1591954887215574979,,0.0
1591954887369580665,4322,1591954887317177057,,0.0
1591954887421216979,4323,1591954887368884086,,0.0
1591954887474423136,4324,1591954887421344995,,0.0
1591954887527459205,4325,1591954887474617958,,0.0
1591954887630627487,4326,1591954887527249097,,0.0
1591954887681833710,4327,1591954887630220890,,0.0
1591954887733399770,4328,1591954887681862115,,0.0
1591954887785708388,4329,1591954887733484983,,0.0
1591954887888834173,4330,1591954887785907983,,0.0
1591954887940673107,4331,1591954887888283967,,0.0
1591954887993709704,4332,1591954887940782070,,0.0
1591954888046670027,4333,1591954887993706941,,0.0
1591954888098769062,4334,1591954888046344995,,0.0
1591954888154733518,4335,1591954888098823070,,0.0
1591954888206987169,4336,1591954888154375076,,0.0
1591954888258277287,4337,1591954888206455945,,0.0
1591954888309808577,4338,1591954888258101940,,0.0
1591954888361417962,4339,1591954888309564113,,0.0
1591954888413792828,4340,1591954888361521959,,0.0
1591954888467219648,4341,1591954888413923978,,0.0
1591954888520587478,4342,1591954888467407941,,0.0
1591954888573261206,4343,1591954888520409107,,0.0
1591954888627294601,4344,1591954888572926044,,0.0
1591954888679925305,4345,1591954888626939058,,0.0
1591954888732131157,4346,1591954888679619073,,0.0
1591954888785198906,4347,1591954888732177972,,0.0
1591954888837798558,4348,1591954888784898996,,0.0
1591954888889834334,4349,1591954888837457895,,0.0
1591954888941619746,4350,1591954888889863014,,0.0
1591954888994552227,4351,1591954888941636085,,0.0
1591954889096790970,4352,1591954888994688034,,0.0
1591954889148477223,4353,1591954889096515893,,0.0
1591954889201291258,4354,1591954889148648977,,0.0
1591954889253350456,4355,1591954889201397895,,0.0
1591954889305212862,4356,1591954889253371953,,0.0
1591954889357771224,4357,1591954889305016040,,0.0
1591954889409842750,4358,1591954889357543945,,0.0
1591954889462844775,4359,1591954889409487009,,0.0
1591954889515225036,4360,1591954889462537050,,0.0
1591954889566982972,4361,1591954889515206098,,0.0
1591954889619268082,4362,1591954889566759109,,0.0
1591954889671996262,4363,1591954889619333982,,0.0
1591954889723653570,4364,1591954889671983003,,0.0
1591954889776323035,4365,1591954889723540067,,0.0
1591954889827913858,4366,1591954889775998115,,0.0
1591954889879189640,4367,1591954889827614068,,0.0
1591954889930349826,4368,1591954889878932952,,0.0
1591954889981658361,4369,1591954889930156946,,0.0
1591954890034245718,4370,1591954889981664896,,0.0
1591954890087180435,4371,1591954890034277915,,0.0
1591954890139119605,4372,1591954890086894989,,0.0
1591954890191121507,4373,1591954890139169931,,0.0
1591954890243185559,4374,1591954890190656900,,0.000190000006114
1591954890295601153,4375,1591954890243213891,,0.0
1591954890348154822,4376,1591954890295473098,,0.0
1591954890399990715,4377,1591954890347799062,,0.0
1591954890452778374,4378,1591954890399714946,,0.0
1591954890504456633,4379,1591954890452128887,,0.0
1591954890557272769,4380,1591954890504574060,,0.0
1591954890610028001,4381,1591954890556901931,,0.0
1591954890661690407,4382,1591954890609417915,,0.0
1591954890763586951,4383,1591954890661840915,,0.0
1591954890816434163,4384,1591954890763617992,,-0.000169999999343
1591954890868901887,4385,1591954890816070079,,0.0
1591954890970354634,4386,1591954890868505001,,0.0
1591954891021638229,4387,1591954890970135927,,0.0
1591954891074961348,4388,1591954891021759033,,0.0
1591954891428023132,4389,1591954891075053930,,0.0
1591954891479774760,4390,1591954891427750110,,0.0
1591954891531387195,4391,1591954891479795932,,0.0
1591954891584378615,4392,1591954891531399011,,0.000869999988936
1591954891635564533,4393,1591954891584086894,,0.00455000018701
1591954891687681579,4394,1591954891635652065,,0.0103200003505
1591954891739847777,4395,1591954891687588930,,0.0146899996325
1591954891791763729,4396,1591954891739917039,,0.0165199991316
1591954891843232935,4397,1591954891791496038,,0.0204499997199
1591954891894454495,4398,1591954891842885971,,0.0253299996257
1591954891945964676,4399,1591954891894407033,,0.0308800004423
1591954891999242293,4400,1591954891946103096,,0.0918300002813
1591954892053602348,4401,1591954891999411106,,0.1035400033
1591954892104996307,4402,1591954892052484035,,0.111879996955
1591954892156306784,4403,1591954892104788064,,0.107359997928
1591954892209043971,4404,1591954892156339883,,0.0975600033998
1591954892260599368,4405,1591954892208704948,,0.0882700011134
1591954892313800820,4406,1591954892260749101,,0.0908199995756
1591954892366328612,4407,1591954892313402891,,0.0927399992943
1591954892420524734,4408,1591954892366378068,,0.0842399969697
1591954892472401572,4409,1591954892419922113,,0.0736399963498
1591954892525637534,4410,1591954892472472906,,0.0315399989486
1591954892576911060,4411,1591954892524298906,,0.0245799999684
1591954892679798927,4412,1591954892576740980,,0.0246099997312
1591954892733113762,4413,1591954892679740905,,0.0307899992913
1591954892793603344,4414,1591954892732358932,,0.0347199998796
1591954892845227761,4415,1591954892793654918,,0.0364100001752
1591954892896682007,4416,1591954892845217943,,0.0316499993205
1591954892949359625,4417,1591954892896800041,,0.024849999696
1591954893001833954,4418,1591954892949496030,,0.0255500003695
1591954893053608818,4419,1591954893001902103,,0.02662999928
1591954893106946130,4420,1591954893053675889,,0.0266699995846
1591954893159178691,4421,1591954893106683015,,0.0226700007915
1591954893260718821,4422,1591954893159225940,,0.012529999949
1591954893313014941,4423,1591954893260732889,,0.00310000008903
1591954893365648879,4424,1591954893313143014,,-0.000520000001416
1591954893468467823,4425,1591954893365746974,,-0.00104999996256
1591954893520946175,4426,1591954893468156099,,-0.000959999975748
1591954893573247579,4427,1591954893520673990,,-0.000159999995958
1591954893627195574,4428,1591954893573288917,,-0.000479999987874
1591954893680897575,4429,1591954893627382993,,0.000159999995958
1591954893783499050,4430,1591954893681157112,,-0.000159999995958
1591954893835118850,4431,1591954893783627986,,-0.000300000014249
1591954893888076385,4432,1591954893835150003,,0.000440000003437
1591954893940176738,4433,1591954893887850046,,-0.00158999999985
1591954893992503704,4434,1591954893939847946,,-0.00383000005968
1591954894043709202,4435,1591954893992197990,,-0.00686000008136
1591954894095548601,4436,1591954894043745040,,-0.0105999996886
1591954894148426108,4437,1591954894095556974,,-0.012869999744
1591954894201406309,4438,1591954894148581981,,-0.0154699999839
1591954894255976224,4439,1591954894201009035,,-0.0183000005782
1591954894308720012,4440,1591954894255883932,,-0.0229700002819
1591954894361240044,4441,1591954894308784008,,-0.0224699992687
1591954894414345872,4442,1591954894361314058,,-0.0195799991488
1591954894516536897,4443,1591954894413865089,,-0.0146399997175
1591954894569512976,4444,1591954894516417980,,-0.00937000010163
1591954894622522776,4445,1591954894569166898,,-0.00467999977991
1591954894675986692,4446,1591954894622620105,,0.00190000003204
1591954894728707966,4447,1591954894676011085,,0.00774999987334
1591954894780938942,4448,1591954894728485107,,0.0136200003326
1591954894833370731,4449,1591954894780931949,,0.0170699991286
1591954894888862012,4450,1591954894833417892,,0.023199999705
1591954894941415732,4451,1591954894888932943,,0.0203399993479
1591954894993377494,4452,1591954894941488981,,0.0179299991578
1591954895096650311,4453,1591954894993113040,,0.015359999612
1591954895149765991,4454,1591954895096335887,,0.0136200003326
1591954895203301814,4455,1591954895150094032,,0.0120500000194
1591954895256318382,4456,1591954895203504085,,0.0080899996683
1591954895357870706,4457,1591954895256011962,,0.00482999999076
1591954895410793159,4458,1591954895357585906,,0.00142999994569
1591954895463456881,4459,1591954895410988092,,0.000950000016019
1591954895514712824,4460,1591954895463217020,,-0.000790000020061
1591954895617398275,4461,1591954895514750957,,0.0
1591954895670113441,4462,1591954895617516040,,0.000300000014249
1591954895722673272,4463,1591954895669775962,,-0.000440000003437
1591954895774870328,4464,1591954895722311973,,0.000479999987874
1591954895829161350,4465,1591954895774980068,,0.00079999997979
1591954895932169751,4466,1591954895828687906,,0.000959999975748
1591954895984937414,4467,1591954895932229995,,-0.0019199999515
1591954896037320635,4468,1591954895984775066,,-0.00908999983221
1591954896091925870,4469,1591954896037225961,,-0.0167699996382
1591954896195211924,4470,1591954896091609954,,-0.0206899996847
1591954896246219264,4471,1591954896194328069,,-0.0204499997199
1591954896297754314,4472,1591954896245938062,,-0.0216400008649
1591954896349650637,4473,1591954896297785997,,-0.0192699991167
1591954896401692699,4474,1591954896349328041,,-0.0178599990904
1591954896453749048,4475,1591954896401396036,,-0.0177200008184
1591954896506281121,4476,1591954896453787088,,-0.0177599992603
1591954896559348263,4477,1591954896506335973,,-0.0125399995595
1591954896611033879,4478,1591954896558886051,,-0.00679000001401
1591954896714174555,4479,1591954896610776901,,0.000699999975041
1591954896768136674,4480,1591954896713188886,,0.00482999999076
1591954896820669936,4481,1591954896767756938,,0.00295999995433
1591954896873055280,4482,1591954896820317029,,0.0
1591954896925390771,4483,1591954896872711896,,-0.00522000016645
1591954896977239863,4484,1591954896925185918,,-0.00815999973565
1591954897030474896,4485,1591954896977320909,,-0.0052100000903
1591954897082475233,4486,1591954897030131101,,-0.0102399997413
1591954897135342780,4487,1591954897082539081,,-0.0256900005043
1591954897188661482,4488,1591954897135363101,,-0.040759999305
1591954897241800723,4489,1591954897188853025,,-0.055530000478
1591954897295092398,4490,1591954897241867065,,-0.0671499967575
1591954897346258990,4491,1591954897294483900,,-0.0544900000095
1591954897398687678,4492,1591954897346059083,,-0.0395600013435
1591954897451003707,4493,1591954897398353099,,-0.0251100007445
1591954897503531974,4494,1591954897450743913,,-0.0129399998114
1591954897556730424,4495,1591954897503242969,,-0.00246999994852
1591954897608506277,4496,1591954897556902885,,0.0172799993306
1591954897661835785,4497,1591954897608453989,,0.0420200005174
1591954897713242036,4498,1591954897661490917,,0.0640499964356
1591954897765135513,4499,1591954897712966918,,0.0818499997258
1591954897816956446,4500,1591954897765242099,,0.0846399962902
1591954897871128717,4501,1591954897816797018,,0.0614599995315
1591954897973201728,4502,1591954897870755910,,0.0335399992764
1591954898026109640,4503,1591954897973259925,,-0.00121999997646
1591954898078483917,4504,1591954898025763034,,-0.0232999995351
1591954898130937026,4505,1591954898078459024,,-0.0479799993336
1591954898183520432,4506,1591954898130789041,,-0.0717900022864
1591954898235784481,4507,1591954898183180093,,-0.0880400016904
1591954898288431378,4508,1591954898235584974,,-0.0855299979448
1591954898341188178,4509,1591954898288485050,,-0.074019998312
1591954898393613840,4510,1591954898340883970,,-0.0573300011456
1591954898445884010,4511,1591954898393501043,,-0.0348500013351
1591954898548806015,4512,1591954898445933103,,-0.00920999981463
