%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1591954887214458737,590,1591954887163229942,,-1.18938672543,-0.584261417389,-0.866735577583
1591954887316653458,591,1591954887215574979,,-1.18938815594,-0.584260046482,-0.866735041142
1591954887368734643,592,1591954887317177057,,-1.18937861919,-0.584253191948,-0.866738140583
1591954887420913951,593,1591954887368884086,,-1.18938601017,-0.584259212017,-0.866732954979
1591954887473335925,594,1591954887421344995,,-1.18938207626,-0.584259331226,-0.866737365723
1591954887526654772,595,1591954887474617958,,-1.18938279152,-0.584261715412,-0.866736412048
1591954887629255288,596,1591954887527249097,,-1.18938064575,-0.584265530109,-0.866737425327
1591954887681494842,597,1591954887630220890,,-1.18938410282,-0.584265768528,-0.86673438549
1591954887733133887,598,1591954887681862115,,-1.18938279152,-0.584258377552,-0.866737186909
1591954887785823622,599,1591954887733484983,,-1.18937015533,-0.584260284901,-0.866745650768
1591954887887778722,600,1591954887785907983,,-1.18938148022,-0.584264695644,-0.866738200188
1591954887940193228,601,1591954887888283967,,-1.1893863678,-0.58425205946,-0.866735816002
1591954887992777903,602,1591954887940782070,,-1.1893876791,-0.584250926971,-0.866731822491
1591954888046635149,603,1591954887993706941,,-1.18938624859,-0.584254860878,-0.866734325886
1591954888098438327,604,1591954888046344995,,-1.18937957287,-0.584267377853,-0.866740345955
1591954888153918090,605,1591954888098823070,,-1.18938136101,-0.5842654109,-0.866737186909
1591954888206965985,606,1591954888154375076,,-1.18937540054,-0.58425951004,-0.866741359234
1591954888257671543,607,1591954888206455945,,-1.18938827515,-0.584262013435,-0.866735517979
1591954888309239638,608,1591954888258101940,,-1.18938362598,-0.584255754948,-0.866735160351
1591954888361431751,609,1591954888309564113,,-1.18939161301,-0.584264576435,-0.866733133793
1591954888412884346,610,1591954888361521959,,-1.18938362598,-0.58425962925,-0.86673694849
1591954888465918926,611,1591954888413923978,,-1.18938159943,-0.584259033203,-0.866737544537
1591954888520119380,612,1591954888467407941,,-1.18938183784,-0.58426296711,-0.866737246513
1591954888572359601,613,1591954888520409107,,-1.18938577175,-0.584265112877,-0.866735458374
1591954888626415276,614,1591954888572926044,,-1.18938088417,-0.584257721901,-0.86673951149
1591954888679501427,615,1591954888626939058,,-1.18938004971,-0.58426207304,-0.86673784256
1591954888731590426,616,1591954888679619073,,-1.18937432766,-0.58426463604,-0.866739153862
1591954888784083980,617,1591954888732177972,,-1.18937659264,-0.584261417389,-0.866738796234
1591954888837178613,618,1591954888784898996,,-1.18938112259,-0.584266066551,-0.866737246513
1591954888888873117,619,1591954888837457895,,-1.18938469887,-0.584255993366,-0.866736829281
1591954888941281376,620,1591954888889863014,,-1.18937885761,-0.584258973598,-0.866740345955
1591954888993176737,621,1591954888941636085,,-1.18938744068,-0.584252178669,-0.866733551025
1591954889096279111,622,1591954888994688034,,-1.18938970566,-0.584256291389,-0.866733491421
1591954889148379194,623,1591954889096515893,,-1.18937909603,-0.584267258644,-0.866738438606
1591954889200817252,624,1591954889148648977,,-1.18938922882,-0.584262311459,-0.866731703281
1591954889253178856,625,1591954889201397895,,-1.18937659264,-0.584258675575,-0.866741299629
1591954889304709965,626,1591954889253371953,,-1.18938374519,-0.584259748459,-0.866737186909
1591954889356856191,627,1591954889305016040,,-1.18937718868,-0.584264576435,-0.866740524769
1591954889409823706,628,1591954889357543945,,-1.18939101696,-0.584259092808,-0.866734325886
1591954889461521542,629,1591954889409487009,,-1.18938827515,-0.584254920483,-0.866734147072
1591954889514441687,630,1591954889462537050,,-1.18938744068,-0.58426117897,-0.866731345654
1591954889566521947,631,1591954889515206098,,-1.18938195705,-0.584257423878,-0.866737127304
1591954889619056716,632,1591954889566759109,,-1.1893851757,-0.58426451683,-0.866735696793
1591954889671210185,633,1591954889619333982,,-1.18937695026,-0.584256529808,-0.866740107536
1591954889723294021,634,1591954889671983003,,-1.18938374519,-0.584260523319,-0.866735458374
1591954889775504513,635,1591954889723540067,,-1.18938267231,-0.584269344807,-0.866734683514
1591954889827873621,636,1591954889775998115,,-1.18940007687,-0.584250032902,-0.8667293787
1591954889878739889,637,1591954889827614068,,-1.18938887119,-0.584260284901,-0.8667319417
1591954889930030957,638,1591954889878932952,,-1.18937897682,-0.584265172482,-0.866739869118
1591954889981384243,639,1591954889930156946,,-1.18938148022,-0.584263026714,-0.866737365723
1591954890033668125,640,1591954889981664896,,-1.18938183784,-0.58425962925,-0.866737425327
1591954890086101314,641,1591954890034277915,,-1.18938076496,-0.584264457226,-0.866737484932
