%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1591954887214987041,590,1591954887163229942,,0.0,-0.0,9.99999974738e-06,-9.99999974738e-06
1591954887316836096,591,1591954887215574979,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591954887368806594,592,1591954887317177057,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591954887421125886,593,1591954887368884086,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591954887473533476,594,1591954887421344995,,0.0,-0.0,-0.0,9.99999974738e-06
1591954887527207911,595,1591954887474617958,,0.0,2.99999992421e-05,-0.0,-9.99999974738e-06
1591954887629418889,596,1591954887527249097,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1591954887681651555,597,1591954887630220890,,0.0,9.99999974738e-06,-9.99999974738e-06,0.0
1591954887733246366,598,1591954887681862115,,0.0,9.99999974738e-06,0.0,-0.0
1591954887785504339,599,1591954887733484983,,0.0,0.0,1.99999994948e-05,-9.99999974738e-06
1591954887888101114,600,1591954887785907983,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591954887940527647,601,1591954887888283967,,0.0,0.0,9.99999974738e-06,-0.0
1591954887992975640,602,1591954887940782070,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591954888046659550,603,1591954887993706941,,0.0,-0.0,9.99999974738e-06,-0.0
1591954888098426075,604,1591954888046344995,,0.0,0.0,-9.99999974738e-06,-0.0
1591954888154105020,605,1591954888098823070,,0.0,0.0,-9.99999974738e-06,-0.0
1591954888207115570,606,1591954888154375076,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1591954888257906649,607,1591954888206455945,,0.0,-9.99999974738e-06,9.99999974738e-06,-0.0
1591954888309411410,608,1591954888258101940,,0.0,-0.0,0.0,0.0
1591954888361271867,609,1591954888309564113,,0.0,-3.99999989895e-05,-9.99999974738e-06,1.99999994948e-05
1591954888413180601,610,1591954888361521959,,0.0,-0.0,9.99999974738e-06,0.0
1591954888466348677,611,1591954888413923978,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591954888520145617,612,1591954888467407941,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591954888573362919,613,1591954888520409107,,0.0,0.0,-1.99999994948e-05,-0.0
1591954888626643969,614,1591954888572926044,,0.0,-0.0,1.99999994948e-05,0.0
1591954888679369086,615,1591954888626939058,,0.0,0.0,9.99999974738e-06,-0.0
1591954888731782475,616,1591954888679619073,,0.0,0.0,-9.99999974738e-06,0.0
1591954888784508391,617,1591954888732177972,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1591954888837159460,618,1591954888784898996,,0.0,0.0,-1.99999994948e-05,-0.0
1591954888889064862,619,1591954888837457895,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1591954888941805124,620,1591954888889863014,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1591954888993501645,621,1591954888941636085,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591954889096324194,622,1591954888994688034,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591954889148218832,623,1591954889096515893,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1591954889201174141,624,1591954889148648977,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1591954889253022251,625,1591954889201397895,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1591954889304714708,626,1591954889253371953,,0.0,-1.99999994948e-05,9.99999974738e-06,0.0
1591954889357060333,627,1591954889305016040,,0.0,-0.0,-9.99999974738e-06,-0.0
1591954889409842831,628,1591954889357543945,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1591954889461925835,629,1591954889409487009,,0.0,-9.99999974738e-06,0.0,0.0
1591954889514737449,630,1591954889462537050,,0.0,-1.99999994948e-05,-0.0,1.99999994948e-05
1591954889566723833,631,1591954889515206098,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1591954889619036598,632,1591954889566759109,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591954889671464712,633,1591954889619333982,,0.0,0.0,1.99999994948e-05,-0.0
1591954889723521010,634,1591954889671983003,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1591954889775728574,635,1591954889723540067,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1591954889827434380,636,1591954889775998115,,0.0,-2.99999992421e-05,1.99999994948e-05,9.99999974738e-06
1591954889878786700,637,1591954889827614068,,0.0,-1.99999994948e-05,9.99999974738e-06,1.99999994948e-05
1591954889930054267,638,1591954889878932952,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1591954889981969943,639,1591954889930156946,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1591954890033887015,640,1591954889981664896,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1591954890086408585,641,1591954890034277915,,0.0,0.0,-9.99999974738e-06,-0.0
1591954890139000144,642,1591954890086894989,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591954890190446107,643,1591954890139169931,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1591954890242879691,644,1591954890190656900,,9.99999974738e-05,3.99999989895e-05,-1.99999994948e-05,-1.99999994948e-05
1591954890294917877,645,1591954890243213891,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1591954890347564987,646,1591954890295473098,,0.0,2.99999992421e-05,-2.99999992421e-05,-9.99999974738e-06
1591954890399604644,647,1591954890347799062,,0.0,1.99999994948e-05,-0.0,-9.99999974738e-06
1591954890452118495,648,1591954890399714946,,0.0,-2.99999992421e-05,1.99999994948e-05,1.99999994948e-05
1591954890504344331,649,1591954890452128887,,0.0,-0.0,0.0,-0.0
1591954890556668487,650,1591954890504574060,,0.0,0.0,-9.99999974738e-06,0.0
1591954890609039263,651,1591954890556901931,,0.0,-0.0,9.99999974738e-06,-0.0
1591954890661746033,652,1591954890609417915,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1591954890763455446,653,1591954890661840915,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1591954890815733886,654,1591954890763617992,,0.0,-3.99999989895e-05,0.0,1.99999994948e-05
1591954890868761846,655,1591954890816070079,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1591954890969906580,656,1591954890868505001,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1591954891021584884,657,1591954890970135927,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1591954891074488203,658,1591954891021759033,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591954891427424643,659,1591954891075053930,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1591954891479485180,660,1591954891427750110,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1591954891531246688,661,1591954891479795932,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1591954891583720523,662,1591954891531399011,,0.00079999997979,-0.000820000015665,9.99999974738e-05,0.000140000003739
1591954891635399328,663,1591954891584086894,,0.00419999985024,-0.00384999997914,0.00170000002254,7.00000018696e-05
1591954891687480268,664,1591954891635652065,,0.00899999961257,-0.00820000004023,0.00374000007287,9.99999974738e-06
1591954891739551289,665,1591954891687588930,,0.0127999996766,-0.011590000242,0.00553000019863,-9.99999974738e-05
1591954891791462416,666,1591954891739917039,,0.0143999997526,-0.0131700001657,0.00586999999359,1.99999994948e-05
1591954891842676219,667,1591954891791496038,,0.016799999401,-0.015340000391,0.0068100001663,9.99999974738e-05
1591954891894309700,668,1591954891842885971,,0.0208000000566,-0.0184899996966,0.00951999984682,-5.99999984843e-05
1591954891946428860,669,1591954891894407033,,0.0252999998629,-0.0217700004578,0.0129599999636,-9.00000013644e-05
1591954891998581202,670,1591954891946103096,,0.0476000010967,-0.0386600010097,0.0276800002903,-0.000140000003739
1591954892053433353,671,1591954891999411106,,0.0538000017405,-0.0409500002861,0.0348899997771,-0.000169999999343
1591954892104577681,672,1591954892052484035,,0.0590999983251,-0.0407800003886,0.042769998312,-0.000440000003437
1591954892156139291,673,1591954892104788064,,0.0601000003517,-0.0373600013554,0.0471000000834,1.99999994948e-05
1591954892208422344,674,1591954892156339883,,0.0597999989986,-0.0359300002456,0.0478399991989,7.9999997979e-05
1591954892260231520,675,1591954892208704948,,0.0588000006974,-0.0379999987781,0.0448299981654,0.000190000006114
1591954892313151301,676,1591954892260749101,,0.061700001359,-0.0431200005114,0.0441199988127,-9.00000013644e-05
1591954892365553590,677,1591954892313402891,,0.0652000010014,-0.0490700006485,0.0429599992931,-0.000250000011874
1591954892419654693,678,1591954892366378068,,0.0649000033736,-0.0523700006306,0.0383699983358,2.99999992421e-05
1591954892472108883,679,1591954892419922113,,0.0640000030398,-0.055070001632,0.032689999789,5.99999984843e-05
1591954892524154705,680,1591954892472472906,,0.0641999989748,-0.0590000003576,0.025399999693,7.9999997979e-05
1591954892576391684,681,1591954892524298906,,0.0666999965906,-0.0642499998212,0.0181000009179,0.000119999996969
1591954892679785262,682,1591954892576740980,,0.0719999969006,-0.071369998157,0.00980000011623,0.000130000000354
1591954892732062613,683,1591954892679740905,,0.0777999982238,-0.0777499973774,0.00199000001885,-0.000140000003739
1591954892792901003,684,1591954892732358932,,0.0798000022769,-0.079779997468,-0.00218999991193,-9.00000013644e-05
1591954892845193883,685,1591954892793654918,,0.0800999999046,-0.0800400003791,-0.00320999999531,9.99999974738e-06
1591954892896530055,686,1591954892845217943,,0.0802000015974,-0.0800999999046,-0.00425000023097,0.000110000000859
