%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592020138968565308,1040,1592020138916891098,,0.0
1592020139019981699,1041,1592020138968307018,,0.0
1592020139072157725,1042,1592020139019556999,,0.0
1592020139123961249,1043,1592020139071711063,,0.0
1592020139175805915,1044,1592020139123589992,,0.0
1592020139227917701,1045,1592020139175539016,,0.0
1592020139280046687,1046,1592020139228075981,,0.0
1592020139332322356,1047,1592020139280095100,,0.0
1592020139384297912,1048,1592020139332039117,,0.0
1592020139435297284,1049,1592020139383956909,,0.0
1592020139487475578,1050,1592020139435259103,,0.0
1592020139539584545,1051,1592020139487183094,,0.0
1592020139591808457,1052,1592020139539545059,,0.0
1592020139643033467,1053,1592020139591535091,,0.0
1592020139695206245,1054,1592020139643225908,,0.0
1592020139748143233,1055,1592020139694900035,,0.0
1592020139799172198,1056,1592020139747659921,,0.0
1592020139851252817,1057,1592020139798903942,,0.0
1592020139902982793,1058,1592020139851002931,,0.0
1592020139955345016,1059,1592020139903055906,,0.0
1592020140007175400,1060,1592020139955060005,,0.0
1592020140059468353,1061,1592020140007406949,,0.0
1592020140161825304,1062,1592020140059294939,,0.0
1592020140213037111,1063,1592020140160989046,,0.0
1592020140265362426,1064,1592020140213085889,,0.0
1592020140317085324,1065,1592020140265094041,,0.0
1592020140371127640,1066,1592020140317143917,,0.0
1592020140423931106,1067,1592020140371295928,,0.0
1592020140475727963,1068,1592020140423506021,,0.0
1592020140527720882,1069,1592020140475466966,,0.0
1592020140629882014,1070,1592020140527473926,,0.0
1592020140681886703,1071,1592020140629930973,,0.0
1592020140734581643,1072,1592020140681934118,,0.0
1592020140786621063,1073,1592020140734689950,,0.0
1592020140843607749,1074,1592020140786703109,,0.0
1592020140895644321,1075,1592020140843614101,,0.0
1592020140948319456,1076,1592020140895735025,,0.0
1592020141000318636,1077,1592020140947731018,,0.0
1592020141051953570,1078,1592020141000046014,,0.0
1592020141103961754,1079,1592020141051994085,,0.0
1592020141156358027,1080,1592020141104012966,,0.0
1592020141208467380,1081,1592020141156064033,,0.0
1592020141260360373,1082,1592020141208225965,,0.0
1592020141312389319,1083,1592020141260143995,,0.0
1592020141363907775,1084,1592020141312024116,,0.0
1592020141415838453,1085,1592020141363957881,,0.0
1592020141467403260,1086,1592020141415574073,,0.0
1592020141519431185,1087,1592020141467220067,,0.0
1592020141571063454,1088,1592020141519121885,,0.0
1592020141623092660,1089,1592020141571095943,,0.0
1592020141675887036,1090,1592020141623063087,,0.0
1592020141777478888,1091,1592020141676052093,,0.0
1592020141828708453,1092,1592020141777297019,,0.0
1592020141880185491,1093,1592020141828495025,,0.0
1592020141932310626,1094,1592020141879992008,,0.0
1592020141983992582,1095,1592020141931999921,,0.0
1592020142035464106,1096,1592020141984018087,,0.0
1592020142086933366,1097,1592020142035265922,,0.0
1592020142139350804,1098,1592020142086924076,,0.0
1592020142191429455,1099,1592020142139513969,,0.0
1592020142243693534,1100,1592020142191481113,,0.0
1592020142344864108,1101,1592020142243479967,,0.0
1592020142395946622,1102,1592020142344695091,,0.0
1592020142447684640,1103,1592020142395952939,,0.0
1592020142499716569,1104,1592020142447500944,,0.0
1592020142551623614,1105,1592020142499433040,,0.0
1592020142603815650,1106,1592020142551351070,,0.0
1592020142655345641,1107,1592020142603383064,,0.0
1592020142706789665,1108,1592020142655416011,,0.0
1592020142809332217,1109,1592020142706800937,,0.0
1592020142860490961,1110,1592020142809215068,,0.0
1592020142912533077,1111,1592020142860498905,,0.0
1592020142965196053,1112,1592020142912579059,,0.0
1592020143016996735,1113,1592020142964899063,,0.0
1592020143069159437,1114,1592020143016840934,,0.0
1592020143120707321,1115,1592020143068850994,,0.0
1592020143173131846,1116,1592020143120795965,,0.0
1592020143226341144,1117,1592020143172794103,,0.0
1592020143278378994,1118,1592020143226491928,,0.0
1592020143330377696,1119,1592020143278429031,,0.0
1592020143382149779,1120,1592020143330435037,,0.0
1592020143434475544,1121,1592020143381938934,,0.0
1592020143486042859,1122,1592020143434150934,,0.0
1592020143538517965,1123,1592020143486108064,,0.0
1592020143589515904,1124,1592020143538213014,,0.0
1592020143691514603,1125,1592020143589591026,,0.0
1592020143743408573,1126,1592020143691586017,,0.0
1592020144145063934,1127,1592020143743228912,,0.0
1592020144196924896,1128,1592020144144834041,,0.0
1592020144248109006,1129,1592020144196693897,,0.000760000024457
1592020144299353155,1130,1592020144247869014,,0.00413999985904
1592020144350695784,1131,1592020144299107074,,0.00882999971509
1592020144402603292,1132,1592020144350637912,,0.0133100003004
1592020144454122074,1133,1592020144402647018,,0.0147299999371
1592020144505399547,1134,1592020144453912019,,0.0135399997234
1592020144557446659,1135,1592020144505150079,,0.00917000044137
