%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1592020138968205952,1,1592020138916891098,,-1.20080184937,-0.579159617424,-0.866745829582
1592020139019841343,2,1592020138968307018,,-1.20080161095,-0.579151272774,-0.866744875908
1592020139071123122,3,1592020139019556999,,-1.20080769062,-0.579154014587,-0.86674195528
1592020139123248774,4,1592020139071711063,,-1.2007997036,-0.579155504704,-0.866744816303
1592020139175948499,5,1592020139123589992,,-1.20080184937,-0.579151630402,-0.866746902466
1592020139228432371,6,1592020139175539016,,-1.20080053806,-0.579158902168,-0.866746842861
1592020139279836685,7,1592020139228075981,,-1.2008035183,-0.579150378704,-0.866745233536
1592020139331629097,8,1592020139280095100,,-1.20079874992,-0.579155445099,-0.866747438908
1592020139383707610,9,1592020139332039117,,-1.20079863071,-0.579157888889,-0.866748631001
1592020139435095463,10,1592020139383956909,,-1.2007983923,-0.579158246517,-0.866747260094
1592020139486940239,11,1592020139435259103,,-1.20079374313,-0.579163193703,-0.866749048233
1592020139538998316,12,1592020139487183094,,-1.20079994202,-0.579157173634,-0.866745531559
1592020139591392759,13,1592020139539545059,,-1.20079946518,-0.579156279564,-0.866746008396
1592020139642799982,14,1592020139591535091,,-1.2008074522,-0.579147815704,-0.866743266582
1592020139695193292,15,1592020139643225908,,-1.20080316067,-0.579146206379,-0.866746783257
1592020139748011669,16,1592020139694900035,,-1.20079731941,-0.579163730145,-0.866747498512
1592020139798755920,17,1592020139747659921,,-1.20080208778,-0.579152166843,-0.866746246815
1592020139850679455,18,1592020139798903942,,-1.20080161095,-0.579165816307,-0.866744756699
1592020139902580141,19,1592020139851002931,,-1.20080387592,-0.579160511494,-0.866743385792
1592020139954640891,20,1592020139903055906,,-1.20080018044,-0.579157054424,-0.866746246815
1592020140006834665,21,1592020139955060005,,-1.20080161095,-0.579158604145,-0.866744279861
1592020140059154030,22,1592020140007406949,,-1.20080089569,-0.579165101051,-0.86674541235
1592020140160693987,23,1592020140059294939,,-1.20079576969,-0.579158961773,-0.866748094559
1592020140212620446,24,1592020140160989046,,-1.20079612732,-0.579152643681,-0.866748988628
1592020140264719721,25,1592020140213085889,,-1.20080256462,-0.579157829285,-0.866745650768
1592020140316899446,26,1592020140265094041,,-1.20080053806,-0.579162120819,-0.866745471954
1592020140370988150,27,1592020140317143917,,-1.20080208778,-0.579157590866,-0.866744399071
1592020140423305534,28,1592020140371295928,,-1.20080602169,-0.579153895378,-0.866741597652
1592020140475186543,29,1592020140423506021,,-1.20080399513,-0.579150915146,-0.866745114326
1592020140527091008,30,1592020140475466966,,-1.20079600811,-0.579152822495,-0.866748034954
1592020140629117883,31,1592020140527473926,,-1.20080327988,-0.579149544239,-0.86674708128
1592020140681669195,32,1592020140629930973,,-1.20080113411,-0.579157292843,-0.866746604443
1592020140734239354,33,1592020140681934118,,-1.20079493523,-0.579161882401,-0.866750299931
1592020140786259529,34,1592020140734689950,,-1.20079505444,-0.579153895378,-0.866749227047
1592020140843014268,35,1592020140786703109,,-1.2008035183,-0.579154610634,-0.866744160652
1592020140895432170,36,1592020140843614101,,-1.2008035183,-0.57915109396,-0.866743326187
1592020140947310951,37,1592020140895735025,,-1.20079290867,-0.579159557819,-0.866748690605
1592020140999569103,38,1592020140947731018,,-1.20080077648,-0.579158723354,-0.866748034954
1592020141051592551,39,1592020141000046014,,-1.20079171658,-0.579168915749,-0.866750240326
1592020141103591911,40,1592020141051994085,,-1.20080733299,-0.57915365696,-0.86674374342
1592020141156330909,41,1592020141104012966,,-1.20079576969,-0.579152524471,-0.866750121117
1592020141207774244,42,1592020141156064033,,-1.20079815388,-0.579156756401,-0.866749703884
1592020141259885847,43,1592020141208225965,,-1.20080161095,-0.57915699482,-0.866746246815
1592020141312282569,44,1592020141260143995,,-1.20080578327,-0.579163491726,-0.866745114326
1592020141363542798,45,1592020141312024116,,-1.2007932663,-0.579168200493,-0.866748392582
1592020141415280425,46,1592020141363957881,,-1.20080244541,-0.579159736633,-0.86674451828
1592020141467140332,47,1592020141415574073,,-1.20080435276,-0.579153001308,-0.866744458675
1592020141518763396,48,1592020141467220067,,-1.20079994202,-0.579150140285,-0.866747200489
1592020141570653644,49,1592020141519121885,,-1.20080268383,-0.579154133797,-0.86674541235
1592020141622671241,50,1592020141571095943,,-1.2008048296,-0.57915276289,-0.866744041443
1592020141675121770,51,1592020141623063087,,-1.20080029964,-0.579150736332,-0.866748332977
1592020141777122151,52,1592020141676052093,,-1.20079874992,-0.579160749912,-0.866745471954
1592020141828314692,53,1592020141777297019,,-1.20079767704,-0.579153120518,-0.866746008396
1592020141879811295,54,1592020141828495025,,-1.20079290867,-0.57916021347,-0.866750299931
1592020141931611211,55,1592020141879992008,,-1.20080399513,-0.579151988029,-0.86674451828
1592020141983753685,56,1592020141931999921,,-1.20080077648,-0.579163193703,-0.86674451828
1592020142034980323,57,1592020141984018087,,-1.20080149174,-0.579156339169,-0.866747796535
1592020142086765589,58,1592020142035265922,,-1.20080196857,-0.579152405262,-0.866746485233
1592020142138650081,59,1592020142086924076,,-1.20079183578,-0.579166293144,-0.866749465466
1592020142191092970,60,1592020142139513969,,-1.20079660416,-0.579158127308,-0.866750121117
1592020142243907204,61,1592020142191481113,,-1.20080459118,-0.579156160355,-0.866745233536
1592020142344533420,62,1592020142243479967,,-1.20079410076,-0.579163193703,-0.866746544838
1592020142395782573,63,1592020142344695091,,-1.20079159737,-0.579157888889,-0.866751194
1592020142447200288,64,1592020142395952939,,-1.20079576969,-0.579149842262,-0.866750717163
1592020142499070091,65,1592020142447500944,,-1.20079779625,-0.579168081284,-0.866747140884
1592020142550995552,66,1592020142499433040,,-1.20080137253,-0.579155802727,-0.86674374342
1592020142603624192,67,1592020142551351070,,-1.2007958889,-0.579154074192,-0.866749405861
1592020142655008219,68,1592020142603383064,,-1.20079791546,-0.579166948795,-0.86674875021
1592020142706449900,69,1592020142655416011,,-1.20079994202,-0.579150259495,-0.866747200489
1592020142808820698,70,1592020142706800937,,-1.20080125332,-0.579145610332,-0.866747379303
1592020142860220615,71,1592020142809215068,,-1.20079553127,-0.579155802727,-0.866746664047
1592020142912117250,72,1592020142860498905,,-1.20080137253,-0.579158425331,-0.866745233536
1592020142964737402,73,1592020142912579059,,-1.20080780983,-0.57916778326,-0.866739869118
1592020143016521100,74,1592020142964899063,,-1.20079815388,-0.579151153564,-0.866747021675
1592020143068583454,75,1592020143016840934,,-1.20080316067,-0.579160630703,-0.866741776466
1592020143120342967,76,1592020143068850994,,-1.20079302788,-0.579148411751,-0.86675208807
1592020143172422169,77,1592020143120795965,,-1.2007983923,-0.579144656658,-0.866750299931
