%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1592020138968743851,1,1592020138916891098,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1592020139019493099,2,1592020138968307018,,0.0,0.0,9.99999974738e-06,0.0
1592020139071615535,3,1592020139019556999,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1592020139123270748,4,1592020139071711063,,0.0,0.0,9.99999974738e-06,0.0
1592020139175939174,5,1592020139123589992,,0.0,-9.99999974738e-06,3.99999989895e-05,9.99999974738e-06
1592020139228309473,6,1592020139175539016,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1592020139280389264,7,1592020139228075981,,0.0,-1.99999994948e-05,1.99999994948e-05,9.99999974738e-06
1592020139331834092,8,1592020139280095100,,0.0,9.99999974738e-06,-0.0,-0.0
1592020139384150287,9,1592020139332039117,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1592020139435128898,10,1592020139383956909,,0.0,-1.99999994948e-05,-1.99999994948e-05,9.99999974738e-06
1592020139487432135,11,1592020139435259103,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592020139539204677,12,1592020139487183094,,0.0,0.0,-9.99999974738e-06,-0.0
1592020139591368746,13,1592020139539545059,,0.0,1.99999994948e-05,-0.0,-9.99999974738e-06
1592020139642811983,14,1592020139591535091,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1592020139695156328,15,1592020139643225908,,0.0,-0.0,9.99999974738e-06,0.0
1592020139748136911,16,1592020139694900035,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592020139799161105,17,1592020139747659921,,0.0,0.0,-0.0,-0.0
1592020139850579868,18,1592020139798903942,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1592020139902750789,19,1592020139851002931,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1592020139954895222,20,1592020139903055906,,0.0,-0.0,0.0,0.0
1592020140006855255,21,1592020139955060005,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1592020140059126958,22,1592020140007406949,,0.0,-0.0,-1.99999994948e-05,0.0
1592020140160737143,23,1592020140059294939,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1592020140212776964,24,1592020140160989046,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1592020140264897031,25,1592020140213085889,,0.0,0.0,-1.99999994948e-05,0.0
1592020140316875641,26,1592020140265094041,,0.0,-9.99999974738e-06,0.0,0.0
1592020140370820556,27,1592020140317143917,,0.0,0.0,-9.99999974738e-06,0.0
1592020140423039829,28,1592020140371295928,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1592020140475270007,29,1592020140423506021,,0.0,-0.0,1.99999994948e-05,-0.0
1592020140527216140,30,1592020140475466966,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
