%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592031194618339241,1254,1592031194566430091,,0.0
1592031194721200964,1255,1592031194618524074,,0.0
1592031194773475507,1256,1592031194720809936,,0.0
1592031194824980775,1257,1592031194773283958,,0.0
1592031194877889924,1258,1592031194824974060,,0.0
1592031194929260757,1259,1592031194877454042,,0.0
1592031194982174988,1260,1592031194929119110,,0.0
1592031195034468002,1261,1592031194981952905,,0.0
1592031195087139179,1262,1592031195034096956,,0.0
1592031195138372887,1263,1592031195086008071,,0.0
1592031195190985196,1264,1592031195138412952,,0.0
1592031195243630503,1265,1592031195191090106,,0.0
1592031195295557207,1266,1592031195243307113,,0.0
1592031195346919722,1267,1592031195295066118,,0.0
1592031195398411049,1268,1592031195346590042,,0.0
1592031195499942566,1269,1592031195398385047,,0.0
1592031195553055014,1270,1592031195499979972,,0.0
1592031195605683837,1271,1592031195552737951,,0.0
1592031195660220403,1272,1592031195605673074,,0.0
1592031195712037078,1273,1592031195660363912,,0.0
1592031195764827385,1274,1592031195711827993,,0.0
1592031195815738616,1275,1592031195763995885,,0.0
1592031195867794262,1276,1592031195815448045,,0.0
1592031195920692495,1277,1592031195867458105,,0.0
1592031196024042073,1278,1592031195920799970,,0.0
1592031196076866591,1279,1592031196023757934,,0.0
1592031196129516643,1280,1592031196076617002,,0.0
1592031196185949327,1281,1592031196129092931,,0.0
1592031196238815038,1282,1592031196185939073,,0.0
1592031196290823439,1283,1592031196238431930,,0.0
1592031196343357367,1284,1592031196290899038,,0.0
1592031196395790854,1285,1592031196343396902,,0.0
1592031196449166946,1286,1592031196396584033,,0.000169999999343
1592031196551879540,1287,1592031196449229955,,0.0
1592031196603637836,1288,1592031196551726102,,0.0
1592031196655810961,1289,1592031196603655099,,0.0
1592031196707337235,1290,1592031196655149936,,0.0
1592031196758447225,1291,1592031196706995964,,0.0
1592031196859833225,1292,1592031196758459091,,0.0
1592031196911814535,1293,1592031196859993934,,0.0
1592031196964044895,1294,1592031196911561012,,0.0
1592031197017006389,1295,1592031196964040040,,0.0
1592031197069403605,1296,1592031197016695976,,-0.000159999995958
1592031197122308269,1297,1592031197069499015,,0.0
1592031197173766356,1298,1592031197121942043,,0.0
1592031197225401164,1299,1592031197173791885,,0.0
1592031197280653378,1300,1592031197225429058,,0.0
1592031197333185604,1301,1592031197280670881,,0.0
1592031197386590363,1302,1592031197333215951,,0.000169999999343
1592031197438922897,1303,1592031197386615037,,0.0
1592031197490599788,1304,1592031197438343048,,0.0
1592031197544104704,1305,1592031197489882946,,0.0
1592031197597240592,1306,1592031197544315099,,0.0
1592031197648916293,1307,1592031197596684932,,0.0
1592031197700805177,1308,1592031197649080038,,0.0
1592031197802486260,1309,1592031197700582981,,0.0
1592031197854133531,1310,1592031197802242040,,0.0
1592031197905514470,1311,1592031197853925943,,0.0
1592031197958525360,1312,1592031197905628919,,-0.000169999999343
1592031198011291583,1313,1592031197958173990,,0.0
1592031198062993509,1314,1592031198011147975,,0.0
1592031198115033655,1315,1592031198062726974,,0.0
1592031198167278091,1316,1592031198114694118,,0.0
1592031198219545598,1317,1592031198167331933,,0.0
1592031198271076347,1318,1592031198219130992,,0.0
1592031198323942766,1319,1592031198271167039,,0.0
1592031198376994723,1320,1592031198323611974,,0.0
1592031198429402191,1321,1592031198376657009,,0.0
1592031198482674793,1322,1592031198429372072,,0.0
1592031198535345637,1323,1592031198482870101,,0.0
1592031198638197648,1324,1592031198535391092,,0.0
1592031198690393691,1325,1592031198637850999,,0.0
1592031198743473700,1326,1592031198690465927,,0.0
1592031198795511580,1327,1592031198743066072,,0.0
1592031198848280779,1328,1592031198795618057,,0.0
1592031198900890851,1329,1592031198848387956,,0.0
1592031198955615910,1330,1592031198900937080,,0.0
1592031199008433061,1331,1592031198955353975,,0.0
1592031199059442352,1332,1592031199007698059,,0.0
1592031199162393020,1333,1592031199059243917,,0.0
1592031199216816599,1334,1592031199162106037,,0.0
1592031199270269432,1335,1592031199217050075,,0.0
1592031199322315013,1336,1592031199269870042,,0.0
1592031199376670923,1337,1592031199322335004,,0.0
1592031199429605868,1338,1592031199376312971,,0.0
1592031199484173080,1339,1592031199429223060,,0.0
1592031199535375225,1340,1592031199483545064,,0.0
1592031199587285451,1341,1592031199535012006,,0.0
1592031199639618701,1342,1592031199587348937,,0.0
1592031199694012983,1343,1592031199639671087,,0.0
1592031199746306503,1344,1592031199693655014,,0.0
1592031199798059894,1345,1592031199746064901,,0.0
1592031199899567509,1346,1592031199797816991,,0.0
1592031199953193318,1347,1592031199899350881,,0.0
1592031200056189527,1348,1592031199952311992,,0.0
1592031200107751692,1349,1592031200055094003,,0.0
1592031200159786430,1350,1592031200106987953,,0.0
1592031200212157923,1351,1592031200159478902,,0.0
1592031200264373561,1352,1592031200211906909,,0.0
1592031200318375731,1353,1592031200264444112,,0.0
1592031200370941739,1354,1592031200318576097,,0.0
1592031200423424273,1355,1592031200371015071,,0.0
1592031200475216982,1356,1592031200423494100,,0.0
1592031200526774742,1357,1592031200475286960,,0.0
1592031200579218757,1358,1592031200526798963,,0.0
1592031200633243452,1359,1592031200579278945,,0.0
1592031200686747245,1360,1592031200633434057,,0.0
1592031200738696912,1361,1592031200686363935,,0.0
1592031200791284023,1362,1592031200738766908,,0.0
1592031200844298579,1363,1592031200791085004,,0.0
1592031200896145670,1364,1592031200844372987,,0.0
1592031200948424758,1365,1592031200896167039,,0.0
1592031201001609846,1366,1592031200948092937,,0.0
1592031201055418709,1367,1592031201001842975,,0.0
1592031201157975986,1368,1592031201055562019,,0.0
1592031201210557974,1369,1592031201158077001,,0.0
1592031201262906067,1370,1592031201210637092,,0.0
1592031201315128243,1371,1592031201262634992,,0.0
1592031201367890855,1372,1592031201315187931,,0.0
1592031201420826064,1373,1592031201368031978,,0.0
1592031201473971432,1374,1592031201420435905,,0.0
1592031201526836244,1375,1592031201474065065,,0.0
1592031201628452793,1376,1592031201526540040,,0.0
1592031201680846600,1377,1592031201628093957,,0.0
1592031201733433065,1378,1592031201680500030,,0.0
1592031201786416433,1379,1592031201733228921,,0.0
1592031201888129645,1380,1592031201785725116,,0.0
1592031201940586519,1381,1592031201888257980,,0.0
1592031201993578896,1382,1592031201940620899,,0.0
1592031202045776625,1383,1592031201993196010,,0.0
1592031202098691302,1384,1592031202045871019,,0.0
1592031202151138718,1385,1592031202098772048,,0.0
1592031202204052434,1386,1592031202151213884,,0.0
1592031202257222165,1387,1592031202203707933,,0.0
1592031202308426776,1388,1592031202255908966,,0.0
1592031202361392779,1389,1592031202308558940,,0.0
