%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1592033511388576792,1010,1592033511335748910,,8.02499961853
1592033511445024748,1011,1592033511388602972,,8.02499961853
1592033511497081928,1012,1592033511444264888,,8.02499961853
1592033511550003146,1013,1592033511497190952,,8.02499961853
1592033511603335006,1014,1592033511549776077,,8.02499961853
1592033511657012756,1015,1592033511603565931,,8.02499961853
1592033511709958850,1016,1592033511656817913,,8.02499961853
1592033511762506767,1017,1592033511709240913,,8.02499961853
1592033511813518596,1018,1592033511761734008,,8.02499961853
1592033511865041955,1019,1592033511813375949,,8.02499961853
1592033511916638838,1020,1592033511864759922,,8.02499961853
1592033511968952349,1021,1592033511916332960,,8.02499961853
1592033512022674427,1022,1592033511969259023,,8.02499961853
1592033512075786323,1023,1592033512021908998,,8.02499961853
1592033512177797045,1024,1592033512075011014,,8.02499961853
1592033512229839841,1025,1592033512177449941,,8.02499961853
1592033512282662633,1026,1592033512229835987,,8.02499961853
1592033512335774633,1027,1592033512282473087,,8.02499961853
1592033512387680931,1028,1592033512335119009,,8.02499961853
1592033512440742472,1029,1592033512387635946,,8.02499961853
1592033512494075517,1030,1592033512440865993,,8.02499961853
1592033512546446970,1031,1592033512493940114,,8.02499961853
1592033512597640146,1032,1592033512545819997,,8.02499961853
1592033512650457985,1033,1592033512597662925,,8.02499961853
1592033512703574759,1034,1592033512650168895,,8.02499961853
1592033512756110874,1035,1592033512702610015,,8.02499961853
1592033512808773634,1036,1592033512755484104,,8.02499961853
1592033512860973680,1037,1592033512808047056,,8.02499961853
1592033512912446294,1038,1592033512860579013,,8.02499961853
1592033512964219375,1039,1592033512912149906,,8.02499961853
1592033513017227602,1040,1592033512963751077,,8.02499961853
1592033513069624340,1041,1592033513016351938,,8.02499961853
1592033513121253935,1042,1592033513069323062,,8.02499961853
1592033513223895571,1043,1592033513121078014,,8.02499961853
1592033513276351266,1044,1592033513223583936,,8.02499961853
1592033513329861570,1045,1592033513276134014,,8.02499961853
1592033513381975075,1046,1592033513329189062,,8.02499961853
1592033513435546463,1047,1592033513381896018,,8.02499961853
1592033513487932579,1048,1592033513435280084,,8.02499961853
1592033513540744394,1049,1592033513487837076,,8.02499961853
1592033513593418082,1050,1592033513540488958,,8.02499961853
1592033513647320922,1051,1592033513593583106,,8.02499961853
1592033513749950519,1052,1592033513646527051,,8.02499961853
1592033513801308468,1053,1592033513749277114,,8.02499961853
1592033513903089049,1054,1592033513801026105,,8.02499961853
1592033513956041588,1055,1592033513903003931,,8.02499961853
1592033514007939955,1056,1592033513955405950,,8.02499961853
1592033514061283270,1057,1592033514007708072,,8.02499961853
1592033514112304138,1058,1592033514060717105,,8.02499961853
1592033514165847464,1059,1592033514112308025,,8.02499961853
1592033514218769414,1060,1592033514165899038,,8.02499961853
1592033514271400415,1061,1592033514218553066,,8.02499961853
1592033514324265353,1062,1592033514271204948,,8.02499961853
1592033514426385341,1063,1592033514324362993,,8.02499961853
1592033514478681115,1064,1592033514426198959,,8.02499961853
1592033514530296077,1065,1592033514478364944,,8.02499961853
1592033514583121863,1066,1592033514529938936,,8.02499961853
1592033514636144083,1067,1592033514583460092,,8.02499961853
1592033514689449915,1068,1592033514636368036,,8.02499961853
1592033514743133834,1069,1592033514689909934,,8.02499961853
1592033514796797146,1070,1592033514742954015,,8.02499961853
1592033514848910324,1071,1592033514795907020,,8.02499961853
1592033514952140264,1072,1592033514848676919,,8.02499961853
1592033515004963737,1073,1592033514952050924,,8.02499961853
1592033515056650867,1074,1592033515004729986,,8.02499961853
1592033515108403643,1075,1592033515056581020,,8.02499961853
1592033515160410628,1076,1592033515108129978,,8.02499961853
1592033515213436168,1077,1592033515160126924,,8.02499961853
1592033515315593268,1078,1592033515212779998,,8.02499961853
1592033515369019197,1079,1592033515314831018,,8.02499961853
1592033515422375298,1080,1592033515369426965,,8.02499961853
1592033515475455241,1081,1592033515422260999,,8.02499961853
1592033515528174869,1082,1592033515474809885,,8.02499961853
1592033515581938282,1083,1592033515528031110,,8.02499961853
1592033515636033267,1084,1592033515581154108,,8.02499961853
1592033515687558034,1085,1592033515635763883,,8.02499961853
1592033515740211179,1086,1592033515687462091,,8.02499961853
1592033515792029776,1087,1592033515740072011,,8.02499961853
1592033515843197942,1088,1592033515791558027,,8.02499961853
1592033515895874469,1089,1592033515843081951,,8.02499961853
1592033515952403568,1090,1592033515896276950,,8.02499961853
1592033516004826940,1091,1592033515951869010,,8.02499961853
1592033516057828157,1092,1592033516005233049,,8.02499961853
1592033516109512633,1093,1592033516057508945,,8.02499961853
1592033516161798646,1094,1592033516108886003,,8.02499961853
1592033516214004090,1095,1592033516160823106,,8.02598953247
1592033516317491918,1096,1592033516214346885,,8.02499961853
1592033516369397791,1097,1592033516317007064,,8.02499961853
1592033516421695435,1098,1592033516369088888,,8.02499961853
1592033516775262155,1099,1592033516421478033,,8.02499961853
1592033516828032988,1100,1592033516774880886,,8.02499961853
1592033516879662119,1101,1592033516827377080,,8.02739620209
1592033516931195902,1102,1592033516879406929,,8.04046916962
1592033516982558786,1103,1592033516930936098,,8.06375026703
1592033517039502350,1104,1592033516982342958,,8.09296894073
1592033517090464832,1105,1592033517038851976,,8.12166690826
1592033517143884427,1106,1592033517090420007,,8.1522397995
1592033517196798464,1107,1592033517144295930,,8.19937515259
1592033517249329305,1108,1592033517196645021,,8.23140621185
1592033517302824770,1109,1592033517249409914,,8.26281261444
1592033517356072785,1110,1592033517302537918,,8.64999961853
1592033517407188628,1111,1592033517355191946,,8.64999961853
1592033517459744237,1112,1592033517407164096,,8.64999961853
1592033517512614209,1113,1592033517459681034,,8.64999961853
1592033517616260016,1114,1592033517513035058,,8.64999961853
1592033517669194688,1115,1592033517616638898,,8.59833335876
1592033517721655976,1116,1592033517669132947,,8.55151081085
1592033517774705013,1117,1592033517721671104,,8.49135398865
1592033517826136705,1118,1592033517774269104,,8.41453170776
1592033517880804493,1119,1592033517827343940,,8.31156253815
1592033517932869862,1120,1592033517880109071,,7.96546888351
1592033517985477111,1121,1592033517932708978,,7.80312490463
1592033518042367732,1122,1592033517985434055,,7.65031242371
1592033518095677750,1123,1592033518042237997,,7.56458330154
1592033518147524527,1124,1592033518095020055,,7.53010416031
1592033518199487136,1125,1592033518147382974,,7.53432273865
1592033518250743372,1126,1592033518198972940,,7.6219792366
1592033518303510144,1127,1592033518250442981,,7.72161436081
1592033518356503062,1128,1592033518302803039,,7.82395839691
1592033518408134947,1129,1592033518355927944,,7.93927097321
1592033518460412096,1130,1592033518408406019,,8.07036495209
1592033518511972174,1131,1592033518460171937,,8.18005180359
1592033518563508515,1132,1592033518511877059,,8.29015636444
1592033518615624339,1133,1592033518563347101,,8.37682247162
1592033518666957872,1134,1592033518615247964,,8.43645858765
1592033518718878210,1135,1592033518666738986,,8.43213558197
1592033518771043213,1136,1592033518718372106,,8.39604187012
1592033518874088450,1137,1592033518770813941,,8.33229160309
1592033518925743449,1138,1592033518873121976,,8.24781227112
1592033518978909667,1139,1592033518925615072,,8.20145797729
1592033519031381243,1140,1592033518978111028,,8.15572929382
1592033519083550110,1141,1592033519030796051,,8.15734386444
1592033519187406971,1142,1592033519083353042,,8.16260433197
1592033519239866174,1143,1592033519187129020,,8.15859413147
1592033519291861886,1144,1592033519239382982,,8.13765621185
1592033519344258136,1145,1592033519291461944,,8.09921836853
1592033519396224106,1146,1592033519343607902,,8.05916690826
1592033519448013384,1147,1592033519395622014,,8.02750015259
1592033519499176880,1148,1592033519447402000,,8.02411460876
1592033519551803540,1149,1592033519499003887,,8.01770877838
1592033519604579446,1150,1592033519551527023,,8.02317714691
1592033519707883027,1151,1592033519604298114,,8.01682281494
1592033519760757976,1152,1592033519707607030,,8.02833366394
1592033519812712952,1153,1592033519760159015,,8.02499961853
1592033519864910820,1154,1592033519812690973,,8.02682304382
1592033519916588034,1155,1592033519864847898,,8.02770805359
1592033519969138355,1156,1592033519916457891,,8.01864624023
1592033520021572417,1157,1592033519968978881,,8.02046871185
1592033520074837883,1158,1592033520021471977,,8.00687503815
1592033520127981349,1159,1592033520075171947,,7.99515628815
1592033520231299752,1160,1592033520127882957,,7.97260427475
1592033520283207623,1161,1592033520230588912,,7.96015644073
1592033520335332047,1162,1592033520283376932,,7.93723964691
1592033520387048306,1163,1592033520334903955,,7.91718769073
1592033520439407225,1164,1592033520386785984,,7.90072917938
1592033520492493316,1165,1592033520440371036,,7.90104150772
1592033520544449690,1166,1592033520492446899,,7.91828107834
1592033520596852852,1167,1592033520544192075,,7.93718767166
1592033520699387311,1168,1592033520596571922,,7.96161460876
1592033520751560734,1169,1592033520699155092,,7.99244785309
1592033520804858946,1170,1592033520751873016,,8.02083301544
1592033520857090925,1171,1592033520804286956,,8.07947921753
1592033520910010395,1172,1592033520856846094,,8.09854125977
1592033520962887725,1173,1592033520909861087,,8.13369750977
1592033521015287529,1174,1592033520962229013,,8.14989566803
1592033521067691028,1175,1592033521015697956,,8.14718723297
1592033521119038422,1176,1592033521067327976,,8.13552093506
1592033521222441258,1177,1592033521118813037,,8.11833286285
1592033521274694163,1178,1592033521222203969,,8.097448349
1592033521325845450,1179,1592033521273977994,,8.08932304382
1592033521377477765,1180,1592033521325588941,,8.07947921753
1592033521429006476,1181,1592033521377137899,,8.04046916962
1592033521481013966,1182,1592033521428706884,,8.03958320618
1592033521532615816,1183,1592033521480781078,,8.01859378815
1592033521584124234,1184,1592033521532289028,,8.02135372162
1592033521636334133,1185,1592033521583894014,,8.02776050568
1592033521688122364,1186,1592033521635905981,,8.02317714691
1592033521740537358,1187,1592033521688002109,,8.02682304382
1592033521842706268,1188,1592033521739990949,,8.02703094482
1592033521894636030,1189,1592033521842896938,,8.03322887421
1592033521947117114,1190,1592033521894507884,,8.03322887421
1592033521998571791,1191,1592033521946590900,,8.03416633606
1592033522050702975,1192,1592033521998462915,,8.02317714691
1592033522103036291,1193,1592033522050350904,,8.01770877838
1592033522156031711,1194,1592033522102991104,,7.9638543129
1592033522208330122,1195,1592033522155369043,,7.9092707634
1592033522260934220,1196,1592033522208138942,,7.89031267166
1592033522363783722,1197,1592033522260911941,,7.8758854866
1592033522415557627,1198,1592033522363626956,,7.9072394371
1592033522467406027,1199,1592033522415695905,,7.90588521957
1592033522519736870,1200,1592033522467179059,,7.92223978043
1592033522571784938,1201,1592033522519471883,,7.92770814896
1592033522623351152,1202,1592033522571362972,,7.93682289124
1592033522726176085,1203,1592033522623066902,,7.94494771957
1592033522777671161,1204,1592033522725029945,,7.99151039124
1592033522830138710,1205,1592033522777445077,,8.0350522995
1592033522882521156,1206,1592033522829924106,,8.04927062988
1592033522937478422,1207,1592033522882498025,,8.05682277679
1592033523037900512,1208,1592033522934973001,,8.02958297729
1592033523089108924,1209,1592033523037333011,,7.9805727005
1592033523140657588,1210,1592033523088798046,,7.96718740463
1592033523193026164,1211,1592033523140429019,,7.97302103043
1592033523294519022,1212,1592033523192418098,,7.94031238556
1592033523347024490,1213,1592033523294018030,,7.83479166031
1592033523398972935,1214,1592033523347259044,,7.74458312988
1592033523451882835,1215,1592033523398837089,,7.71739578247
1592033523503637624,1216,1592033523451168060,,7.73661470413
1592033523606895423,1217,1592033523503493070,,7.79182291031
1592033523658858334,1218,1592033523606030941,,7.89385414124
1592033523711442143,1219,1592033523658559083,,8.00234413147
1592033523763810631,1220,1592033523711165904,,8.04760456085
1592033523816210078,1221,1592033523763554096,,8.09437465668
1592033523869163617,1222,1592033523816020011,,8.16781234741
1592033523920470878,1223,1592033523868302106,,8.33786487579
1592033523972439626,1224,1592033523920753002,,8.38552093506
1592033524024935987,1225,1592033523972212076,,8.35744762421
1592033524076866433,1226,1592033524024653911,,8.27567672729
1592033524129682940,1227,1592033524077184915,,8.15937519073
1592033524182320440,1228,1592033524130001068,,7.98322916031
1592033524234712959,1229,1592033524182473897,,7.80927085876
1592033524286653401,1230,1592033524234998941,,7.69786453247
1592033524339312990,1231,1592033524286573886,,7.62666654587
1592033524392049351,1232,1592033524339266061,,7.6328125
1592033524443914386,1233,1592033524391802072,,7.68973970413
1592033524495937067,1234,1592033524443348884,,7.80671882629
1592033524547598761,1235,1592033524495443105,,7.93541669846
1592033524600737012,1236,1592033524547715902,,8.07677078247
1592033524652877425,1237,1592033524600217103,,8.18036460876
1592033524705461325,1238,1592033524652600049,,8.26020812988
1592033524757064513,1239,1592033524705123901,,8.30604171753
1592033524808850479,1240,1592033524756825923,,8.359375
1592033524861060329,1241,1592033524808613061,,8.38119792938
1592033524913456976,1242,1592033524860739946,,8.35260391235
1592033524966838271,1243,1592033524913603067,,8.29749965668
1592033525019216590,1244,1592033524966131925,,8.2421875
1592033525072701496,1245,1592033525019629001,,8.17604160309
1592033525125759371,1246,1592033525073120117,,8.08744812012
1592033525178433063,1247,1592033525125550031,,8.02203083038
1592033525230404651,1248,1592033525178348064,,8.00916671753
1592033525332572421,1249,1592033525230273008,,8.02598953247
1592033525385348854,1250,1592033525332281112,,8.03765583038
1592033525437812912,1251,1592033525385046005,,8.04218769073
1592033525490609261,1252,1592033525437520027,,8.046667099
1592033525543282150,1253,1592033525490664958,,8.05749988556
1592033525595019685,1254,1592033525543226003,,8.06197929382
1592033525647374063,1255,1592033525594803094,,8.06031227112
1592033525700620459,1256,1592033525647113084,,8.06494808197
1592033525751909434,1257,1592033525700078010,,8.07666683197
1592033525804462248,1258,1592033525752085924,,8.06130218506
1592033525856903749,1259,1592033525804789066,,7.98874998093
1592033525909223246,1260,1592033525856425046,,7.8213019371
1592033525961287135,1261,1592033525908586025,,7.6788020134
1592033526013104487,1262,1592033525960958957,,7.57124996185
1592033526065329180,1263,1592033526012685060,,7.52015638351
1592033526118199060,1264,1592033526065115928,,7.51505184174
1592033526170315506,1265,1592033526117544889,,7.52979183197
1592033526272478371,1266,1592033526170042991,,7.55489587784
1592033526325148023,1267,1592033526272540092,,7.64286470413
1592033526377982181,1268,1592033526324976921,,7.70499992371
1592033526430622038,1269,1592033526377860069,,7.79958343506
