%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592041872200448707,1020,1592041872148013114,,0.0
1592041872251929169,1021,1592041872199903964,,0.0
1592041872303932261,1022,1592041872251627922,,0.0
1592041872357824262,1023,1592041872303576946,,0.0
1592041872410095213,1024,1592041872357930898,,0.0
1592041872461678682,1025,1592041872409965991,,0.0
1592041872513595596,1026,1592041872461774110,,0.0
1592041872614838737,1027,1592041872513370990,,0.0
1592041872667291797,1028,1592041872614866971,,0.0
1592041872719783958,1029,1592041872667311906,,0.0
1592041872772509025,1030,1592041872719847917,,0.0
1592041872824771684,1031,1592041872772227048,,0.0
1592041872882120388,1032,1592041872824798107,,0.0
1592041872936806567,1033,1592041872884310960,,0.0
1592041872989617752,1034,1592041872936748981,,0.0
1592041873041918800,1035,1592041872989381074,,0.0
1592041873094058674,1036,1592041873041702985,,0.0
1592041873147014688,1037,1592041873094099044,,0.0
1592041873249471940,1038,1592041873146982908,,0.0
1592041873351108377,1039,1592041873249504089,,0.0
1592041873403401513,1040,1592041873351217985,,0.0
1592041873455910429,1041,1592041873403456926,,0.0
1592041873558568269,1042,1592041873455995082,,0.0
1592041873611696850,1043,1592041873558645009,,0.0
1592041873663539938,1044,1592041873611406087,,0.0
1592041873715923528,1045,1592041873663218975,,0.0
1592041873769536057,1046,1592041873716500997,,0.0
1592041873821887377,1047,1592041873769221067,,0.0
1592041873874870826,1048,1592041873821973085,,0.0
1592041873926519409,1049,1592041873874562978,,0.0
1592041873978604333,1050,1592041873926619052,,0.0
1592041874030257705,1051,1592041873978432893,,0.0
1592041874082771900,1052,1592041874029959917,,0.0
1592041874136093049,1053,1592041874082432031,,0.0
1592041874187352703,1054,1592041874135787963,,0.0
1592041874240029513,1055,1592041874187452077,,0.0
1592041874292376720,1056,1592041874239929914,,0.0
1592041874344661803,1057,1592041874292443037,,0.0
1592041874453000577,1058,1592041874344718933,,0.0
1592041874501779341,1059,1592041874449444055,,0.0
1592041874554247069,1060,1592041874501461982,,0.0
1592041874605558189,1061,1592041874553935050,,0.0
1592041874657317680,1062,1592041874605628013,,0.0
1592041874709740604,1063,1592041874657083988,,0.0
1592041874762070034,1064,1592041874709414958,,0.0
1592041874814448816,1065,1592041874761743068,,0.0
1592041874866896046,1066,1592041874814124107,,0.0
1592041874919778950,1067,1592041874866550922,,0.0
1592041874978077289,1068,1592041874919897079,,0.0
1592041875030631052,1069,1592041874978292942,,0.0
1592041875084191669,1070,1592041875031352996,,0.0
1592041875136577436,1071,1592041875083884000,,0.0
1592041875188212787,1072,1592041875136281967,,0.0
1592041875290546638,1073,1592041875188175916,,0.0
1592041875342615756,1074,1592041875290282964,,0.0
1592041875395455648,1075,1592041875342701911,,0.0
1592041875448046026,1076,1592041875395066976,,0.0
1592041875502018932,1077,1592041875448129892,,0.0
1592041875553158001,1078,1592041875501678943,,0.0
1592041875605567052,1079,1592041875553162097,,0.0
1592041875658074143,1080,1592041875605298042,,0.0
1592041875712994461,1081,1592041875657934904,,0.0
1592041875764449873,1082,1592041875710059881,,0.0
1592041875817061219,1083,1592041875764636039,,0.0
1592041875868949971,1084,1592041875817219972,,0.0
1592041875921466013,1085,1592041875868999958,,0.0
1592041875974380094,1086,1592041875921531915,,0.0
1592041876026884941,1087,1592041875974081993,,0.0
1592041876080197329,1088,1592041876026952028,,0.0
1592041876132948359,1089,1592041876080425024,,0.0
1592041876186724776,1090,1592041876133003950,,0.0
1592041876239857137,1091,1592041876186933040,,0.0
1592041876292726580,1092,1592041876239511013,,0.0
1592041876395032184,1093,1592041876292398929,,0.0
1592041876447937272,1094,1592041876395160913,,0.0
1592041876500741579,1095,1592041876447666883,,0.0
1592041876552288424,1096,1592041876500437021,,0.0
1592041876605329016,1097,1592041876552292108,,0.0
1592041876658054748,1098,1592041876605149030,,0.0
1592041876715876110,1099,1592041876656995058,,0.0
1592041876761439549,1100,1592041876709041118,,0.0
1592041876817574702,1101,1592041876761039018,,0.0
1592041876869638168,1102,1592041876817126035,,0.0
1592041876922598912,1103,1592041876869313001,,0.0
1592041876975619139,1104,1592041876922645092,,0.0
1592041877027951955,1105,1592041876975207090,,0.0
1592041877080600953,1106,1592041877027842998,,0.0
1592041877133011210,1107,1592041877080234050,,0.0
1592041877185160214,1108,1592041877132781028,,0.0
1592041877241947055,1109,1592041877184827089,,0.0
1592041877294310672,1110,1592041877242129087,,0.0
1592041877346730354,1111,1592041877294002056,,0.0
1592041877402712755,1112,1592041877346528053,,0.0
1592041877454672345,1113,1592041877402812004,,0.0
1592041877556773450,1114,1592041877454490900,,0.0
1592041877609342409,1115,1592041877556633949,,0.0
1592041877661093363,1116,1592041877609146118,,0.0
1592041877714554907,1117,1592041877660911083,,0.0
1592041877767915068,1118,1592041877714787960,,0.0
1592041877823311787,1119,1592041877767558097,,0.0
1592041877876134173,1120,1592041877823029994,,0.0
1592041877928725708,1121,1592041877875766038,,0.0
1592041878030955472,1122,1592041877928435087,,0.0
1592041878083703737,1123,1592041878031018018,,0.0
1592041878135629043,1124,1592041878083703041,,0.0
1592041878188029209,1125,1592041878135720968,,0.0
1592041878289445672,1126,1592041878187705993,,0.0
1592041878341088603,1127,1592041878289446115,,0.0
1592041878393927342,1128,1592041878341180086,,0.0
1592041878451731562,1129,1592041878393624067,,0.0
1592041878503924072,1130,1592041878451545953,,0.0
1592041878556954803,1131,1592041878504004001,,0.0
1592041878609728071,1132,1592041878556994915,,0.0
1592041878661920735,1133,1592041878609435081,,0.0
1592041878714811050,1134,1592041878661999940,,0.0
1592041878816942590,1135,1592041878714468955,,0.0
1592041878872566079,1136,1592041878816564083,,0.0
1592041878925040841,1137,1592041878872268915,,0.0
1592041878977655931,1138,1592041878924665927,,0.0
1592041879029704850,1139,1592041878977289915,,0.0
1592041879083367656,1140,1592041879029833078,,0.0
1592041879135931265,1141,1592041879083565950,,0.0
1592041879188376991,1142,1592041879135324001,,0.0
1592041879240677526,1143,1592041879187864065,,0.0
1592041879294349162,1144,1592041879240362882,,0.0
1592041879347210721,1145,1592041879294054031,,0.0
1592041879399985740,1146,1592041879347162008,,0.0
1592041879451418703,1147,1592041879399693965,,0.0
1592041879502944682,1148,1592041879451164960,,0.0
1592041879554354653,1149,1592041879502674102,,0.0
1592041879656876090,1150,1592041879554059982,,0.0
1592041879708987397,1151,1592041879656537055,,0.0
1592041879761884328,1152,1592041879709091901,,0.0
1592041879819679918,1153,1592041879761537075,,0.0
1592041879921766849,1154,1592041879819250106,,0.0
1592041879974682026,1155,1592041879921873092,,0.0
1592041880026899402,1156,1592041879974337100,,0.0
1592041880086731065,1157,1592041880026973962,,0.0
1592041880139173681,1158,1592041880086819887,,0.0
1592041880192139978,1159,1592041880139328956,,0.0
1592041880244239474,1160,1592041880191775083,,0.0
1592041880295774475,1161,1592041880244313001,,0.0
1592041880348639533,1162,1592041880295789003,,0.0
1592041880404540025,1163,1592041880348280906,,0.0
1592041880456194894,1164,1592041880403345108,,0.0
1592041880509204032,1165,1592041880456130027,,0.0
1592041880562595511,1166,1592041880509305953,,0.0
1592041880614641011,1167,1592041880562273979,,0.0
1592041880667083640,1168,1592041880614725112,,0.0
1592041880719765438,1169,1592041880667149066,,0.0
1592041880772873302,1170,1592041880719990968,,0.0
1592041880875836797,1171,1592041880773056983,,0.0
1592041880932474360,1172,1592041880875432968,,0.0
1592041880983932246,1173,1592041880932410001,,0.0
1592041881087000276,1174,1592041880983978033,,0.0
1592041881139778806,1175,1592041881087136030,,0.0
1592041881192349438,1176,1592041881139564990,,0.0
1592041881244349793,1177,1592041881192049026,,0.0
1592041881296051034,1178,1592041881244528055,,0.0
1592041881348302856,1179,1592041881296113014,,0.0
1592041881399902686,1180,1592041881348001956,,0.0
1592041881451859077,1181,1592041881399580955,,0.0
1592041881503599522,1182,1592041881451914072,,0.0
1592041881555278641,1183,1592041881503671884,,0.0
1592041881608055649,1184,1592041881555293083,,0.0
1592041881660645064,1185,1592041881607752084,,0.0
1592041881712312061,1186,1592041881660290002,,0.0
1592041881765079769,1187,1592041881712357044,,0.0
1592041881817695200,1188,1592041881764781951,,0.0
1592041881870318628,1189,1592041881817656993,,0.0
1592041881923327345,1190,1592041881870136022,,0.0
1592041881975843767,1191,1592041881922955036,,0.0
1592041882028016990,1192,1592041881975441932,,0.0
1592041882079655671,1193,1592041882028045892,,0.0
1592041882132223221,1194,1592041882079730987,,0.0
1592041882235200260,1195,1592041882131856918,,0.0
1592041882287435433,1196,1592041882234901905,,0.0
1592041882347204494,1197,1592041882287518978,,0.0
1592041882398893765,1198,1592041882346750020,,0.0
1592041882450893520,1199,1592041882398612022,,0.0
1592041882503677493,1200,1592041882450982093,,0.0
1592041882556400092,1201,1592041882503772020,,0.0
1592041882608868819,1202,1592041882556277036,,0.0
1592041882661727560,1203,1592041882608558893,,0.0
1592041882764663257,1204,1592041882661801099,,0.0
1592041882818018531,1205,1592041882764825105,,0.0
1592041882870633386,1206,1592041882817671060,,0.0
1592041882923232459,1207,1592041882870347976,,0.0
1592041882975320234,1208,1592041882922894001,,0.0
1592041883028315284,1209,1592041882975392103,,0.0
1592041883080624112,1210,1592041883028007984,,0.0
1592041883132025560,1211,1592041883080351114,,0.0
1592041883184972755,1212,1592041883132159948,,0.0
1592041883236132009,1213,1592041883184590101,,0.0
1592041883288003725,1214,1592041883235940933,,0.0
1592041883339988960,1215,1592041883287734985,,0.0
1592041883392253882,1216,1592041883339682102,,0.0
1592041883445033859,1217,1592041883392394065,,0.0
1592041883497063451,1218,1592041883444644927,,0.0
1592041883549010884,1219,1592041883497092008,,0.0
1592041883600961511,1220,1592041883549047946,,0.0
1592041883653363437,1221,1592041883600642919,,0.0
1592041883705808206,1222,1592041883653016090,,0.0
1592041883808710501,1223,1592041883705915927,,0.0
1592041883860775285,1224,1592041883808377981,,0.0
1592041883913106309,1225,1592041883860860109,,0.0
1592041883965753883,1226,1592041883912777900,,0.0
1592041884019241180,1227,1592041883965369939,,0.0
1592041884070461121,1228,1592041884018946886,,0.0
1592041884123949924,1229,1592041884070481061,,0.0
1592041884175844557,1230,1592041884123856067,,0.0
1592041884278099539,1231,1592041884175666093,,0.0
1592041884330409095,1232,1592041884278217077,,0.0
1592041884383331365,1233,1592041884330454111,,0.0
1592041884434616787,1234,1592041884382565021,,0.0
1592041884485921200,1235,1592041884434360980,,0.0
1592041884537533655,1236,1592041884485975027,,0.0
1592041884589068746,1237,1592041884537528991,,0.0
1592041884690792552,1238,1592041884589109897,,0.0
1592041884743240002,1239,1592041884690855979,,0.0
1592041884795836553,1240,1592041884743263006,,0.0
1592041884848736526,1241,1592041884795514106,,0.0
1592041884902559621,1242,1592041884848876953,,0.0
1592041884954741663,1243,1592041884902314901,,0.0
1592041885014160676,1244,1592041884954261064,,0.0
1592041885066134368,1245,1592041885013593912,,0.0
1592041885119086901,1246,1592041885066226005,,0.0
1592041885171444931,1247,1592041885118784904,,0.0
1592041885223919466,1248,1592041885171080112,,0.0
1592041885275579146,1249,1592041885223551988,,0.0
1592041885327464602,1250,1592041885275609016,,0.0
1592041885379848340,1251,1592041885327521085,,0.0
1592041885431602295,1252,1592041885379904031,,0.0
1592041885484929203,1253,1592041885431668043,,0.0
1592041885605729589,1254,1592041885492965936,,0.0
