%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z
1592043165402504075,1,1592043165350843906,,-1.2716023922,-0.57467186451,-0.866510093212
1592043165454472058,2,1592043165402873039,,-1.2715947628,-0.574673771858,-0.866517305374
1592043165556691626,3,1592043165454941034,,-1.27159941196,-0.574670791626,-0.866513669491
1592043165608534874,4,1592043165556921958,,-1.27159881592,-0.57467764616,-0.866512477398
1592043165660947674,5,1592043165609399080,,-1.27159655094,-0.574678480625,-0.866516470909
1592043165763391815,6,1592043165661557912,,-1.27159619331,-0.574676394463,-0.866513490677
1592043165815572090,7,1592043165764035940,,-1.27159535885,-0.574674546719,-0.866518378258
1592043165867379522,8,1592043165815984010,,-1.27160191536,-0.574667215347,-0.866511523724
1592043165918189332,9,1592043165867177963,,-1.27159368992,-0.574684262276,-0.866516053677
1592043165970257676,10,1592043165918498992,,-1.27160155773,-0.574678421021,-0.866511523724
1592043166021747041,11,1592043165970560073,,-1.27160048485,-0.574676454067,-0.866510331631
1592043166072959460,12,1592043166021995067,,-1.27159225941,-0.574676811695,-0.866519033909
1592043166124927989,13,1592043166073357105,,-1.27159321308,-0.574673712254,-0.866519749165
1592043166177015992,14,1592043166125365018,,-1.27160573006,-0.574675858021,-0.866509616375
1592043166279561975,15,1592043166177411079,,-1.27159750462,-0.574680328369,-0.866513490677
1592043166331011478,16,1592043166279989004,,-1.27160763741,-0.574669718742,-0.866507947445
1592043166383247710,17,1592043166331506967,,-1.27160286903,-0.574683070183,-0.866509854794
1592043166434894194,18,1592043166383454084,,-1.27160847187,-0.574667692184,-0.866503000259
1592043166486229929,19,1592043166435117006,,-1.27159202099,-0.574678599834,-0.86651968956
1592043166538175618,20,1592043166486483097,,-1.27159559727,-0.574682533741,-0.866512775421
1592043166590109147,21,1592043166538573980,,-1.27159774303,-0.574671089649,-0.866515636444
1592043166642216160,22,1592043166590491056,,-1.27160835266,-0.574678719044,-0.86650288105
1592043166694424280,23,1592043166643174886,,-1.27160346508,-0.574675619602,-0.866509079933
