%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1592043165403083526,1093,1592043165350843906,,7.82499980927
1592043165455091716,1094,1592043165402873039,,7.82499980927
1592043165557019382,1095,1592043165454941034,,7.82499980927
1592043165609320413,1096,1592043165556921958,,7.82499980927
1592043165661435639,1097,1592043165609399080,,7.82499980927
1592043165763822218,1098,1592043165661557912,,7.82499980927
1592043165816044903,1099,1592043165764035940,,7.82499980927
1592043165867477311,1100,1592043165815984010,,7.82499980927
1592043165918562393,1101,1592043165867177963,,7.82499980927
1592043165971032782,1102,1592043165918498992,,7.82499980927
1592043166022116315,1103,1592043165970560073,,7.82499980927
1592043166073414152,1104,1592043166021995067,,7.82499980927
1592043166125517502,1105,1592043166073357105,,7.82499980927
1592043166177667328,1106,1592043166125365018,,7.82499980927
1592043166280530509,1107,1592043166177411079,,7.82499980927
1592043166331423427,1108,1592043166279989004,,7.82499980927
1592043166383627485,1109,1592043166331506967,,7.82499980927
1592043166435318148,1110,1592043166383454084,,7.82499980927
1592043166486558718,1111,1592043166435117006,,7.82499980927
1592043166538775618,1112,1592043166486483097,,7.82499980927
1592043166591013576,1113,1592043166538573980,,7.82499980927
1592043166643000463,1114,1592043166590491056,,7.82499980927
1592043166694846917,1115,1592043166643174886,,7.82499980927
1592043166747205129,1116,1592043166694673061,,7.82499980927
1592043166799740798,1117,1592043166746973037,,7.82499980927
1592043166851646220,1118,1592043166798991918,,7.82499980927
1592043166906050120,1119,1592043166851835012,,7.82499980927
1592043166958055579,1120,1592043166905857086,,7.82630634308
1592043167009400593,1121,1592043166957843065,,7.82499980927
1592043167061409589,1122,1592043167008975028,,7.82499980927
1592043167113193148,1123,1592043167060877084,,7.82499980927
1592043167164560382,1124,1592043167112915039,,7.82499980927
1592043167215594049,1125,1592043167164130926,,7.82499980927
1592043167316819116,1126,1592043167215399026,,7.82499980927
1592043167368846493,1127,1592043167316540002,,7.82499980927
1592043167421331564,1128,1592043167368607997,,7.82499980927
1592043167473556665,1129,1592043167421133995,,7.82499980927
1592043167525199621,1130,1592043167473088026,,7.82376241684
1592043167627095732,1131,1592043167525068044,,7.82499980927
1592043167679145982,1132,1592043167626996994,,7.82499980927
1592043167730770373,1133,1592043167679052114,,7.82499980927
1592043167782672953,1134,1592043167730304956,,7.82499980927
1592043167834573106,1135,1592043167782354116,,7.82499980927
1592043167938314492,1136,1592043167835107088,,7.82499980927
1592043167990122221,1137,1592043167937743902,,7.82499980927
1592043168042291712,1138,1592043167989896059,,7.82499980927
1592043168094156213,1139,1592043168041944026,,7.82499980927
1592043168146191729,1140,1592043168094007968,,7.82499980927
1592043168198241971,1141,1592043168146003961,,7.82499980927
1592043168250675176,1142,1592043168198414087,,7.82499980927
1592043168352756011,1143,1592043168250457048,,7.82499980927
1592043168404919934,1144,1592043168352303028,,7.82499980927
1592043168456794157,1145,1592043168404320955,,7.82499980927
1592043168508497203,1146,1592043168456264019,,7.82499980927
1592043168610373070,1147,1592043168508358001,,7.82499980927
1592043168662510350,1148,1592043168610124111,,7.82499980927
1592043168714708267,1149,1592043168662472009,,7.82499980927
1592043168767074073,1150,1592043168714546918,,7.82499980927
1592043168819865467,1151,1592043168767405033,,7.82499980927
1592043168871286197,1152,1592043168819339036,,7.82499980927
1592043168923396826,1153,1592043168871053934,,7.82499980927
1592043168975512001,1154,1592043168923270940,,7.82499980927
1592043169026967056,1155,1592043168975338935,,7.82499980927
1592043169128996446,1156,1592043169026757001,,7.82499980927
1592043169181452295,1157,1592043169129806995,,7.82499980927
1592043169232700789,1158,1592043169181212902,,7.82499980927
1592043169284358528,1159,1592043169232455968,,7.82499980927
1592043169336466934,1160,1592043169284198999,,7.82499980927
1592043169388141989,1161,1592043169335987091,,7.82499980927
1592043169440532273,1162,1592043169387919902,,7.82499980927
1592043169493118731,1163,1592043169440840959,,7.82499980927
1592043169544724026,1164,1592043169492995023,,7.82499980927
1592043169596313943,1165,1592043169544482946,,7.82499980927
1592043169647520118,1166,1592043169596127033,,7.82499980927
1592043169699803982,1167,1592043169647283077,,7.82499980927
1592043169752743492,1168,1592043169700138092,,7.82499980927
1592043169805626704,1169,1592043169753072977,,7.82499980927
1592043169909474088,1170,1592043169805949926,,7.82499980927
1592043169961434675,1171,1592043169909526109,,7.82499980927
1592043170012681854,1172,1592043169961071968,,7.82499980927
1592043170064462359,1173,1592043170012291908,,7.82499980927
1592043170116993544,1174,1592043170064342021,,7.82499980927
1592043170170995053,1175,1592043170117310047,,7.82499980927
1592043170223164919,1176,1592043170170768022,,7.82499980927
1592043170279168066,1177,1592043170222774028,,7.82499980927
1592043170330581521,1178,1592043170278275966,,7.82499980927
1592043170382955013,1179,1592043170330518007,,7.82499980927
1592043170434989115,1180,1592043170382493972,,7.82499980927
1592043170487060721,1181,1592043170434919118,,7.82499980927
1592043170539338501,1182,1592043170487184047,,7.82499980927
1592043170590802536,1183,1592043170539283990,,7.82499980927
1592043170642916556,1184,1592043170590523004,,7.82499980927
1592043170695105079,1185,1592043170642703056,,7.82499980927
1592043170746842639,1186,1592043170694685935,,7.82499980927
1592043170799848917,1187,1592043170746639966,,7.82499980927
1592043170851248425,1188,1592043170799743890,,7.82499980927
1592043170903000526,1189,1592043170851003885,,7.82499980927
1592043170955036480,1190,1592043170902728080,,7.82499980927
1592043171007017923,1191,1592043170954790115,,7.82499980927
1592043171109123502,1192,1592043171006902933,,7.82499980927
1592043171160764981,1193,1592043171108639955,,7.82499980927
1592043171212952195,1194,1592043171160324096,,7.82499980927
1592043171265466213,1195,1592043171213032960,,7.82499980927
1592043171367271884,1196,1592043171264873027,,7.82499980927
1592043171419315791,1197,1592043171366826057,,7.82499980927
1592043171522063765,1198,1592043171419610977,,7.82499980927
1592043171574259392,1199,1592043171521589994,,7.82499980927
1592043171625827255,1200,1592043171573723077,,7.82499980927
1592043171677909328,1201,1592043171625648975,,7.82499980927
1592043171731722983,1202,1592043171677891016,,7.82499980927
1592043171783370568,1203,1592043171731862068,,7.82499980927
1592043171835171633,1204,1592043171783279895,,7.82499980927
1592043171887269860,1205,1592043171835364103,,7.82499980927
1592043171939375874,1206,1592043171887017965,,7.82499980927
1592043171991172452,1207,1592043171939099073,,7.82499980927
1592043172043174934,1208,1592043171991087913,,7.82499980927
1592043172095006964,1209,1592043172043014049,,7.82499980927
1592043172148016855,1210,1592043172094940900,,7.82499980927
1592043172199222989,1211,1592043172147020101,,7.82499980927
1592043172250503320,1212,1592043172199013948,,7.82630634308
1592043172302947502,1213,1592043172250324964,,7.82499980927
1592043172354307761,1214,1592043172302139043,,7.82499980927
1592043172406506522,1215,1592043172354120969,,7.82499980927
1592043172459058108,1216,1592043172406316995,,7.82499980927
1592043172561614989,1217,1592043172459058046,,7.82499980927
1592043172614833940,1218,1592043172561845064,,7.82499980927
1592043172667043061,1219,1592043172615031957,,7.82499980927
1592043172718880762,1220,1592043172666845083,,7.82499980927
1592043172769841029,1221,1592043172718313932,,7.82499980927
1592043172821875773,1222,1592043172769550085,,7.82376241684
1592043172873962539,1223,1592043172821661949,,7.82499980927
1592043172975229842,1224,1592043172873699903,,7.82499980927
1592043173026923532,1225,1592043172975063085,,7.82499980927
1592043173078237769,1226,1592043173026750087,,7.82499980927
1592043173130603279,1227,1592043173078219890,,7.82499980927
1592043173232751690,1228,1592043173130513906,,7.82499980927
1592043173284499290,1229,1592043173232393980,,7.82499980927
1592043173336737496,1230,1592043173284454107,,7.82499980927
1592043173388756515,1231,1592043173336487054,,7.82499980927
1592043173440865132,1232,1592043173388689994,,7.82499980927
1592043173492656588,1233,1592043173440608978,,7.82499980927
1592043173545025620,1234,1592043173492438077,,7.82499980927
1592043173595784837,1235,1592043173544413089,,7.82499980927
1592043173647995599,1236,1592043173595643997,,7.82499980927
1592043173749495892,1237,1592043173647563934,,7.82499980927
1592043173801427607,1238,1592043173749234914,,7.82499980927
1592043173853072240,1239,1592043173801359891,,7.82499980927
1592043173904126503,1240,1592043173852710962,,7.82499980927
1592043173956797537,1241,1592043173903965950,,7.82623767853
1592043174008436546,1242,1592043173956015110,,7.82499980927
1592043174060102600,1243,1592043174007891893,,7.82499980927
1592043174112654919,1244,1592043174059856891,,7.82499980927
1592043174165345093,1245,1592043174112852096,,7.82499980927
1592043174216262151,1246,1592043174164743900,,7.82499980927
1592043174317505786,1247,1592043174215879917,,7.82499980927
1592043174369186673,1248,1592043174317462921,,7.82499980927
1592043174421033644,1249,1592043174368973970,,7.82499980927
1592043174473336518,1250,1592043174421257019,,7.82499980927
1592043174525162779,1251,1592043174473572969,,7.82376241684
1592043174576670080,1252,1592043174524930953,,7.82499980927
1592043174628445217,1253,1592043174576406002,,7.82499980927
1592043174679799649,1254,1592043174627875089,,7.82499980927
1592043174732312067,1255,1592043174680041074,,7.82499980927
1592043174784570269,1256,1592043174732105970,,7.82499980927
1592043174841235714,1257,1592043174784095048,,7.82499980927
1592043174887242908,1258,1592043174835859060,,7.82499980927
1592043174938553131,1259,1592043174887084960,,7.82499980927
1592043174989732515,1260,1592043174938246965,,7.82499980927
1592043175091070113,1261,1592043174989429950,,7.82499980927
1592043175142955218,1262,1592043175090652942,,7.82499980927
1592043175495171689,1263,1592043175143090009,,7.82499980927
1592043175547054743,1264,1592043175494977951,,7.82582521439
1592043175599488222,1265,1592043175546916961,,7.82582521439
1592043175652375457,1266,1592043175599700927,,7.83214998245
1592043175704734709,1267,1592043175652584075,,7.85827493668
1592043175756965944,1268,1592043175704550981,,7.89306259155
1592043175808899956,1269,1592043175756445884,,7.93252515793
1592043175859789118,1270,1592043175808346033,,7.97116231918
1592043175912383122,1271,1592043175859674930,,8.00828742981
1592043175964196423,1272,1592043175911746025,,8.07201862335
1592043176015546892,1273,1592043175963721036,,8.11656856537
1592043176069231787,1274,1592043176015079975,,8.64999961853
1592043176118120264,1275,1592043176066696882,,8.64999961853
1592043176220680146,1276,1592043176118083000,,8.64999961853
1592043176272672301,1277,1592043176220810890,,8.64999961853
1592043176324211543,1278,1592043176272401094,,8.64999961853
