%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573009183284394446,12179,1573009183230581998,,80.0
1573009183338522284,12180,1573009183283853054,,80.0
1573009183392718018,12181,1573009183337846040,,80.0
1573009183496129951,12182,1573009183391400098,,80.0
1573009183550357253,12183,1573009183495395898,,80.0
1573009183605393878,12184,1573009183549587011,,80.0
1573009183709904720,12185,1573009183603862047,,80.0
1573009183764374820,12186,1573009183709027051,,80.0
1573009183817662235,12187,1573009183763686895,,80.0
1573009183871233314,12188,1573009183816739082,,80.0
1573009183924074948,12189,1573009183870373010,,80.0
1573009183977221643,12190,1573009183923760890,,80.0
1573009184031000123,12191,1573009183976121902,,80.0
1573009184083600023,12192,1573009184030347108,,80.0
1573009184135637817,12193,1573009184082834959,,80.0
1573009184240299249,12194,1573009184135435104,,80.0
1573009184295514843,12195,1573009184240092992,,80.0
1573009184348513312,12196,1573009184293823957,,80.0
1573009184402521690,12197,1573009184347642898,,80.0
1573009184506289279,12198,1573009184401432037,,80.0
1573009184560861265,12199,1573009184505413055,,80.0
1573009184614256463,12200,1573009184559815883,,80.0
1573009184667607775,12201,1573009184613461017,,80.0
1573009184724116439,12202,1573009184667130947,,80.0
1573009184779291831,12203,1573009184723568916,,80.0
1573009184832620600,12204,1573009184778980016,,80.0
1573009184935315614,12205,1573009184831980943,,80.0
1573009184988792825,12206,1573009184934881925,,80.0
1573009185039532678,12207,1573009184988115072,,80.0
1573009185093958116,12208,1573009185039268970,,80.0
1573009185150062692,12209,1573009185093206882,,80.0
1573009185202571807,12210,1573009185148264884,,80.0
1573009185256893500,12211,1573009185202070951,,80.0
1573009185310217884,12212,1573009185255996942,,80.0
1573009185364349403,12213,1573009185309854984,,80.0
1573009185418331524,12214,1573009185363635063,,80.0
1573009185522140308,12215,1573009185417570114,,80.0
1573009185575633633,12216,1573009185521115064,,80.0
1573009185628393742,12217,1573009185575371980,,80.0
1573009185682341556,12218,1573009185627912998,,80.0
1573009185736577200,12219,1573009185681451082,,80.0
1573009185791168244,12220,1573009185735713958,,80.0
1573009185845817209,12221,1573009185790663003,,80.0
1573009185899393958,12222,1573009185844732999,,80.0
1573009185953811639,12223,1573009185898617029,,80.0
1573009186009381597,12224,1573009185952538013,,80.0
1573009186061410839,12225,1573009186007673978,,80.0
1573009186115706836,12226,1573009186060966968,,80.0
1573009186169107008,12227,1573009186114387035,,80.0
1573009186273367265,12228,1573009186168365955,,80.0
1573009186326307760,12229,1573009186272313117,,80.0
1573009186381355100,12230,1573009186326307058,,80.0
1573009186434177246,12231,1573009186380604028,,80.0
1573009186486279999,12232,1573009186433295011,,80.0
1573009186541033609,12233,1573009186485364913,,80.0
1573009186592760673,12234,1573009186539438962,,80.0
1573009186646737210,12235,1573009186592199087,,80.0
1573009186700256195,12236,1573009186646022081,,80.0
1573009186805669136,12237,1573009186699625015,,80.0
1573009186859390326,12238,1573009186804708957,,80.0
1573009186911997909,12239,1573009186858755111,,80.0
1573009186966141694,12240,1573009186911652088,,80.0
1573009187068756425,12241,1573009186965363025,,80.0
1573009187122744542,12242,1573009187068238973,,80.0
1573009187177167560,12243,1573009187122087001,,80.0
1573009187280872743,12244,1573009187176372051,,80.0
1573009187333691148,12245,1573009187280498027,,80.0
1573009187387893766,12246,1573009187333234071,,80.0
1573009187441651739,12247,1573009187386902093,,80.0
1573009187492573777,12248,1573009187441021919,,80.0
1573009187543998649,12249,1573009187492417097,,80.0
1573009187598988209,12250,1573009187543490886,,80.0
1573009187653168047,12251,1573009187598438024,,80.0
1573009187709111677,12252,1573009187652458906,,80.0
1573009187813224092,12253,1573009187707457065,,80.0
1573009187866640213,12254,1573009187812202930,,80.0
1573009187921090833,12255,1573009187865835905,,80.0
1573009187972499794,12256,1573009187919434070,,80.0
1573009188026878513,12257,1573009187971605062,,80.0
1573009188080316545,12258,1573009188025091886,,80.0
1573009188133492705,12259,1573009188078691959,,80.0
1573009188187112541,12260,1573009188132760047,,80.0
1573009188241569578,12261,1573009188186521053,,80.0
1573009188345423046,12262,1573009188240963935,,80.0
1573009188398125377,12263,1573009188344772100,,80.0
1573009188452575380,12264,1573009188397834062,,80.0
1573009188506059282,12265,1573009188451311111,,80.0
1573009188560662781,12266,1573009188505253076,,80.0
1573009188614503222,12267,1573009188559942007,,80.0
1573009188668543032,12268,1573009188614044904,,80.0
1573009188722505055,12269,1573009188667922019,,80.0
1573009188828250638,12270,1573009188721621990,,80.0
1573009188883038188,12271,1573009188827392101,,80.0
1573009188937289080,12272,1573009188882627010,,80.0
1573009188990995279,12273,1573009188936558008,,80.0
1573009189047002287,12274,1573009188990353107,,80.0
1573009189101115387,12275,1573009189046747922,,80.0
1573009189156144469,12276,1573009189100529909,,80.0
1573009189209930482,12277,1573009189154246091,,80.0
1573009189314990349,12278,1573009189208489894,,80.0
1573009189367351878,12279,1573009189314063072,,80.0
1573009189422100376,12280,1573009189366878032,,80.0
1573009189474856494,12281,1573009189420507907,,80.0
1573009189529223560,12282,1573009189474318027,,80.0
1573009189582562560,12283,1573009189528153896,,80.0
1573009189636556769,12284,1573009189582159042,,80.0
1573009189689860291,12285,1573009189635858058,,80.0
1573009189792945147,12286,1573009189689455986,,80.0
1573009189846400587,12287,1573009189792432069,,80.0
1573009189900716140,12288,1573009189846000909,,80.0
1573009189954841978,12289,1573009189900367021,,80.0
1573009190008028109,12290,1573009189954344034,,80.0
1573009190110263937,12291,1573009190007018089,,80.0
1573009190164445359,12292,1573009190109869003,,80.0
1573009190218428006,12293,1573009190163680076,,80.0
1573009190271961917,12294,1573009190217674970,,80.0
1573009190325802094,12295,1573009190271894931,,80.0
1573009190380045967,12296,1573009190325124979,,80.0
1573009190433572945,12297,1573009190379228115,,80.0
1573009190488977109,12298,1573009190432970046,,80.0
1573009190541650299,12299,1573009190487297058,,80.0
1573009190596855624,12300,1573009190541445970,,80.0
1573009190649330060,12301,1573009190595952987,,80.0
1573009191003125572,12302,1573009190648706912,,80.0
1573009191057653074,12303,1573009191002518892,,80.0
