%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573009269312987364,1840,1573009269209444999,,-2.07358534681e-05,-2.16897933569e-05,-3.39960097335e-05
1573009269366799219,1841,1573009269313194036,,5.85095403949e-05,-4.74364424008e-05,-8.19757769932e-05
1573009269420977138,1842,1573009269367532968,,2.36093310377e-05,-4.65555203846e-05,-3.86888314097e-05
1573009269524937907,1843,1573009269421505928,,7.07048020558e-05,1.99109545065e-05,8.62027009134e-05
1573009269579680982,1844,1573009269525716066,,-5.12575425091e-05,2.24863142648e-05,-5.24444076291e-05
1573009269633142555,1845,1573009269579561948,,-3.26702115672e-06,3.80109195248e-05,1.53336368385e-05
1573009269687241126,1846,1573009269633382081,,1.59778956004e-05,2.88258070213e-05,9.23993720789e-05
1573009269740852974,1847,1573009269687927961,,5.6636190493e-06,-5.11479047418e-05,-6.4811501943e-05
1573009269794417110,1848,1573009269742012023,,-4.63532478534e-06,-3.29189356307e-06,-9.16272438189e-06
1573009269846560503,1849,1573009269794648885,,8.03057555459e-05,6.23968153377e-05,7.1084308729e-05
1573009269900305411,1850,1573009269846698999,,-8.52709199535e-05,-6.53910174151e-05,-7.29806197342e-05
1573009269954270209,1851,1573009269900892972,,3.0702452932e-05,2.19498342631e-05,5.10173740622e-05
1573009270058272153,1852,1573009269954899072,,6.03527632848e-06,-2.34922335949e-05,-1.90347673197e-05
1573009270112228931,1853,1573009270058660030,,2.00754438993e-05,-6.67449785396e-05,-0.00013036589371
1573009270164827058,1854,1573009270112433910,,-0.000766199256759,3.46846645698e-05,7.08209408913e-05
1573009270218678882,1855,1573009270165101051,,-2.20896731662e-06,0.000151477172039,0.000193337749806
1573009270272260800,1856,1573009270218988895,,6.39140198473e-05,-9.28146473598e-05,-6.56775882817e-05
1573009270326492833,1857,1573009270272958040,,-6.97190444043e-06,9.96994003799e-06,2.57752162725e-05
1573009270379811868,1858,1573009270326726913,,2.54193728324e-05,7.487268158e-05,0.000129230335006
1573009270433798871,1859,1573009270380418062,,-4.84409474666e-06,-6.55680414638e-05,-0.000124542202684
1573009270537967104,1860,1573009270434334039,,2.87227635454e-06,-2.50483553828e-05,3.27744382957e-05
1573009270591445554,1861,1573009270538155078,,0.000145492696902,0.000134724454256,0.000163626173162
1573009270645178032,1862,1573009270591924905,,1.47352429849e-05,2.31389258261e-05,3.94378257624e-05
1573009270698984242,1863,1573009270645636081,,-6.78007781971e-05,-2.24362993322e-05,-6.18004487478e-05
1573009270753224006,1864,1573009270699753046,,-0.000133569395985,-9.9423872598e-05,-0.000172772110091
1573009270808779831,1865,1573009270754046916,,4.21046979682e-06,2.78340820614e-07,2.74098638329e-05
1573009270861113428,1866,1573009270807841062,,-4.79293630633e-05,4.51895102742e-05,6.14722812315e-05
1573009270914395820,1867,1573009270861855030,,0.000137457478559,4.13958296122e-05,0.00011667990475
1573009270967980754,1868,1573009270914676904,,-1.82853236765e-05,-5.92724209127e-05,-8.98085490917e-05
1573009271071975363,1869,1573009270968647956,,-0.00132347189356,-2.6677882488e-05,8.33914309624e-05
1573009271126032017,1870,1573009271072401046,,-7.9217919847e-05,4.34680368926e-05,0.000141819400596
1573009271181011876,1871,1573009271126504898,,-2.79164814856e-05,2.03749124239e-07,8.1056750787e-06
1573009271234090664,1872,1573009271181462049,,8.09558787296e-06,-3.25013643305e-05,-9.87834282569e-05
1573009271338085830,1873,1573009271234412908,,3.24860338878e-05,2.96269372484e-05,4.72538995382e-05
1573009271391745268,1874,1573009271337639093,,0.000130931250169,9.77240688371e-06,7.89743498899e-05
1573009271446079125,1875,1573009271392644882,,-1.79288435902e-05,1.66292538779e-05,4.16994189436e-05
1573009271500317816,1876,1573009271446968078,,-2.99589319184e-05,3.87580075767e-05,1.68881979334e-05
1573009271553622728,1877,1573009271500622034,,1.19977003123e-05,-8.52210068842e-05,-8.57119302964e-05
1573009271608443680,1878,1573009271554372072,,-1.03710353869e-05,-2.32448364841e-05,-3.63831713912e-05
1573009271662070284,1879,1573009271608622074,,-2.85345231532e-05,2.38398497459e-05,-7.74088948674e-06
1573009271715816246,1880,1573009271662571907,,4.80426897411e-05,-5.39889515494e-05,-8.85024710442e-05
1573009271819895443,1881,1573009271716317892,,0.000567951821722,3.60504163837e-05,-8.1624248196e-06
1573009271873716868,1882,1573009271820501089,,-1.62727724273e-06,1.49374027387e-05,1.64987395692e-05
1573009271927809781,1883,1573009271874155044,,-1.41527279993e-05,5.70430211155e-06,6.7584937824e-06
1573009271980941745,1884,1573009271928450107,,5.71473028685e-05,2.7370866519e-05,2.05115998142e-06
1573009272034088639,1885,1573009271981313943,,2.73772147921e-05,-1.09492623324e-06,-6.21630897513e-05
1573009272088487566,1886,1573009272035305976,,-4.11983346567e-05,1.33691846713e-05,-1.3241004126e-05
1573009272142205189,1887,1573009272088871955,,-2.3751939807e-05,3.6030960473e-05,1.42210964782e-07
1573009272196216810,1888,1573009272142343997,,2.89538711513e-05,5.60712469451e-05,3.21847219311e-05
1573009272301867145,1889,1573009272196738004,,-7.78008907218e-05,-4.04483289458e-05,-4.32387096225e-05
1573009272355919191,1890,1573009272302114963,,-0.00314904120751,-7.84461008152e-05,0.000153387212777
1573009272409491955,1891,1573009272356209039,,2.6667919883e-05,-2.68002149824e-05,-2.79830765066e-05
1573009272463910840,1892,1573009272410348892,,-0.00267140846699,-8.71911179274e-05,0.000130703730974
1573009272517642506,1893,1573009272464375019,,-2.70213586191e-05,2.76180139736e-06,6.15350436419e-05
1573009272571875117,1894,1573009272517891883,,-4.46516678494e-05,-3.79414223062e-06,-1.3755044165e-05
1573009272625359506,1895,1573009272572150945,,-4.93062452733e-06,4.45568293799e-05,1.6889298422e-05
1573009272679502025,1896,1573009272626173973,,1.06835195766e-05,-2.83109002339e-05,-0.000105595245259
1573009272733311571,1897,1573009272680035114,,-0.000497658620588,-4.11544751842e-05,4.54267101304e-05
1573009272836592044,1898,1573009272733505964,,6.44144747639e-05,-3.40863116435e-05,-4.98091594636e-06
1573009272890268776,1899,1573009272836888074,,-1.69590857695e-05,8.16447354737e-05,8.00094276201e-05
1573009272941902294,1900,1573009272890686035,,9.99388721539e-05,3.87911768485e-07,-6.35367396171e-05
1573009272995459348,1901,1573009272942039012,,5.22245682077e-05,-6.27878616797e-05,-5.33869169885e-05
1573009273098876106,1902,1573009272995492935,,-3.71610985894e-05,-1.01387222458e-05,-2.10382004298e-05
1573009273152975857,1903,1573009273099490880,,5.80818559683e-05,-2.32857019e-06,4.06114995712e-05
1573009273205928066,1904,1573009273152535915,,-0.000337931764079,1.06938605313e-05,5.26898293174e-06
1573009273260845071,1905,1573009273206311941,,-4.83001749672e-05,-3.96667674067e-05,-2.59760126937e-05
1573009273366539509,1906,1573009273261997938,,4.47181491836e-06,1.54435674631e-05,8.45151498652e-06
1573009273420650847,1907,1573009273367247104,,6.62210368318e-05,-2.60299875663e-05,-3.11020335175e-06
1573009273474769432,1908,1573009273421305894,,3.40413062077e-05,-0.000134990972583,-7.59704125812e-05
1573009273529164303,1909,1573009273475630998,,-1.28561559904e-05,-9.30996611714e-06,1.57979920914e-05
1573009273582838325,1910,1573009273529419898,,-1.61461521202e-05,5.22480659129e-05,-3.5149910218e-06
1573009273637936253,1911,1573009273584453105,,-4.8576752306e-05,-2.84497491521e-05,-4.92356921313e-05
1573009273691634801,1912,1573009273638330936,,-9.86845770967e-05,-6.67233252898e-05,-0.000141603901284
1573009273745210930,1913,1573009273692310094,,3.58395845979e-05,-3.63272120012e-05,-3.46929373336e-05
1573009273801467506,1914,1573009273745976924,,0.000132433619001,4.26692167821e-05,8.79880171851e-05
1573009273854179598,1915,1573009273800803899,,5.50814074813e-05,0.000100667435618,0.000165259683854
1573009273906981954,1916,1573009273854701042,,-3.33323405357e-05,5.70324082219e-05,5.89943811065e-05
1573009273961423089,1917,1573009273907418966,,-2.19077483052e-05,8.32173609524e-05,6.41179140075e-05
1573009274014754842,1918,1573009273961705923,,-7.86359451013e-05,-8.44915484777e-05,-0.000120254779176
