%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573009554916892691,1242,1573009554862970113,,0.0,-0.0,9.99999974738e-06,-0.0
1573009554971504143,1243,1573009554917134046,,0.0,0.0,-9.99999974738e-06,-0.0
1573009555025245675,1244,1573009554971163988,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1573009555079409388,1245,1573009555024960994,,0.0,0.0,-0.0,-0.0
1573009555183677442,1246,1573009555079077005,,0.0,-9.99999974738e-06,-1.99999994948e-05,-0.0
1573009555237310082,1247,1573009555183022022,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1573009555292243759,1248,1573009555237524986,,0.0,-0.0,-0.0,-0.0
1573009555394297403,1249,1573009555291462898,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1573009555448745852,1250,1573009555394609928,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573009555503314487,1251,1573009555448023080,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573009555559148159,1252,1573009555503331899,,0.0,0.0,-1.99999994948e-05,0.0
1573009555612730054,1253,1573009555558130025,,0.0,-0.0,-0.0,0.0
1573009555665931527,1254,1573009555612072944,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573009555720442389,1255,1573009555665793895,,0.0,-0.0,9.99999974738e-06,0.0
1573009555774271773,1256,1573009555719660043,,0.0,-0.0,2.99999992421e-05,9.99999974738e-06
1573009555877671752,1257,1573009555773513078,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573009555931481069,1258,1573009555877504110,,0.0,0.0,-9.99999974738e-06,0.0
1573009555986458692,1259,1573009555931504011,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1573009556040528138,1260,1573009555985928058,,0.0,-0.0,0.0,0.0
1573009556094102602,1261,1573009556040064096,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573009556147352115,1262,1573009556094252109,,0.0,9.99999974738e-06,0.0,-0.0
1573009556200923983,1263,1573009556147090911,,0.0,-0.0,9.99999974738e-06,0.0
