%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582857738505884402,404,1582857738396699995,,211.651763916,187.771148682,1.19912743568,389.209259033,263.239196777
1582857738530176945,405,1582857738435199796,,212.315750122,185.306900024,1.20273411274,387.751586914,263.790527344
1582857738559166556,406,1582857738459083882,,216.876281738,206.144073486,1.37483823299,391.120849609,256.924804688
1582857738594947716,407,1582857738495882985,,222.599258423,207.331268311,1.07391011715,393.323638916,258.244110107
1582857738621015026,408,1582857738526537008,,221.464355469,206.886383057,1.03930389881,392.519866943,259.060852051
1582857738652234847,409,1582857738556164607,,211.265182495,195.22895813,1.20086729527,387.526092529,262.976623535
1582857738678343955,410,1582857738591745104,,212.054916382,193.973770142,1.22501659393,388.501953125,262.88092041
1582857738699208154,411,1582857738636489925,,215.705078125,200.871795654,0.67952978611,394.189971924,262.898010254
1582857738718111858,412,1582857738668746181,,196.219848633,168.432693481,1.1930205822,382.760650635,270.264648438
1582857738761492018,413,1582857738696753720,,183.742614746,137.032363892,-1.35963785648,386.543273926,272.194702148
1582857738802015587,414,1582857738727205633,,191.158081055,126.149604797,1.5655759573,392.51953125,268.934326172
1582857738833350035,415,1582857738770113212,,208.746032715,138.168060303,1.49331915379,389.268615723,265.012481689
1582857738850346025,416,1582857738799068014,,203.193130493,158.17376709,1.51590669155,382.757995605,260.545318604
1582857738888061756,417,1582857738839118886,,209.600784302,197.334716797,1.17900407314,390.525024414,262.282104492
1582857738922159599,418,1582857738872034836,,218.294250488,201.433425903,1.39584982395,391.413330078,256.777282715
1582857738942532347,419,1582857738898328223,,214.124023438,204.512176514,1.54494452477,391.511444092,258.893371582
1582857738969831664,420,1582857738939471895,,215.206939697,187.949737549,1.20369660854,387.289703369,262.691131592
1582857739008066071,421,1582857738971284989,,217.671676636,190.602554321,1.55858302116,391.093811035,259.731140137
1582857739044157850,422,1582857739002889749,,213.801193237,195.091323853,-1.41518032551,391.611572266,260.875427246
1582857739079411843,423,1582857739034748872,,212.437255859,184.215148926,1.20187735558,388.753814697,264.100830078
1582857739108342986,424,1582857739078859954,,207.406005859,172.924575806,1.35427308083,385.703308105,263.533905029
1582857739135619389,425,1582857739108515075,,203.739151001,184.403625488,1.22561097145,390.197937012,262.86895752
1582857739164714749,426,1582857739131589871,,208.353363037,185.959701538,1.15822684765,391.12020874,264.091674805
1582857739194632970,427,1582857739157907274,,210.546417236,158.310836792,1.36250627041,386.879943848,263.116851807
