%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582647055861305089,230,1582647055828484176,,220.621795654,216.770141602,0.743748724461,390.636749268,259.49041748
1582647055903934447,231,1582647055862038069,,208.194900513,190.216461182,0.827371418476,392.339874268,257.65447998
1582647055930706163,232,1582647055892884820,,160.579101562,157.675292969,0.854565799236,388.189880371,248.732971191
1582647055962495966,233,1582647055934614342,,161.049453735,145.021392822,0.0313940085471,384.275909424,252.397216797
1582647055985064927,234,1582647055964095455,,163.431564331,144.308639526,0.0506245605648,381.833343506,252.220672607
1582647056020186585,235,1582647055993570871,,179.008041382,140.29649353,-0.0114436028525,377.16305542,249.098571777
1582647056051098825,236,1582647056024581788,,186.015380859,147.315353394,-0.116824351251,378.161804199,249.791824341
1582647056096866437,237,1582647056051400787,,179.028289795,144.33984375,-0.229831874371,381.154632568,254.493942261
1582647056136343778,238,1582647056089121427,,170.780578613,145.490493774,-0.438150465488,379.871948242,258.246520996
1582647056153197269,239,1582647056118405055,,173.08442688,141.853179932,-0.354177117348,373.840789795,256.446838379
1582647056167310955,240,1582647056150471861,,173.398727417,139.905685425,-0.37620344758,373.281097412,255.569641113
1582647056203498556,241,1582647056186474751,,179.79624939,142.017303467,-0.175799265504,370.803070068,256.57723999
1582647056237210720,242,1582647056217921429,,185.75843811,147.838531494,-0.0100064286962,366.242340088,253.984542847
1582647056268513313,243,1582647056251991045,,186.100418091,145.999710083,-5.24642746313e-05,366.653930664,253.555358887
1582647056310218048,244,1582647056293380189,,184.028045654,150.665084839,0.0803829878569,368.520324707,254.453109741
1582647056343296832,245,1582647056326830645,,180.35319519,152.032226562,0.0854046493769,368.789367676,255.561630249
1582647056387546637,246,1582647056362870428,,180.873809814,150.664520264,-0.00209683994763,367.929870605,255.496444702
1582647056422524553,247,1582647056399103439,,178.295059204,149.325149536,-0.0236728396267,367.763977051,254.326416016
1582647056454011283,248,1582647056424330304,,180.501846313,148.590744019,-0.0124205835164,367.614471436,254.003265381
1582647056498579105,249,1582647056458032757,,183.32208252,149.188522339,-0.00849322043359,367.158721924,254.004882812
1582647056537794461,250,1582647056485562036,,179.55015564,148.394363403,-0.0161538030952,367.177825928,253.542449951
1582647056574540241,251,1582647056519253918,,182.963287354,148.286987305,-0.0512782335281,366.69317627,253.575256348
1582647056589715388,252,1582647056549312320,,183.283279419,148.334960938,-0.047122772783,366.366455078,253.703140259
1582647056606319912,253,1582647056587181897,,183.001083374,147.594192505,-0.0295854564756,366.756347656,253.765075684
1582647056659204499,254,1582647056619529738,,188.672271729,148.675231934,0.0775886699557,368.612518311,254.578536987
1582647056691299232,255,1582647056654355216,,182.970535278,147.975601196,-0.0146527122706,366.892211914,253.157546997
1582647056710011500,256,1582647056692415972,,179.347564697,146.536590576,0.0163317024708,367.308166504,253.084976196
1582647056755962183,257,1582647056724909993,,179.846282959,147.684020996,0.00522552151233,367.133911133,253.557769775
1582647056777026318,258,1582647056752378641,,181.038009644,146.907180786,-0.0391944088042,366.189971924,253.468597412
1582647056812854323,259,1582647056786835181,,181.139877319,149.173248291,-0.00796657986939,366.238739014,253.424819946
1582647056854773353,260,1582647056819646194,,183.965713501,149.032241821,0.044475056231,367.33001709,253.738708496
1582647056871328554,261,1582647056854634363,,186.342895508,149.011779785,0.155840724707,369.252563477,254.732406616
1582647056907730801,262,1582647056888434023,,182.146484375,149.280487061,0.475841909647,375.214935303,258.399871826
1582647056954856908,263,1582647056930459123,,159.903198242,144.563644409,0.451090872288,377.439849854,263.615203857
1582647056993264683,264,1582647056959532282,,160.239883423,144.577316284,-0.109623834491,373.999328613,264.25982666
1582647057043511848,265,1582647057000623468,,174.353805542,142.735397339,0.0180895216763,372.989624023,258.981842041
1582647057059335024,266,1582647057029920895,,172.106948853,143.350189209,0.0559606030583,373.133544922,261.228027344
1582647057105486174,267,1582647057077756389,,170.561187744,144.944213867,0.13675917685,373.576904297,260.877532959
1582647057122651098,268,1582647057098101679,,178.623092651,146.845962524,-0.145530164242,373.054534912,257.778015137
1582647057145804731,269,1582647057127101129,,172.492004395,145.295837402,-0.108761899173,376.507598877,252.966156006
1582647057176952780,270,1582647057156066698,,178.819732666,144.044494629,-0.159087255597,375.187927246,253.115600586
