%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582647925822565260,177,1582647925781602953,,166.515518188,159.018722534,-0.0537216849625,385.361968994,268.874755859
1582647925854417495,178,1582647925820984477,,180.450942993,157.273239136,-1.17969954014,383.44152832,274.320495605
1582647925869477008,179,1582647925852463394,,182.191986084,155.492660522,-1.19871711731,382.911193848,274.08694458
1582647925980389057,180,1582647925954484211,,183.034332275,161.823135376,-1.27291893959,381.200164795,273.853942871
1582647926006915641,181,1582647925985619627,,186.008056641,164.261367798,-1.34266006947,381.166687012,272.604034424
1582647926042597672,182,1582647926021092891,,184.263366699,156.332977295,-1.19256734848,383.517822266,274.500091553
1582647926073276099,183,1582647926050652911,,180.606719971,155.367843628,-1.11620259285,383.105712891,275.784210205
1582647926106531144,184,1582647926082268097,,181.175613403,156.332244873,-1.21813762188,382.97467041,275.717041016
1582647926168237952,185,1582647926150467823,,180.84513855,156.805847168,-1.28370451927,380.772460938,275.056884766
1582647926243745899,186,1582647926227797356,,179.331970215,152.717147827,-1.08324635029,382.758605957,277.299530029
1582647926322482764,187,1582647926295850326,,184.822509766,154.649108887,-1.06967520714,383.843994141,275.814971924
1582647926370667754,188,1582647926353192720,,178.425338745,157.869796753,-0.731890022755,384.336425781,274.352294922
1582647926408648798,189,1582647926388529665,,179.687469482,160.472305298,-0.941688358784,384.307312012,275.643157959
1582647926634093794,190,1582647926613313755,,0.0,0.0,0.0,0.0,0.0
1582647926740936001,191,1582647926713133153,,187.183105469,158.981262207,0.0528818555176,394.742156982,254.564849854
1582647926921888217,192,1582647926888522627,,180.780990601,153.461273193,1.33889806271,390.083862305,238.220031738
1582647927730210698,193,1582647927712107761,,198.430465698,153.953842163,1.16096377373,392.197387695,243.431488037
1582647928881515705,194,1582647928854806028,,181.253845215,163.269485474,1.50576508045,388.417663574,236.130813599
1582647928916204035,195,1582647928887681821,,180.929077148,164.001113892,1.43947350979,387.992034912,235.950408936
1582647929027272550,196,1582647928988327510,,180.535766602,161.069091797,1.47525787354,388.875396729,236.352386475
1582647929239341459,197,1582647929221278952,,186.521575928,166.124801636,-1.3311662674,385.942626953,238.908828735
1582647929570200070,198,1582647929554495642,,188.669128418,160.444335938,1.49091744423,389.230377197,239.347396851
