%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582650250060700216,199,1582650250019839773,,194.994262695,137.892684937,-0.0225042439997,402.363769531,253.660720825
1582650250078989496,200,1582650250052674754,,191.381591797,139.49130249,-0.0201822333038,404.082977295,253.596099854
1582650250103815066,201,1582650250086591449,,199.613388062,140.06010437,0.0446528233588,402.849212646,252.816162109
1582650250141205494,202,1582650250121588060,,198.689971924,140.300445557,0.028701286763,403.373626709,252.696655273
1582650250180346123,203,1582650250157325847,,190.378173828,138.134338379,-0.0951210558414,402.338531494,252.927261353
1582650250223331665,204,1582650250201745050,,189.699615479,138.17640686,-0.0481183938682,402.766448975,252.364837646
1582650250238795593,205,1582650250222586729,,194.049087524,138.52973938,0.00996608100832,402.998657227,252.606460571
1582650250291747465,206,1582650250268983177,,195.061096191,139.10534668,-0.0260289367288,402.139373779,252.658691406
1582650250315739349,207,1582650250290318917,,195.385253906,137.781616211,-0.0455467142165,401.955444336,253.678497314
1582650250354787788,208,1582650250316029619,,196.85597229,137.580337524,-0.0385653674603,401.999847412,253.552200317
1582650250395282761,209,1582650250357508363,,198.222305298,138.577926636,-0.0290333833545,401.327178955,253.389251709
1582650250422563159,210,1582650250390736760,,191.249313354,139.825744629,-0.00948564708233,400.808380127,252.435546875
1582650250464083154,211,1582650250417439469,,189.535873413,139.871398926,0.032720528543,400.996551514,252.07875061
1582650250496122351,212,1582650250453515259,,189.969100952,141.830032349,0.0018560901517,401.883148193,251.924346924
1582650250509620418,213,1582650250482817401,,189.827636719,139.442382812,-0.0272891446948,402.745330811,252.48626709
1582650250547203933,214,1582650250514668054,,187.798370361,139.113708496,-0.0634162575006,402.868347168,253.314605713
1582650250573531514,215,1582650250553957040,,190.703155518,141.165740967,0.0495557002723,406.489990234,254.090942383
1582650250615119383,216,1582650250586361194,,191.624084473,139.507522583,-0.0395033359528,407.156555176,255.738876343
1582650250658380818,217,1582650250616433093,,193.975158691,137.775680542,-0.0110370712355,406.86505127,255.625762939
1582650250693059859,218,1582650250666004749,,178.213729858,139.731323242,-0.0696802809834,410.79498291,255.866439819
1582650250729185491,219,1582650250681902371,,179.370788574,139.368270874,-0.073239594698,411.90713501,256.832397461
1582650250788183071,220,1582650250727488058,,189.462692261,138.571899414,0.0197265669703,409.098754883,256.02722168
1582650250848381553,221,1582650250771048354,,193.19354248,138.035171509,0.0518288426101,408.180511475,255.094650269
1582650250892338686,222,1582650250810187066,,193.093170166,138.941177368,0.0574746131897,407.698120117,255.142715454
1582650250925506302,223,1582650250846145948,,178.628067017,140.170562744,-0.01332233008,412.348968506,256.09387207
1582650250959939541,224,1582650250861829331,,189.666137695,139.121459961,0.0518590696156,408.385955811,254.815032959
1582650250976737424,225,1582650250897466342,,189.018966675,138.755355835,0.00989630632102,408.868103027,255.487854004
1582650251015272915,226,1582650250919335235,,195.090805054,139.411178589,0.0415475778282,406.676727295,254.848297119
1582650251037984292,227,1582650250956577108,,204.825195312,135.924102783,0.0748377591372,402.48059082,254.889068604
1582650251096202540,228,1582650250986755592,,95.1510772705,71.0455169678,-0.0353550612926,456.066802979,261.391540527
1582650251140388822,229,1582650251025264854,,80.2482910156,45.1530799866,-0.039662193507,465.216094971,263.552032471
1582650251159960981,230,1582650251066945909,,0.0,0.0,0.0,0.0,0.0
1582650251193559305,231,1582650251084919755,,0.0,0.0,0.0,0.0,0.0
1582650251221892943,232,1582650251131352934,,0.0,0.0,0.0,0.0,0.0
1582650251253388038,233,1582650251155528235,,219.76890564,219.727035522,0.0426855459809,390.035736084,260.020568848
1582650251287517563,234,1582650251180376669,,161.395233154,150.381103516,-0.310006856918,383.459991455,262.134124756
1582650251328440667,235,1582650251218185776,,151.902359009,145.552627563,0.344339549541,386.772949219,261.069641113
1582650251368169599,236,1582650251252946978,,155.123764038,140.793869019,0.247598081827,381.957733154,261.36706543
1582650251389597037,237,1582650251284452016,,160.695877075,139.371444702,0.285883009434,378.816925049,261.955444336
1582650251429362956,238,1582650251319095588,,165.448791504,138.652633667,0.390080809593,379.124267578,262.663757324
1582650251466425163,239,1582650251351736388,,168.474197388,144.262039185,0.752438366413,377.914154053,259.863525391
