%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582879698293891196,227,1582879698272022425,,188.199142456,147.821594238,-0.103443168104,375.632904053,240.559768677
1582879698328709781,228,1582879698304400598,,179.310302734,143.662689209,-0.193950429559,377.499237061,241.107513428
1582879698360221953,229,1582879698339734790,,175.015060425,142.541717529,-0.342051744461,380.093658447,242.195922852
1582879698418096655,230,1582879698372226779,,183.009460449,143.769943237,-0.325003117323,378.218933105,239.920852661
1582879698449931402,231,1582879698404131843,,184.324554443,143.434555054,-0.238995671272,375.821258545,240.590011597
1582879698485233186,232,1582879698440083445,,181.430053711,144.282028198,-0.22963412106,373.9793396,240.613601685
1582879698514593905,233,1582879698475496475,,174.11126709,144.741165161,-0.149413317442,375.432556152,241.05921936
1582879698531366354,234,1582879698503859186,,173.659927368,144.660705566,-0.337738484144,377.075714111,241.000610352
1582879698561555986,235,1582879698546260672,,174.40057373,147.256835938,-0.35080063343,376.612121582,240.771331787
1582879698624297194,236,1582879698577400709,,183.643035889,147.532455444,-0.364951610565,374.838439941,239.784301758
1582879698647707354,237,1582879698614048525,,177.827163696,153.946228027,-0.192245215178,377.21585083,239.38394165
1582879698672235785,238,1582879698639657721,,182.650985718,152.271606445,-0.212982982397,375.347930908,239.813980103
1582879698707940620,239,1582879698671903248,,180.296905518,153.426574707,-0.292846530676,377.098022461,240.354293823
1582879698741560304,240,1582879698703654175,,177.254226685,150.240478516,-0.33305773139,376.393096924,240.857757568
1582879698774297457,241,1582879698741079205,,177.438842773,150.763885498,-0.428099423647,377.879943848,239.849914551
1582879698799165653,242,1582879698772441618,,182.035217285,154.376342773,-0.292576223612,374.996337891,239.141708374
1582879698835297812,243,1582879698808887393,,176.904205322,151.45513916,-0.20804014802,375.27166748,238.822113037
1582879698862493724,244,1582879698842520979,,179.191558838,151.245834351,-0.226634204388,374.019348145,239.845352173
1582879698904581632,245,1582879698875506911,,182.754104614,148.737747192,-0.207529619336,374.773193359,239.561950684
1582879698950982388,246,1582879698909719518,,179.820007324,146.089645386,-0.353774189949,377.133239746,240.666717529
1582879698992830830,247,1582879698951162475,,186.397613525,146.671798706,-0.324590325356,376.066650391,239.774185181
1582879699015475385,248,1582879698975281232,,185.838409424,149.731430054,-0.295525252819,374.522247314,239.945327759
1582879699054911078,249,1582879699007509787,,179.117004395,150.458236694,-0.187556579709,375.005950928,238.938858032
1582879699076538990,250,1582879699049012499,,179.735778809,150.114990234,-0.120295517147,373.836425781,239.243255615
1582879699101504942,251,1582879699078616813,,185.573104858,153.251373291,-0.163111031055,375.895050049,239.856918335
1582879699144527461,252,1582879699111374221,,185.989746094,150.887634277,-0.338927596807,375.929260254,240.720794678
1582879699166034145,253,1582879699146741059,,189.858398438,151.599533081,-0.369364202023,376.88092041,240.829925537
1582879699219422954,254,1582879699183227240,,184.601013184,151.482772827,-0.344076275826,374.037719727,240.451980591
1582879699237441949,255,1582879699213454398,,182.775009155,151.105422974,-0.253617882729,373.3934021,239.93347168
1582879699288421856,256,1582879699246466065,,183.063552856,151.707061768,-0.207528293133,373.669006348,239.367675781
1582879699310373088,257,1582879699276917196,,182.56288147,150.398422241,-0.342458695173,376.009185791,239.909164429
1582879699338181812,258,1582879699314081692,,181.47215271,147.842880249,-0.276487916708,374.815429688,240.137863159
1582879699363131502,259,1582879699344443526,,189.894195557,147.521286011,-0.380269050598,375.836090088,238.759475708
1582879699394498571,260,1582879699375960612,,186.140853882,150.488479614,-0.359146595001,374.074554443,236.943939209
1582879699437175714,261,1582879699413795074,,184.304153442,151.515563965,-0.173305481672,374.140289307,238.549987793
1582879699466180780,262,1582879699447197675,,183.592651367,149.424591064,-0.123092368245,374.407867432,238.151794434
1582879699511469083,263,1582879699475466056,,182.681625366,153.390869141,-0.121209517121,375.854095459,240.161087036
1582879699547864238,264,1582879699514554701,,184.685882568,148.934616089,-0.260929346085,376.480255127,238.98828125
1582879699573236409,265,1582879699544697323,,187.127502441,150.612411499,-0.326160669327,375.750305176,238.131378174
1582879699607875558,266,1582879699579185092,,183.063323975,149.909469604,-0.316409915686,374.841949463,238.349472046
1582879699644405648,267,1582879699613398796,,185.165588379,150.08605957,-0.24092912674,373.800201416,238.597824097
1582879699680157063,268,1582879699645337412,,182.744781494,149.370895386,-0.217923536897,373.819335938,238.586303711
1582879699712917202,269,1582879699680939767,,186.34034729,150.395141602,-0.23042935133,375.113800049,239.743881226
1582879699746175259,270,1582879699714678050,,185.543762207,151.0365448,-0.357207387686,375.363464355,238.742050171
1582879699790437581,271,1582879699751474905,,186.661361694,151.989273071,-0.37691745162,375.378967285,237.575881958
1582879699815562093,272,1582879699780756887,,181.890670776,152.068511963,-0.31810900569,372.513916016,237.687332153
1582879699841058078,273,1582879699810125519,,182.272079468,152.162734985,-0.267006278038,372.251678467,237.916213989
1582879699862152044,274,1582879699837575604,,185.308761597,150.737915039,-0.289235264063,372.512878418,237.705718994
1582879699892669495,275,1582879699869428814,,186.85319519,151.120452881,-0.265264034271,373.601501465,239.360061646
1582879699929931345,276,1582879699907579174,,187.147262573,151.803329468,-0.373350143433,373.713409424,238.438522339
1582879699960809265,277,1582879699937839671,,186.310150146,151.328140259,-0.371327489614,373.120666504,237.599899292
1582879699992674524,278,1582879699971632074,,188.317230225,152.996551514,-0.389884114265,373.429748535,235.634292603
1582879700046864452,279,1582879700008233908,,185.785079956,148.858459473,-0.252588570118,372.361846924,237.038589478
1582879700069229799,280,1582879700039822635,,188.409301758,148.279159546,-0.27222019434,372.997619629,236.328826904
1582879700114493457,281,1582879700080094865,,189.0287323,148.452285767,-0.289122074842,374.441314697,236.26675415
1582879700154349285,282,1582879700115377098,,190.113204956,153.10043335,-0.346513330936,374.950683594,234.593444824
1582879700195060386,283,1582879700146427844,,187.1615448,151.636474609,-0.287581175566,375.108123779,235.941268921
1582879700224454118,284,1582879700171647155,,183.639328003,150.306915283,-0.241746976972,374.155609131,237.346176147
1582879700251729454,285,1582879700207596100,,187.084365845,146.256515503,-0.159692719579,373.729064941,238.954971313
1582879700292604571,286,1582879700241382930,,187.69871521,146.069366455,-0.148951396346,373.931121826,239.306503296
1582879700316413720,287,1582879700271113965,,189.639053345,149.911651611,-0.2195161134,375.211273193,240.612167358
