%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582645418085741877,416,1582645418045228421,,179.165756226,142.165008545,0.390066951513,372.749237061,248.689102173
1582645418118390954,417,1582645418079811643,,179.759918213,141.556274414,0.41415309906,373.041229248,248.477432251
1582645418138029267,418,1582645418111346935,,179.505142212,142.494171143,0.437724471092,373.594665527,249.392700195
1582645418196868157,419,1582645418148648427,,189.71206665,137.784713745,0.587326645851,378.034881592,250.849777222
1582645418216132130,420,1582645418180296539,,191.499542236,140.576538086,0.650289595127,378.829559326,253.57270813
1582645418256774448,421,1582645418216114825,,213.82699585,157.240020752,0.787331879139,382.941802979,268.216369629
1582645418280136210,422,1582645418246584105,,210.639816284,168.389282227,0.808523178101,382.136810303,267.600891113
1582645418299620715,423,1582645418280982865,,191.164138794,167.863098145,0.81842559576,378.077941895,262.825805664
1582645418330259647,424,1582645418310049916,,165.568710327,136.963577271,-1.5100351572,384.41973877,263.282104492
1582645418377300778,425,1582645418345553013,,128.640869141,107.523109436,-0.244613870978,384.13571167,246.474899292
1582645418404354207,426,1582645418380806556,,146.988052368,124.16645813,-0.712887585163,376.599578857,256.630279541
1582645418434436976,427,1582645418414717335,,167.614440918,141.833114624,0.296165883541,373.222625732,252.04586792
1582645418479980549,428,1582645418451418638,,178.346191406,144.372375488,0.45791003108,372.47253418,249.908493042
1582645418500558236,429,1582645418483108857,,176.736495972,144.849655151,0.465116679668,371.23727417,249.979049683
1582645418528449842,430,1582645418511220098,,177.173538208,145.996963501,0.469093590975,370.695617676,250.365447998
1582645418566504483,431,1582645418544847745,,176.264663696,149.402252197,0.39243516326,369.639923096,250.879821777
1582645418596659554,432,1582645418577205277,,176.736434937,147.697891235,0.4499771595,370.380645752,250.144943237
1582645418627166215,433,1582645418611183804,,178.748413086,147.726211548,0.341561853886,370.558685303,249.939117432
1582645418663559708,434,1582645418646050320,,176.988952637,144.722244263,0.404708474874,372.157318115,249.593017578
1582645418699745781,435,1582645418677892433,,177.515594482,144.164642334,0.391809999943,372.445617676,249.449295044
1582645418725613683,436,1582645418709458428,,177.748062134,143.928146362,0.379928290844,372.122131348,249.463363647
1582645418773119693,437,1582645418748791032,,177.48765564,143.191390991,0.428964406252,373.198638916,249.563400269
1582645418801321022,438,1582645418777971136,,177.388793945,143.151412964,0.415208786726,373.337463379,249.11164856
1582645418852649585,439,1582645418815174981,,175.91973877,142.445556641,0.429464161396,372.961303711,248.921218872
1582645418877401553,440,1582645418846499165,,181.086700439,140.39642334,0.547153651714,373.542694092,249.541656494
1582645418927465024,441,1582645418882119183,,180.262435913,140.164001465,0.612007081509,373.589172363,250.572143555
1582645418966795167,442,1582645418917980546,,176.633773804,144.685440063,0.530870139599,370.357269287,253.190460205
1582645418990553578,443,1582645418947207593,,174.257339478,138.973907471,0.663522064686,373.427398682,252.961181641
1582645419025990878,444,1582645418978493626,,174.942626953,142.493164062,0.655344426632,371.041290283,251.557678223
1582645419061711620,445,1582645419014836498,,176.070877075,147.715011597,0.344632744789,367.936950684,252.377593994
