%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582650944331621846,299,1582650944222668779,,175.075012207,144.520980835,-1.32827937603,395.253875732,233.940704346
1582650944361243251,300,1582650944254251876,,173.538665771,146.365783691,-1.32234156132,395.886108398,234.043319702
1582650944389133686,301,1582650944300282585,,171.86567688,146.818252563,-1.3148162365,395.764923096,233.120956421
1582650944418898508,302,1582650944320930072,,172.737228394,146.377731323,-1.30674123764,395.324371338,233.502975464
1582650944453475917,303,1582650944356384045,,177.987579346,144.930541992,-1.31825709343,394.665985107,234.72064209
1582650944481907807,304,1582650944393939221,,173.570419312,146.647613525,-1.2999266386,394.963745117,233.579116821
1582650944523862272,305,1582650944420007232,,176.753662109,145.901748657,-1.18368923664,393.553192139,234.152175903
1582650944545274115,306,1582650944454065870,,175.926879883,143.988754272,-1.16873776913,393.139801025,234.072845459
1582650944590582528,307,1582650944490065299,,75.1644058228,64.0318908691,-1.11343693733,398.429656982,186.200424194
1582650944605047209,308,1582650944520079430,,0.0,0.0,0.0,0.0,0.0
1582650944631684124,309,1582650944553397756,,0.0,0.0,0.0,0.0,0.0
1582650944655501360,310,1582650944587147530,,0.0,0.0,0.0,0.0,0.0
1582650944688483871,311,1582650944620105415,,200.016235352,144.563323975,-0.131870016456,396.350738525,246.535644531
1582650944710298039,312,1582650944655116423,,192.864089966,176.090606689,-0.131617277861,382.512329102,247.235092163
1582650944729457883,313,1582650944692321883,,177.470367432,151.195220947,-0.0554640591145,378.838195801,249.319473267
1582650944757260763,314,1582650944728066097,,153.913345337,149.503890991,-0.884690463543,383.937194824,253.848678589
1582650944781033838,315,1582650944757957112,,157.060852051,147.064544678,-0.866457104683,383.344329834,257.644012451
1582650944821548680,316,1582650944792614191,,163.82019043,144.24697876,-1.07855272293,384.29473877,264.230285645
1582650944863261426,317,1582650944841060690,,164.236083984,144.1121521,-1.51749956608,389.167297363,266.51373291
1582650944899577748,318,1582650944860187297,,176.450317383,145.382843018,-1.4978376627,388.498016357,271.468078613
1582650944925848172,319,1582650944894110646,,177.762283325,162.30279541,1.38976871967,381.460906982,268.85446167
1582650944962192055,320,1582650944929962814,,192.215133667,154.652282715,1.41556680202,385.857177734,268.819854736
1582650944996010659,321,1582650944960375953,,187.720184326,160.618972778,1.13567304611,383.293884277,264.784118652
1582650945023107442,322,1582650944993163750,,184.705673218,154.866119385,1.14474856853,383.240875244,267.585327148
1582650945068420859,323,1582650945028731407,,175.140029907,148.800369263,1.34116101265,384.057769775,269.394317627
1582650945086875962,324,1582650945059828470,,177.922363281,144.495956421,-1.5179182291,385.58770752,274.25390625
1582650945115856638,325,1582650945097800485,,185.24357605,148.322494507,-1.53878712654,387.370025635,275.175537109
1582650945191414457,326,1582650945124155796,,185.43548584,147.970916748,-1.55269014835,387.798217773,276.027954102
1582650945230974195,327,1582650945154690235,,183.551101685,146.636199951,-1.51786005497,387.416046143,275.396911621
1582650945285121799,328,1582650945187779516,,189.404205322,147.331253052,-1.5267649889,387.939910889,274.907440186
1582650945334750201,329,1582650945221943589,,188.221069336,151.233840942,-1.48321247101,389.420013428,271.038238525
1582650945381694350,330,1582650945257847116,,179.598831177,150.221847534,-1.44430100918,390.157440186,269.528015137
1582650945405426240,331,1582650945287769339,,180.493988037,151.672348022,-1.38320064545,392.956787109,266.084564209
1582650945429119246,332,1582650945320286374,,153.83972168,145.962280273,0.767141103745,394.472259521,263.452911377
1582650945461741075,333,1582650945354475163,,161.185058594,143.768218994,1.16044926643,392.466522217,266.312805176
1582650945496093000,334,1582650945390976542,,184.502639771,151.513885498,1.34781038761,385.299072266,272.267150879
1582650945521520386,335,1582650945420168383,,181.506713867,144.218795776,1.44601202011,388.553771973,274.66494751
1582650945535841023,336,1582650945454969767,,195.389724731,154.472457886,1.11598062515,388.291046143,275.214019775
1582650945560993011,337,1582650945486794608,,226.775177002,169.17755127,1.18062782288,384.2734375,258.523468018
1582650945585281057,338,1582650945519518498,,174.44442749,145.075958252,0.832611501217,380.500030518,257.702209473
1582650945608090623,339,1582650945551893120,,175.764984131,146.433547974,0.76885676384,380.343505859,257.179229736
1582650945634220781,340,1582650945595900115,,156.758346558,138.169281006,0.644029557705,384.660247803,261.354858398
1582650945653018350,341,1582650945624298942,,168.842895508,148.077316284,1.53872978687,387.229309082,273.230438232
1582650945700562641,342,1582650945660796594,,173.138793945,148.596923828,-1.55589449406,386.761962891,274.047424316
1582650945728669726,343,1582650945693519646,,180.227401733,147.000610352,-1.56414163113,386.734649658,278.773040771
