%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582651623084317324,223,1582651623062764801,,176.19303894,141.556335449,0.254996597767,414.636535645,261.892456055
1582651623122901099,224,1582651623091804400,,193.000335693,133.057250977,0.204588025808,410.635864258,257.374938965
1582651623153185811,225,1582651623111082730,,189.939315796,133.083251953,0.181285500526,411.047821045,259.545806885
1582651623185246201,226,1582651623142330402,,195.809173584,129.273986816,0.212132364511,409.834777832,257.373962402
1582651623208508713,227,1582651623174777936,,199.744552612,130.198898315,0.218620494008,408.242279053,257.384063721
1582651623242426068,228,1582651623204639798,,191.49256897,131.895614624,0.26727232337,411.73425293,256.652587891
1582651623263920730,229,1582651623242630858,,177.335510254,136.31602478,0.20322342217,413.73046875,259.355194092
1582651623309709057,230,1582651623273323787,,178.345321655,134.737640381,0.236792564392,413.802978516,259.073455811
1582651623339834964,231,1582651623303975420,,192.398452759,135.535736084,0.184452667832,409.802124023,260.175842285
1582651623372233898,232,1582651623341018393,,180.392150879,132.55519104,0.292362481356,415.087646484,258.351745605
1582651623395825081,233,1582651623375349320,,183.042724609,136.421478271,0.252670615911,412.808654785,258.866882324
1582651623432593205,234,1582651623404739346,,187.993301392,137.114456177,0.358834326267,410.176391602,255.876876831
1582651623472912568,235,1582651623442725858,,207.880432129,137.583572388,0.451994359493,407.122711182,254.83895874
1582651623509307387,236,1582651623475923074,,214.659988403,148.509933472,0.623348534107,404.851531982,255.971923828
1582651623541972976,237,1582651623506053503,,183.202865601,144.334213257,0.357774794102,409.801177979,257.453430176
1582651623561879462,238,1582651623542196505,,183.542861938,138.623062134,0.603146076202,410.212493896,261.309265137
1582651623601605372,239,1582651623574033255,,185.988143921,141.479614258,0.724213898182,408.18548584,261.328369141
1582651623642293095,240,1582651623611230179,,180.386108398,141.76335144,0.935039877892,404.543029785,270.509887695
1582651623674729633,241,1582651623642314815,,174.160369873,143.802780151,1.21524405479,400.319000244,277.578155518
1582651623709481486,242,1582651623675729183,,175.55380249,143.665618896,1.38185405731,397.215118408,279.642120361
1582651623744338255,243,1582651623715256954,,183.021057129,144.079162598,-1.53010439873,392.50692749,279.209686279
1582651623779792288,244,1582651623747014930,,181.014083862,142.895111084,-1.34268248081,391.282897949,281.33215332
1582651623804465507,245,1582651623775227699,,182.397415161,138.570526123,-1.4124764204,389.379516602,280.453491211
1582651623859289647,246,1582651623813165987,,190.036834717,137.360061646,-1.41006839275,388.28302002,278.166809082
1582651623908399738,247,1582651623844577999,,187.013641357,145.533737183,-1.56958413124,383.320373535,276.942657471
1582651623953007378,248,1582651623875052782,,173.101333618,153.851104736,-1.5281099081,380.273101807,280.333190918
1582651624008986588,249,1582651623911522714,,180.805679321,132.300048828,-1.3891197443,385.400726318,281.624359131
1582651624050988789,250,1582651623943398985,,181.791885376,136.766448975,-1.44241142273,384.683776855,280.110870361
1582651624090178186,251,1582651623974765957,,182.93939209,134.207778931,-1.43171143532,385.274749756,280.119720459
1582651624117804813,252,1582651624010824425,,180.601348877,135.367095947,-1.3804987669,384.878448486,280.718475342
1582651624173067010,253,1582651624045538046,,179.61769104,133.678390503,-1.37791061401,385.621276855,280.967041016
1582651624206565910,254,1582651624079149399,,178.93927002,134.009979248,-1.38777065277,385.45425415,281.096862793
1582651624226714701,255,1582651624124881372,,180.419082642,131.768325806,-1.39907896519,386.95211792,281.288604736
1582651624256785643,256,1582651624157224673,,182.378204346,137.974899292,-1.45133841038,384.966796875,280.397399902
1582651624282914308,257,1582651624195086025,,184.744064331,137.975143433,-1.33716237545,385.815673828,278.530822754
1582651624302952696,258,1582651624217818386,,193.915115356,138.640258789,-1.20237660408,388.854370117,274.632049561
1582651624353965942,259,1582651624250263027,,179.171646118,131.645690918,-1.30586385727,388.932098389,282.288757324
1582651624374919700,260,1582651624278441682,,176.985855103,131.698028564,-1.31089603901,388.008239746,283.194824219
1582651624394824388,261,1582651624316826962,,182.284210205,134.915512085,-1.36175990105,386.119537354,279.43145752
1582651624404512467,262,1582651624347542705,,186.229507446,140.437957764,-1.52802991867,384.658752441,278.720367432
1582651624472825816,263,1582651624383298048,,185.524414062,143.026031494,-1.560349226,383.200592041,278.301757812
