%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1583132898506099982,2511,1583132898435262324,,160.155334473,140.551345825,-1.53642392159,389.035125732,224.029602051
1583132898558562554,2512,1583132898468522608,,160.328674316,142.528106689,-1.54291951656,389.348419189,224.671859741
1583132898587042660,2513,1583132898504831602,,156.837875366,144.111190796,-1.46312940121,389.5206604,223.799560547
1583132898619991282,2514,1583132898534996144,,156.51133728,141.969665527,-1.38402485847,389.132354736,223.393127441
1583132898642107620,2515,1583132898568018807,,171.453430176,149.687026978,-0.772576928139,383.291503906,228.170333862
1583132898670527241,2516,1583132898601448113,,154.304199219,142.106933594,-1.36969125271,388.919372559,222.52835083
1583132898712595416,2517,1583132898634707345,,153.585632324,141.798400879,-1.46708238125,389.224304199,221.873336792
1583132898748335600,2518,1583132898668600112,,153.40486145,142.434158325,-1.44799876213,388.645690918,221.662384033
1583132898779821487,2519,1583132898712574781,,157.846420288,141.406906128,1.56433868408,389.053894043,223.11756897
1583132898808495634,2520,1583132898739904307,,157.143432617,144.254455566,-1.5104868412,388.710266113,223.407699585
1583132898848217542,2521,1583132898768655934,,153.840545654,143.167739868,1.49201917648,389.104431152,221.928955078
1583132898869299465,2522,1583132898804444831,,158.425109863,141.212051392,-1.56594920158,388.970336914,223.493515015
1583132898887385885,2523,1583132898845967369,,160.978210449,141.998413086,-1.42138886452,388.034820557,224.195846558
1583132898922275304,2524,1583132898877754807,,157.32913208,142.399353027,-1.54182624817,388.819946289,223.115112305
1583132898945561474,2525,1583132898903133600,,155.745407104,141.053344727,1.55736303329,389.847991943,222.758300781
1583132898973075240,2526,1583132898937305220,,154.624694824,143.092330933,1.51651072502,389.766448975,222.618988037
1583132899007221323,2527,1583132898969275521,,154.489273071,142.39201355,1.56530356407,389.343841553,222.250595093
1583132899042350036,2528,1583132899003206914,,157.098754883,143.306655884,1.51686859131,390.063995361,223.495681763
1583132899077546468,2529,1583132899036502466,,155.24861145,142.9087677,-1.54757916927,389.524505615,223.008575439
1583132899108409479,2530,1583132899073961671,,157.578964233,142.796173096,1.47387886047,389.939605713,223.864608765
1583132899125634209,2531,1583132899106272772,,157.951400757,142.273696899,-1.56827056408,389.452789307,223.680709839
1583132899179475726,2532,1583132899143196165,,158.551528931,141.914154053,-1.50848174095,389.244567871,223.788452148
1583132899217734296,2533,1583132899180712401,,158.801895142,141.817504883,-1.51089429855,388.956726074,223.654907227
1583132899269889501,2534,1583132899215417445,,159.684448242,142.128952026,-1.56723749638,389.595855713,224.246353149
1583132899303736222,2535,1583132899245222355,,157.627227783,143.527862549,1.52718997002,389.152801514,223.599105835
1583132899341564707,2536,1583132899268252227,,159.742141724,142.731292725,1.56529343128,389.108551025,224.207366943
1583132899365637120,2537,1583132899301842921,,156.401062012,143.346343994,1.56189525127,389.245574951,223.484329224
1583132899392667990,2538,1583132899335299721,,157.807342529,144.021209717,-1.45577979088,388.792572021,223.859985352
1583132899414560593,2539,1583132899385905882,,160.767608643,142.940765381,-1.51080346107,389.182312012,224.574157715
1583132899470693315,2540,1583132899407469791,,158.153549194,143.492736816,1.54575943947,389.286499023,223.902435303
1583132899505961645,2541,1583132899437233247,,157.872146606,143.188919067,1.54727363586,389.394317627,223.49005127
1583132899527356949,2542,1583132899473951986,,161.393447876,141.929656982,-1.49109327793,388.906341553,224.674942017
1583132899549498552,2543,1583132899505004660,,161.517532349,144.053863525,-1.46569955349,388.934051514,225.378067017
1583132899579079293,2544,1583132899545460341,,159.659255981,143.984481812,-1.49363994598,388.971038818,224.720413208
1583132899613351032,2545,1583132899577328064,,158.864273071,145.052047729,-1.52390229702,389.228668213,224.387405396
1583132899652901657,2546,1583132899607715023,,158.458450317,143.503372192,-1.47012019157,389.445678711,223.709640503
1583132899683179054,2547,1583132899650840986,,156.977493286,144.581039429,-1.55706214905,389.27355957,223.403656006
1583132899718407414,2548,1583132899668609284,,157.124786377,142.984420776,-1.49992275238,389.208709717,223.079650879
1583132899745591402,2549,1583132899702028384,,156.221374512,143.44821167,1.54721033573,389.357818604,222.888717651
1583132899765388621,2550,1583132899734712751,,155.775970459,142.858642578,-1.56723940372,389.348968506,222.620651245
1583132899790777963,2551,1583132899770728127,,154.984115601,144.840209961,1.42815959454,389.491943359,222.655639648
1583132899831988454,2552,1583132899806766289,,155.631286621,142.34022522,1.48725104332,389.404266357,222.573425293
1583132899865281011,2553,1583132899839519892,,158.636795044,142.841766357,1.55350208282,389.29977417,223.228118896
1583132899909843282,2554,1583132899888672781,,156.164932251,141.844512939,1.54365289211,389.200531006,223.028991699
1583132899955919901,2555,1583132899929733490,,157.2293396,141.605117798,1.50377523899,389.341491699,223.015274048
1583132899972449786,2556,1583132899952058461,,158.575866699,141.701843262,1.54794347286,389.221160889,223.600250244
1583132900009536419,2557,1583132899985349122,,156.567123413,143.40284729,1.56706392765,389.368164062,222.994247437
1583132900045374484,2558,1583132900016824398,,155.769302368,143.887512207,1.53332197666,389.140960693,222.899291992
1583132900113735969,2559,1583132900089266103,,157.494094849,143.206192017,-1.55814802647,389.087432861,223.219802856
1583132900148400221,2560,1583132900126301446,,156.756790161,143.388504028,1.53642845154,389.717193604,223.132904053
