%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1583132898506841084,2511,1583132898435262324,,4.0
1583132898558584183,2512,1583132898468522608,,4.0
1583132898587867845,2513,1583132898504831602,,4.0
1583132898622781879,2514,1583132898534996144,,4.0
1583132898644581617,2515,1583132898568018807,,4.0
1583132898670527541,2516,1583132898601448113,,4.0
1583132898712855908,2517,1583132898634707345,,4.0
1583132898749217855,2518,1583132898668600112,,4.0
1583132898784446389,2519,1583132898712574781,,4.0
1583132898809449084,2520,1583132898739904307,,4.0
1583132898849344270,2521,1583132898768655934,,4.0
1583132898870351368,2522,1583132898804444831,,4.0
1583132898887235254,2523,1583132898845967369,,4.0
1583132898924293903,2524,1583132898877754807,,4.0
1583132898943781209,2525,1583132898903133600,,4.0
1583132898978085386,2526,1583132898937305220,,4.0
1583132899002053988,2527,1583132898969275521,,4.0
1583132899050091937,2528,1583132899003206914,,4.0
1583132899080305157,2529,1583132899036502466,,4.0
1583132899110034067,2530,1583132899073961671,,4.0
1583132899130283783,2531,1583132899106272772,,4.0
1583132899181888902,2532,1583132899143196165,,4.0
1583132899220249185,2533,1583132899180712401,,4.0
1583132899276232635,2534,1583132899215417445,,4.0
1583132899309024048,2535,1583132899245222355,,4.0
1583132899345329867,2536,1583132899268252227,,4.0
1583132899370550577,2537,1583132899301842921,,4.0
1583132899395491044,2538,1583132899335299721,,4.0
1583132899418381450,2539,1583132899385905882,,4.0
1583132899471713877,2540,1583132899407469791,,4.0
1583132899505670849,2541,1583132899437233247,,4.0
1583132899527699378,2542,1583132899473951986,,4.0
1583132899556599337,2543,1583132899505004660,,4.0
1583132899581135772,2544,1583132899545460341,,4.0
1583132899621450030,2545,1583132899577328064,,4.0
1583132899655682451,2546,1583132899607715023,,4.0
1583132899682569090,2547,1583132899650840986,,4.0
1583132899721778842,2548,1583132899668609284,,4.0
1583132899750305479,2549,1583132899702028384,,4.0
1583132899768212808,2550,1583132899734712751,,4.0
1583132899796120508,2551,1583132899770728127,,4.0
1583132899829359943,2552,1583132899806766289,,4.0
1583132899868041335,2553,1583132899839519892,,4.0
1583132899911542407,2554,1583132899888672781,,4.0
1583132899958653614,2555,1583132899929733490,,4.0
1583132899976021810,2556,1583132899952058461,,4.0
1583132900010396924,2557,1583132899985349122,,4.0
1583132900043821695,2558,1583132900016824398,,4.0
1583132900116277962,2559,1583132900089266103,,4.0
1583132900151358380,2560,1583132900126301446,,4.0
1583132900174979233,2561,1583132900137587157,,4.0
1583132900198415661,2562,1583132900167167015,,4.0
1583132900231206007,2563,1583132900200843148,,4.0
1583132900272763467,2564,1583132900233855181,,4.0
1583132900300460805,2565,1583132900267318742,,4.0
1583132900338039753,2566,1583132900300508313,,4.0
1583132900362247651,2567,1583132900338385619,,4.0
1583132900390676632,2568,1583132900369256641,,4.0
1583132900437230337,2569,1583132900404239029,,4.0
1583132900481336890,2570,1583132900437274410,,4.0
1583132900530061940,2571,1583132900486531484,,4.0
1583132900585941203,2572,1583132900507818283,,4.0
1583132900628823193,2573,1583132900536341162,,4.0
1583132900661182643,2574,1583132900570514249,,4.0
1583132900709919868,2575,1583132900604027579,,4.0
1583132900724831442,2576,1583132900638035829,,4.0
1583132900784124554,2577,1583132900667185267,,4.0
1583132900809341393,2578,1583132900706159504,,4.0
1583132900841262918,2579,1583132900740052408,,4.0
1583132900864478595,2580,1583132900768340324,,4.0
1583132900915523824,2581,1583132900801623439,,4.0
1583132900953052311,2582,1583132900836667786,,4.0
1583132900978112757,2583,1583132900871975688,,4.0
1583132901023367968,2584,1583132900906434634,,4.0
1583132901042313853,2585,1583132900937272046,,4.0
1583132901074831398,2586,1583132900975265236,,4.0
1583132901102473918,2587,1583132901003914126,,4.0
1583132901143596759,2588,1583132901035999545,,0.0
1583132901159634488,2589,1583132901070968455,,4.0
1583132901185630539,2590,1583132901101754349,,4.0
1583132901233344912,2591,1583132901139309217,,4.0
1583132901277927304,2592,1583132901170081976,,4.0
