%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582538693710664305,318,1582538693681443673,,200.951095581,169.797409058,0.929320991039,361.186523438,236.518829346
1582538693754959095,319,1582538693717086235,,198.941192627,173.341400146,0.728769779205,359.159393311,238.759231567
1582538693787525048,320,1582538693752237318,,198.950775146,192.367996216,-0.795985043049,353.097747803,248.671035767
1582538693844617195,321,1582538693782277435,,198.376113892,189.671096802,-0.535281002522,351.314300537,252.97366333
1582538693858308752,322,1582538693812947465,,196.869720459,189.824630737,-0.355357289314,350.849273682,254.979446411
1582538693886493303,323,1582538693842908656,,200.459609985,185.832168579,-0.337234079838,352.081634521,256.729217529
1582538693913785112,324,1582538693876052166,,252.86277771,235.936080933,-0.180683761835,386.795349121,261.507415771
1582538693945089597,325,1582538693909134311,,204.188613892,176.78137207,-0.381218194962,351.451324463,256.364105225
1582538693971354859,326,1582538693945195089,,254.087783813,227.096099854,-0.310258537531,387.773742676,263.01776123
1582538694005706383,327,1582538693978932541,,253.223480225,229.204376221,-0.329357922077,387.856445312,263.35369873
1582538694084095589,328,1582538694016650905,,252.845489502,232.409622192,-0.333160638809,387.617828369,261.842041016
1582538694115974708,329,1582538694056181875,,254.058914185,227.908050537,-0.389379709959,387.96005249,263.481170654
1582538694165485458,330,1582538694085705517,,251.09588623,225.883758545,-0.514770746231,387.099761963,263.461395264
1582538694193744356,331,1582538694105722277,,251.660614014,231.631347656,-0.469645857811,388.392333984,263.271759033
1582538694217892373,332,1582538694142350569,,251.393371582,229.011947632,-0.38850659132,388.813781738,264.332214355
1582538694242715520,333,1582538694173423876,,200.31022644,192.836380005,-1.25142323971,357.884338379,271.250701904
1582538694264178767,334,1582538694205047300,,252.390335083,224.26373291,-0.378267556429,389.072906494,266.043334961
1582538694296197430,335,1582538694253398440,,253.129318237,230.805908203,-0.464677214622,389.493743896,264.304718018
1582538694335628996,336,1582538694276705388,,250.851791382,231.833465576,-0.460393846035,388.749359131,264.494812012
1582538694372697044,337,1582538694311377071,,251.711853027,230.264770508,-0.441190987825,388.645843506,263.838012695
1582538694406649538,338,1582538694342149041,,252.398330688,230.089538574,-0.49300250411,389.407012939,263.869781494
1582538694486542560,339,1582538694375113256,,253.954376221,230.555984497,-0.495807230473,390.093780518,263.45880127
1582538694563225807,340,1582538694420962924,,252.226425171,229.362472534,-0.440574854612,389.492675781,263.965087891
1582538694583608988,341,1582538694451470078,,250.084732056,227.890014648,-0.487825721502,388.585876465,264.774627686
1582538694624844670,342,1582538694477193773,,252.911178589,221.325622559,-0.421013265848,389.602813721,266.246795654
1582538694654956062,343,1582538694511248140,,254.769561768,218.84487915,-0.402190446854,390.27734375,267.221923828
1582538694678838199,344,1582538694541928775,,252.747940063,224.22328186,-0.366685062647,390.326812744,266.681884766
1582538694710413831,345,1582538694575421243,,252.42791748,228.43812561,-0.437569499016,389.996032715,264.845550537
1582538694735693694,346,1582538694609898861,,252.296798706,229.729522705,-0.413603037596,389.912780762,264.723114014
1582538694760052990,347,1582538694642098330,,251.041854858,230.520477295,-0.448191225529,389.547027588,263.815765381
1582538694791686677,348,1582538694673313791,,206.424591064,192.053588867,-0.803597807884,359.765045166,269.609039307
1582538694814651793,349,1582538694710086006,,203.043899536,190.391799927,-0.926861703396,358.693450928,270.289276123
1582538694835352813,350,1582538694746135806,,203.441390991,184.157501221,-1.04430091381,358.132476807,270.619873047
1582538694864844783,351,1582538694774585682,,222.925186157,192.870956421,0.771520137787,365.690429688,278.135742188
