%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1569572614853394456,2506,1569572614835646964,,266.341583252,189.826965332,0.848698019981,295.934783936,169.117675781
1569572614881722694,2507,1569572614860767183,,264.95300293,189.387954712,0.851966261864,295.599456787,168.831619263
1569572614910220001,2508,1569572614895132312,,264.295471191,189.082427979,0.843801558018,295.437744141,168.416748047
1569572614944403328,2509,1569572614923146712,,264.343719482,189.647842407,0.843671321869,295.542144775,168.480102539
1569572614984736334,2510,1569572614966352580,,265.209991455,190.395675659,0.851573705673,295.252075195,168.737319946
1569572615010848621,2511,1569572614993877526,,265.507324219,189.214614868,0.851285815239,295.538146973,168.67074585
1569572615038190699,2512,1569572615023190067,,265.894622803,189.341751099,0.856935977936,295.865264893,169.193847656
1569572615094414863,2513,1569572615073666559,,266.505584717,189.395965576,0.862645566463,295.922332764,169.206390381
1569572615123886452,2514,1569572615104205201,,265.218933105,189.483413696,0.842964231968,295.408538818,168.653289795
1569572615160465712,2515,1569572615138469501,,264.372436523,189.854995728,0.847655951977,295.509521484,168.783691406
1569572615196091795,2516,1569572615175383401,,264.734893799,189.324569702,0.850890100002,295.220245361,168.360153198
1569572615225620105,2517,1569572615207368446,,264.385559082,190.323379517,0.864037871361,294.843933105,168.591888428
1569572615242729839,2518,1569572615227900391,,265.532165527,190.190383911,0.846831142902,295.182525635,168.90246582
1569572615297862187,2519,1569572615275642973,,267.256500244,189.222564697,0.847595751286,295.495147705,168.801010132
1569572615317663540,2520,1569572615300889429,,265.124847412,189.489257812,0.86001086235,295.747497559,169.056442261
1569572615339770736,2521,1569572615323619621,,265.368286133,188.906112671,0.866856276989,295.473876953,168.667449951
1569572615375631169,2522,1569572615359730190,,264.347900391,189.228042603,0.853305280209,295.3984375,168.738540649
1569572615408741069,2523,1569572615391226538,,265.917999268,188.696640015,0.843843877316,296.169311523,168.825363159
1569572615457537629,2524,1569572615436036666,,264.180999756,189.063400269,0.849736690521,295.66897583,168.368545532
1569572615495703510,2525,1569572615472476770,,264.445983887,190.203872681,0.860689461231,295.145294189,168.918136597
1569572615522467939,2526,1569572615504359306,,264.949554443,189.438751221,0.855430483818,295.598449707,168.506759644
1569572615540788165,2527,1569572615525124470,,266.164916992,189.017852783,0.850346267223,295.967315674,168.711166382
1569572615587746962,2528,1569572615571591008,,265.031768799,189.91708374,0.853845655918,295.503845215,168.944213867
1569572615608443984,2529,1569572615592096919,,265.163665771,189.65637207,0.858007133007,295.55871582,168.958328247
1569572615659188475,2530,1569572615637822212,,265.531341553,190.002838135,0.856298446655,295.405395508,169.2371521
1569572615706129372,2531,1569572615674878575,,266.82421875,189.839523315,0.860537409782,296.000488281,169.50088501
1569572615733145483,2532,1569572615713351154,,266.121490479,189.642211914,0.854421198368,295.457336426,169.094726562
1569572615747900145,2533,1569572615725384179,,264.715057373,189.557174683,0.854734897614,295.505432129,169.010223389
1569572615776334211,2534,1569572615758006390,,266.773834229,189.12437439,0.852662980556,295.437744141,169.13293457
1569572615807982477,2535,1569572615792516221,,265.437927246,189.436264038,0.855725347996,295.579559326,169.059188843
1569572615860924040,2536,1569572615837898907,,265.381774902,189.669067383,0.851605415344,295.468658447,169.122589111
1569572615904138929,2537,1569572615880878658,,264.205200195,189.635162354,0.859839379787,294.878387451,168.600891113
1569572615929458424,2538,1569572615911480536,,265.12512207,190.538131714,0.856343686581,295.514526367,169.175170898
1569572615944873476,2539,1569572615927838124,,264.902618408,188.98324585,0.849433600903,295.443634033,168.386535645
1569572615980287980,2540,1569572615960113376,,262.977172852,189.904434204,0.852581202984,295.174072266,168.256393433
1569572616020762711,2541,1569572616001839752,,264.492980957,189.862548828,0.856456875801,295.11126709,168.693130493
1569572616046179512,2542,1569572616029780136,,265.494812012,189.845809937,0.862391471863,295.855194092,169.130508423
1569572616083355575,2543,1569572616063399967,,263.75769043,190.417251587,0.857143461704,295.520782471,168.867385864
1569572616106543282,2544,1569572616091607991,,266.972900391,189.487823486,0.853556990623,296.209136963,169.374343872
1569572616150228973,2545,1569572616131097776,,264.229675293,189.73538208,0.865793645382,295.297637939,168.817245483
1569572616176507944,2546,1569572616160578577,,264.79800415,190.528076172,0.864936411381,295.371704102,169.27331543
1569572616208498972,2547,1569572616192450817,,265.725646973,189.517730713,0.851509809494,295.484680176,168.519607544
1569572616277147196,2548,1569572616252036156,,264.534881592,189.626968384,0.856203079224,295.693878174,168.763031006
1569572616305839249,2549,1569572616284971745,,265.220031738,190.213638306,0.84595233202,295.834625244,168.931152344
1569572616334130228,2550,1569572616316360543,,263.369903564,189.839141846,0.847941458225,295.283935547,168.145568848
1569572616348481293,2551,1569572616330337214,,265.504943848,188.930252075,0.845809578896,295.504760742,168.503997803
1569572616374985207,2552,1569572616359609957,,265.192962646,189.801101685,0.862098515034,295.55255127,168.922332764
1569572616411531296,2553,1569572616394408753,,265.822937012,189.244598389,0.867725789547,295.463378906,169.086166382
1569572616469333998,2554,1569572616449131423,,264.652069092,189.350479126,0.858056902885,295.411102295,168.68788147
1569572616497422431,2555,1569572616474310614,,266.106109619,189.441970825,0.855933845043,295.410736084,169.347091675
1569572616528136834,2556,1569572616507222185,,266.200531006,188.829910278,0.858191132545,295.944824219,169.086791992
