%time,field.header.seq,field.header.stamp,field.header.frame_id,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1582534407046759941,571,1582534407016648988,,175.355239868,165.030029297,-1.1170861721,384.427642822,231.546188354
1582534407064910528,572,1582534407036292410,,171.070724487,157.079315186,-0.491752177477,385.537719727,236.387954712
1582534407106481736,573,1582534407084617675,,175.821792603,160.377914429,-0.607676029205,385.311340332,233.78755188
1582534407138062153,574,1582534407121132173,,175.442398071,162.566268921,-0.849872708321,384.198059082,231.425811768
1582534407163019796,575,1582534407144292934,,175.282333374,161.152328491,-0.85304826498,384.281585693,230.727722168
1582534407195375341,576,1582534407173980458,,174.814620972,159.18359375,-1.09224176407,382.474884033,231.298751831
1582534407234371619,577,1582534407214769179,,173.998153687,167.822647095,-1.26717448235,382.573394775,228.964019775
1582534407280005818,578,1582534407244635314,,170.019210815,166.843276978,-1.44358825684,380.727050781,228.254165649
1582534407314575171,579,1582534407267557795,,177.72756958,167.414764404,-0.949578166008,382.344696045,227.471755981
1582534407343448403,580,1582534407299486194,,180.79006958,163.878448486,-0.939786016941,383.153778076,227.886077881
1582534407363402383,581,1582534407337371749,,6.9217338562,5.21130752563,-0.353450089693,422.781463623,156.434387207
1582534407403328887,582,1582534407373944667,,99.0171127319,66.5220718384,1.19464766979,382.814971924,230.9243927
1582534407430457155,583,1582534407400027367,,113.802108765,89.8461761475,1.52785050869,390.549987793,183.66696167
1582534407453607081,584,1582534407438056034,,50.0506477356,23.5988330841,1.41343355179,394.114685059,178.903244019
1582534407480730902,585,1582534407464162437,,0.0,0.0,0.0,0.0,0.0
1582534407523149357,586,1582534407505227810,,0.0,0.0,0.0,0.0,0.0
1582534407575246056,587,1582534407537602346,,0.0,0.0,0.0,0.0,0.0
1582534407594801567,588,1582534407575878470,,0.0,0.0,0.0,0.0,0.0
1582534407627238393,589,1582534407604949160,,0.0,0.0,0.0,0.0,0.0
1582534407676601306,590,1582534407656955777,,0.0,0.0,0.0,0.0,0.0
1582534407703187917,591,1582534407678302705,,0.0,0.0,0.0,0.0,0.0
1582534407745569913,592,1582534407716721126,,0.0,0.0,0.0,0.0,0.0
1582534407774280869,593,1582534407736960096,,0.0,0.0,0.0,0.0,0.0
1582534407796665154,594,1582534407768980063,,0.0,0.0,0.0,0.0,0.0
1582534407851197799,595,1582534407812505407,,0.0,0.0,0.0,0.0,0.0
1582534407907837846,596,1582534407844319822,,0.0,0.0,0.0,0.0,0.0
1582534407933698201,597,1582534407878124019,,0.0,0.0,0.0,0.0,0.0
1582534407945239311,598,1582534407903920140,,0.0,0.0,0.0,0.0,0.0
1582534407964507369,599,1582534407947343538,,0.0,0.0,0.0,0.0,0.0
1582534408030032378,600,1582534407977478982,,0.0,0.0,0.0,0.0,0.0
1582534408052073743,601,1582534408003946422,,0.0,0.0,0.0,0.0,0.0
1582534408071821656,602,1582534408032823726,,0.0,0.0,0.0,0.0,0.0
1582534408096705632,603,1582534408066769551,,0.0,0.0,0.0,0.0,0.0
1582534408157437932,604,1582534408106909334,,0.0,0.0,0.0,0.0,0.0
1582534408170731358,605,1582534408138800061,,0.0,0.0,0.0,0.0,0.0
1582534408208324576,606,1582534408170372935,,0.0,0.0,0.0,0.0,0.0
1582534408231866829,607,1582534408203640063,,0.0,0.0,0.0,0.0,0.0
1582534408253923994,608,1582534408233141087,,0.0,0.0,0.0,0.0,0.0
1582534408290643135,609,1582534408268842570,,0.0,0.0,0.0,0.0,0.0
1582534408339644183,610,1582534408306138409,,259.573455811,259.561706543,-0.0076876138337,390.001831055,260.005126953
1582534408374758548,611,1582534408336084036,,240.882827759,221.522674561,-0.40675842762,388.692749023,263.434173584
1582534408429677395,612,1582534408367946152,,191.117797852,165.455459595,-0.100576408207,375.468597412,257.960479736
1582534408457462383,613,1582534408404632114,,190.840179443,158.258300781,-0.0553226433694,369.289672852,260.250610352
