%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1572930237182818686,5796,1572930237127886056,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1572930237285765602,5797,1572930237182651042,,0.0,-0.0,9.99999974738e-06,0.0
1572930237339454909,5798,1572930237285974025,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1572930237394546817,5799,1572930237339677095,,0.0,-0.0,-0.0,-0.0
1572930237447685453,5800,1572930237393775939,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930237501538694,5801,1572930237447909116,,0.0,-1.99999994948e-05,2.99999992421e-05,1.99999994948e-05
1572930237555432178,5802,1572930237501543998,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1572930237610067124,5803,1572930237555578947,,0.0,-0.0,-1.99999994948e-05,-0.0
1572930237662816681,5804,1572930237609466075,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572930237716872646,5805,1572930237662832021,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1572930237820895570,5806,1572930237716473102,,0.0,0.0,-0.0,-0.0
1572930237876393324,5807,1572930237820338010,,0.0,-0.0,-0.0,0.0
1572930237929550358,5808,1572930237875283002,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1572930237982241473,5809,1572930237928970098,,0.0,0.0,-0.0,-0.0
1572930238036443274,5810,1572930237982650995,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930238089786654,5811,1572930238036561012,,0.0,9.99999974738e-06,-1.99999994948e-05,-1.99999994948e-05
1572930238142395197,5812,1572930238089144945,,0.0,-1.99999994948e-05,9.99999974738e-06,1.99999994948e-05
1572930238193295865,5813,1572930238141803026,,0.0,9.99999974738e-06,9.99999974738e-06,0.0
1572930238248031458,5814,1572930238192977905,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1572930238351634637,5815,1572930238247061014,,9.99999974738e-05,-3.99999989895e-05,2.99999992421e-05,2.99999992421e-05
1572930238404657220,5816,1572930238350918054,,0.0,0.0,-0.0,-0.0
1572930238459172942,5817,1572930238404649972,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930238512405813,5818,1572930238458506107,,0.0,-1.99999994948e-05,2.99999992421e-05,1.99999994948e-05
1572930238567649243,5819,1572930238512562036,,0.0,-9.99999974738e-06,0.0,0.0
1572930238621166323,5820,1572930238567748069,,0.0,9.99999974738e-06,-0.0,0.0
1572930238674620337,5821,1572930238620601892,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1572930238728481405,5822,1572930238674299955,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572930238832923292,5823,1572930238728598117,,0.0,-0.0,-9.99999974738e-06,-0.0
1572930238885812211,5824,1572930238832205057,,0.0,0.0,-0.0,0.0
1572930238940065895,5825,1572930238886111974,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1572930238993869100,5826,1572930238939768075,,0.0,9.99999974738e-06,1.99999994948e-05,-0.0
1572930239047468118,5827,1572930238994107007,,0.0,9.99999974738e-06,0.0,0.0
1572930239101234190,5828,1572930239046835899,,0.0,0.0,9.99999974738e-06,-0.0
1572930239154853308,5829,1572930239100584030,,0.0,-0.0,-9.99999974738e-06,-0.0
1572930239209095129,5830,1572930239154014110,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1572930239262016618,5831,1572930239208419084,,0.0,-0.0,9.99999974738e-06,-0.0
1572930239315277666,5832,1572930239261588096,,0.0,0.0,0.0,0.0
1572930239418709652,5833,1572930239314851045,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1572930239473641606,5834,1572930239418901920,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1572930239527471103,5835,1572930239473826885,,0.0,0.0,-1.99999994948e-05,-0.0
1572930239581780734,5836,1572930239527470111,,0.0,-0.0,-2.99999992421e-05,-0.0
1572930239635877251,5837,1572930239581042051,,0.0,0.0,0.0,-0.0
1572930239689713023,5838,1572930239636154890,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1572930239743783380,5839,1572930239689757108,,0.0,0.0,0.0,9.99999974738e-06
1572930239798345442,5840,1572930239743457078,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572930239903017674,5841,1572930239798543930,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572930239955563378,5842,1572930239902371883,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1572930240008243137,5843,1572930239955143928,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1572930240061690382,5844,1572930240007812976,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1572930240116808150,5845,1572930240061103105,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1572930240169126290,5846,1572930240114943027,,0.0,-0.0,9.99999974738e-06,0.0
1572930240222973002,5847,1572930240168422937,,0.0,-0.0,-0.0,0.0
1572930240276030445,5848,1572930240222318887,,0.0,-0.0,-0.0,0.0
1572930240382072431,5849,1572930240276195049,,0.0,0.0,1.99999994948e-05,-9.99999974738e-06
1572930240435532392,5850,1572930240381438970,,0.0,-0.0,-0.0,0.0
1572930240489934452,5851,1572930240435045003,,0.0,-1.99999994948e-05,1.99999994948e-05,9.99999974738e-06
1572930240543429555,5852,1572930240489192962,,0.0,-1.99999994948e-05,-1.99999994948e-05,9.99999974738e-06
1572930240596531372,5853,1572930240542716979,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1572930240650307068,5854,1572930240596518993,,0.0,0.0,9.99999974738e-06,0.0
1572930240703678505,5855,1572930240650310039,,0.0,0.0,-0.0,-0.0
1572930240757972020,5856,1572930240704138040,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1572930240861893403,5857,1572930240758239030,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572930240917738265,5858,1572930240861876010,,0.0,-0.0,9.99999974738e-06,0.0
1572930240971055894,5859,1572930240916697025,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1572930241024487360,5860,1572930240970340013,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1572930241078984338,5861,1572930241024096965,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1572930241132186923,5862,1572930241078315973,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1572930241185966435,5863,1572930241132219076,,0.0,9.99999974738e-06,-0.0,-0.0
1572930241239633584,5864,1572930241186047077,,0.0,0.0,-0.0,-9.99999974738e-06
1572930241293748056,5865,1572930241239185094,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1572930241397206290,5866,1572930241293291091,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1572930241451135707,5867,1572930241396636962,,0.0,0.0,-0.0,-9.99999974738e-06
1572930241504229407,5868,1572930241450393915,,0.0,-0.0,-0.0,0.0
1572930241557941668,5869,1572930241504221916,,0.0,-9.99999974738e-06,0.0,0.0
1572930241661782701,5870,1572930241557967901,,0.0,1.99999994948e-05,-9.99999974738e-06,-2.99999992421e-05
1572930241716034167,5871,1572930241661974906,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1572930241769331786,5872,1572930241715646028,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1572930241823304843,5873,1572930241769560098,,0.0,0.0,9.99999974738e-06,0.0
1572930241878171848,5874,1572930241823357105,,0.0,0.0,0.0,-0.0
1572930241933013758,5875,1572930241878215074,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1572930241986233993,5876,1572930241932221889,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1572930242040683586,5877,1572930241985920906,,0.0,-9.99999974738e-06,-0.0,0.0
1572930242144135361,5878,1572930242040067911,,0.0,0.0,0.0,0.0
1572930242198448862,5879,1572930242143899917,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1572930242251613479,5880,1572930242197694063,,0.0,-1.99999994948e-05,9.99999974738e-06,1.99999994948e-05
1572930242305861240,5881,1572930242251710891,,0.0,-0.0,9.99999974738e-06,0.0
1572930242359716908,5882,1572930242305480003,,0.0,0.0,9.99999974738e-06,-9.99999974738e-06
1572930242414879524,5883,1572930242359925985,,0.0,-0.0,-2.99999992421e-05,-9.99999974738e-06
1572930242468768346,5884,1572930242414284944,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1572930242522089177,5885,1572930242467880964,,0.0,1.99999994948e-05,1.99999994948e-05,-9.99999974738e-06
1572930242576004634,5886,1572930242521826028,,0.0,1.99999994948e-05,-0.0,-9.99999974738e-06
1572930242629241502,5887,1572930242575340032,,0.0,-0.0,9.99999974738e-06,0.0
1572930242682858060,5888,1572930242629156112,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1572930242737801879,5889,1572930242683166027,,0.0,-0.0,0.0,-0.0
1572930242841061433,5890,1572930242737025022,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1572930242895229691,5891,1572930242841126918,,0.0,0.0,-9.99999974738e-06,-0.0
1572930242949869538,5892,1572930242894794940,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1572930243002359088,5893,1572930242949157953,,0.0,0.0,2.99999992421e-05,9.99999974738e-06
1572930243056068419,5894,1572930243001734972,,0.0,-0.0,-0.0,0.0
1572930243160028053,5895,1572930243055397987,,0.0,-1.99999994948e-05,1.99999994948e-05,1.99999994948e-05
1572930243213304402,5896,1572930243159313917,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
