%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1572930300026969421,1356,1572930299973663091,,4.84610609419e-05,-4.0778559196e-05,-6.48072309559e-05
1572930300080802718,1357,1572930300027647972,,6.90041488269e-05,1.29332047436e-05,6.61734229652e-05
1572930300134095490,1358,1572930300081260919,,2.00634826797e-06,-3.20103526974e-06,6.03559929004e-05
1572930300187493239,1359,1572930300134610891,,-4.65627363155e-06,4.19200441684e-05,2.81451357296e-05
1572930300240767059,1360,1572930300188312053,,0.00203207670711,0.000137571492814,-7.23921257304e-05
1572930300294186043,1361,1572930300241096973,,-2.1916375772e-05,4.53376269434e-05,-2.86379381578e-05
1572930300398025696,1362,1572930300294661998,,-3.51081653207e-05,-2.1423918497e-06,8.24640301289e-06
1572930300450729392,1363,1572930300398458957,,8.19081687951e-05,2.12781742448e-05,3.78259428544e-05
1572930300503771228,1364,1572930300451040029,,-7.89158511907e-05,-4.7807197916e-06,1.11046338134e-05
1572930300557258518,1365,1572930300504151105,,-1.56081823661e-05,-6.62050297251e-05,-0.000107950312668
1572930300610189802,1366,1572930300557871103,,2.50258744927e-05,-4.76318155052e-06,-6.48476052447e-05
1572930300664893584,1367,1572930300610344886,,6.29271744401e-05,3.07168120344e-05,5.41278532182e-05
1572930300717514547,1368,1572930300665955066,,5.63605462958e-05,-4.10756547353e-05,3.22948690155e-05
1572930300769512682,1369,1572930300717611074,,0.00010111611482,-1.66326281033e-05,-2.90138723358e-06
1572930300823039742,1370,1572930300769920110,,3.68680521206e-05,-7.0234433224e-05,-5.88219554629e-05
1572930300876836002,1371,1572930300823726892,,3.81285317417e-05,2.02904811886e-05,5.17638109159e-05
1572930300931000378,1372,1572930300877841949,,-6.46018015686e-05,-5.45613547729e-05,-8.06273892522e-05
1572930300984425928,1373,1572930300931304931,,-0.000143521392602,2.27377877309e-05,-9.22130639083e-05
1572930301038163893,1374,1572930300984916925,,-3.37221681548e-05,3.59368641512e-05,-3.24779539369e-05
1572930301092110127,1375,1572930301038644075,,6.76291665513e-06,-2.79996083918e-06,-0.000126364509924
1572930301195427784,1376,1572930301092575073,,-5.73255929339e-05,3.22399973811e-05,9.82161946013e-05
1572930301249617035,1377,1572930301196130037,,-0.000832511694171,-5.82197790209e-05,9.54448623816e-05
1572930301303617049,1378,1572930301250243902,,-0.000126941129565,1.41344171425e-05,-3.39523103321e-05
1572930301357356913,1379,1572930301304014921,,-1.56124078785e-05,-7.4811136983e-06,-6.99835145497e-05
1572930301410739512,1380,1572930301357754945,,1.96733653866e-05,-1.71524970938e-05,9.49374734773e-05
1572930301466141524,1381,1572930301412605047,,-0.000184308693861,-1.52912052727e-05,3.69376793969e-05
1572930301519950931,1382,1572930301466528892,,-3.57585349775e-07,-1.84294804058e-05,-7.60035545682e-05
1572930301574005291,1383,1572930301520524024,,-5.02307739225e-05,2.72310717264e-05,3.72860922653e-05
1572930301679302176,1384,1572930301574585914,,2.17097494897e-05,-2.28332883125e-05,-1.01826872196e-05
1572930301730998155,1385,1572930301679757118,,0.000172564774402,5.87169415667e-05,0.000102067941043
1572930301783918220,1386,1572930301731139898,,1.02132353277e-05,-8.55575672176e-06,0.000113940353913
1572930301838161206,1387,1572930301784948110,,-5.158868953e-05,-3.92868641939e-05,-0.000108681844722
1572930301892343165,1388,1572930301838701963,,-2.56597159023e-05,2.79434207187e-05,-2.14959854929e-05
1572930301945824994,1389,1572930301892631053,,4.18369127146e-05,-9.89297859633e-06,-1.97905810637e-05
1572930301999867319,1390,1572930301946439027,,-1.82380917977e-05,-3.89681263187e-05,-8.58831772348e-05
1572930302053731664,1391,1572930302000524044,,3.14000280923e-05,-5.12573569722e-05,-1.42777134897e-05
1572930302107441071,1392,1572930302054280042,,2.11667920667e-05,4.23248275183e-05,9.72124325926e-05
1572930302210005704,1393,1572930302107841014,,-3.59771584044e-05,-2.33421615121e-05,-4.98684712511e-05
1572930302263466817,1394,1572930302210216045,,-6.98964722687e-05,-1.8378628738e-05,-8.24302551337e-05
1572930302317716942,1395,1572930302264381885,,-0.00159754278138,-0.000130419371999,5.65817608731e-05
1572930302371395582,1396,1572930302317991018,,-7.91531783761e-06,-6.2791068558e-06,-1.44147261381e-05
1572930302424797444,1397,1572930302371551036,,-1.71436640812e-05,5.15171268489e-05,0.000101560777694
1572930302478380184,1398,1572930302425312042,,-3.44171567122e-05,-8.17345426185e-05,-8.04310111562e-05
1572930302531583204,1399,1572930302478606939,,-4.49770550404e-06,-2.82542951027e-05,-4.25873404311e-05
1572930302586936853,1400,1572930302532288074,,9.33511255425e-05,2.13385010284e-06,6.33387899143e-05
1572930302640857401,1401,1572930302587338924,,-2.05373689823e-05,6.53856841382e-05,9.22744147829e-05
1572930302744370030,1402,1572930302641335010,,2.81310331047e-05,-9.31359463721e-05,-0.000119941061712
1572930302798453535,1403,1572930302745156049,,1.1671696484e-05,6.66662235744e-05,6.40109137748e-05
1572930302851385138,1404,1572930302797835111,,-9.58934288064e-06,-1.71039428096e-05,1.3773667888e-05
1572930302905106215,1405,1572930302851434946,,-6.92954708938e-05,-1.18249238312e-06,-9.02079846128e-05
1572930302958973358,1406,1572930302905509948,,7.04205958755e-05,3.46057531715e-05,5.44436852579e-06
1572930303011738456,1407,1572930302959379911,,-2.5124525564e-05,-2.55613758782e-05,-1.90863993339e-05
1572930303063494163,1408,1572930303011296033,,-0.00708769774064,-0.000571238866542,0.000237054031459
1572930303116133572,1409,1572930303063755035,,2.41050256591e-05,-3.79996095035e-06,4.93357265441e-06
1572930303169617664,1410,1572930303116435050,,-8.78033824847e-05,-9.77000945568e-06,-5.68778341403e-05
1572930303273813255,1411,1572930303170248031,,6.53838433209e-05,2.30550031119e-05,9.77672243607e-05
1572930303327407510,1412,1572930303274425029,,-4.6467125685e-06,8.14680788608e-06,2.35341794905e-05
1572930303381188321,1413,1572930303327994108,,6.19920174358e-05,6.25073589617e-05,6.38592973701e-05
1572930303434171184,1414,1572930303381829977,,6.06619141763e-05,-6.0528414906e-05,-2.03061517823e-05
1572930303487061826,1415,1572930303434603929,,-0.000198072753847,-0.000102329911897,-9.07824723981e-05
1572930303540237652,1416,1572930303487204074,,0.000129988547997,-1.03308448161e-05,-6.97059076629e-05
1572930303593089444,1417,1572930303540699958,,1.17263607535e-05,0.00010375661077,7.23522607586e-05
1572930303645809731,1418,1572930303593391895,,-4.44851502834e-05,1.70014609466e-05,9.29671368795e-05
1572930303698835733,1419,1572930303645952939,,-6.17161640548e-05,-5.0963000831e-05,-8.48280615173e-05
1572930303752276186,1420,1572930303699229001,,-0.000143048702739,-1.42671410686e-06,-8.8602580945e-05
1572930303807244783,1421,1572930303754678964,,5.7718516473e-05,-2.53754787991e-05,4.01302440878e-06
1572930303860165421,1422,1572930303807776927,,7.99694316811e-05,1.93648907043e-06,4.9971309636e-05
1572930303913375496,1423,1572930303860513925,,1.4756683413e-05,-2.21962200158e-05,-3.27375273628e-05
1572930304017322113,1424,1572930303914134025,,9.76904630079e-05,-2.68262338068e-05,-2.65075577772e-05
1572930304074008391,1425,1572930304019474029,,-0.000123308302136,4.36693790107e-06,-4.59741713712e-05
1572930304126779606,1426,1572930304073168039,,-0.000100560348073,-2.21520240302e-05,-0.000121109376778
1572930304181941674,1427,1572930304127382040,,-1.41295568028e-05,1.66862791957e-05,-3.28829119098e-05
1572930304234533305,1428,1572930304182137966,,0.000101722995169,9.20489110285e-05,0.000141051714309
1572930304287624127,1429,1572930304234761953,,-4.56660200143e-06,-4.13361594838e-05,-3.19085811498e-05
1572930304341411272,1430,1572930304287996053,,4.64568665848e-06,3.39033358614e-05,4.47582242487e-05
1572930304395703332,1431,1572930304341869115,,5.80036021347e-06,-1.59286610142e-05,-6.69714645483e-05
1572930304449449636,1432,1572930304396048069,,7.55046057748e-05,-2.38690245169e-05,5.79867919441e-05
1572930304503709605,1433,1572930304450051069,,-2.06643085221e-06,3.34492360707e-05,5.21658294019e-05
1572930304555933044,1434,1572930304504021883,,-7.38763919799e-05,-3.2308173104e-05,-0.000100525539892
1572930304608988422,1435,1572930304555948972,,-4.14340065618e-05,-7.49814716983e-05,-2.17003325815e-05
1572930304663339984,1436,1572930304609359979,,5.32997546543e-05,4.73864048445e-07,-7.4895171565e-05
1572930304717348860,1437,1572930304662942886,,7.68331810832e-05,4.77531057186e-06,-6.28722500551e-06
1572930304769646506,1438,1572930304717714071,,-0.000325610308209,-3.62146295174e-07,-3.13063287649e-06
1572930304822625672,1439,1572930304769866943,,-1.32262794068e-05,1.12605403046e-05,-2.92591630568e-05
1572930304875232590,1440,1572930304822081089,,-0.00038936448982,-9.64020819083e-06,7.33862907509e-05
1572930304979452996,1441,1572930304875825881,,0.000127988925669,9.22168692341e-05,0.000282838591374
1572930305083380141,1442,1572930304980062007,,2.10224588955e-05,-7.63856733101e-05,-0.000142558244988
1572930305136540326,1443,1572930305083786010,,-0.000144583565998,6.24101130597e-06,-0.000118797805044
1572930305189788998,1444,1572930305136585950,,4.25444777647e-05,5.33053462277e-05,4.70688137284e-05
1572930305242239873,1445,1572930305190217971,,2.15172149183e-05,-7.37572690923e-06,-5.09235687787e-05
1572930305295610709,1446,1572930305242314100,,7.2952178698e-07,7.68326799516e-07,3.06964684569e-05
1572930305348953591,1447,1572930305297065019,,-6.97978175594e-05,-2.11086480704e-05,-7.91018537711e-05
1572930305402002187,1448,1572930305349046945,,8.19304477773e-05,-2.22871385631e-05,7.7657878137e-06
1572930305455454044,1449,1572930305402723073,,5.08460398123e-05,3.63067119906e-05,1.81714694918e-05
1572930305508958047,1450,1572930305455576896,,-0.000188108169823,6.22603110969e-05,-7.69955950091e-05
1572930305563417302,1451,1572930305509174108,,-4.96315406053e-05,-7.23815755919e-05,-7.72735438659e-05
1572930305617604709,1452,1572930305563956975,,0.000106560764834,5.27028932993e-05,0.000191499420907
1572930305671410192,1453,1572930305618123054,,9.25710846786e-05,0.000104561862827,0.0001157690931
1572930305725436159,1454,1572930305671818017,,-0.000142836172017,-5.00051537529e-05,-0.000184999589692
1572930305827962847,1455,1572930305725545883,,5.48813768546e-05,4.21830554842e-05,-9.92833975033e-06
1572930305881322816,1456,1572930305828257083,,-9.44579369389e-05,-3.8176876842e-05,1.68328142536e-08
1572930305935182609,1457,1572930305881746053,,0.0004354758712,8.94932691153e-06,5.31096738996e-05
1572930305988575105,1458,1572930305935512065,,0.000184449614608,3.83848164347e-05,0.000147600308992
1572930306041742289,1459,1572930305988828897,,-5.28158816451e-05,1.67134021467e-05,-3.6154378904e-05
1572930306095188141,1460,1572930306041939973,,2.05319665838e-05,-1.70382918441e-05,2.18778150156e-05
1572930306148531521,1461,1572930306095169067,,0.000115170718345,-2.24439518206e-05,5.15043466294e-05
1572930306200963421,1462,1572930306149111032,,-0.00118898705114,-6.35075921309e-05,5.41371355212e-06
1572930306303777797,1463,1572930306201086044,,-4.2946285248e-05,-1.64029479492e-05,-4.75710621686e-05
1572930306357445697,1464,1572930306304338932,,-5.71315576963e-05,-1.672192775e-05,4.92825392939e-06
1572930306410885507,1465,1572930306357765913,,7.85623797128e-06,-4.35981310147e-05,-0.000130010943394
1572930306464695863,1466,1572930306411499977,,4.02648001909e-05,2.5718474717e-05,2.24982031796e-05
1572930306518685771,1467,1572930306465536117,,1.99125661311e-05,5.00963178638e-05,0.000119265183457
1572930306572303221,1468,1572930306519258022,,-6.71925226925e-05,-4.24566314905e-05,-8.91431991477e-05
1572930306926413759,1469,1572930306573255062,,2.1636227757e-05,-6.84357000864e-05,-7.30658066459e-05
1572930306980164518,1470,1572930306926798105,,-0.000369194982341,2.78164425254e-05,-0.000265353271971
1572930307034836803,1471,1572930306981669902,,-0.000145403289935,0.000772687082645,-0.00427521718666
1572930307089662673,1472,1572930307035320043,,0.000388973334339,0.00048171414528,-0.00846883747727
1572930307144960415,1473,1572930307090764999,,-3.13959135383e-05,-5.73864053877e-05,-0.0101836044341
1572930307197292025,1474,1572930307145312070,,-0.000597546633799,-1.3897867575e-05,-0.00985996425152
1572930307251942090,1475,1572930307197515964,,-0.000623288855422,0.000133307796204,-0.0100292386487
1572930307306228031,1476,1572930307252449989,,-0.000682270503603,0.00010820938769,-0.01035114564
1572930307359660656,1477,1572930307306487083,,-0.000449651415693,0.00022885944054,-0.00983946304768
1572930307413334755,1478,1572930307360033035,,-0.000493727624416,0.000214204090298,-0.0098002133891
1572930307466566663,1479,1572930307413929939,,-0.000624331762083,0.000204180381843,-0.00973910745233
1572930307519404654,1480,1572930307466233015,,-0.000937081757002,0.000119966898637,-0.0101695721969
1572930307573959525,1481,1572930307520004034,,-0.00101753917988,0.000230778648984,-0.00997604802251
1572930307629023121,1482,1572930307574753999,,-0.00490996288136,-7.4681447586e-05,-0.00979248993099
1572930307682384332,1483,1572930307629184007,,-0.00163049250841,0.000230443940382,-0.00966444890946
1572930307736154908,1484,1572930307682864904,,-0.000657046271954,0.000395863607991,-0.0100378254429
1572930307789360000,1485,1572930307736735105,,-0.00105413247366,0.000276400649454,-0.0102691687644
1572930307842282657,1486,1572930307789858102,,-0.00179625244346,0.000293268734822,-0.00949301477522
1572930307895146820,1487,1572930307842607021,,-0.000833581725601,0.000315113255056,-0.0101786619052
1572930307948905233,1488,1572930307895284891,,-0.00080518447794,0.000228089789744,-0.0102198300883
1572930308002617893,1489,1572930307949058055,,-0.000955983181484,0.000250112439971,-0.010362084955
1572930308056071079,1490,1572930308003177881,,-0.00112059235107,0.000217281427467,-0.0107747353613
1572930308110439633,1491,1572930308056963920,,-0.000907502602786,0.000429533538409,-0.00963218789548
1572930308164729256,1492,1572930308111830949,,-0.000451670901384,0.000399963930249,-0.00960588827729
1572930308218043411,1493,1572930308164861917,,-0.000693994166795,0.000372394773876,-0.0102705182508
1572930308271377651,1494,1572930308218420028,,-0.000797882268671,0.000355016964022,-0.0101507604122
1572930308325030605,1495,1572930308272131919,,-0.000872918928508,0.000207692457479,-0.0103802066296
1572930308378872753,1496,1572930308325452089,,-0.00067031069193,0.00023734018032,-0.00975675322115
1572930308432678921,1497,1572930308379148006,,-0.00060807436239,0.000213279723539,-0.0100402738899
1572930308485771655,1498,1572930308432816982,,-0.00071139994543,0.000253757840255,-0.0102077173069
1572930308539946492,1499,1572930308486612081,,-0.000893001328222,0.000336832687026,-0.00990456622094
1572930308643871599,1500,1572930308540158987,,-0.000698668824043,0.000279775937088,-0.0101497741416
1572930308696984334,1501,1572930308643374919,,-0.000721421150956,0.000209395089769,-0.0101471915841
1572930308752713710,1502,1572930308697920083,,-0.000853972625919,0.000234590683249,-0.00988452881575
1572930308806412576,1503,1572930308753200054,,-0.000882419699337,2.44999282586e-05,-0.0103028686717
1572930308860889114,1504,1572930308806894063,,-0.00062795705162,0.000200048642,-0.0100705130026
1572930308915108335,1505,1572930308861499071,,-0.000625505228527,0.000241139685386,-0.00994792487472
1572930308968566435,1506,1572930308915386915,,-0.000478152389405,0.000427976017818,-0.00961174536496
1572930309022069404,1507,1572930308969252109,,-0.000809070304967,0.000407752813771,-0.00997583568096
1572930309074475747,1508,1572930309022192001,,-0.000934743788093,0.000101600002381,-0.0103944195434
1572930309128194201,1509,1572930309074827909,,-0.000477344408864,0.000309768191073,-0.00941604468971
1572930309181998627,1510,1572930309128586053,,-0.000722472323105,0.00025245611323,-0.00993229448795
1572930309235950385,1511,1572930309182609081,,-0.00073489517672,0.000326218898408,-0.010052440688
1572930309289535401,1512,1572930309236321926,,-0.000781809736509,0.000359111989383,-0.00997460726649
1572930309392797453,1513,1572930309290098905,,-0.000449134706287,0.000259516207734,-0.0100768208504
1572930309445423023,1514,1572930309393138885,,-0.000755536661018,0.000324091990478,-0.0099979210645
1572930309498421269,1515,1572930309445965051,,-0.000790947233327,0.000271105935099,-0.0103198625147
1572930309552102554,1516,1572930309498730897,,-0.000842858396936,0.000392027781345,-0.00976091623306
1572930309605893159,1517,1572930309552496910,,-0.000758403737564,0.000212141996599,-0.00994632579386
1572930309711266734,1518,1572930309606283903,,-0.000604681961704,0.00024355117057,-0.00993904098868
1572930309765184813,1519,1572930309711760044,,-0.000638524477836,0.000269235286396,-0.00991231109947
1572930309819175350,1520,1572930309765746116,,-0.000535463856068,0.00023547282035,-0.0100310090929
1572930309872188023,1521,1572930309819813013,,-0.000657432363369,0.000180724018719,-0.0104079553857
1572930309925737420,1522,1572930309872545957,,-0.000529403972905,0.00011719862232,-0.0101566603407
1572930309979241431,1523,1572930309925837993,,-0.000801466580015,0.000258550950093,-0.0101277912036
1572930310033542562,1524,1572930309979902029,,-0.000911958282813,0.000295845820801,-0.010279327631
1572930310085477982,1525,1572930310033317089,,-0.000736337853596,0.000216971748159,-0.0101865353063
1572930310139022440,1526,1572930310085515975,,-0.000508569297381,0.000262952322373,-0.00993365515023
1572930310243271550,1527,1572930310139731884,,-0.00068229297176,0.000368795124814,-0.00994662288576
1572930310295420169,1528,1572930310243417978,,-0.000516143336426,0.00032308686059,-0.0100290048867
1572930310348084712,1529,1572930310295713901,,-0.000668538676109,0.000343061663443,-0.0102112591267
1572930310400587154,1530,1572930310348402976,,-0.000605232780799,0.00034871918615,-0.00984111335129
1572930310454347069,1531,1572930310401006937,,-0.000689646869432,0.000189069964108,-0.010098583065
1572930310507897045,1532,1572930310454591035,,-0.000641846098006,0.000332714873366,-0.0101530756801
1572930310560763599,1533,1572930310508405923,,-0.000545639719348,0.00038233367377,-0.0096960188821
1572930310614017590,1534,1572930310560959100,,-0.000612832023762,0.000301699183183,-0.00999370403588
1572930310668008171,1535,1572930310614643096,,-0.00061321107205,0.000173274849658,-0.010293232277
1572930310720872107,1536,1572930310668478012,,-0.000600584840868,0.000270383054158,-0.0100121386349
1572930310774508374,1537,1572930310721393108,,-0.000866340647917,0.000181490846444,-0.0100327311084
1572930310828249028,1538,1572930310774892091,,-0.000681225326844,0.000258436630247,-0.0101274466142
1572930310880855285,1539,1572930310828870058,,-0.000442940247012,0.000185489436262,-0.00984022859484
1572930310984355224,1540,1572930310881033897,,-0.00115421437658,0.000205210482818,-0.0101941013709
1572930311038285372,1541,1572930310984760999,,-0.00157850165851,0.00020353232685,-0.00989670585841
1572930311091133753,1542,1572930311038528919,,-0.000521968060639,0.000280928710708,-0.00976317934692
1572930311145014936,1543,1572930311091576099,,0.00121913803741,0.000404888181947,-0.0099545000121
1572930311197796865,1544,1572930311145049095,,-0.000845405971631,0.000182925359695,-0.0102029684931
1572930311251022366,1545,1572930311198054075,,-0.000885528046638,0.00028421607567,-0.0101315854117
1572930311306398956,1546,1572930311253176927,,-0.000395883020246,0.000325341912685,-0.00993802770972
1572930311360280539,1547,1572930311306916952,,-0.000391781213693,0.000443423632532,-0.00989837944508
1572930311414262680,1548,1572930311361025094,,-0.000582145527005,0.00031296222005,-0.00992541201413
1572930311518263755,1549,1572930311414649963,,-0.000832644698676,0.000372999958927,-0.0101129794493
1572930311571716435,1550,1572930311518218040,,-0.000645684369374,0.000152631226229,-0.0100232865661
1572930311624487256,1551,1572930311571165084,,-0.000688395346515,0.000139677693369,-0.0100157409906
1572930311677567197,1552,1572930311624856948,,-0.000527144991793,0.000251868303167,-0.0101158749312
1572930311731435432,1553,1572930311677782058,,-0.000673153146636,0.000363800034393,-0.00974999554455
1572930311784390158,1554,1572930311731801986,,-0.000658454198856,0.000348311848938,-0.00963832158595
1572930311837126269,1555,1572930311785233974,,-0.000463393545942,0.000300484651234,-0.0101012596861
1572930311890465674,1556,1572930311837229013,,-0.000697682553437,0.00028735093656,-0.00997460074723
1572930311943597613,1557,1572930311890862941,,-0.000724290322978,0.000245798961259,-0.0101165184751
1572930311997161083,1558,1572930311943974971,,-0.000736835296266,0.00031801086152,-0.00994498934597
1572930312049715050,1559,1572930311997901916,,1.32815657707e-05,0.000352955044946,-0.00986293610185
1572930312103227544,1560,1572930312050051927,,-0.000629185291473,0.000358345132554,-0.00975964777172
1572930312155478734,1561,1572930312103542089,,-0.00393577897921,-4.87734432681e-05,-0.00995275937021
