%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1572924745676478240,1,1572924745623075008,,-0.000630177382845,-0.00687473313883,-0.00225699855946
1572924745730830041,2,1572924745677115917,,-0.000638355792034,-0.00681345164776,-0.00218068365939
1572924745783095296,3,1572924745731050968,,-0.000521280278917,-0.00681678019464,-0.00207466981374
1572924745837116784,4,1572924745783795118,,-0.000563952547964,-0.00673871347681,-0.00209294608794
1572924745889603665,5,1572924745837400913,,-0.000493073137477,-0.00684108352289,-0.00224143220112
1572924745943406577,6,1572924745890142917,,-0.000583710498177,-0.0069203726016,-0.00212640012614
1572924745996674320,7,1572924745943741083,,-0.0006213762681,-0.00690181506798,-0.00215798337013
1572924746050682469,8,1572924745996835947,,-0.0004537095665,-0.00682547781616,-0.00213966169395
1572924746104830672,9,1572924746051343917,,-0.000465963792522,-0.00679538724944,-0.00211155973375
1572924746159510736,10,1572924746105568885,,-0.000742775388062,-0.00696792034432,-0.00232160021551
1572924746213609633,11,1572924746159914016,,-0.000676377327181,-0.0069126826711,-0.00236750813201
1572924746267126069,12,1572924746213826894,,-0.000535858795047,-0.00674460735172,-0.00225098966621
1572924746321382118,13,1572924746267824888,,-0.00069852755405,-0.00680711353198,-0.00226262025535
1572924746375713425,14,1572924746322341918,,-0.000690688146278,-0.0068545001559,-0.00234927539714
1572924746429441326,15,1572924746376125097,,-0.000732927350327,-0.00686642806977,-0.00231501762755
1572924746483240844,16,1572924746429974079,,-0.000643149891403,-0.00686349859461,-0.00233219424263
1572924746536724261,17,1572924746483613967,,-0.000517493404914,-0.00689112534747,-0.0022745882161
1572924746591172038,18,1572924746537293910,,-0.000681663688738,-0.0069603533484,-0.00233284197748
1572924746645763191,19,1572924746591056108,,-0.000607651018072,-0.00678685307503,-0.00212387181818
1572924746698725067,20,1572924746645237922,,-0.00051571597578,-0.00679110037163,-0.00212698453106
1572924746752581696,21,1572924746698957920,,-0.000503679679241,-0.0067765484564,-0.00214492203668
1572924746806262033,22,1572924746752876996,,-0.000580324733164,-0.00685841357335,-0.00224060122855
1572924746860083461,23,1572924746806731939,,-0.000650265894365,-0.00684501463547,-0.00223581003956
1572924746912995382,24,1572924746860337018,,-0.000470493192552,-0.00677781226113,-0.0022067904938
1572924746965807070,25,1572924746913404941,,-0.000587455695495,-0.00678109377623,-0.00228261156008
1572924747019659170,26,1572924746966294050,,-0.000602854823228,-0.00677815685049,-0.00224902667105
1572924747074034121,27,1572924747021585941,,-0.000567334995139,-0.00682450225577,-0.0022912977729
1572924747128361362,28,1572924747074302911,,-0.000774980639108,-0.00694995140657,-0.00236714119092
1572924747181932517,29,1572924747128599882,,-0.000776896835305,-0.00681816227734,-0.00244135316461
1572924747236047843,30,1572924747182527065,,-0.000770856160671,-0.00707007339224,-0.00243251258507
1572924747291259922,31,1572924747236291885,,-0.000609987589996,-0.00688443519175,-0.00216692872345
1572924747346565860,32,1572924747291943073,,-0.000348824221874,-0.00657957652584,-0.00198343978263
1572924747400892161,33,1572924747347330093,,-0.000524567265529,-0.00696808751673,-0.00216002669185
1572924747455356061,34,1572924747401108980,,-0.000808447250165,-0.00709918886423,-0.00235411641188
1572924747559466836,35,1572924747456151962,,-0.00051772617735,-0.00688520725816,-0.00218326225877
