%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573201975713817077,5312,1573201975659178018,,50.0
1573201975766467073,5313,1573201975712395906,,50.0
1573201975820297506,5314,1573201975765367031,,50.0
1573201975874214906,5315,1573201975819165945,,50.0
1573201975927433311,5316,1573201975872807025,,50.0
1573201976030968668,5317,1573201975926295042,,50.0
1573201976084181520,5318,1573201976030206918,,50.0
1573201976138491933,5319,1573201976083498001,,50.0
1573201976191095936,5320,1573201976136951923,,50.0
1573201976294637868,5321,1573201976190068960,,50.0
1573201976346998641,5322,1573201976294214010,,50.0
1573201976400265532,5323,1573201976346483945,,50.0
1573201976453463804,5324,1573201976399219989,,50.0
1573201976506495051,5325,1573201976452162027,,50.0
1573201976559721456,5326,1573201976505408048,,50.0
1573201976613846380,5327,1573201976559218883,,50.0
1573201976666646076,5328,1573201976612490892,,50.0
1573201976720032211,5329,1573201976666112899,,50.0
1573201976823841457,5330,1573201976719468116,,50.0
1573201976876305926,5331,1573201976823044061,,50.0
1573201976927902727,5332,1573201976875339984,,50.0
1573201976980983156,5333,1573201976927297115,,50.0
1573201977084106796,5334,1573201976980283975,,50.0
1573201977137857763,5335,1573201977083467960,,50.0
1573201977191783832,5336,1573201977137057065,,50.0
1573201977245207625,5337,1573201977190673112,,50.0
1573201977299925738,5338,1573201977243992090,,50.0
1573201977353857263,5339,1573201977299385070,,50.0
1573201977407265736,5340,1573201977352852106,,50.0
1573201977461655704,5341,1573201977406275033,,50.0
1573201977564823799,5342,1573201977460124969,,50.0
1573201977617890172,5343,1573201977563509941,,50.0
1573201977671345257,5344,1573201977617213010,,50.0
1573201977725041202,5345,1573201977670747995,,50.0
1573201977777354501,5346,1573201977724195003,,50.0
1573201977831635813,5347,1573201977776937007,,50.0
1573201977885201460,5348,1573201977831255912,,50.0
1573201977939452920,5349,1573201977884845018,,50.0
1573201977993034209,5350,1573201977938643932,,50.0
1573201978047105777,5351,1573201977992249011,,50.0
1573201978099743797,5352,1573201978045595884,,50.0
1573201978154423560,5353,1573201978099410057,,50.0
1573201978207448817,5354,1573201978152686119,,50.0
1573201978311251205,5355,1573201978206790924,,50.0
1573201978365279851,5356,1573201978310242891,,50.0
1573201979268466574,5357,1573201978363877058,,50.0
1573201979321486602,5358,1573201979267044067,,50.0
1573201979373660178,5359,1573201979319961071,,50.0
1573201979427975738,5360,1573201979373413085,,50.0
1573201979480762079,5361,1573201979427644968,,50.0
1573201979532998797,5362,1573201979480070114,,50.0
1573201979586925596,5363,1573201979532179117,,50.0
1573201979640172487,5364,1573201979585453987,,50.0
1573201979693010741,5365,1573201979639600038,,50.0
1573201979746624975,5366,1573201979691931962,,50.0
1573201979799665536,5367,1573201979745224952,,50.0
1573201979902839593,5368,1573201979798568010,,50.0
1573201979956677464,5369,1573201979901940107,,50.0
1573201980009653668,5370,1573201979955084085,,50.0
1573201980062604064,5371,1573201980008287906,,50.0
1573201980116962223,5372,1573201980062221050,,50.0
1573201980169447340,5373,1573201980115231990,,50.0
1573201980222980403,5374,1573201980168687105,,50.0
1573201980276370966,5375,1573201980221903085,,50.0
1573201980379858536,5376,1573201980275732994,,50.0
1573201980433421777,5377,1573201980378887891,,50.0
1573201980487086497,5378,1573201980432765960,,50.0
1573201980540916926,5379,1573201980485742092,,50.0
1573201980592959095,5380,1573201980538827896,,50.0
1573201980645834729,5381,1573201980592171907,,50.0
1573201980697834689,5382,1573201980644552946,,50.0
1573201980750753389,5383,1573201980696700096,,50.0
1573201980802906470,5384,1573201980749828100,,50.0
1573201980854865669,5385,1573201980801979064,,50.0
1573201980957381830,5386,1573201980854051113,,50.0
1573201981010550591,5387,1573201980956492900,,50.0
1573201981064021668,5388,1573201981009612083,,50.0
1573201981117189475,5389,1573201981063170909,,50.0
1573201981170838157,5390,1573201981116693019,,50.0
1573201981226648398,5391,1573201981170326948,,50.0
1573201981279063556,5392,1573201981225909948,,50.0
1573201981332532025,5393,1573201981278572082,,50.0
1573201981386043498,5394,1573201981331933975,,50.0
1573201981739512648,5395,1573201981385329008,,50.0
1573201981793278631,5396,1573201981738826036,,50.0
1573201981845952105,5397,1573201981791775941,,50.0
1573201981899930873,5398,1573201981845835924,,50.0
1573201981953962584,5399,1573201981899456977,,50.0
1573201982006268056,5400,1573201981953299045,,50.0
1573201982060526116,5401,1573201982005719900,,50.0
1573201982114113914,5402,1573201982059542894,,50.0
1573201982167389067,5403,1573201982112714052,,50.0
1573201982220133068,5404,1573201982165771961,,50.0
1573201982273818675,5405,1573201982219392061,,50.0
1573201982327079592,5406,1573201982272972106,,50.0
1573201982379520322,5407,1573201982326714992,,50.0
1573201982433590728,5408,1573201982378787040,,50.0
1573201982485279596,5409,1573201982432219982,,50.0
1573201982589281795,5410,1573201982484807014,,50.0
1573201982642350270,5411,1573201982588351011,,50.0
1573201982695782965,5412,1573201982641411066,,50.0
1573201982749605919,5413,1573201982694667100,,50.0
1573201982802970645,5414,1573201982748253107,,50.0
1573201982858018945,5415,1573201982801547050,,50.0
1573201982911060199,5416,1573201982856518983,,50.0
1573201982963892867,5417,1573201982909632921,,50.0
1573201983016679931,5418,1573201982962646961,,50.0
1573201983070932099,5419,1573201983016056060,,50.0
1573201983173529475,5420,1573201983069499969,,50.0
1573201983225909993,5421,1573201983172842025,,50.0
1573201983279931411,5422,1573201983225399017,,50.0
1573201983332818908,5423,1573201983278582096,,50.0
1573201983436532251,5424,1573201983331614971,,50.0
1573201983490437895,5425,1573201983435780048,,50.0
1573201983544721527,5426,1573201983489105939,,50.0
1573201983596899053,5427,1573201983544156074,,50.0
1573201983650524550,5428,1573201983596127033,,50.0
