%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573203653299693257,667,1573203653245148897,,80.0
1573203653404508303,668,1573203653298753976,,80.0
1573203653458910174,669,1573203653403759956,,80.0
1573203653511763814,670,1573203653457515001,,80.0
1573203653566687270,671,1573203653510495901,,80.0
1573203653621761250,672,1573203653565233945,,80.0
1573203653675761363,673,1573203653621362924,,80.0
1573203653729278230,674,1573203653675169944,,80.0
1573203653784190609,675,1573203653728936910,,80.0
1573203653887009108,676,1573203653783571004,,80.0
1573203653940663324,677,1573203653886142969,,80.0
1573203653993621150,678,1573203653940220117,,80.0
1573203654047022494,679,1573203653992515087,,80.0
1573203654151090680,680,1573203654045922040,,80.0
1573203654204725484,681,1573203654150484085,,80.0
1573203654257975142,682,1573203654203898906,,80.0
1573203654311949662,683,1573203654257402896,,80.0
1573203654365068445,684,1573203654310532093,,80.0
1573203654419545931,685,1573203654364685058,,80.0
1573203654472340381,686,1573203654418134927,,80.0
1573203654526610667,687,1573203654471604108,,80.0
1573203654631889665,688,1573203654526066064,,80.0
1573203654685530167,689,1573203654631234884,,80.0
1573203654739427221,690,1573203654684864044,,80.0
1573203654793707738,691,1573203654738325119,,80.0
1573203654846933868,692,1573203654791901111,,80.0
1573203654899487210,693,1573203654845510005,,80.0
1573203654953402876,694,1573203654898742914,,80.0
1573203655006134144,695,1573203654952028989,,80.0
1573203655110327538,696,1573203655005783081,,80.0
1573203655163289619,697,1573203655109016895,,80.0
1573203655216831551,698,1573203655162328958,,80.0
1573203655270793229,699,1573203655216105937,,80.0
1573203655324358204,700,1573203655270358085,,80.0
1573203655379216017,701,1573203655323554039,,80.0
1573203655430070766,702,1573203655377234935,,80.0
1573203655484095442,703,1573203655429730892,,80.0
1573203655537740484,704,1573203655483525991,,80.0
1573203655589514874,705,1573203655536458015,,80.0
1573203655644469825,706,1573203655588954925,,80.0
1573203655699607152,707,1573203655645037889,,80.0
1573203655752739768,708,1573203655698503017,,80.0
1573203655806643333,709,1573203655752384901,,80.0
