%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573202962996359718,440,1573202962940083980,,80.0
1573202963049422568,441,1573202962995162010,,80.0
1573202963103491635,442,1573202963048912048,,80.0
1573202963157310488,443,1573202963102499961,,80.0
1573202963262050110,444,1573202963156780004,,80.0
1573202963315661501,445,1573202963261559009,,80.0
1573202963369394009,446,1573202963314995050,,80.0
1573202963423356199,447,1573202963368499040,,80.0
1573202963475995904,448,1573202963422734975,,80.0
1573202963529625381,449,1573202963475195884,,80.0
1573202963583678745,450,1573202963528750896,,80.0
1573202963636473600,451,1573202963582787990,,80.0
1573202963688947358,452,1573202963635901927,,80.0
1573202963791803905,453,1573202963688139915,,80.0
1573202963845149757,454,1573202963790680885,,80.0
1573202963897721146,455,1573202963843800067,,80.0
1573202963951907535,456,1573202963897342920,,80.0
1573202964054931147,457,1573202963950788021,,80.0
1573202964408668592,458,1573202964054461956,,80.0
1573202964461061632,459,1573202964407969951,,79.9499969482
1573202964514585215,460,1573202964460397958,,78.3499984741
1573202964568064061,461,1573202964514111995,,74.9000015259
1573202964622511149,462,1573202964567488908,,73.1999969482
1573202964674181022,463,1573202964621058940,,73.6500015259
1573202964726880898,464,1573202964673322916,,73.5999984741
1573202964780319181,465,1573202964725600957,,72.9499969482
1573202964833188219,466,1573202964779083967,,71.5
1573202964887001819,467,1573202964832798957,,69.3499984741
1573202964940321699,468,1573202964886334896,,66.25
1573202964995793999,469,1573202964939560890,,53.7999992371
1573202965048855186,470,1573202964994168043,,47.3499984741
1573202965101553212,471,1573202965047633886,,38.9000015259
1573202965155276774,472,1573202965100564002,,31.2500019073
1573202965209063790,473,1573202965154408931,,27.2999973297
1573202965262502589,474,1573202965208323001,,24.6000003815
1573202965366062408,475,1573202965261338949,,22.4999980927
1573202965419837332,476,1573202965365550041,,19.6499996185
1573202965473535027,477,1573202965419080972,,17.75
1573202965526824557,478,1573202965472209930,,15.999997139
1573202965579703148,479,1573202965525619983,,14.9000005722
1573202965685174608,480,1573202965578998088,,13.8999986649
1573202965739016720,481,1573202965684536933,,12.8500032425
1573202965792807243,482,1573202965738250017,,10.749997139
1573202965846805119,483,1573202965791980981,,10.0
1573202965950056739,484,1573202965846055030,,10.0
1573202966004123420,485,1573202965949368000,,15.4999961853
1573202966057728421,486,1573202966002620935,,16.7999954224
1573202966110391672,487,1573202966055830955,,17.2499961853
1573202966214827003,488,1573202966110034942,,17.0499992371
1573202966268610133,489,1573202966214339017,,20.3999977112
1573202966322027124,490,1573202966267374038,,25.4999980927
1573202966425645002,491,1573202966321449041,,33.0999984741
1573202966479334460,492,1573202966424432039,,44.8999977112
1573202966532715260,493,1573202966478049993,,49.7999992371
1573202966586266688,494,1573202966531610965,,51.7999992371
1573202966639227949,495,1573202966584794044,,49.0999984741
1573202966692343697,496,1573202966637922048,,49.0499992371
1573202966744856440,497,1573202966691843986,,53.8999977112
1573202966798140594,498,1573202966744144916,,58.0999984741
1573202966852328840,499,1573202966797375917,,56.7999992371
1573202966955295540,500,1573202966851017951,,53.5999984741
1573202967009617559,501,1573202966954227924,,51.2499961853
1573202967062470974,502,1573202967008310079,,51.5
1573202967165904893,503,1573202967061902046,,50.2999954224
1573202967219484949,504,1573202967165218114,,48.25
1573202967273266362,505,1573202967218327999,,43.7499961853
1573202967326174850,506,1573202967271928071,,39.7999992371
1573202967380266668,507,1573202967325423955,,41.0999984741
1573202967433152872,508,1573202967378573894,,44.1999969482
1573202967485944111,509,1573202967431621074,,47.2499961853
1573202967539950904,510,1573202967485515117,,50.3999977112
1573202967593872245,511,1573202967539294004,,54.7499961853
1573202967646095796,512,1573202967592546939,,57.4999961853
1573202967700251472,513,1573202967645626068,,59.7999992371
1573202967753631388,514,1573202967699074983,,61.75
1573202967807761058,515,1573202967752845048,,62.7999992371
