%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573202197297114938,171,1573202197242914915,,80.0
1573202197351265486,172,1573202197296580076,,80.0
1573202197403627894,173,1573202197349817037,,80.0
1573202197506705198,174,1573202197402652978,,80.0
1573202197560599097,175,1573202197506223917,,80.0
1573202197614190752,176,1573202197560013055,,80.0
1573202197668556955,177,1573202197613775014,,80.0
1573202197721842481,178,1573202197667164087,,80.0
1573202197776561036,179,1573202197722779035,,80.0
1573202197830222060,180,1573202197775995969,,80.0
1573202197883727449,181,1573202197829190015,,80.0
1573202197987960286,182,1573202197882426977,,80.0
1573202198040097700,183,1573202197986268997,,80.0
1573202198093812796,184,1573202198039554119,,80.0
1573202198147183140,185,1573202198093173980,,80.0
1573202198200805250,186,1573202198146406888,,80.0
1573202198253915654,187,1573202198199527025,,80.0
1573202198307206775,188,1573202198253453016,,80.0
1573202198360680337,189,1573202198306549072,,80.0
1573202198414269651,190,1573202198359850883,,80.0
1573202198467543212,191,1573202198413743019,,80.0
1573202198521720889,192,1573202198466980934,,80.0
1573202198575562294,193,1573202198520422935,,80.0
1573202198628259496,194,1573202198573823928,,80.0
1573202198730397986,195,1573202198626934051,,80.0
1573202198833583573,196,1573202198729758024,,80.0
1573202198887143694,197,1573202198833009004,,80.0
1573202198939174707,198,1573202198886764049,,80.0
1573202198993346301,199,1573202198938476085,,80.0
1573202199046469610,200,1573202198991617918,,80.0
1573202199099307845,201,1573202199045167922,,80.0
1573202199504035206,202,1573202199098823070,,80.0
1573202199556517467,203,1573202199502593040,,80.0
1573202199610646042,204,1573202199555444955,,77.3000030518
1573202199663448335,205,1573202199609267950,,70.5
1573202199717870976,206,1573202199663654088,,66.5
1573202199771064407,207,1573202199716605901,,66.4000015259
1573202199824364104,208,1573202199770344018,,67.1999969482
1573202199877738964,209,1573202199823539018,,66.0999984741
1573202199929933107,210,1573202199876677036,,63.0
1573202200033628297,211,1573202199929536104,,59.0999984741
1573202200086484204,212,1573202200032761096,,50.7000007629
1573202200139260253,213,1573202200085443973,,23.7999992371
1573202200192354654,214,1573202200138696908,,12.3000011444
1573202200246164372,215,1573202200191785097,,10.0
1573202200298340600,216,1573202200244826078,,10.0
1573202200400658224,217,1573202200297331094,,10.0
1573202200453769661,218,1573202200399826049,,10.0
1573202200507414414,219,1573202200452999114,,10.0
1573202200561135059,220,1573202200506819963,,10.0
1573202200613975437,221,1573202200560318946,,10.0
1573202200717852960,222,1573202200613670110,,10.0
1573202200771755491,223,1573202200717586040,,10.0
1573202200825430446,224,1573202200771255970,,10.0
1573202200879386378,225,1573202200824928998,,10.0
1573202200933077550,226,1573202200878863096,,10.0
1573202200986561165,227,1573202200932228088,,10.0
1573202201038847660,228,1573202200985351085,,10.6999969482
1573202201093389505,229,1573202201038547992,,19.7000007629
1573202201145964131,230,1573202201091959953,,22.9999961853
1573202201249592016,231,1573202201145313978,,22.6999912262
1573202201303251984,232,1573202201248877048,,22.6999912262
1573202201355513122,233,1573202201302211999,,31.7999973297
1573202201409058465,234,1573202201355037927,,44.2999992371
1573202201462438550,235,1573202201407995939,,59.8999938965
1573202201516071042,236,1573202201461747884,,76.0
1573202201619220591,237,1573202201515248060,,80.0
1573202201673072311,238,1573202201618979930,,80.0
1573202201727035766,239,1573202201672565937,,75.0999984741
1573202201780156153,240,1573202201725831031,,75.4000015259
1573202201883223876,241,1573202201779333114,,79.5999984741
1573202201938107629,242,1573202201882745027,,80.0
1573202201991997189,243,1573202201937345981,,80.0
1573202202044325748,244,1573202201990752935,,79.8000030518
1573202202098235914,245,1573202202044086933,,80.0
1573202202151722667,246,1573202202097829103,,80.0
1573202202205100105,247,1573202202151254892,,80.0
1573202202257732167,248,1573202202203953027,,80.0
1573202202361468006,249,1573202202257035970,,80.0
1573202202416426967,250,1573202202360217094,,77.1999969482
1573202202469615588,251,1573202202415205001,,73.9000015259
1573202202522783879,252,1573202202469209909,,80.0
1573202202625941985,253,1573202202521795988,,80.0
1573202202679545409,254,1573202202625684976,,80.0
1573202202733478390,255,1573202202679316043,,80.0
1573202202786898985,256,1573202202732819080,,79.9000015259
1573202202840384442,257,1573202202785840988,,80.0
1573202202893889977,258,1573202202839751005,,80.0
1573202202947124243,259,1573202202892792940,,80.0
1573202203001164224,260,1573202202946703910,,79.7999954224
1573202203054244054,261,1573202202999882936,,79.9000015259
1573202203158030843,262,1573202203053144931,,79.9000015259
1573202203211433990,263,1573202203156557083,,79.5999984741
1573202203263703618,264,1573202203210675001,,78.5
1573202203317922512,265,1573202203263226985,,76.0
1573202203370748171,266,1573202203316334009,,68.3000030518
1573202203425074693,267,1573202203369674921,,57.2000007629
1573202203478606560,268,1573202203424279928,,45.1999969482
1573202203531283029,269,1573202203477931976,,31.7999973297
1573202203585289692,270,1573202203530555963,,19.0999984741
1573202203637581988,271,1573202203583498001,,10.0
1573202203691586839,272,1573202203637218952,,10.0
1573202203744977388,273,1573202203690912961,,10.0
1573202203799212875,274,1573202203744332075,,10.0
1573202203852219914,275,1573202203797643899,,10.0
1573202203905425731,276,1573202203850749015,,10.0
1573202203958454976,277,1573202203903980970,,10.0
1573202204061687968,278,1573202203957771062,,10.0
1573202204115543754,279,1573202204061310052,,10.0
1573202204168455706,280,1573202204114923954,,10.0
1573202204221177961,281,1573202204167113065,,10.7999982834
1573202204274343977,282,1573202204220493078,,13.7000026703
1573202204328100937,283,1573202204273777961,,18.3000068665
1573202204381493440,284,1573202204327075958,,29.2999992371
1573202204435380988,285,1573202204380863904,,46.6999969482
1573202204539201663,286,1573202204434653043,,64.5
1573202204592454311,287,1573202204538645982,,80.0
1573202204646793312,288,1573202204591533899,,80.0
1573202204701373939,289,1573202204645392894,,80.0
1573202204754666690,290,1573202204700120925,,80.0
1573202204810034919,291,1573202204753550052,,73.0999984741
1573202204863462571,292,1573202204808830022,,59.1999969482
