%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573009661008228658,3002,1573009660953839063,,80.0
1573009661114926798,3003,1573009661007734060,,80.0
1573009661168469210,3004,1573009661114105939,,80.0
1573009661222802248,3005,1573009661167851924,,80.0
1573009661277329433,3006,1573009661221802949,,80.0
1573009661332472259,3007,1573009661276639938,,80.0
1573009661386734323,3008,1573009661332083940,,80.0
1573009661439315520,3009,1573009661386003971,,80.0
1573009661494679020,3010,1573009661439172983,,80.0
1573009661595189352,3011,1573009661493935108,,80.0
1573009661649294234,3012,1573009661594836950,,80.0
1573009661704056981,3013,1573009661648888111,,80.0
1573009661758063738,3014,1573009661703382968,,80.0
1573009661811629000,3015,1573009661757208108,,80.0
1573009661866377705,3016,1573009661811207056,,80.0
1573009661919597194,3017,1573009661864905118,,80.0
1573009661972387977,3018,1573009661919066905,,80.0
1573009662076269683,3019,1573009661971812963,,80.0
1573009662128798911,3020,1573009662074963092,,80.0
1573009662182893413,3021,1573009662128249883,,80.0
1573009662236591295,3022,1573009662181910991,,80.0
1573009662289467026,3023,1573009662236267089,,80.0
1573009662343926030,3024,1573009662289105892,,80.0
1573009662396952137,3025,1573009662343751907,,80.0
1573009662452651144,3026,1573009662396657943,,80.0
1573009662505367660,3027,1573009662450740098,,80.0
1573009662560080103,3028,1573009662504735946,,80.0
1573009662611335207,3029,1573009662558703899,,80.0
1573009662664001912,3030,1573009662610836029,,80.0
1573009662718412418,3031,1573009662663959026,,80.0
1573009662772150856,3032,1573009662717833042,,80.0
1573009662875108969,3033,1573009662771941900,,80.0
1573009662926896965,3034,1573009662874680042,,80.0
1573009662980773479,3035,1573009662926306009,,80.0
1573009663034596655,3036,1573009662980180025,,80.0
1573009663089007354,3037,1573009663034032106,,80.0
1573009663142506558,3038,1573009663088217020,,80.0
1573009663196413494,3039,1573009663142168998,,80.0
1573009663251156302,3040,1573009663196075916,,80.0
1573009663354671928,3041,1573009663250433921,,80.0
1573009663408706726,3042,1573009663354238986,,80.0
1573009663462659398,3043,1573009663408289909,,80.0
1573009663516583260,3044,1573009663462304115,,80.0
1573009663570587024,3045,1573009663515888929,,80.0
1573009663624615879,3046,1573009663569349050,,80.0
1573009663678777404,3047,1573009663624202966,,80.0
1573009663730942559,3048,1573009663677720069,,80.0
1573009663785880467,3049,1573009663730693101,,80.0
1573009663890766147,3050,1573009663784631967,,80.0
1573009663945125516,3051,1573009663890549898,,80.0
1573009663999652575,3052,1573009663944569110,,80.0
1573009664053444856,3053,1573009663998687028,,80.0
1573009664107331372,3054,1573009664052736043,,80.0
1573009664162538849,3055,1573009664107579946,,80.0
1573009664213828752,3056,1573009664161314010,,80.0
1573009664265473876,3057,1573009664213462114,,80.0
1573009664316590441,3058,1573009664265134096,,80.0
1573009664420020597,3059,1573009664316284894,,80.0
1573009664473639508,3060,1573009664419337034,,80.0
1573009664528101254,3061,1573009664473143100,,80.0
1573009664581632774,3062,1573009664527321100,,80.0
1573009664685799752,3063,1573009664581386089,,80.0
1573009664740024008,3064,1573009664685061931,,80.0
1573009664793059865,3065,1573009664739034891,,80.0
1573009664847078087,3066,1573009664792584896,,80.0
1573009664902927405,3067,1573009664846860885,,80.0
1573009664956241270,3068,1573009664902215957,,80.0
1573009665010647564,3069,1573009664955883026,,80.0
1573009665064576731,3070,1573009665010128021,,80.0
1573009665169167327,3071,1573009665064028024,,80.0
1573009665224415080,3072,1573009665168751955,,80.0
1573009665278312732,3073,1573009665224092960,,80.0
1573009665333388256,3074,1573009665277879953,,80.0
1573009665387222471,3075,1573009665332995891,,80.0
1573009665440516810,3076,1573009665386511087,,80.0
1573009665494485547,3077,1573009665439930915,,80.0
1573009665550989971,3078,1573009665493931055,,80.0
1573009665654422752,3079,1573009665548985958,,80.0
1573009665708186851,3080,1573009665653528928,,80.0
1573009665761935206,3081,1573009665707221031,,80.0
1573009665816216086,3082,1573009665761079072,,80.0
1573009665921168799,3083,1573009665815380096,,80.0
1573009665972575173,3084,1573009665919471025,,80.0
1573009666023538228,3085,1573009665972295999,,80.0
1573009666077371962,3086,1573009666023161888,,80.0
1573009666131946790,3087,1573009666077080011,,80.0
1573009666184104061,3088,1573009666130690097,,80.0
1573009666238242393,3089,1573009666183640003,,80.0
1573009666292251101,3090,1573009666237497091,,80.0
1573009666345323079,3091,1573009666291609048,,80.0
1573009666448766009,3092,1573009666344145059,,80.0
1573009666502560152,3093,1573009666447932958,,80.0
1573009666554748528,3094,1573009666501883983,,80.0
1573009666656779822,3095,1573009666554434061,,80.0
1573009666711474715,3096,1573009666656426906,,80.0
1573009666764562528,3097,1573009666710227966,,80.0
1573009666818714343,3098,1573009666764290094,,80.0
1573009666871049063,3099,1573009666818075895,,80.0
1573009666925276329,3100,1573009666870923995,,80.0
1573009666979021768,3101,1573009666924575090,,80.0
1573009667031684595,3102,1573009666978487968,,80.0
1573009667084359323,3103,1573009667031075000,,80.0
1573009667137907902,3104,1573009667083784103,,80.0
1573009667242487713,3105,1573009667137557029,,80.0
1573009667296281069,3106,1573009667241720914,,80.0
1573009667349991297,3107,1573009667295727968,,80.0
1573009667403119581,3108,1573009667349229097,,80.0
1573009667458681130,3109,1573009667403496980,,80.0
1573009667513423940,3110,1573009667458909988,,80.0
1573009667567944319,3111,1573009667513307094,,80.0
1573009667621843810,3112,1573009667567275047,,80.0
1573009667677092549,3113,1573009667621145009,,80.0
1573009667981319511,3114,1573009667676269054,,80.0
1573009668034567043,3115,1573009667979918956,,80.0
1573009668088682579,3116,1573009668033586978,,80.0
1573009668144998622,3117,1573009668088186979,,80.0
1573009668199248743,3118,1573009668143273115,,80.0
1573009668253213412,3119,1573009668198540925,,80.0
1573009668307885233,3120,1573009668252382993,,80.0
1573009668363454712,3121,1573009668307303905,,80.0
1573009668470584164,3122,1573009668363372087,,80.0
1573009668521509296,3123,1573009668469960927,,80.0
1573009668575026706,3124,1573009668521107912,,80.0
1573009668629917732,3125,1573009668574995994,,80.0
1573009668683000576,3126,1573009668628530025,,80.0
1573009668736417555,3127,1573009668682277917,,79.8925018311
1573009668791835980,3128,1573009668736466884,,79.8925018311
1573009668844952598,3129,1573009668790292024,,79.8925018311
1573009668898968066,3130,1573009668844377994,,80.0
1573009669002081657,3131,1573009668898822069,,80.0
1573009669056228342,3132,1573009669001588106,,80.0
1573009669110435133,3133,1573009669055407047,,80.0
1573009669164246892,3134,1573009669108885049,,80.0
1573009669268419027,3135,1573009669162759065,,80.0
1573009669321538393,3136,1573009669266556024,,80.0
1573009669375477290,3137,1573009669320981979,,80.0
1573009669428998191,3138,1573009669374324083,,80.0
1573009669534300923,3139,1573009669428548097,,80.0
1573009669587284429,3140,1573009669532731056,,80.0
1573009669641104722,3141,1573009669586628913,,80.0
1573009669694315261,3142,1573009669640171051,,80.0
1573009669748369907,3143,1573009669693892955,,80.0
1573009669801881924,3144,1573009669747725009,,80.0
1573009669856117477,3145,1573009669801503896,,80.0
1573009669908789866,3146,1573009669854604959,,80.0
1573009669962989789,3147,1573009669908441066,,80.0
1573009670018058822,3148,1573009669963268041,,80.0
1573009670071726074,3149,1573009670017095088,,80.0
1573009670125281341,3150,1573009670070873975,,80.0
1573009670180449815,3151,1573009670124897956,,80.0
1573009670234044106,3152,1573009670179033041,,80.0
1573009670287165808,3153,1573009670233064889,,80.0
1573009670341569169,3154,1573009670287175893,,80.0
1573009670445578479,3155,1573009670340975046,,80.0
1573009670499223962,3156,1573009670444796085,,80.0
1573009670553024964,3157,1573009670498094081,,80.0
1573009670607397392,3158,1573009670552298069,,80.0
1573009670660519588,3159,1573009670605628967,,80.0
1573009670764528748,3160,1573009670659748077,,80.0
1573009670815753662,3161,1573009670763907909,,80.0
1573009670868058282,3162,1573009670815490007,,80.0
1573009670922393889,3163,1573009670867357015,,80.0
1573009670975393157,3164,1573009670921700000,,80.0
1573009671029335078,3165,1573009670974890947,,79.8936157227
1573009671085274901,3166,1573009671028691053,,79.8936157227
1573009671138703925,3167,1573009671084239006,,80.0
1573009671191400825,3168,1573009671137371063,,80.0
1573009671247098173,3169,1573009671191184043,,80.0
1573009671300786761,3170,1573009671246799945,,80.0
1573009671355051726,3171,1573009671300550937,,80.0
1573009671459121645,3172,1573009671354396104,,80.0
1573009671512840913,3173,1573009671458744049,,80.0
1573009671566877150,3174,1573009671512589931,,80.0
1573009671621902299,3175,1573009671566303014,,80.0
1573009671675119888,3176,1573009671620038986,,80.0
1573009671728955705,3177,1573009671674597024,,79.8908843994
1573009671783587870,3178,1573009671728105068,,79.8908843994
1573009671836485975,3179,1573009671782136917,,79.8908843994
1573009671890623402,3180,1573009671836282968,,79.8908843994
1573009671994830452,3181,1573009671890124082,,79.8908843994
1573009672047657522,3182,1573009671994201898,,79.6827316284
1573009672102029384,3183,1573009672047285079,,79.6827316284
1573009672155642861,3184,1573009672101233005,,79.6827316284
1573009672209552048,3185,1573009672155190944,,79.5748138428
1573009672264659887,3186,1573009672208811044,,79.5748138428
1573009672318517734,3187,1573009672264018058,,79.5748138428
1573009672372708924,3188,1573009672317923069,,79.5748138428
1573009672425486881,3189,1573009672372183084,,79.6833343506
1573009672479574416,3190,1573009672424993038,,79.6833343506
1573009672533464305,3191,1573009672478580951,,79.6833343506
