%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573009269313965480,13608,1573009269209444999,,0.0,9.99999974738e-06,2.99999992421e-05,0.0
1573009269368298356,13609,1573009269313194036,,0.0,0.0,1.99999994948e-05,0.0
1573009269421834092,13610,1573009269367532968,,0.0,0.0,-0.0,-0.0
1573009269525347693,13611,1573009269421505928,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573009269579404711,13612,1573009269525716066,,0.0,-9.99999974738e-06,-1.99999994948e-05,0.0
1573009269633700243,13613,1573009269579561948,,0.0,0.0,-9.99999974738e-06,-0.0
1573009269687848887,13614,1573009269633382081,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009269741708981,13615,1573009269687927961,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573009269794932011,13616,1573009269742012023,,0.0,0.0,-9.99999974738e-06,-0.0
1573009269847101482,13617,1573009269794648885,,0.0,-0.0,-9.99999974738e-06,-0.0
1573009269900808721,13618,1573009269846698999,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573009269954714903,13619,1573009269900892972,,0.0,-9.99999974738e-06,-9.99999974738e-06,-0.0
1573009270059258132,13620,1573009269954899072,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009270112267998,13621,1573009270058660030,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573009270165103072,13622,1573009270112433910,,0.0,-0.0,0.0,0.0
1573009270219615152,13623,1573009270165101051,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1573009270273869931,13624,1573009270218988895,,0.0,-0.0,-0.0,0.0
1573009270326509872,13625,1573009270272958040,,0.0,0.0,1.99999994948e-05,-0.0
1573009270381102678,13626,1573009270326726913,,0.0,-0.0,9.99999974738e-06,0.0
1573009270434178067,13627,1573009270380418062,,0.0,0.0,9.99999974738e-06,0.0
1573009270539742059,13628,1573009270434334039,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573009270591894310,13629,1573009270538155078,,0.0,9.99999974738e-06,-0.0,-0.0
1573009270646339899,13630,1573009270591924905,,0.0,0.0,-9.99999974738e-06,-0.0
1573009270699825825,13631,1573009270645636081,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573009270753476519,13632,1573009270699753046,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573009270808279719,13633,1573009270754046916,,0.0,0.0,-9.99999974738e-06,-0.0
1573009270861850876,13634,1573009270807841062,,0.0,9.99999974738e-06,1.99999994948e-05,-0.0
1573009270914707762,13635,1573009270861855030,,0.0,-0.0,-9.99999974738e-06,0.0
1573009270968277856,13636,1573009270914676904,,0.0,0.0,0.0,0.0
1573009271072270947,13637,1573009270968647956,,0.0,0.0,2.99999992421e-05,0.0
1573009271127086216,13638,1573009271072401046,,0.0,9.99999974738e-06,0.0,-0.0
1573009271181087396,13639,1573009271126504898,,0.0,0.0,-0.0,0.0
1573009271234490437,13640,1573009271181462049,,0.0,0.0,0.0,-0.0
1573009271338834532,13641,1573009271234412908,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009271391997553,13642,1573009271337639093,,0.0,0.0,0.0,0.0
1573009271446860132,13643,1573009271392644882,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009271501548121,13644,1573009271446968078,,0.0,0.0,-9.99999974738e-06,-0.0
1573009271554942316,13645,1573009271500622034,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009271608475512,13646,1573009271554372072,,0.0,-0.0,0.0,0.0
1573009271663243283,13647,1573009271608622074,,0.0,0.0,-9.99999974738e-06,-0.0
1573009271716700954,13648,1573009271662571907,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573009271820386154,13649,1573009271716317892,,0.0,-0.0,-1.99999994948e-05,-0.0
1573009271874811437,13650,1573009271820501089,,0.0,0.0,9.99999974738e-06,-0.0
1573009271928159973,13651,1573009271874155044,,0.0,-9.99999974738e-06,0.0,0.0
1573009271981230411,13652,1573009271928450107,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573009272035394869,13653,1573009271981313943,,0.0,9.99999974738e-06,-3.99999989895e-05,-9.99999974738e-06
1573009272089445634,13654,1573009272035305976,,0.0,-0.0,-1.99999994948e-05,0.0
1573009272143341146,13655,1573009272088871955,,0.0,0.0,-9.99999974738e-06,0.0
1573009272197467280,13656,1573009272142343997,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573009272302006043,13657,1573009272196738004,,0.0,-9.99999974738e-06,-1.99999994948e-05,0.0
1573009272356152151,13658,1573009272302114963,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573009272410184631,13659,1573009272356209039,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573009272464322636,13660,1573009272410348892,,0.0,0.0,-0.0,-0.0
1573009272518212800,13661,1573009272464375019,,0.0,9.99999974738e-06,-0.0,-0.0
1573009272571908973,13662,1573009272517891883,,0.0,0.0,0.0,-0.0
1573009272625501444,13663,1573009272572150945,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573009272680125514,13664,1573009272626173973,,0.0,-0.0,0.0,-0.0
1573009272734267223,13665,1573009272680035114,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573009272837642722,13666,1573009272733505964,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
