%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573008674181586673,414,1573008674128384113,,-5.73579454795e-05,-6.67040148983e-05,-7.0661342761e-05
1573008674236420144,415,1573008674182349920,,-2.94368101095e-06,-7.4344306995e-06,1.62916294357e-05
1573008674290772476,416,1573008674237373113,,-6.39051941107e-05,-3.50239110958e-06,-3.07318623527e-05
1573008674345811525,417,1573008674291636943,,-8.04550145403e-05,-7.77010500315e-05,-0.000110167653474
1573008674399474301,418,1573008674346194982,,5.51359553356e-05,7.37725349609e-05,9.29518937482e-05
1573008674453447923,419,1573008674400312900,,7.94551233412e-05,1.44463483593e-05,6.11960640526e-05
1573008674556394114,420,1573008674454446077,,2.17647611862e-05,2.77349386124e-07,1.3508280972e-05
1573008674611148769,421,1573008674556777000,,8.96788787941e-06,-9.97347797238e-06,-7.96678941697e-05
1573008674664046002,422,1573008674610501050,,3.26927001879e-05,5.21765323356e-05,6.61601152387e-05
1573008674718208447,423,1573008674664894104,,5.76151214773e-05,2.1417008611e-05,6.85081977281e-05
1573008674772091425,424,1573008674718838930,,1.22067403936e-05,-5.22149857716e-05,-9.01156236068e-05
1573008674825922151,425,1573008674772768020,,1.48962571984e-05,4.1766979848e-06,-9.60374180181e-08
1573008674880220486,426,1573008674826721906,,2.67593131866e-05,5.59943873668e-06,-1.37621291287e-05
1573008674933946845,427,1573008674881165027,,-6.28916823189e-05,-4.47471222742e-07,-3.4807198972e-05
1573008674987432516,428,1573008674934022903,,5.99167094606e-07,-4.87458128191e-05,-4.13035559177e-05
1573008675039544031,429,1573008674988046884,,-2.64585250989e-05,-1.23232695159e-07,-3.09593306156e-05
1573008675093109002,430,1573008675039771080,,0.000675654562656,3.54943695129e-05,-3.35955592163e-05
1573008675148456676,431,1573008675093612909,,2.22931230383e-05,-1.05055005406e-05,1.77834554052e-05
1573008675200815466,432,1573008675147564888,,7.54895663704e-05,3.23650747305e-05,6.23411760898e-05
1573008675306028485,433,1573008675201381921,,-0.00013874747674,-6.18613412371e-05,-0.000112675159471
1573008675360237381,434,1573008675306963920,,0.000156158901518,8.30685821711e-05,0.000135944967042
1573008675413898756,435,1573008675361270904,,-4.30823274655e-05,-2.92510085274e-05,-1.13348314699e-05
1573008675468038113,436,1573008675414361953,,-1.40711781569e-05,1.72090185515e-05,2.8631582154e-06
1573008675521979992,437,1573008675468590021,,0.000150792475324,4.77216053696e-05,0.000118732452393
1573008675576756904,438,1573008675522944927,,-7.58113601478e-05,-4.56803136331e-05,-6.80287776049e-05
1573008675631476224,439,1573008675577955961,,-2.225024582e-05,-1.08894455479e-05,9.44054954743e-06
1573008675685812841,440,1573008675632277965,,6.06063040323e-05,-1.99052610697e-05,1.94289009414e-06
1573008675789817093,441,1573008675686553001,,-8.68759816512e-05,-5.88244693063e-05,-9.18814039323e-05
1573008675844320616,442,1573008675790441989,,-1.08406884465e-05,-8.60590589582e-05,-0.000109648754005
1573008675898343382,443,1573008675844913959,,0.000178548129043,7.33145570848e-05,0.000128011757624
1573008675951421708,444,1573008675899070024,,3.89687811548e-05,9.68332096818e-06,4.83033472847e-05
1573008676002862504,445,1573008675951806068,,-0.0001619340037,-8.80482184584e-05,-0.000166170924786
1573008676057142487,446,1573008676003020048,,3.56454329449e-05,7.09418673068e-05,0.000111795867269
1573008676111277664,447,1573008676057410001,,3.82326579711e-05,3.68360015273e-05,5.39219909115e-05
1573008676166789962,448,1573008676111911058,,2.32216194718e-07,1.0713141819e-05,3.48821740772e-05
1573008676271241052,449,1573008676167879104,,-4.04483835155e-05,-7.75521839387e-05,-0.000131090448122
1573008676325876476,450,1573008676271814107,,9.24586638575e-05,-4.42048512923e-05,-3.18860365951e-05
1573008676380649671,451,1573008676326757907,,0.00315225822851,0.000104707964056,-0.000160946830874
1573008676435450298,452,1573008676381922006,,5.93783806835e-05,-1.5566496586e-05,-4.38524984929e-05
1573008676489678433,453,1573008676436352014,,-3.36496282216e-06,-3.94474373024e-05,-4.75307642773e-05
1573008676546805740,454,1573008676491857051,,3.90549648728e-05,2.96304679068e-05,3.56330201612e-05
1573008676600830413,455,1573008676547264099,,1.30921544041e-05,2.7039399356e-05,7.31105246814e-05
1573008676704867626,456,1573008676601574897,,-0.0035535232164,-9.72972920863e-05,0.00019423381309
1573008676759982650,457,1573008676705632925,,3.99094133172e-05,4.98605113535e-05,4.01555516873e-05
1573008676814299777,458,1573008676761133909,,-9.56802905421e-05,-0.000100008677691,-0.000159084200277
1573008676868392821,459,1573008676815407991,,0.000334200245561,5.26710500708e-05,4.20029864472e-05
1573008676922551446,460,1573008676869254112,,6.51215486869e-06,-5.34466562385e-06,6.84215274305e-06
1573008677025806231,461,1573008676923295974,,-2.16813041334e-05,-7.69484267948e-06,-5.66258459003e-05
1573008677079611139,462,1573008677026173114,,-1.6315107132e-05,4.17462470068e-05,9.03228938114e-05
1573008677133003517,463,1573008677080307006,,6.44164447294e-06,7.538904174e-05,6.76773997839e-05
1573008677186613518,464,1573008677133465051,,3.33368261636e-05,-2.77834969893e-05,-4.25071302743e-05
1573008677240918596,465,1573008677187427997,,-3.96628165618e-05,-7.36758884159e-05,-7.50602266635e-05
1573008677294827736,466,1573008677241590023,,1.81228278961e-05,4.63478718302e-05,4.67967729492e-05
1573008677348852500,467,1573008677295258045,,4.76369932585e-05,-3.74441879103e-06,7.71786799305e-05
1573008677402916228,468,1573008677349488019,,-2.05792957786e-06,2.5055862352e-05,7.91487618699e-05
1573008677456751495,469,1573008677403440952,,-5.17562148161e-05,5.56838166688e-08,-7.05259444658e-05
1573008677561496064,470,1573008677458192110,,0.000122028548503,4.9614695854e-06,4.02221012337e-05
1573008677615526103,471,1573008677562177896,,7.76425349613e-06,5.65821255805e-06,-2.37691765506e-05
1573008677669914264,472,1573008677616645097,,0.000776546017732,1.19035539683e-05,-4.18959934905e-05
1573008677724035000,473,1573008677670676946,,-0.000933275208808,-4.08499399782e-05,2.18598343054e-05
1573008677777704386,474,1573008677724581956,,0.000173954220372,5.32561170985e-05,2.07384618989e-05
1573008677831141014,475,1573008677778290987,,5.61491433473e-05,4.56103261968e-05,0.000103718521132
1573008677884951728,476,1573008677831460952,,-6.53409915685e-06,1.24335485907e-06,3.76573589165e-05
1573008677939170296,477,1573008677885560035,,1.41211476148e-05,-6.17656405666e-05,-7.265930617e-05
1573008677992868424,478,1573008677939886093,,-2.05835676752e-05,3.91600660805e-05,-1.11439412649e-05
1573008678047889949,479,1573008677993902921,,4.73995205539e-05,-4.22059783887e-05,-9.21251848922e-05
1573008678102005766,480,1573008678048701047,,2.88081173494e-05,-2.48889082286e-05,-3.95966453652e-05
1573008678157374941,481,1573008678102545976,,2.98814484267e-06,-2.63730015604e-08,-8.64351386554e-06
1573008678261395010,482,1573008678158164978,,-7.61664487072e-05,-9.36665310292e-05,-0.000118821866636
1573008678316345358,483,1573008678263139963,,-3.06616639136e-05,9.58252639975e-05,0.000108409818495
1573008678371698103,484,1573008678316972970,,-4.02150271839e-06,-1.93481919268e-05,-1.2552487533e-05
1573008678425797688,485,1573008678372551918,,1.40199426824e-05,-9.48985980358e-05,-8.56494443724e-05
1573008678530120434,486,1573008678426785945,,-0.000114149806905,-1.80772749445e-05,-7.6617434388e-05
1573008678584002479,487,1573008678530602931,,-6.28773341305e-05,-7.01761655364e-06,-2.25246658374e-05
1573008678638265860,488,1573008678585009098,,-0.000128442363348,-9.15525088203e-05,-0.000149060739204
1573008678691930689,489,1573008678638705968,,1.96861146833e-05,1.70275889104e-05,5.37623964192e-05
1573008678746290856,490,1573008678692293882,,0.00799073558301,0.000185816403246,-0.000357748038368
1573008678800626391,491,1573008678747404098,,-7.40869325e-07,2.07626071642e-05,1.63506756508e-05
1573008678856574579,492,1573008678801377058,,-0.000131568900542,-5.91274874751e-05,-0.000112098554382
1573008678959221589,493,1573008678855694055,,-3.85131497751e-05,-7.01120443409e-05,-0.000175316483364
1573008679013240358,494,1573008678959970951,,-2.19323737838e-05,6.20849750703e-05,9.11423630896e-05
1573008679067010351,495,1573008679014329910,,2.04827938433e-05,9.21276878216e-05,0.000171399384271
1573008679120861686,496,1573008679067646026,,0.000122031306091,2.36414489336e-05,6.76219933666e-05
1573008679176959107,497,1573008679121596097,,5.0503975217e-05,-7.35388020985e-05,-0.000146555161336
1573008679231102636,498,1573008679177911996,,-0.00044976657955,-1.54891022248e-05,2.57058945863e-06
1573008679285191931,499,1573008679231827020,,6.42349477857e-05,-2.40843601205e-05,-7.02824618202e-05
1573008679339342145,500,1573008679286036968,,-1.04723585537e-05,-3.69611666429e-06,-1.52535858433e-05
1573008679393355030,501,1573008679339987993,,-4.44183424406e-05,-6.8732064392e-05,-5.94924676989e-05
1573008679497165656,502,1573008679394095897,,5.96600439167e-05,8.8536842668e-05,0.000115599796118
1573008679551325884,503,1573008679498090982,,-0.000185645840247,-0.000123474863358,-0.000213880164665
1573008679605685751,504,1573008679552391052,,8.2123777247e-05,-4.05088030675e-05,-1.84945401998e-05
1573008679659015575,505,1573008679606167078,,0.000183786251,0.000142175078508,0.00023034811602
1573008679713493688,506,1573008679659320116,,-4.7257359256e-05,-4.42587588623e-05,-4.56241141364e-05
1573008679769657407,507,1573008679714862108,,-5.80669657211e-05,1.54867339006e-05,-4.52083331766e-05
1573008679822335417,508,1573008679768914937,,-6.59620272927e-05,-3.89834940506e-06,7.38020116842e-06
1573008679876470006,509,1573008679823018074,,-9.55174982664e-05,-8.23494992801e-05,-7.23021221347e-05
1573008679980423073,510,1573008679877172946,,7.41864132578e-05,2.59003591054e-05,3.72060567315e-05
1573008680034775213,511,1573008679981271028,,6.44582978566e-05,6.09532435192e-05,7.74690925027e-05
1573008680088968557,512,1573008680035393953,,-9.18818914215e-05,-3.18369275192e-05,-4.95130079798e-05
1573008680143280829,513,1573008680089481115,,-2.31829253607e-05,6.02998225077e-05,4.76093446196e-05
1573008680196912480,514,1573008680143420934,,2.61402801698e-05,6.55411931803e-05,6.64103354211e-05
1573008680252264757,515,1573008680198434114,,2.62971734628e-05,-7.39329698263e-05,-0.000134434347274
1573008680304774193,516,1573008680252475023,,2.17260876525e-05,7.90487956692e-06,3.16956684401e-05
1573008680358234252,517,1573008680304888963,,-9.26731881918e-05,-3.95996576117e-05,-3.35445038218e-05
1573008680461952076,518,1573008680358814954,,-8.44639453135e-06,8.42969602672e-05,8.89240473043e-05
1573008680515082531,519,1573008680462733983,,7.74016643845e-06,-5.3876585298e-05,-7.54579596105e-05
1573008680569834506,520,1573008680515700101,,2.78698153124e-05,-5.3307780945e-06,3.54223411705e-05
1573008680673630430,521,1573008680570441007,,2.1310233933e-05,4.09760068578e-05,4.40915646323e-05
1573008680727557955,522,1573008680674392938,,-4.05025712098e-05,8.81934465724e-05,4.88634650537e-05
1573008680782242461,523,1573008680728501081,,-6.40873054181e-07,-4.42551281594e-05,-4.9303387641e-05
1573008680836253315,524,1573008680782741069,,7.33223059797e-05,-2.13892708416e-05,3.87470790884e-05
1573008680889363603,525,1573008680836883068,,0.000113625465019,7.85175070632e-05,0.000154293898959
1573008680943685720,526,1573008680889936923,,-5.95739111304e-05,-3.88751723222e-05,-1.29867530632e-05
1573008680998355244,527,1573008680945044994,,-2.48197502515e-05,3.06930342049e-05,3.81778663723e-05
1573008681053504550,528,1573008680999418973,,4.07376501244e-05,5.84757362958e-05,0.000125592312543
1573008681107043589,529,1573008681053507089,,-2.34260514844e-05,-8.9345696324e-05,-8.39428321342e-05
1573008681212358231,530,1573008681107896089,,-1.10036862679e-05,8.42020454002e-05,6.84038750478e-05
1573008681265404757,531,1573008681211772918,,-0.000175929293619,-1.82903713721e-05,1.02842602701e-06
1573008681319126540,532,1573008681265538930,,3.79416087526e-05,6.05858440395e-05,8.47022529342e-05
1573008681373028230,533,1573008681319544076,,1.8622551579e-05,-3.06296278723e-05,4.41169177066e-05
1573008681476586591,534,1573008681373424053,,-1.13613793928e-06,4.22473385697e-05,-5.8793266362e-06
1573008681531190693,535,1573008681477312088,,-1.45985277413e-05,-3.13536911563e-05,9.17112720344e-06
1573008681883554054,536,1573008681532440900,,6.30045906291e-05,-1.65080982697e-05,-3.29741196765e-05
1573008681936886655,537,1573008681883789062,,2.1501649826e-05,1.76303001354e-05,7.1466434747e-05
1573008681990442267,538,1573008681937720060,,-0.000836829363834,0.000108338397695,-0.00079955928959
1573008682043839021,539,1573008681990768909,,0.000125839273096,0.000774888147134,-0.00601733289659
1573008682096919954,540,1573008682044718980,,0.000480527669424,-0.000118627627671,-0.00983510911465
1573008682148868449,541,1573008682096693992,,0.000267517432803,-0.000433317967691,-0.0109419096261
1573008682202223711,542,1573008682149149894,,-1.26314571389e-05,-0.000259482127149,-0.0103740040213
1573008682256383079,543,1573008682203176021,,-0.00029634515522,-0.000342336687027,-0.010668807663
1573008682310064408,544,1573008682256845951,,-0.000364548555808,-0.000226181160542,-0.0103069329634
1573008682364160526,545,1573008682310830116,,-0.000367052009096,-0.000120068165415,-0.0103510655463
1573008682468303703,546,1573008682364739894,,9.85252627288e-05,2.42279656959e-05,-0.00967054441571
