%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573008637610935984,1,1573008637557177066,,-6.95035341778e-05,-3.50380942109e-05,-4.29717983934e-05
1573008637665873914,2,1573008637611113071,,2.3673994292e-05,2.02662686206e-05,2.76240098174e-05
1573008637771004966,3,1573008637666054010,,-1.88713947864e-05,8.08615766346e-07,4.45955811301e-06
1573008637826236047,4,1573008637771173000,,5.62878303754e-05,-1.22251749417e-05,-6.3530744228e-05
1573008637880231941,5,1573008637826992034,,-6.25884713372e-05,-1.61654224939e-05,-8.67078488227e-05
1573008637934689763,6,1573008637881009101,,-2.70888522209e-05,-6.42270970275e-05,-8.48129202495e-05
1573008637988930570,7,1573008637935425043,,-0.00010502445366,3.81557993023e-06,3.4908687212e-06
1573008638043779452,8,1573008637989516973,,5.93782715441e-06,1.1316515014e-07,2.46558761319e-06
1573008638097842024,9,1573008638044265985,,7.14553971193e-05,-2.19146431846e-06,-3.48586581822e-06
1573008638152047339,10,1573008638098764896,,-1.87504901987e-05,-9.7974880191e-05,-0.000116883187729
1573008638256413179,11,1573008638152457952,,4.63267788291e-05,0.000139391602715,0.000235954052187
1573008638308523600,12,1573008638255980014,,-8.03371658549e-05,-0.000108086394903,-0.000147398895933
1573008638360557278,13,1573008638308974981,,0.000259741704213,-2.42813912337e-05,4.48082943194e-07
1573008638412649121,14,1573008638360902070,,1.97298177227e-05,-1.26952045321e-05,-9.44768453337e-06
1573008638466660164,15,1573008638413068056,,-0.000273529760307,2.51612182183e-05,-6.32668379694e-05
1573008638519495341,16,1573008638466801881,,0.000125843318528,0.000114283204312,4.89255471621e-05
1573008638573344719,17,1573008638519973039,,-7.01403405401e-05,-0.000103197431599,-6.29295755061e-05
1573008638629202961,18,1573008638573841094,,-9.499949374e-05,-7.45608194848e-05,-8.17116888356e-05
1573008638683020107,19,1573008638629421949,,4.45855403086e-05,-3.68076325685e-05,-2.94234960165e-05
1573008638736396874,20,1573008638683196067,,2.82618148049e-05,2.8039314202e-05,1.42859917105e-05
1573008638790121204,21,1573008638736886024,,-1.97518766072e-05,-1.02700996649e-05,-2.08821420529e-05
1573008638844452076,22,1573008638790843963,,9.67411906458e-05,-6.26963228569e-05,-6.2488259573e-05
1573008638897220374,23,1573008638844719886,,1.15023676699e-05,3.42322127835e-05,-8.11148220237e-06
1573008638948759581,24,1573008638897485971,,-4.76333443657e-05,-7.82903080108e-05,-8.92357202247e-05
1573008639052272076,25,1573008638948982000,,0.0001059596907,-2.71499211522e-05,-5.33199636266e-05
1573008639108043451,26,1573008639054560899,,-6.99876327417e-05,1.72248819581e-05,-1.20849963423e-05
1573008639163614940,27,1573008639109040975,,1.67770213011e-05,5.97786965955e-05,0.000106472114567
1573008639216205283,28,1573008639162911891,,-2.12454415305e-05,-8.41179007693e-06,4.5183282964e-06
1573008639270141855,29,1573008639216861009,,7.70077531342e-05,-8.08268305263e-05,-4.11533292208e-05
1573008639324932572,30,1573008639271773099,,-2.75267339021e-05,-4.66117271571e-05,1.03534948721e-05
1573008639378502509,31,1573008639325963020,,-1.64155608218e-05,-2.37136937358e-05,-7.85946540418e-05
1573008639432197131,32,1573008639378767967,,6.16437318968e-05,5.71167656744e-05,0.00010533589375
1573008639536885775,33,1573008639432884931,,-0.000124261161545,-2.4330087399e-05,-4.24995996582e-05
1573008639588243802,34,1573008639537121057,,-2.5525525416e-05,-2.29457109526e-05,-6.29121204838e-05
1573008639641843675,35,1573008639588380098,,3.54603907908e-05,3.29312319991e-06,-6.13899374002e-06
1573008639694435663,36,1573008639642448902,,6.20974897174e-05,-4.6289365855e-05,-2.75735783362e-05
1573008639746817555,37,1573008639694722890,,-7.72756629885e-06,6.35742480881e-06,-5.68996483707e-06
1573008639800223869,38,1573008639747093915,,1.01951661691e-06,5.24274873897e-05,6.94243863109e-05
1573008639856001395,39,1573008639802570104,,5.11130747327e-05,2.87768070848e-05,3.07446316583e-05
1573008639910235708,40,1573008639856817007,,-1.79505805136e-05,6.08562113484e-05,2.20799338422e-05
1573008639964629192,41,1573008639910866022,,-9.06526183826e-05,-6.55387993902e-05,-8.65767797222e-05
1573008640068315861,42,1573008639964868068,,-4.16664188378e-05,-2.32865513681e-05,-7.45250581531e-05
1573008640121971519,43,1573008640069446086,,-1.50952419062e-05,-8.42022272991e-05,-4.51252017228e-05
