%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573347882504068082,7110,1573347882449902057,,0.0,9.99999974738e-06,-2.99999992421e-05,-0.0
1573347882557975849,7111,1573347882504262924,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1573347882663223680,7112,1573347882557691097,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573347882717357716,7113,1573347882663191080,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573347882772538965,7114,1573347882717398881,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1573347882824735509,7115,1573347882771935939,,0.0,-0.0,9.99999974738e-06,-0.0
1573347882879555566,7116,1573347882824892997,,0.0,-1.99999994948e-05,-1.99999994948e-05,9.99999974738e-06
1573347882933284701,7117,1573347882879230022,,0.0,-0.0,-9.99999974738e-06,0.0
1573347882987482223,7118,1573347882933363914,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1573347883041310898,7119,1573347882987466096,,0.0,0.0,0.0,-0.0
1573347883095821597,7120,1573347883041163921,,0.0,0.0,9.99999974738e-06,-0.0
1573347883149585596,7121,1573347883095012903,,0.0,0.0,9.99999974738e-06,-0.0
1573347883202876130,7122,1573347883149055957,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1573347883257636635,7123,1573347883202792882,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573347883311127424,7124,1573347883256959915,,0.0,0.0,-9.99999974738e-06,-0.0
1573347883366397119,7125,1573347883310764074,,0.0,0.0,-9.99999974738e-06,0.0
1573347883419995177,7126,1573347883365645885,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573347883474675689,7127,1573347883419229984,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573347883530281642,7128,1573347883474899053,,0.0,0.0,0.0,-0.0
1573347883633397281,7129,1573347883530452013,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573347883688302961,7130,1573347883633431911,,0.0,-0.0,-0.0,0.0
1573347883741295776,7131,1573347883687947988,,0.0,0.0,-0.0,-0.0
1573347883844951200,7132,1573347883741132020,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
