%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573348205339243618,12542,1573348205284816980,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1573348205392506030,12543,1573348205338566064,,0.0,1.99999994948e-05,9.99999974738e-06,-0.0
1573348205446634897,12544,1573348205391851902,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1573348205500321419,12545,1573348205446531057,,0.0,-1.99999994948e-05,1.99999994948e-05,0.0
1573348205554988742,12546,1573348205500288963,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573348205608642197,12547,1573348205554730892,,0.0,1.99999994948e-05,1.99999994948e-05,-0.0
1573348205662895263,12548,1573348205609072923,,0.0,0.0,-1.99999994948e-05,-9.99999974738e-06
1573348206618488584,12549,1573348205663083076,,0.0,9.99999974738e-06,-3.99999989895e-05,-9.99999974738e-06
1573348206670344071,12550,1573348206616873979,,0.0,-0.0,0.0,0.0
1573348206724400277,12551,1573348206669642925,,0.0,-9.99999974738e-06,0.0,0.0
1573348206776685842,12552,1573348206723609924,,0.0,0.0,0.0,-0.0
1573348206828957465,12553,1573348206776333093,,0.0,9.99999974738e-06,-0.0,-0.0
1573348206883114316,12554,1573348206829010963,,0.0,9.99999974738e-06,0.0,-0.0
1573348206935338201,12555,1573348206882745981,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573348206989186090,12556,1573348206934973955,,0.0,0.0,0.0,-0.0
1573348207042817602,12557,1573348206988595008,,0.0,-0.0,-9.99999974738e-06,-0.0
1573348207097148911,12558,1573348207042846918,,0.0,0.0,-9.99999974738e-06,0.0
1573348207150724111,12559,1573348207096437931,,0.0,-0.0,9.99999974738e-06,0.0
1573348207203271474,12560,1573348207150156021,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573348207256866393,12561,1573348207202888965,,0.0,0.0,-9.99999974738e-06,9.99999974738e-06
1573348207310024406,12562,1573348207256297111,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1573348207361586304,12563,1573348207309529066,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1573348207468335928,12564,1573348207361701011,,0.0,-9.99999974738e-06,-0.0,0.0
1573348207522955797,12565,1573348207467499971,,0.0,-0.0,-9.99999974738e-06,0.0
1573348207576257718,12566,1573348207521996021,,0.0,-2.99999992421e-05,9.99999974738e-06,1.99999994948e-05
1573348207630061901,12567,1573348207575589895,,0.0,-0.0,0.0,0.0
1573348207683193673,12568,1573348207629574060,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573348207737198105,12569,1573348207682929039,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1573348207790646762,12570,1573348207736545085,,0.0,0.0,9.99999974738e-06,-0.0
1573348207844587611,12571,1573348207789685964,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573348207898206092,12572,1573348207843921899,,0.0,-0.0,-9.99999974738e-06,0.0
