%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573348817947319865,4472,1573348817893517971,,0.0,0.0,0.0,-0.0
1573348818001182850,4473,1573348817947303056,,0.0,0.0,-9.99999974738e-06,-0.0
1573348818055455143,4474,1573348818000725030,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573348818108850789,4475,1573348818054738998,,0.0,1.99999994948e-05,0.0,-1.99999994948e-05
1573348818162451381,4476,1573348818108110904,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573348818217988506,4477,1573348818162812948,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1573348818272787671,4478,1573348818217083930,,0.0,-0.0,-9.99999974738e-06,0.0
1573348818325500300,4479,1573348818271970987,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573348818379490183,4480,1573348818325546026,,0.0,-0.0,-9.99999974738e-06,0.0
1573348818432224299,4481,1573348818378592014,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573348818485619326,4482,1573348818431576967,,0.0,-9.99999974738e-06,0.0,0.0
1573348818538271317,4483,1573348818484694004,,0.0,-0.0,0.0,0.0
1573348818592318738,4484,1573348818538211107,,0.0,0.0,-9.99999974738e-06,0.0
1573348818645466330,4485,1573348818591464042,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573348818747702869,4486,1573348818644762039,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573348818800619466,4487,1573348818747071981,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1573348818853230950,4488,1573348818800658941,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573348818956004733,4489,1573348818852940082,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573348819008370501,4490,1573348818955600023,,0.0,-0.0,9.99999974738e-06,0.0
1573348819061977918,4491,1573348819008009910,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573348819115121247,4492,1573348819061064958,,0.0,-0.0,-0.0,0.0
1573348819167835907,4493,1573348819114404916,,0.0,0.0,0.0,-0.0
1573348819220639567,4494,1573348819167259931,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573348819274492376,4495,1573348819220799922,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573348819327310857,4496,1573348819273735046,,0.0,-0.0,-9.99999974738e-06,9.99999974738e-06
1573348819381154930,4497,1573348819326853990,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573348819433717739,4498,1573348819380167961,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1573348819537460844,4499,1573348819433615922,,0.0,2.99999992421e-05,-1.99999994948e-05,-9.99999974738e-06
1573348819590671605,4500,1573348819536931037,,0.0,0.0,9.99999974738e-06,-0.0
1573348819643925985,4501,1573348819590357065,,0.0,3.99999989895e-05,-9.99999974738e-06,-1.99999994948e-05
1573348819698425621,4502,1573348819644162893,,0.0,0.0,-0.0,-0.0
1573348819751428568,4503,1573348819697387933,,0.0,-0.0,-0.0,0.0
1573348819805252134,4504,1573348819750735044,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573348819859134558,4505,1573348819805181026,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1573348819912705725,4506,1573348819858656883,,0.0,0.0,-0.0,-9.99999974738e-06
1573348819966315601,4507,1573348819911993026,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573348820369284532,4508,1573348819965204000,,0.0,-0.0,9.99999974738e-06,0.0
1573348820422061194,4509,1573348820368557929,,9.99999974738e-05,-9.99999974738e-05,-9.99999974738e-05,0.0
1573348820473622308,4510,1573348820421410083,,0.00370000000112,-0.000730000028852,-0.00367000000551,1.99999994948e-05
1573348820527296391,4511,1573348820473629951,,0.00949999969453,-0.00202000001445,-0.00930000003427,4.99999987369e-05
1573348820581224462,4512,1573348820527429103,,0.0133999995887,-0.00286999996752,-0.0131200002506,3.99999989895e-05
1573348820634984345,4513,1573348820580817937,,0.0136000001803,-0.00181000004523,-0.0134500004351,-1.99999994948e-05
1573348820688290129,4514,1573348820634320974,,0.0133999995887,0.00127999996766,-0.0133400000632,-7.9999997979e-05
1573348820741569407,4515,1573348820688451051,,0.0137999998406,0.00459000002593,-0.0130599997938,-5.99999984843e-05
1573348820845262389,4516,1573348820741600990,,0.0148999998346,0.00798000022769,-0.0125500001013,-3.99999989895e-05
1573348820898426422,4517,1573348820844660997,,0.0175000000745,0.0138900000602,-0.0106199998409,-0.0
1573348820951346076,4518,1573348820898055076,,0.0197999998927,0.0171799995005,-0.00985000003129,-0.0
1573348821005430577,4519,1573348820951548099,,0.0359999984503,0.0331399999559,-0.0140300001949,-0.0
1573348821058027483,4520,1573348821004796981,,0.0397000014782,0.0390999987721,-0.00706000020728,-3.99999989895e-05
1573348821111413778,4521,1573348821058190107,,0.0467000007629,0.0465800017118,0.00338999996893,-7.00000018696e-05
1573348821163955610,4522,1573348821110888957,,0.0544000007212,0.0532700009644,0.0112100001425,-4.99999987369e-05
1573348821218238585,4523,1573348821164011955,,0.0590000003576,0.0572599992156,0.0142000000924,2.99999992421e-05
1573348821270889363,4524,1573348821217431068,,0.0604999996722,0.0581699982285,0.0167599990964,0.000119999996969
1573348821325063895,4525,1573348821271106004,,0.0623000003397,0.0592699982226,0.0193499997258,9.00000013644e-05
1573348821379498366,4526,1573348821325290918,,0.0636000037193,0.0598200000823,0.0216199997813,5.99999984843e-05
1573348821433367436,4527,1573348821378959894,,0.0653999969363,0.0604999996722,0.0247699990869,9.99999974738e-06
1573348821485920437,4528,1573348821432637929,,0.0665000006557,0.0608199983835,0.026839999482,9.99999974738e-06
1573348821540549447,4529,1573348821486052036,,0.0678000003099,0.0612399987876,0.0289999991655,2.99999992421e-05
1573348821643865162,4530,1573348821539849042,,0.0701000019908,0.0625,0.031660001725,5.99999984843e-05
1573348821696706339,4531,1573348821643251895,,0.0716999992728,0.062729999423,0.0347299985588,0.000110000000859
1573348821751871771,4532,1573348821696830987,,0.0724999979138,0.0627700015903,0.0363500006497,5.99999984843e-05
1573348821806152304,4533,1573348821751821994,,0.0744000002742,0.0637900009751,0.038290001452,7.00000018696e-05
1573348821910759761,4534,1573348821805186986,,0.0754000023007,0.0641700029373,0.0395999997854,4.99999987369e-05
1573348821963767136,4535,1573348821909710884,,0.0762000009418,0.0643699988723,0.0408199988306,1.99999994948e-05
1573348822017008048,4536,1573348821963062047,,0.0771000012755,0.06481000036,0.0417100004852,0.0
1573348822070522857,4537,1573348822016360044,,0.077699996531,0.0650900006294,0.042429998517,9.99999974738e-06
1573348822124934972,4538,1573348822070051908,,0.0785000026226,0.0655499994755,0.0432600006461,0.0
1573348822178980713,4539,1573348822124656915,,0.0794000029564,0.0645300000906,0.0462099984288,-2.99999992421e-05
1573348822231806497,4540,1573348822178350925,,0.0786999985576,0.0607400014997,0.050039999187,-3.99999989895e-05
1573348822285748919,4541,1573348822231815099,,0.0777999982238,0.0558100007474,0.0542499981821,-9.99999974738e-05
1573348822390350387,4542,1573348822285011053,,0.0795999988914,0.0529799982905,0.059390000999,-7.00000018696e-05
1573348822443770163,4543,1573348822390434026,,0.0824000015855,0.0498699992895,0.0656000003219,-5.99999984843e-05
1573348822497284763,4544,1573348822443324089,,0.0844999998808,0.0492299981415,0.0686499997973,-3.99999989895e-05
1573348822549629583,4545,1573348822496527910,,0.0882000029087,0.0478300005198,0.074160002172,-1.99999994948e-05
1573348822603054057,4546,1573348822549619913,,0.090300001204,0.0474300011992,0.0768700018525,-9.99999974738e-06
1573348822657311660,4547,1573348822603180885,,0.0923999994993,0.0459299981594,0.0801699981093,-4.99999987369e-05
1573348822709472118,4548,1573348822656697988,,0.0904000028968,0.0416599996388,0.0801799967885,-2.99999992421e-05
