%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573351932531362247,536,1573351932426758050,,80.0
1573351932584050400,537,1573351932529902935,,80.0
1573351932637468643,538,1573351932583508014,,80.0
1573351932691617039,539,1573351932636982917,,80.0
1573351932745172936,540,1573351932690387964,,80.0
1573351932797785094,541,1573351932743837118,,80.0
1573351932851336788,542,1573351932797482967,,80.0
1573351932905193976,543,1573351932850733041,,80.0
1573351932958668406,544,1573351932904481887,,80.0
1573351933012225297,545,1573351932958112001,,80.0
1573351933116076318,546,1573351933011573076,,80.0
1573351933169371468,547,1573351933114845037,,80.0
1573351933222629071,548,1573351933168445110,,80.0
1573351933276349193,549,1573351933222131967,,80.0
1573351933379801005,550,1573351933275196075,,80.0
1573351933433623735,551,1573351933379371881,,80.0
1573351933486826216,552,1573351933432384967,,80.0
1573351933540808852,553,1573351933486219882,,80.0
1573351933595851951,554,1573351933540318012,,80.0
1573351933648891973,555,1573351933594562053,,80.0
1573351933702442841,556,1573351933647779941,,80.0
1573351933755158908,557,1573351933701070070,,80.0
1573351933858624892,558,1573351933754563093,,80.0
1573351933912099694,559,1573351933858004093,,80.0
1573351933965315753,560,1573351933911286115,,80.0
1573351934017467441,561,1573351933965009927,,80.0
1573351934070274132,562,1573351934016683101,,80.0
1573351934123740379,563,1573351934069188117,,80.0
1573351934177220606,564,1573351934123931884,,80.0
1573351934229275194,565,1573351934176045894,,80.0
1573351934282373332,566,1573351934228400945,,80.0
1573351934335885688,567,1573351934281758069,,80.0
1573351934439692378,568,1573351934335233926,,80.0
1573351934493090227,569,1573351934439074993,,80.0
1573351934546800755,570,1573351934492306947,,80.0
1573351934599429938,571,1573351934545412063,,80.0
1573351934653412182,572,1573351934598922967,,80.0
1573351934705987850,573,1573351934652018070,,80.0
1573351934759131951,574,1573351934705240011,,80.0
1573351934813027946,575,1573351934758678913,,80.0
1573351934866880162,576,1573351934812278032,,80.0
1573351934969604799,577,1573351934865473985,,80.0
1573351935023238837,578,1573351934968964099,,80.0
1573351935076425672,579,1573351935022418975,,80.0
1573351935129565010,580,1573351935075606107,,80.0
1573351935183055261,581,1573351935128962993,,80.0
1573351935238236348,582,1573351935182867050,,80.0
1573351935291524040,583,1573351935236608982,,80.0
1573351935343852465,584,1573351935289978981,,80.0
1573351935447866976,585,1573351935343560934,,80.0
1573351935502142817,586,1573351935447894096,,80.0
1573351935555601159,587,1573351935501396894,,80.0
1573351935956569054,588,1573351935555159091,,80.0
1573351936010861835,589,1573351935956048965,,79.9250564575
1573351936064307576,590,1573351936009413957,,69.4799499512
1573351936116391811,591,1573351936062901020,,52.4187507629
1573351936169332261,592,1573351936115295886,,48.8058738708
1573351936223545163,593,1573351936168729066,,49.5173225403
1573351936276553139,594,1573351936222421884,,49.7535705566
1573351936332082665,595,1573351936277043104,,46.2573814392
1573351936434413123,596,1573351936330528020,,37.4895477295
1573351936488595618,597,1573351936433640003,,27.3477916718
1573351936542182778,598,1573351936487402915,,16.0197048187
1573351936596599433,599,1573351936541162967,,10.0
1573351936652835290,600,1573351936596226930,,10.0
1573351936706296070,601,1573351936652299880,,10.0
1573351936757927854,602,1573351936705449104,,10.0
1573351936813472107,603,1573351936757426023,,10.0
1573351936866296038,604,1573351936811836957,,10.0
1573351936919960679,605,1573351936865763902,,10.0
1573351936974478681,606,1573351936919547080,,10.0
1573351937027157118,607,1573351936972512960,,10.0
1573351937130480973,608,1573351937026020050,,10.0
1573351937184658495,609,1573351937129640102,,10.0
1573351937237970534,610,1573351937183665037,,10.0
1573351937292335909,611,1573351937237071990,,10.0
1573351937346086821,612,1573351937291042089,,10.0
1573351937399191583,613,1573351937344631910,,10.0
1573351937454042984,614,1573351937398421049,,10.0
1573351937507858564,615,1573351937453516960,,10.0
1573351937561739432,616,1573351937507172107,,29.6191730499
1573351937614389089,617,1573351937560194015,,34.1525878906
1573351937669127509,618,1573351937614054918,,31.5602970123
1573351937723035966,619,1573351937668687105,,23.8699111938
1573351937826753994,620,1573351937722222089,,29.3161525726
1573351937879585885,621,1573351937825335025,,59.5942459106
1573351937933169466,622,1573351937878968000,,80.0
1573351938036918261,623,1573351937932593107,,80.0
1573351938090514897,624,1573351938036206007,,80.0
1573351938144544944,625,1573351938089183092,,80.0
1573351938196862861,626,1573351938142719030,,73.6066589355
1573351938250656682,627,1573351938196497917,,78.325592041
1573351938354824944,628,1573351938249958038,,80.0
1573351938407129889,629,1573351938353121042,,80.0
1573351938460712019,630,1573351938406625032,,80.0
1573351938514871564,631,1573351938460225105,,77.6343383789
1573351938567835185,632,1573351938513379096,,80.0
1573351938621104027,633,1573351938567385911,,80.0
1573351938675043005,634,1573351938620816946,,80.0
1573351938728771406,635,1573351938674489974,,80.0
1573351938781744732,636,1573351938727650880,,80.0
1573351938835307218,637,1573351938781131029,,80.0
1573351938889292789,638,1573351938834793090,,80.0
1573351938942728136,639,1573351938888477087,,74.0931167603
1573351938996742368,640,1573351938941498994,,71.7071075439
1573351939049449056,641,1573351938995542049,,69.8268051147
1573351939103764865,642,1573351939048970937,,68.6409835815
1573351939156794517,643,1573351939102725982,,68.6409835815
1573351939210780954,644,1573351939156409978,,68.6409835815
1573351939264752416,645,1573351939209774017,,68.6409835815
1573351939319586245,646,1573351939263305902,,68.6409835815
1573351939373768407,647,1573351939318320989,,68.4092178345
1573351939427156670,648,1573351939372762918,,68.6428985596
1573351939480435201,649,1573351939426248073,,69.1168289185
1573351939584224389,650,1573351939479784965,,68.6432571411
1573351939637194479,651,1573351939583437919,,68.6432571411
1573351939690053088,652,1573351939635987997,,65.2791290283
1573351939744549922,653,1573351939689770936,,57.7292900085
1573351939848372139,654,1573351939743655920,,49.7195510864
1573351939901420513,655,1573351939846999883,,43.1151618958
1573351939954659852,656,1573351939900079965,,39.3008499146
1573351940007330673,657,1573351939953392982,,28.8477058411
1573351940061030436,658,1573351940006905078,,10.0
1573351940114510750,659,1573351940060080051,,10.0
1573351940168357737,660,1573351940113473892,,10.0
1573351940221639002,661,1573351940167288064,,10.0
1573351940275303382,662,1573351940220488071,,10.0
1573351940328679921,663,1573351940273720979,,10.0
1573351940381327630,664,1573351940327284097,,10.0
1573351940435493392,665,1573351940380893945,,10.0
1573351940488549772,666,1573351940434649944,,10.0
1573351940542821919,667,1573351940488385915,,10.0
1573351940597531896,668,1573351940541388988,,10.0
1573351940650989053,669,1573351940596307039,,10.0
1573351940703931328,670,1573351940649898052,,10.0
1573351940756475265,671,1573351940703473091,,10.0
1573351940810294954,672,1573351940755758047,,10.0
1573351940863742867,673,1573351940809283971,,10.0
1573351940917647769,674,1573351940863018035,,18.2635574341
1573351940970571519,675,1573351940916276931,,31.8160133362
1573351941024456010,676,1573351940969876050,,53.3438796997
1573351941127730478,677,1573351941023055076,,80.0
1573351941180387821,678,1573351941126147031,,80.0
1573351941234030811,679,1573351941179555892,,80.0
1573351941286826593,680,1573351941233083963,,80.0
1573351941390899974,681,1573351941286494016,,80.0
1573351941444301802,682,1573351941389928102,,80.0
1573351941498958812,683,1573351941443808078,,80.0
1573351941551560301,684,1573351941497256994,,80.0
1573351941604556574,685,1573351941550559997,,80.0
1573351941658078876,686,1573351941604305028,,80.0
1573351941711897730,687,1573351941657644987,,80.0
1573351941764541973,688,1573351941710720062,,80.0
1573351941818441443,689,1573351941763955116,,78.8107681274
1573351941871974501,690,1573351941817382097,,78.3364257812
1573351941925611741,691,1573351941871514081,,75.2848892212
1573351941979633587,692,1573351941925129890,,75.2848892212
1573351942033135695,693,1573351941978565931,,75.522026062
1573351942139045980,694,1573351942032632112,,75.522026062
1573351942191117801,695,1573351942137401103,,75.522026062
1573351942244173117,696,1573351942189892053,,75.7625350952
1573351942296683073,697,1573351942243016004,,75.7625350952
1573351942350050147,698,1573351942296102046,,75.7625350952
1573351942452467497,699,1573351942349457979,,75.7625350952
1573351942506551053,700,1573351942451704978,,75.7625350952
1573351942559180644,701,1573351942504956960,,76.000328064
1573351942612780974,702,1573351942558459043,,75.7634124756
1573351942667970188,703,1573351942612163066,,75.9996261597
1573351942720073755,704,1573351942665221929,,75.9996261597
1573351942774561463,705,1573351942718523025,,75.762008667
1573351942827483809,706,1573351942772983074,,75.9956283569
1573351942930866251,707,1573351942826893091,,75.9956283569
1573351942985483751,708,1573351942930655002,,75.7028808594
1573351943038768321,709,1573351942984359979,,73.5770645142
1573351943092563874,710,1573351943038275003,,69.338470459
1573351943144851951,711,1573351943091409921,,61.9542655945
1573351943200128477,712,1573351943144426107,,53.3638877869
1573351943252881350,713,1573351943198688983,,40.0094718933
1573351943306404266,714,1573351943252191066,,22.7151355743
1573351943360888297,715,1573351943306006908,,10.0
1573351943463809542,716,1573351943359395980,,10.0
1573351943517269803,717,1573351943462768077,,19.0977516174
1573351943570889329,718,1573351943515747070,,35.8105354309
1573351943624373852,719,1573351943570383071,,57.2492485046
1573351943677463927,720,1573351943623514890,,80.0
1573351943730986733,721,1573351943676845073,,80.0
1573351943784381327,722,1573351943730391025,,57.9817390442
1573351943839087393,723,1573351943783425092,,25.0607299805
1573351943893573533,724,1573351943838908910,,10.0
1573351943946459142,725,1573351943892134904,,10.0
1573351943999041494,726,1573351943945905923,,10.0
1573351944053347335,727,1573351943998713016,,10.0
1573351944106073854,728,1573351944051892995,,12.6184473038
1573351944160223771,729,1573351944105269908,,10.0
1573351944214286207,730,1573351944159032106,,10.0
1573351944267617650,731,1573351944213246107,,10.0
1573351944320169192,732,1573351944266287088,,10.0
1573351944372866525,733,1573351944319897890,,10.0
1573351944426403539,734,1573351944372476100,,10.0
1573351944530114797,735,1573351944425730943,,10.0
1573351944584515562,736,1573351944529073953,,41.5545120239
1573351944636990282,737,1573351944582813978,,80.0
1573351944741413040,738,1573351944636377096,,80.0
1573351944794460484,739,1573351944739830970,,80.0
1573351944847455003,740,1573351944792963027,,80.0
1573351944901012101,741,1573351944846692085,,52.6101913452
1573351944954190280,742,1573351944900235891,,10.0
1573351945058400924,743,1573351944953484058,,10.0
1573351945112527652,744,1573351945057706117,,10.0
1573351945167453493,745,1573351945111150026,,10.0
1573351945219020749,746,1573351945165981054,,10.0
1573351945272864067,747,1573351945218611001,,34.0005836487
1573351945325686890,748,1573351945271764993,,56.6231765747
1573351945379425625,749,1573351945325285911,,80.0
1573351945432675324,750,1573351945378684997,,80.0
1573351945485927668,751,1573351945431866884,,76.9055557251
1573351945540005718,752,1573351945485455989,,68.1511764526
1573351945594195629,753,1573351945539530038,,61.1032295227
1573351945648064235,754,1573351945593617916,,38.5543365479
1573351945702145612,755,1573351945647605895,,33.8498001099
1573351945804697962,756,1573351945700778961,,38.8491630554
1573351945858527736,757,1573351945804218053,,51.7565917969
1573351945911686631,758,1573351945857086896,,58.9310073853
1573351945965423332,759,1573351945910567998,,69.8321762085
1573351946019037297,760,1573351945964210033,,80.0
1573351946072746698,761,1573351946018009901,,80.0
1573351946125402409,762,1573351946071465969,,80.0
1573351946179011549,763,1573351946125036954,,80.0
1573351946232991407,764,1573351946178358078,,80.0
1573351946285513255,765,1573351946231560945,,80.0
1573351946338859779,766,1573351946285017967,,80.0
1573351946392545364,767,1573351946338176965,,80.0
1573351946445894650,768,1573351946391877889,,79.2913513184
1573351946499340795,769,1573351946444896936,,68.3152236938
1573351946600743984,770,1573351946498749971,,51.8168830872
1573351946655149900,771,1573351946600377082,,30.1506385803
1573351946708189661,772,1573351946653933048,,10.0
1573351946761334479,773,1573351946707578897,,10.0
1573351946815166139,774,1573351946760998964,,10.0
1573351946868800121,775,1573351946814528942,,10.0
1573351946922657403,776,1573351946868078947,,10.0
1573351946975096064,777,1573351946921056985,,10.0
1573351947029296089,778,1573351946974351882,,10.0
1573351947082285229,779,1573351947027745008,,16.4068336487
1573351947135902829,780,1573351947081222057,,27.0716629028
1573351947189879564,781,1573351947135474920,,44.645816803
1573351947243386663,782,1573351947188445091,,64.4650115967
1573351947295873238,783,1573351947241910934,,79.635269165
1573351947350587756,784,1573351947295550107,,76.561668396
1573351947453892992,785,1573351947349070072,,65.4299087524
1573351947506240692,786,1573351947452337980,,50.7463531494
1573351947560189862,787,1573351947505706071,,52.6453742981
1573351947613536079,788,1573351947559429883,,55.2428817749
1573351947667592364,789,1573351947613025903,,48.6186180115
1573351947723068156,790,1573351947668272018,,47.0015563965
1573351947775885735,791,1573351947721719980,,46.2902679443
1573351947830257900,792,1573351947775459051,,43.4572525024
1573351947882715836,793,1573351947828569889,,31.5429725647
1573351947936620879,794,1573351947882307052,,34.8482475281
1573351947990740089,795,1573351947936027050,,57.9909934998
1573351948043404577,796,1573351947989157915,,80.0
1573351948097435911,797,1573351948042635917,,80.0
1573351948150666780,798,1573351948095979928,,80.0
1573351948205177596,799,1573351948149929046,,80.0
1573351948257959300,800,1573351948203790903,,80.0
1573351948312094361,801,1573351948257020950,,61.6844825745
1573351948365031553,802,1573351948310578107,,38.9597129822
1573351948419120507,803,1573351948364253997,,10.0
1573351948472913712,804,1573351948418174028,,10.0
1573351948525767161,805,1573351948471390962,,10.0
1573351948579521510,806,1573351948525146961,,12.1242322922
1573351948631864232,807,1573351948578428030,,28.2867469788
1573351948685106087,808,1573351948631031990,,52.5368232727
1573351948738925998,809,1573351948684338092,,77.959564209
1573351948792570480,810,1573351948737732887,,80.0
1573351948845624315,811,1573351948791359901,,80.0
1573351948899015177,812,1573351948844918012,,80.0
1573351948952881769,813,1573351948898394107,,80.0
1573351949005993110,814,1573351948951426029,,80.0
1573351949111104955,815,1573351949004421949,,80.0
1573351949164286808,816,1573351949109646081,,76.0840530396
1573351949216742991,817,1573351949162883043,,67.5218276978
1573351949270788621,818,1573351949216330051,,57.3264770508
1573351949323511804,819,1573351949269321918,,48.2555656433
1573351949377453623,820,1573351949323025941,,50.1452140808
1573351949430729010,821,1573351949376038074,,73.7701797485
1573351949484086102,822,1573351949429022073,,80.0
1573351949537302997,823,1573351949482666015,,80.0
1573351949590201552,824,1573351949535754919,,70.227104187
1573351949643800979,825,1573351949589575052,,65.982635498
1573351949697681559,826,1573351949642725944,,32.8806724548
1573351949749882011,827,1573351949696448087,,10.0
1573351949853187929,828,1573351949748934984,,10.0
1573351949906954363,829,1573351949852438926,,10.0
1573351949960301154,830,1573351949905442953,,10.0
1573351950012626695,831,1573351949958690881,,10.0
1573351950066588814,832,1573351950011626958,,12.8668804169
1573351950121013298,833,1573351950065304040,,15.4661626816
1573351950173734696,834,1573351950119223117,,14.9952459335
1573351950227047530,835,1573351950172840118,,27.7666835785
1573351950280580903,836,1573351950225976943,,49.2040786743
1573351950334593113,837,1573351950279828071,,72.7737960815
1573351950438248021,838,1573351950334043979,,80.0
1573351950492757844,839,1573351950437983989,,80.0
1573351950546211258,840,1573351950491472959,,80.0
1573351950599166130,841,1573351950544634103,,80.0
1573351950652814207,842,1573351950597763061,,71.9004745483
1573351950705448606,843,1573351950651436090,,55.1222305298
1573351950759310856,844,1573351950704854011,,36.620388031
1573351950813134422,845,1573351950759058952,,12.2339439392
1573351950866331639,846,1573351950812033891,,10.0
1573351950920385009,847,1573351950865573883,,10.9471035004
1573351951024870145,848,1573351950919193983,,28.6843967438
1573351951078205989,849,1573351951024239063,,62.3701477051
1573351951131193413,850,1573351951077634096,,77.3190002441
