%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573351932530718681,536,1573351932426758050,,0.0,-9.99999974738e-06,-0.0,0.0
1573351932584360032,537,1573351932529902935,,0.0,0.0,0.0,-0.0
1573351932636901875,538,1573351932583508014,,0.0,0.0,0.0,-0.0
1573351932691562470,539,1573351932636982917,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573351932743931252,540,1573351932690387964,,0.0,0.0,1.99999994948e-05,-0.0
1573351932797268030,541,1573351932743837118,,0.0,-9.99999974738e-06,-0.0,0.0
1573351932851645944,542,1573351932797482967,,0.0,0.0,-9.99999974738e-06,-0.0
1573351932905370684,543,1573351932850733041,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573351932958741921,544,1573351932904481887,,0.0,-2.99999992421e-05,9.99999974738e-06,9.99999974738e-06
1573351933011377464,545,1573351932958112001,,0.0,-0.0,0.0,0.0
1573351933115282776,546,1573351933011573076,,0.0,-0.0,-9.99999974738e-06,0.0
1573351933168213864,547,1573351933114845037,,0.0,-0.0,0.0,0.0
1573351933221904631,548,1573351933168445110,,0.0,0.0,0.0,0.0
1573351933275562409,549,1573351933222131967,,0.0,9.99999974738e-06,-0.0,0.0
1573351933379237112,550,1573351933275196075,,0.0,-0.0,9.99999974738e-06,-0.0
1573351933432869621,551,1573351933379371881,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573351933486858865,552,1573351933432384967,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573351933541061495,553,1573351933486219882,,0.0,0.0,-0.0,-0.0
1573351933595280991,554,1573351933540318012,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573351933648308409,555,1573351933594562053,,0.0,-0.0,-9.99999974738e-06,-0.0
1573351933702089793,556,1573351933647779941,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573351933754641383,557,1573351933701070070,,0.0,-9.99999974738e-06,-0.0,0.0
1573351933858799401,558,1573351933754563093,,0.0,-9.99999974738e-06,0.0,0.0
1573351933911384547,559,1573351933858004093,,0.0,-0.0,-9.99999974738e-06,-0.0
1573351933964825461,560,1573351933911286115,,0.0,0.0,-1.99999994948e-05,0.0
1573351934017118766,561,1573351933965009927,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573351934069517879,562,1573351934016683101,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1573351934123146727,563,1573351934069188117,,0.0,-0.0,0.0,0.0
1573351934176354383,564,1573351934123931884,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573351934228724794,565,1573351934176045894,,0.0,0.0,9.99999974738e-06,-0.0
1573351934282220136,566,1573351934228400945,,0.0,0.0,9.99999974738e-06,-0.0
1573351934335922413,567,1573351934281758069,,0.0,0.0,-0.0,0.0
1573351934439649389,568,1573351934335233926,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573351934492378444,569,1573351934439074993,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573351934546252111,570,1573351934492306947,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573351934598661590,571,1573351934545412063,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573351934652707436,572,1573351934598922967,,0.0,0.0,-9.99999974738e-06,-0.0
1573351934706018650,573,1573351934652018070,,0.0,-1.99999994948e-05,0.0,0.0
1573351934759169210,574,1573351934705240011,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573351934812241207,575,1573351934758678913,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573351934866167426,576,1573351934812278032,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573351934968894637,577,1573351934865473985,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1573351935023201400,578,1573351934968964099,,0.0,-0.0,0.0,-0.0
1573351935076469901,579,1573351935022418975,,0.0,-9.99999974738e-06,-0.0,0.0
1573351935128790808,580,1573351935075606107,,0.0,-0.0,9.99999974738e-06,-0.0
1573351935183545375,581,1573351935128962993,,0.0,0.0,-1.99999994948e-05,-0.0
1573351935237304079,582,1573351935182867050,,0.0,9.99999974738e-06,-0.0,-0.0
1573351935290721265,583,1573351935236608982,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573351935343619552,584,1573351935289978981,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573351935447651403,585,1573351935343560934,,0.0,0.0,-9.99999974738e-06,-0.0
1573351935501244756,586,1573351935447894096,,0.0,0.0,0.0,0.0
1573351935555629969,587,1573351935501396894,,0.0,-0.0,-1.99999994948e-05,0.0
1573351935956325386,588,1573351935555159091,,0.0,-9.99999974738e-06,-0.0,0.0
1573351936009315636,589,1573351935956048965,,9.99999974738e-05,-3.99999989895e-05,-0.000110000000859,-9.99999974738e-06
1573351936063688581,590,1573351936009413957,,0.00449999980628,-0.000969999993686,-0.00442000012845,2.99999992421e-05
1573351936115376769,591,1573351936062901020,,0.0116999996826,-0.00251000002027,-0.0114399995655,7.00000018696e-05
1573351936169371855,592,1573351936115295886,,0.0131999999285,-0.00301000010222,-0.0128199998289,3.99999989895e-05
1573351936223025987,593,1573351936168729066,,0.0129000004381,-0.00141999998596,-0.0127900000662,-4.99999987369e-05
1573351936276515503,594,1573351936222421884,,0.0127999996766,0.00268999999389,-0.012529999949,-0.000110000000859
1573351936330829282,595,1573351936277043104,,0.0142999999225,0.00796999968588,-0.0118300002068,-5.99999984843e-05
1573351936433561055,596,1573351936330528020,,0.0179999992251,0.0138100003824,-0.0114900004119,-2.99999992421e-05
1573351936487895955,597,1573351936433640003,,0.0249000005424,0.0235699992627,-0.00801999960095,-9.99999974738e-06
1573351936541603051,598,1573351936487402915,,0.0296999998391,0.0291200000793,-0.00603999989107,-9.99999974738e-06
1573351936596555035,599,1573351936541162967,,0.0555999986827,0.0553300008178,-0.00554999988526,0.0
1573351936652427902,600,1573351936596226930,,0.0661000013351,0.065860003233,0.00585999991745,-5.99999984843e-05
1573351936706288639,601,1573351936652299880,,0.0806000009179,0.0775299966335,0.0219800006598,-0.000110000000859
1573351936757713527,602,1573351936705449104,,0.0922999978065,0.0875400006771,0.0292899999768,-7.00000018696e-05
1573351936811982624,603,1573351936757426023,,0.100199997425,0.093979999423,0.0346900001168,9.99999974738e-05
1573351936866004440,604,1573351936811836957,,0.105200000107,0.0969500020146,0.0407800003886,0.000269999989541
1573351936919303544,605,1573351936865763902,,0.108099997044,0.0978400036693,0.0460399985313,0.000209999998333
1573351936972871217,606,1573351936919547080,,0.112000003457,0.0996100008488,0.0511000007391,0.000130000000354
1573351937026969745,607,1573351936972512960,,0.116200000048,0.100859999657,0.0576799996197,7.9999997979e-05
1573351937130487639,608,1573351937026020050,,0.119000002742,0.101999998093,0.0612599998713,5.99999984843e-05
1573351937184471516,609,1573351937129640102,,0.121100001037,0.101549997926,0.0660599991679,-9.99999974738e-06
1573351937237261989,610,1573351937183665037,,0.122299998999,0.0969199985266,0.0745799988508,3.99999989895e-05
1573351937291584980,611,1573351937237071990,,0.123300001025,0.0909200012684,0.0832799971104,9.99999974738e-06
1573351937345350329,612,1573351937291042089,,0.126300007105,0.0873700007796,0.0912500023842,1.99999994948e-05
1573351937398539873,613,1573351937344631910,,0.131300002337,0.0871500000358,0.0981499999762,-2.99999992421e-05
1573351937453472786,614,1573351937398421049,,0.134599998593,0.086850002408,0.102830000222,-0.000110000000859
1573351937507116293,615,1573351937453516960,,0.134900003672,0.0834499970078,0.105939999223,-0.000190000006114
1573351937560904424,616,1573351937507172107,,0.126599997282,0.0747400000691,0.102229997516,-9.00000013644e-05
1573351937613965896,617,1573351937560194015,,0.124700002372,0.0662200003862,0.105630002916,-7.9999997979e-05
1573351937669015791,618,1573351937614054918,,0.125799998641,0.0578700006008,0.111720003188,-2.99999992421e-05
1573351937723035956,619,1573351937668687105,,0.129099994898,0.0460800006986,0.120549999177,1.99999994948e-05
1573351937826216562,620,1573351937722222089,,0.126800000668,0.0426799990237,0.119390003383,-9.00000013644e-05
1573351937879614365,621,1573351937825335025,,0.106200002134,0.0359300002456,0.0999199971557,-5.99999984843e-05
1573351937932639481,622,1573351937878968000,,0.0934000015259,0.0272199995816,0.0892999991775,-0.000150000007125
1573351938036882203,623,1573351937932593107,,0.0785999968648,0.0132499998435,0.0774400010705,-0.000130000000354
1573351938089773496,624,1573351938036206007,,0.0623000003397,-0.00575000001118,0.0620299987495,-9.99999974738e-06
1573351938143485013,625,1573351938089183092,,0.0581000000238,-0.0152099998668,0.0560499988496,7.00000018696e-05
1573351938197234786,626,1573351938142719030,,0.0608000010252,-0.0186299998313,0.05787999928,9.99999974738e-06
1573351938249668802,627,1573351938196497917,,0.0588000006974,-0.0203699991107,0.0551399998367,2.99999992421e-05
1573351938354235961,628,1573351938249958038,,0.0553999990225,-0.0215499997139,0.0510299988091,0.0
1573351938406742790,629,1573351938353121042,,0.0483999997377,-0.0218100007623,0.0432499982417,-9.99999974738e-06
1573351938459957189,630,1573351938406625032,,0.0410000011325,-0.0236300006509,0.0335500016809,3.99999989895e-05
1573351938514107948,631,1573351938460225105,,0.0419999994338,-0.0264299996197,0.0326600000262,4.99999987369e-05
1573351938567771587,632,1573351938513379096,,0.0392000004649,-0.0248799994588,0.0302300006151,0.000119999996969
1573351938620996671,633,1573351938567385911,,0.0359000004828,-0.0212900005281,0.0288900006562,0.000140000003739
1573351938675044365,634,1573351938620816946,,0.0328000001609,-0.0140399998054,0.0295899994671,3.99999989895e-05
1573351938728156897,635,1573351938674489974,,0.0280000008643,-0.0109900003299,0.0257099997252,9.99999974738e-06
1573351938780940274,636,1573351938727650880,,0.022199999541,-0.00977999996394,0.0199100002646,-0.0
1573351938834895365,637,1573351938781131029,,0.0157999992371,-0.00987999979407,0.0123800002038,-9.99999974738e-06
1573351938888381666,638,1573351938834793090,,0.0119000002742,-0.0114399995655,0.00337000004947,-0.0
1573351938941873094,639,1573351938888477087,,0.0143999997526,-0.013190000318,-0.00584000023082,1.99999994948e-05
1573351938995978586,640,1573351938941498994,,0.0153999999166,-0.0135599998757,-0.00720999995247,0.0
1573351939048813394,641,1573351938995542049,,0.0162000004202,-0.0138600002974,-0.00832000002265,-0.0
1573351939103234985,642,1573351939048970937,,0.0166999995708,-0.0140300001949,-0.00913000013679,0.0
1573351939156403491,643,1573351939102725982,,0.0166999995708,-0.013919999823,-0.00920999981463,-2.99999992421e-05
1573351939209643748,644,1573351939156409978,,0.0166999995708,-0.0139899998903,-0.00920000020415,-1.99999994948e-05
1573351939264087478,645,1573351939209774017,,0.0166999995708,-0.0140199996531,-0.0091099999845,-1.99999994948e-05
1573351939318973782,646,1573351939263305902,,0.0166999995708,-0.0140399998054,-0.00901000015438,-9.99999974738e-06
1573351939372871237,647,1573351939318320989,,0.016799999401,-0.0141099998727,-0.00906000006944,-0.0
1573351939426783617,648,1573351939372762918,,0.0166999995708,-0.0140300001949,-0.00899000000209,-9.99999974738e-06
1573351939479632968,649,1573351939426248073,,0.0164999999106,-0.013919999823,-0.00894000008702,-9.99999974738e-06
1573351939583738204,650,1573351939479784965,,0.0166999995708,-0.0140300001949,-0.00899999961257,9.99999974738e-06
1573351939636646297,651,1573351939583437919,,0.0166999995708,-0.01408000011,-0.00901000015438,-0.0
1573351939689916749,652,1573351939635987997,,0.0181000009179,-0.0152500001714,-0.00980000011623,-9.99999974738e-06
1573351939744150774,653,1573351939689770936,,0.0212999992073,-0.0178900007159,-0.0115400003269,0.0
1573351939846950898,654,1573351939743655920,,0.0247000008821,-0.020759999752,-0.0134699996561,-1.99999994948e-05
1573351939900478218,655,1573351939846999883,,0.0292000006884,-0.0244399998337,-0.0159799996763,-9.99999974738e-06
1573351939954260969,656,1573351939900079965,,0.0307999998331,-0.0257799997926,-0.0169200003147,0.0
1573351940006791266,657,1573351939953392982,,0.0351999998093,-0.0294499993324,-0.0192900002003,-2.99999992421e-05
1573351940060743068,658,1573351940006905078,,0.0443000011146,-0.0368399992585,-0.0245900005102,-9.99999974738e-06
1573351940113980952,659,1573351940060080051,,0.0549000017345,-0.0453200004995,-0.030910000205,-1.99999994948e-05
1573351940167772590,660,1573351940113473892,,0.0649000033736,-0.052990000695,-0.0375000014901,-9.99999974738e-06
1573351940221086483,661,1573351940167288064,,0.0807000026107,-0.0648799985647,-0.0480599999428,9.99999974738e-06
1573351940274703841,662,1573351940220488071,,0.0917999967933,-0.0726199969649,-0.0561800003052,3.99999989895e-05
1573351940327913875,663,1573351940273720979,,0.100599996746,-0.0782900005579,-0.0631200000644,0.000130000000354
1573351940380765887,664,1573351940327284097,,0.109499998391,-0.0837000012398,-0.0706100016832,0.000119999996969
1573351940435702793,665,1573351940380893945,,0.126499995589,-0.0943100005388,-0.0843200013041,9.99999974738e-05
1573351940488079274,666,1573351940434649944,,0.140000000596,-0.101989999413,-0.0958499982953,5.99999984843e-05
1573351940542248015,667,1573351940488385915,,0.149100005627,-0.105889998376,-0.104919999838,5.99999984843e-05
1573351940596425155,668,1573351940541388988,,0.151999995112,-0.104740001261,-0.110129997134,3.99999989895e-05
1573351940649963966,669,1573351940596307039,,0.156399995089,-0.103780001402,-0.116970002651,2.99999992421e-05
1573351940703371863,670,1573351940649898052,,0.159999996424,-0.102750003338,-0.12268999964,-0.0
1573351940756176455,671,1573351940703473091,,0.162599995732,-0.100929997861,-0.127480000257,-1.99999994948e-05
1573351940810319619,672,1573351940755758047,,0.163699999452,-0.0972599983215,-0.13165999949,-5.99999984843e-05
1573351940862879022,673,1573351940809283971,,0.163699999452,-0.0911599993706,-0.136000007391,-0.000150000007125
1573351940916943598,674,1573351940863018035,,0.160199999809,-0.0818499997258,-0.137740001082,-0.000119999996969
1573351940969981201,675,1573351940916276931,,0.154499992728,-0.0714899972081,-0.136989995837,-9.00000013644e-05
1573351941024033698,676,1573351940969876050,,0.145400002599,-0.0590399987996,-0.132819995284,-0.000130000000354
1573351941126789788,677,1573351941023055076,,0.132400006056,-0.0444799996912,-0.124710001051,-0.000180000002729
1573351941179325831,678,1573351941126147031,,0.1053000018,-0.0212500002235,-0.103150002658,-3.99999989895e-05
1573351941233112421,679,1573351941179555892,,0.089699998498,-0.0105100004002,-0.0891200006008,-0.000690000015311
1573351941286858863,680,1573351941233083963,,0.0758000016212,-0.000660000019707,-0.0757300034165,-0.00350999995135
1573351941389941520,681,1573351941286494016,,0.0625,0.00745999999344,-0.0619699992239,-0.00368000008166
1573351941444333312,682,1573351941389928102,,0.0458000004292,0.0150300003588,-0.0430799983442,-0.00347999995574
1573351941497118696,683,1573351941443808078,,0.0359999984503,0.0198699999601,-0.0298200007528,-0.00353999994695
1573351941551519884,684,1573351941497256994,,0.028599999845,0.0219299998134,-0.0180300008506,-0.00352000002749
1573351941604217917,685,1573351941550559997,,0.0245999991894,0.023089999333,-0.00760000012815,-0.00352000002749
1573351941657932316,686,1573351941604305028,,0.0230999998748,0.0228100009263,0.001200000057,-0.00344999996014
1573351941711210263,687,1573351941657644987,,0.0208000000566,0.0197100006044,0.00588000006974,-0.00335999997333
1573351941764720445,688,1573351941710720062,,0.0141000002623,0.011269999668,0.00762999989092,-0.00375999999233
1573351941817315037,689,1573351941763955116,,0.0146000003442,0.0114799998701,0.00846000015736,-0.00309000001289
1573351941872204632,690,1573351941817382097,,0.0148000000045,0.0115499999374,0.00922999996692,-0.000269999989541
1573351941924886425,691,1573351941871514081,,0.0161000005901,0.0128499995917,0.00966999959201,-7.9999997979e-05
1573351941978609385,692,1573351941925129890,,0.0161000005901,0.0129399998114,0.00963999982923,2.99999992421e-05
1573351942032645295,693,1573351941978565931,,0.01600000076,0.0127900000662,0.00963999982923,0.000110000000859
1573351942137940477,694,1573351942032632112,,0.01600000076,0.0128399999812,0.00953999999911,7.00000018696e-05
1573351942190209312,695,1573351942137401103,,0.01600000076,0.0128199998289,0.00951000023633,5.99999984843e-05
1573351942243523728,696,1573351942189892053,,0.0159000009298,0.0127800004557,0.00944000016898,3.99999989895e-05
1573351942296653795,697,1573351942243016004,,0.0159000009298,0.0127999996766,0.00946000032127,2.99999992421e-05
1573351942349437168,698,1573351942296102046,,0.0159000009298,0.0127699999139,0.0093999998644,2.99999992421e-05
1573351942452075508,699,1573351942349457979,,0.0159000009298,0.0127999996766,0.00942000001669,9.99999974738e-06
1573351942505734804,700,1573351942451704978,,0.0159000009298,0.0128199998289,0.00937000010163,-0.0
1573351942558200090,701,1573351942504956960,,0.0157999992371,0.0127600003034,0.00934000033885,0.0
1573351942612234638,702,1573351942558459043,,0.0159000009298,0.0128399999812,0.00937999971211,0.0
1573351942666124846,703,1573351942612163066,,0.0157999992371,0.0127999996766,0.00932999979705,-0.0
1573351942718993344,704,1573351942665221929,,0.0157999992371,0.0127800004557,0.00929000042379,-0.0
1573351942772929344,705,1573351942718523025,,0.0159000009298,0.0128499995917,0.00929000042379,0.0
1573351942827513661,706,1573351942772983074,,0.0157999992371,0.0127699999139,0.00925999972969,1.99999994948e-05
1573351942930219153,707,1573351942826893091,,0.0157999992371,0.0128300003707,0.00925000011921,1.99999994948e-05
1573351942984851863,708,1573351942930655002,,0.01600000076,0.0130099998787,0.00930999964476,-9.99999974738e-06
1573351943038740010,709,1573351942984359979,,0.0168999992311,0.0137000000104,0.00982000026852,0.0
1573351943092395399,710,1573351943038275003,,0.0186999998987,0.0152200004086,0.0108399996534,0.0
1573351943144285354,711,1573351943091409921,,0.0218000002205,0.0177200008184,0.0126200001687,0.0
1573351943199088481,712,1573351943144426107,,0.025399999693,0.0208100005984,0.0146399997175,-0.0
1573351943252073431,713,1573351943198688983,,0.0310999993235,0.0254699997604,0.0178900007159,-0.0
1573351943305865427,714,1573351943252191066,,0.0384000018239,0.0315099991858,0.0219800006598,9.99999974738e-06
1573351943359440565,715,1573351943306006908,,0.0449000000954,0.0368099994957,0.0256699994206,-0.0
1573351943462725140,716,1573351943359395980,,0.0456000007689,0.0377300009131,0.0256500001997,0.000180000002729
1573351943516393610,717,1573351943462768077,,0.0394000001252,0.0322699993849,0.0222600009292,0.00341999996454
1573351943570949229,718,1573351943515747070,,0.0324000008404,0.0268699992448,0.0177500005811,0.00383999990299
1573351943623405068,719,1573351943570383071,,0.023199999705,0.0181799996644,0.0138100003824,0.00389000005089
1573351943676845305,720,1573351943623514890,,0.0120000001043,0.00578999985009,0.00975000020117,0.00386000005528
1573351943730955280,721,1573351943676845073,,0.00879999995232,-0.00565000018105,0.00557000003755,0.00380000006407
1573351943784347280,722,1573351943730391025,,0.0181000009179,-0.0176999997348,0.00112000002991,0.00378999998793
1573351943838772899,723,1573351943783425092,,0.0318999998271,-0.0313099995255,-0.00456999987364,0.00377999991179
1573351943892804581,724,1573351943838908910,,0.0441999994218,-0.0435499995947,-0.00687999976799,0.00371000007726
1573351943945788586,725,1573351943892134904,,0.0511999987066,-0.0510400012136,-0.000730000028852,0.00372999999672
1573351943998702248,726,1573351943945905923,,0.0535999983549,-0.0524699985981,0.0102899996564,0.00353000010364
1573351944052449268,727,1573351943998713016,,0.0581000000238,-0.0527799986303,0.0241800006479,-0.000119999996969
1573351944105084806,728,1573351944051892995,,0.0570000000298,-0.0405800007284,0.0399800017476,-0.000260000000708
1573351944159043559,729,1573351944105269908,,0.0586999990046,-0.0223999992013,0.0542300008237,-0.000220000001718
