%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573352834912561617,190,1573352834857954025,,80.0
1573352834966104010,191,1573352834911431074,,80.0
1573352835018822803,192,1573352834964781045,,80.0
1573352835072841180,193,1573352835018239021,,80.0
1573352835176174780,194,1573352835071485042,,80.0
1573352835230097552,195,1573352835175496101,,80.0
1573352835283407618,196,1573352835229037046,,80.0
1573352835337477029,197,1573352835282759904,,80.0
1573352835393495819,198,1573352835336772918,,80.0
1573352835446993108,199,1573352835392986059,,80.0
1573352835500677908,200,1573352835446568012,,80.0
1573352835554341363,201,1573352835500130891,,80.0
1573352835658761163,202,1573352835553129911,,80.0
1573352835712083888,203,1573352835658138036,,80.0
1573352835765470694,204,1573352835711445093,,80.0
1573352835819835922,205,1573352835765033006,,80.0
1573352835872664954,206,1573352835818428039,,80.0
1573352835927174174,207,1573352835872528076,,80.0
1573352835979992758,208,1573352835925657987,,80.0
1573352836034760515,209,1573352835979372024,,80.0
1573352836088829846,210,1573352836034161090,,80.0
1573352836192795190,211,1573352836087743997,,80.0
1573352836246542572,212,1573352836192167043,,80.0
1573352836300363522,213,1573352836245228052,,80.0
1573352836404090659,214,1573352836298907995,,80.0
1573352836459472365,215,1573352836404192924,,80.0
1573352836512184658,216,1573352836457715034,,80.0
1573352836565568924,217,1573352836511290073,,80.0
1573352836619536270,218,1573352836564613103,,80.0
1573352836673511510,219,1573352836618077993,,80.0
1573352836727083027,220,1573352836672872066,,80.0
1573352836779737419,221,1573352836726445913,,80.0
1573352836832901649,222,1573352836779036045,,80.0
1573352837186235967,223,1573352836832317113,,80.0
1573352837239804926,224,1573352837185698986,,79.9000015259
1573352837293674029,225,1573352837239258050,,77.4499969482
1573352837346668010,226,1573352837292821884,,73.3000030518
1573352837400682070,227,1573352837346242904,,72.6500015259
1573352837453733273,228,1573352837399734973,,72.8000030518
1573352837507241365,229,1573352837452713012,,72.8499984741
1573352837560584883,230,1573352837506016969,,72.0500030518
1573352837612784782,231,1573352837559036970,,70.4499969482
1573352837718772916,232,1573352837612502098,,68.5
1573352837771876124,233,1573352837717497110,,64.4499969482
1573352837824888634,234,1573352837770600080,,52.2999992371
1573352837878301714,235,1573352837823786020,,46.8999977112
1573352837932627439,236,1573352837877974987,,39.7000007629
1573352837985290309,237,1573352837931106090,,34.3000030518
1573352838037602476,238,1573352837984378099,,30.3000011444
1573352838090353419,239,1573352838036793947,,27.7999992371
1573352838143781282,240,1573352838089518070,,25.9999980927
1573352838198475215,241,1573352838143310070,,24.3500003815
1573352838250506707,242,1573352838196850061,,22.4999980927
1573352838303575833,243,1573352838249337911,,20.0999984741
1573352838355373067,244,1573352838302934885,,19.4499988556
1573352838406729362,245,1573352838354687929,,18.6000003815
1573352838461054202,246,1573352838406199932,,18.0500011444
1573352838512949063,247,1573352838459918022,,17.8999996185
1573352838617052341,248,1573352838512540102,,15.75
1573352838669045592,249,1573352838615833997,,13.1500005722
1573352838722518989,250,1573352838668216943,,11.8500013351
1573352838826687731,251,1573352838721307992,,15.2499990463
1573352838880133394,252,1573352838825470924,,18.7499980927
1573352838932872983,253,1573352838879790067,,18.7000007629
1573352838984308747,254,1573352838932010889,,17.6499996185
1573352839037671353,255,1573352838983894109,,18.7999992371
1573352839089556603,256,1573352839037187099,,23.7999992371
1573352839142203637,257,1573352839089281082,,29.2000007629
1573352839194632903,258,1573352839141756057,,35.4499969482
1573352839299490056,259,1573352839193768024,,44.5
1573352839353388020,260,1573352839299216032,,49.2999992371
1573352839408269427,261,1573352839352937936,,47.0999984741
1573352839462261503,262,1573352839407778978,,46.8999977112
1573352839517060419,263,1573352839460952043,,48.1500015259
1573352839570445675,264,1573352839516351938,,52.0499992371
1573352839624095878,265,1573352839569657087,,53.2999992371
1573352839679115633,266,1573352839623035907,,51.75
1573352839781541774,267,1573352839677391052,,50.0
1573352839834522649,268,1573352839781223058,,49.5999984741
1573352839888366742,269,1573352839834041118,,50.5499992371
1573352839941477261,270,1573352839887135982,,51.2999992371
1573352839992990224,271,1573352839940368890,,49.1499977112
1573352840047062295,272,1573352839992659091,,44.75
1573352840100556857,273,1573352840045722007,,41.1500015259
1573352840153146490,274,1573352840099448919,,42.5499992371
1573352840206014655,275,1573352840152717113,,45.6500015259
1573352840259782590,276,1573352840205235004,,47.7999992371
1573352840311374491,277,1573352840258944034,,49.8499984741
1573352840365339397,278,1573352840310878992,,52.5999984741
1573352840418841791,279,1573352840364077091,,54.4000015259
1573352840470238129,280,1573352840418101072,,55.75
1573352840523390645,281,1573352840469604015,,57.5499992371
1573352840575551219,282,1573352840522891998,,59.0499992371
1573352840629130393,283,1573352840575114011,,60.5
1573352840681047830,284,1573352840628505945,,61.5
1573352840735493872,285,1573352840680743932,,62.4000015259
1573352840839004791,286,1573352840733980894,,63.0
1573352840893635615,287,1573352840838659048,,63.2000007629
1573352840947436661,288,1573352840893183946,,63.7000007629
1573352841000360962,289,1573352840946415901,,64.0500030518
1573352841051650301,290,1573352840999264955,,63.9500007629
1573352841104636686,291,1573352841051063060,,63.0
1573352841155774315,292,1573352841103816032,,61.6500015259
1573352841208034134,293,1573352841155369043,,59.8499984741
1573352841261893624,294,1573352841207359075,,58.0499992371
1573352841315318626,295,1573352841260627985,,55.9500007629
1573352841366718547,296,1573352841313893079,,53.4000015259
1573352841418190756,297,1573352841366338968,,49.8499984741
1573352841471006883,298,1573352841417637109,,46.4000015259
1573352841522167321,299,1573352841469769001,,43.5999984741
1573352841576411371,300,1573352841521559953,,40.75
1573352841629317166,301,1573352841574757099,,37.8999977112
1573352841682210471,302,1573352841627948045,,35.4499969482
1573352841734952813,303,1573352841681566953,,33.5
1573352841788818675,304,1573352841734359979,,31.5499992371
1573352841841123810,305,1573352841788224935,,29.4999980927
1573352841893987839,306,1573352841840109109,,28.5
1573352841945511644,307,1573352841893502950,,27.6499996185
1573352841999266146,308,1573352841945219993,,27.9500026703
1573352842052612492,309,1573352841998655080,,27.9000015259
1573352842107158944,310,1573352842052299976,,28.8999996185
1573352842160834200,311,1573352842105562925,,29.9499988556
1573352842214903428,312,1573352842160267114,,31.2999992371
1573352842268011836,313,1573352842213418960,,33.8500022888
1573352842318465667,314,1573352842266566038,,38.0500030518
1573352842422808819,315,1573352842317859888,,43.3999977112
1573352842473665979,316,1573352842421335935,,50.5499992371
1573352842527105749,317,1573352842473248958,,54.2999992371
1573352842578955238,318,1573352842526350975,,58.3500022888
1573352842632926314,319,1573352842578259944,,60.4500007629
1573352842685227172,320,1573352842631300926,,59.4500007629
1573352842737863850,321,1573352842685014009,,56.0
1573352842789934429,322,1573352842736795902,,50.8999977112
1573352842842448847,323,1573352842789463996,,46.3499984741
1573352842894567345,324,1573352842842242956,,42.8500022888
1573352842996864395,325,1573352842894150972,,40.7000007629
1573352843049328910,326,1573352842996571063,,36.3499984741
1573352843102392565,327,1573352843048563003,,36.6500015259
1573352843155353533,328,1573352843102118968,,40.5499992371
1573352843208678041,329,1573352843154370069,,45.9500007629
1573352843262532441,330,1573352843207653045,,53.7000007629
1573352843313354191,331,1573352843260737895,,61.0
1573352843367137084,332,1573352843312603950,,68.0
1573352843420261875,333,1573352843365621089,,74.4000015259
1573352843472596998,334,1573352843418900012,,75.75
1573352843526098790,335,1573352843472393035,,69.9000015259
1573352843577443196,336,1573352843525125980,,59.1499977112
1573352843630783050,337,1573352843577205896,,55.8499984741
1573352843683408613,338,1573352843629582881,,54.2999992371
1573352843735525530,339,1573352843682924032,,53.2999992371
1573352843840088603,340,1573352843734826087,,54.75
1573352843891027685,341,1573352843838313102,,59.25
1573352843942764886,342,1573352843890651941,,61.7000007629
1573352843994629352,343,1573352843942224025,,63.6500015259
1573352844048887450,344,1573352843994241952,,65.0500030518
1573352844099459884,345,1573352844047477960,,65.4499969482
1573352844201432853,346,1573352844098845958,,64.8000030518
1573352844253873503,347,1573352844200649976,,61.7000007629
1573352844306263738,348,1573352844253211975,,59.0
1573352844360115366,349,1573352844305687904,,55.6499977112
1573352844413081219,350,1573352844358926057,,52.2000007629
1573352844465201105,351,1573352844412864923,,46.7999992371
1573352844518286325,352,1573352844464819908,,44.0499992371
1573352844572505441,353,1573352844517781019,,40.0999984741
1573352844623086796,354,1573352844571079969,,36.8499984741
1573352844675092381,355,1573352844622724056,,33.7999992371
1573352844727316695,356,1573352844674629926,,30.5
1573352844780991467,357,1573352844726478099,,26.8999996185
1573352844834292865,358,1573352844779455900,,26.0499992371
1573352844888128455,359,1573352844833542108,,26.4000015259
1573352844941024472,360,1573352844887065887,,31.1499996185
1573352845043867558,361,1573352844939886093,,40.3499984741
1573352845095384819,362,1573352845043288946,,55.4000015259
1573352845147490157,363,1573352845094912052,,65.0
1573352845200925472,364,1573352845146971940,,72.9000015259
1573352845251370553,365,1573352845199398040,,74.9499969482
1573352845306594115,366,1573352845250684976,,66.9499969482
1573352845359341572,367,1573352845305514097,,56.9500007629
1573352845411313843,368,1573352845358272075,,47.7000007629
1573352845464080959,369,1573352845410590887,,40.3499984741
1573352845515298943,370,1573352845463094949,,36.3999977112
1573352845567621888,371,1573352845514666080,,34.3000030518
1573352845620695551,372,1573352845567320108,,32.1000022888
1573352845673042689,373,1573352845619716882,,30.5
1573352845726132075,374,1573352845672063112,,28.25
1573352845778112234,375,1573352845725195884,,27.5499992371
1573352845880872526,376,1573352845777580976,,27.0999984741
1573352845933737684,377,1573352845880449056,,28.5500011444
1573352845985333349,378,1573352845933471918,,30.6499996185
1573352846038643300,379,1573352845984761953,,34.1499977112
1573352846091200029,380,1573352846038021087,,39.4500007629
1573352846146534391,381,1573352846090625047,,44.9500007629
1573352846197603320,382,1573352846145396947,,48.75
1573352846253241483,383,1573352846197253942,,50.8999977112
1573352846304376893,384,1573352846251936912,,52.75
1573352846358206635,385,1573352846303800106,,53.4000015259
1573352846460997805,386,1573352846356751918,,52.7999992371
1573352846512264769,387,1573352846460222959,,47.5499992371
1573352846564439354,388,1573352846511670112,,44.6000022888
1573352846616290108,389,1573352846564017057,,43.8499984741
1573352846668925386,390,1573352846615704059,,44.3499984741
1573352846722891269,391,1573352846668716907,,44.5499992371
1573352846775466095,392,1573352846721630096,,44.3499984741
1573352846827369001,393,1573352846774768114,,43.6499977112
1573352846881409112,394,1573352846826884984,,43.1499977112
1573352846933077784,395,1573352846880248069,,42.75
1573352847034056376,396,1573352846932184934,,42.0
1573352847087297806,397,1573352847033344984,,41.1999969482
1573352847141791530,398,1573352847086663007,,41.8000030518
1573352847193045186,399,1573352847140316009,,43.3999977112
1573352847247359222,400,1573352847192404985,,45.4500007629
1573352847300535316,401,1573352847246275901,,48.0999984741
1573352847351990895,402,1573352847299803018,,51.2999992371
1573352847405275927,403,1573352847351417064,,54.4500007629
1573352847458598152,404,1573352847404665946,,56.8499984741
1573352847561038151,405,1573352847457668066,,58.25
1573352847615146732,406,1573352847560846090,,59.6500015259
1573352847667648931,407,1573352847614202022,,62.5999984741
1573352847721051910,408,1573352847666769027,,64.6999969482
1573352847772615046,409,1573352847720235109,,66.8000030518
1573352847827348846,410,1573352847772265911,,68.3499984741
1573352847880524031,411,1573352847826159954,,68.4000015259
1573352847934410418,412,1573352847879942893,,66.3000030518
1573352847988046672,413,1573352847933180093,,62.8499984741
1573352848088625870,414,1573352847986679077,,60.4000015259
1573352848142121207,415,1573352848088119983,,64.6999969482
1573352848193128162,416,1573352848141361951,,68.5999984741
1573352848246993886,417,1573352848192545890,,73.0500030518
1573352848298542399,418,1573352848245635032,,74.4000015259
1573352848352489773,419,1573352848297938108,,71.6999969482
1573352848403031219,420,1573352848350979089,,65.1999969482
1573352848456516503,421,1573352848402426004,,57.7000007629
1573352848509543588,422,1573352848455416917,,51.6500015259
1573352848561473534,423,1573352848508912086,,47.9500007629
1573352848612702966,424,1573352848560930013,,45.8499984741
1573352848666509770,425,1573352848612418889,,45.9000015259
1573352848717985403,426,1573352848665769100,,49.5
1573352848771661987,427,1573352848717678070,,51.75
1573352848825438339,428,1573352848770730018,,52.8999977112
1573352848927991086,429,1573352848823879003,,54.3499984741
1573352848979598155,430,1573352848926915884,,59.0
1573352849032904209,431,1573352848978965044,,64.6999969482
1573352849086550515,432,1573352849032258987,,70.1999969482
1573352849140557961,433,1573352849085911035,,74.5
1573352849192964743,434,1573352849140682935,,78.5
1573352849244679281,435,1573352849192393064,,79.1999969482
1573352849296109506,436,1573352849244273900,,76.5
1573352849348350895,437,1573352849295631885,,74.5500030518
1573352849402555400,438,1573352849347851037,,68.6500015259
1573352849453373327,439,1573352849401005983,,61.7000007629
1573352849506813017,440,1573352849452733993,,51.8999977112
1573352849558527886,441,1573352849506141901,,48.7000007629
1573352849611836015,442,1573352849557777881,,47.1499977112
1573352849665070185,443,1573352849611355066,,46.5
1573352849766244311,444,1573352849663976907,,46.5499992371
1573352849819677060,445,1573352849765496969,,43.3500022888
1573352849871030699,446,1573352849818459987,,39.6499977112
1573352849923358717,447,1573352849870428085,,40.2000007629
1573352849976837465,448,1573352849922717094,,43.8499984741
1573352850029332278,449,1573352849975840091,,47.8499984741
1573352850083022464,450,1573352850028570890,,51.75
1573352850134541779,451,1573352850082135915,,55.0999984741
1573352850188143489,452,1573352850134201049,,58.1500015259
1573352850241713818,453,1573352850187314033,,62.4500007629
1573352850344121850,454,1573352850240447044,,66.8499984741
1573352850395369822,455,1573352850342732906,,67.5999984741
1573352850448922018,456,1573352850394675970,,64.0999984741
1573352850501148275,457,1573352850447753906,,61.6500015259
1573352850552958039,458,1573352850500631093,,57.7000007629
1573352850607047652,459,1573352850552508115,,54.2999992371
1573352850659813522,460,1573352850605515003,,53.4000015259
1573352850711300112,461,1573352850659015893,,55.9000015259
1573352850765167423,462,1573352850710688114,,59.5
1573352850867524372,463,1573352850763874053,,63.25
1573352850921080043,464,1573352850866501092,,71.0999984741
1573352850974538932,465,1573352850919892072,,73.5
1573352851026809972,466,1573352850973484039,,73.1999969482
1573352851079448505,467,1573352851025906085,,73.3000030518
1573352851181338763,468,1573352851078864097,,70.1500015259
1573352851233105707,469,1573352851180727958,,63.5
1573352851285073054,470,1573352851232511997,,61.5
1573352851338905151,471,1573352851284338951,,59.25
1573352851390960293,472,1573352851337447881,,57.3499984741
1573352851442796576,473,1573352851390006065,,56.9000015259
1573352851497029264,474,1573352851442495107,,59.9000015259
1573352851550571568,475,1573352851495681047,,59.0999984741
1573352851604053089,476,1573352851550165891,,58.6500015259
1573352851708835817,477,1573352851603508949,,59.3999977112
1573352851761530010,478,1573352851707936048,,63.7000007629
1573352851812774596,479,1573352851760658025,,65.8499984741
1573352851867158602,480,1573352851812191963,,64.6500015259
1573352851917631260,481,1573352851865751981,,64.4499969482
1573352852021863418,482,1573352851917388916,,63.7000007629
1573352852072607413,483,1573352852020418882,,60.0999984741
