%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573354313407078759,289,1573354313352523088,,80.0
1573354313460728687,290,1573354313406382083,,80.0
1573354313513731962,291,1573354313459513902,,80.0
1573354313567521063,292,1573354313512950897,,80.0
1573354313620475681,293,1573354313566236972,,80.0
1573354313674403185,294,1573354313619934082,,80.0
1573354313778859615,295,1573354313673758029,,80.0
1573354313832741641,296,1573354313778234958,,80.0
1573354313887075820,297,1573354313831810951,,80.0
1573354313939733989,298,1573354313885368108,,80.0
1573354313992435876,299,1573354313938419103,,80.0
1573354314096004674,300,1573354313991868019,,80.0
1573354314149431594,301,1573354314095412969,,80.0
1573354314203419143,302,1573354314148973941,,80.0
1573354314256741248,303,1573354314202511072,,80.0
1573354314311367195,304,1573354314255960941,,80.0
1573354314364904036,305,1573354314310384035,,80.0
1573354314416857502,306,1573354314363598108,,80.0
1573354314470344704,307,1573354314415875911,,80.0
1573354314575580370,308,1573354314469239950,,80.0
1573354314629145871,309,1573354314575018882,,80.0
1573354314682901738,310,1573354314628524065,,80.0
1573354314737651486,311,1573354314681732892,,80.0
1573354314792454956,312,1573354314737234115,,80.0
1573354314847586874,313,1573354314792226076,,80.0
1573354314899672623,314,1573354314846116065,,80.0
1573354314952725623,315,1573354314898555994,,80.0
1573354315058258761,316,1573354314952186107,,80.0
1573354315111311033,317,1573354315056799888,,80.0
1573354315164338141,318,1573354315109968900,,80.0
1573354315218176501,319,1573354315163697004,,80.0
1573354315271238173,320,1573354315216824054,,80.0
1573354315325446987,321,1573354315270628929,,80.0
1573354315377952786,322,1573354315323962926,,80.0
1573354315431984236,323,1573354315377506971,,80.0
1573354315485339731,324,1573354315431009054,,80.0
1573354315588728041,325,1573354315484607934,,80.0
1573354315643194051,326,1573354315588222980,,80.0
1573354315696486250,327,1573354315642079114,,80.0
1573354315799896149,328,1573354315695782899,,80.0
1573354315853882060,329,1573354315798866987,,80.0
1573354315907431366,330,1573354315852488994,,80.0
1573354315960769769,331,1573354315906033992,,80.0
1573354316014117087,332,1573354315959618091,,80.0
1573354316068352937,333,1573354316012923955,,80.0
1573354316120646570,334,1573354316066082954,,80.0
1573354316173935291,335,1573354316119286060,,80.0
1573354316227461430,336,1573354316172769069,,80.0
1573354316280183845,337,1573354316225985050,,80.0
1573354316634544686,338,1573354316279776096,,80.0
1573354316688533871,339,1573354316634268999,,80.0
1573354316742027938,340,1573354316687866926,,77.9514465332
1573354316796101238,341,1573354316740902900,,74.2557296753
1573354316849160737,342,1573354316794862031,,73.8580856323
1573354316902820719,343,1573354316848417043,,74.4099349976
1573354316956669820,344,1573354316901854038,,74.7104873657
1573354317009767972,345,1573354316955599069,,74.0523071289
1573354317113615677,346,1573354317009443998,,72.7269897461
1573354317167376924,347,1573354317113066911,,69.6261901855
1573354317222489379,348,1573354317166229963,,67.3813705444
1573354317275258143,349,1573354317221204996,,54.9067153931
1573354317328858808,350,1573354317274718999,,49.6214675903
1573354317432137435,351,1573354317327874898,,42.308177948
1573354317485502838,352,1573354317431633949,,35.4942398071
1573354317541024714,353,1573354317484540939,,31.8230838776
1573354317593159749,354,1573354317539933919,,29.2190895081
1573354317648946502,355,1573354317592782020,,27.7079029083
1573354317702340228,356,1573354317647543907,,25.9739017487
1573354317755529601,357,1573354317701148033,,23.8228874207
1573354317808433429,358,1573354317753901958,,22.2608165741
1573354317863061216,359,1573354317807164907,,21.1876449585
1573354317915642524,360,1573354317862320899,,21.0070934296
1573354317969573031,361,1573354317914726018,,20.0807037354
1573354318023341900,362,1573354317969362020,,17.6711826324
