%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573354313406002076,289,1573354313352523088,,0.0,0.0,0.0,0.0
1573354313459983496,290,1573354313406382083,,0.0,0.0,0.0,-0.0
1573354313512809660,291,1573354313459513902,,0.0,-0.0,-0.0,0.0
1573354313566232918,292,1573354313512950897,,0.0,0.0,-0.0,-0.0
1573354313620711845,293,1573354313566236972,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573354313673392963,294,1573354313619934082,,0.0,0.0,-0.0,0.0
1573354313778124132,295,1573354313673758029,,0.0,0.0,0.0,0.0
1573354313832222001,296,1573354313778234958,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1573354313886224026,297,1573354313831810951,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1573354313939158569,298,1573354313885368108,,0.0,0.0,-0.0,-0.0
1573354313992473668,299,1573354313938419103,,0.0,-0.0,-0.0,0.0
1573354314095228523,300,1573354313991868019,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573354314148887874,301,1573354314095412969,,0.0,0.0,-9.99999974738e-06,0.0
1573354314202703538,302,1573354314148973941,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1573354314256431607,303,1573354314202511072,,0.0,-0.0,-9.99999974738e-06,0.0
1573354314310361899,304,1573354314255960941,,0.0,0.0,9.99999974738e-06,-0.0
1573354314364357292,305,1573354314310384035,,0.0,-0.0,-0.0,0.0
1573354314416477655,306,1573354314363598108,,0.0,-9.99999974738e-06,-0.0,0.0
1573354314469139419,307,1573354314415875911,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1573354314574969561,308,1573354314469239950,,0.0,0.0,9.99999974738e-06,0.0
1573354314628449115,309,1573354314575018882,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1573354314681922971,310,1573354314628524065,,0.0,9.99999974738e-06,2.99999992421e-05,-0.0
1573354314737252754,311,1573354314681732892,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573354314793049202,312,1573354314737234115,,0.0,-1.99999994948e-05,0.0,9.99999974738e-06
1573354314846794971,313,1573354314792226076,,0.0,0.0,9.99999974738e-06,-0.0
1573354314899147321,314,1573354314846116065,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1573354314952932734,315,1573354314898555994,,0.0,1.99999994948e-05,0.0,-9.99999974738e-06
1573354315057629132,316,1573354314952186107,,0.0,-0.0,0.0,0.0
1573354315110844981,317,1573354315056799888,,0.0,-0.0,9.99999974738e-06,0.0
1573354315163531175,318,1573354315109968900,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573354315217290755,319,1573354315163697004,,0.0,-9.99999974738e-06,-1.99999994948e-05,9.99999974738e-06
1573354315271271117,320,1573354315216824054,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1573354315324092303,321,1573354315270628929,,0.0,-0.0,-1.99999994948e-05,-0.0
1573354315377425750,322,1573354315323962926,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573354315431947319,323,1573354315377506971,,0.0,-0.0,-1.99999994948e-05,0.0
1573354315485366990,324,1573354315431009054,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1573354315587972363,325,1573354315484607934,,0.0,-9.99999974738e-06,0.0,0.0
1573354315642165470,326,1573354315588222980,,0.0,0.0,-9.99999974738e-06,-0.0
1573354315695467848,327,1573354315642079114,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573354315799951494,328,1573354315695782899,,0.0,0.0,9.99999974738e-06,-0.0
1573354315853176209,329,1573354315798866987,,0.0,0.0,9.99999974738e-06,0.0
1573354315906021817,330,1573354315852488994,,0.0,-9.99999974738e-06,0.0,0.0
1573354315960728269,331,1573354315906033992,,0.0,-0.0,1.99999994948e-05,0.0
1573354316013378575,332,1573354315959618091,,0.0,-0.0,-1.99999994948e-05,0.0
1573354316068320075,333,1573354316012923955,,0.0,0.0,0.0,-0.0
1573354316120009824,334,1573354316066082954,,0.0,-0.0,-0.0,0.0
1573354316172814133,335,1573354316119286060,,0.0,0.0,9.99999974738e-06,0.0
1573354316226648578,336,1573354316172769069,,0.0,9.99999974738e-06,0.0,-0.0
1573354316280006098,337,1573354316225985050,,0.0,-0.0,-1.99999994948e-05,-0.0
1573354316634913578,338,1573354316279776096,,0.0,-9.99999974738e-06,-2.99999992421e-05,9.99999974738e-06
1573354316687758110,339,1573354316634268999,,0.000199999994948,-9.00000013644e-05,-0.000209999998333,0.0
1573354316741244101,340,1573354316687866926,,0.00510000018403,-0.00113999994937,-0.00493999989703,4.99999987369e-05
1573354316795872172,341,1573354316740902900,,0.0131999999285,-0.00288999988697,-0.012869999744,9.00000013644e-05
1573354316848418441,342,1573354316794862031,,0.0147000001743,-0.00334000005387,-0.0142799997702,4.99999987369e-05
1573354316902144387,343,1573354316848417043,,0.0142999999225,-0.000959999975748,-0.0142299998552,-7.9999997979e-05
1573354316957284472,344,1573354316901854038,,0.0143999997526,0.00394000019878,-0.0138999996707,-0.000130000000354
1573354317009281065,345,1573354316955599069,,0.0164000000805,0.00990999955684,-0.0130500001833,-5.99999984843e-05
1573354317113029020,346,1573354317009443998,,0.0197000000626,0.0156500004232,-0.0119000002742,-2.99999992421e-05
1573354317166605048,347,1573354317113066911,,0.0270000007004,0.0257900003344,-0.00807000044733,-9.99999974738e-06
1573354317222499886,348,1573354317166229963,,0.0320000015199,0.0314499996603,-0.0060100001283,-9.99999974738e-06
1573354317274553448,349,1573354317221204996,,0.0571999996901,0.0570500008762,-0.00457999994978,-1.99999994948e-05
1573354317328326151,350,1573354317274718999,,0.0679000020027,0.0675299987197,0.0066499998793,-7.9999997979e-05
1573354317431487306,351,1573354317327874898,,0.0825000032783,0.0792400017381,0.0228300001472,-0.000140000003739
