%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573354674118215003,234,1573354674064244031,,80.0
1573354674172117708,235,1573354674117963075,,80.0
1573354674225542219,236,1573354674171746015,,80.0
1573354674279375527,237,1573354674225322008,,80.0
1573354674333015103,238,1573354674278851032,,80.0
1573354674386378089,239,1573354674332142114,,80.0
1573354674441059486,240,1573354674385194063,,80.0
1573354674495728597,241,1573354674440385103,,80.0
1573354674548923239,242,1573354674495151996,,80.0
1573354674601214829,243,1573354674548568964,,80.0
1573354674654325790,244,1573354674600332021,,80.0
1573354674758512126,245,1573354674653970956,,80.0
1573354674812861157,246,1573354674758975982,,80.0
1573354674867214315,247,1573354674812721967,,80.0
1573354674921691649,248,1573354674866955041,,80.0
1573354674974154776,249,1573354674920036077,,80.0
1573354675027607906,250,1573354674973459005,,80.0
1573354675081332089,251,1573354675027370929,,80.0
1573354675134653753,252,1573354675080646991,,80.0
1573354675239335473,253,1573354675134011983,,80.0
1573354675291377228,254,1573354675237344026,,80.0
1573354675345204592,255,1573354675290885925,,80.0
1573354675398217328,256,1573354675344912052,,80.0
1573354675451670969,257,1573354675397322893,,80.0
1573354675507259924,258,1573354675450915098,,80.0
1573354675560858970,259,1573354675506620883,,80.0
1573354675614560812,260,1573354675560273885,,80.0
1573354675668658317,261,1573354675614226102,,80.0
1573354675772189476,262,1573354675668061017,,80.0
1573354675826534677,263,1573354675771718978,,80.0
1573354675879062353,264,1573354675825150012,,80.0
1573354675933108824,265,1573354675878428936,,80.0
1573354675986108155,266,1573354675931480884,,80.0
1573354676039817158,267,1573354675985551118,,80.0
1573354676092728574,268,1573354676039138078,,80.0
1573354676446607420,269,1573354676092334032,,80.0
1573354676498647229,270,1573354676447107076,,80.0
1573354676553042220,271,1573354676498339891,,80.0
1573354676605427236,272,1573354676551352024,,80.0
1573354676659478342,273,1573354676604549884,,80.0
1573354676712050884,274,1573354676658426046,,80.0
1573354676766350237,275,1573354676712011098,,80.0
1573354676820080643,276,1573354676765377044,,80.0
1573354676872806334,277,1573354676819423913,,80.0
1573354676925539193,278,1573354676871702909,,80.0
1573354676979698279,279,1573354676925143003,,80.0
1573354677033097636,280,1573354676978493928,,80.0
1573354677085761625,281,1573354677032136917,,80.0
1573354677138843977,282,1573354677084824085,,80.0
1573354677192401594,283,1573354677138205051,,72.2094268799
1573354677246227550,284,1573354677191508054,,58.9668235779
1573354677299728191,285,1573354677245455980,,44.6693458557
1573354677404039012,286,1573354677298747062,,29.049861908
1573354677457596583,287,1573354677402487993,,10.0
1573354677511418733,288,1573354677457045078,,10.0
1573354677565382495,289,1573354677511024951,,10.0
1573354677618038878,290,1573354677564115047,,10.0
1573354677671778013,291,1573354677617536067,,10.0
1573354677724141691,292,1573354677671195983,,10.0
1573354677777882116,293,1573354677723957061,,10.0
1573354677831625242,294,1573354677777271032,,10.0
1573354677885777760,295,1573354677830415964,,10.0
1573354677938295660,296,1573354677884145975,,10.0
1573354677991824767,297,1573354677936891078,,10.0
1573354678044183987,298,1573354677990124940,,10.0
1573354678096729771,299,1573354678043802022,,10.0
1573354678150095201,300,1573354678096261978,,10.0
1573354678203608699,301,1573354678149454116,,10.0
1573354678256871287,302,1573354678202934980,,10.0
1573354678360269436,303,1573354678256282091,,10.0
