%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573354674118059493,234,1573354674064244031,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573354674171550656,235,1573354674117963075,,0.0,0.0,0.0,-0.0
1573354674226029465,236,1573354674171746015,,0.0,-0.0,-0.0,0.0
1573354674278603277,237,1573354674225322008,,0.0,9.99999974738e-06,-2.99999992421e-05,-0.0
1573354674332985366,238,1573354674278851032,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573354674385955969,239,1573354674332142114,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573354674439956738,240,1573354674385194063,,0.0,-9.99999974738e-06,1.99999994948e-05,-0.0
1573354674495938049,241,1573354674440385103,,0.0,0.0,-0.0,-0.0
1573354674548697056,242,1573354674495151996,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573354674600836391,243,1573354674548568964,,0.0,2.99999992421e-05,-9.99999974738e-06,-1.99999994948e-05
1573354674653887349,244,1573354674600332021,,0.0,0.0,-0.0,-0.0
1573354674759785583,245,1573354674653970956,,0.0,-9.99999974738e-06,-0.0,0.0
1573354674812592880,246,1573354674758975982,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573354674866692540,247,1573354674812721967,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1573354674920537880,248,1573354674866955041,,0.0,-0.0,-9.99999974738e-06,-0.0
1573354674973242031,249,1573354674920036077,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573354675027908704,250,1573354674973459005,,0.0,-0.0,-0.0,-0.0
1573354675081279398,251,1573354675027370929,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573354675134692013,252,1573354675080646991,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1573354675237279000,253,1573354675134011983,,0.0,-2.99999992421e-05,0.0,1.99999994948e-05
1573354675291419801,254,1573354675237344026,,0.0,-0.0,9.99999974738e-06,0.0
1573354675344988614,255,1573354675290885925,,0.0,9.99999974738e-06,-0.0,-0.0
1573354675397353657,256,1573354675344912052,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573354675451348746,257,1573354675397322893,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573354675507290601,258,1573354675450915098,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573354675561096919,259,1573354675506620883,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1573354675614871222,260,1573354675560273885,,0.0,0.0,9.99999974738e-06,-0.0
1573354675669025314,261,1573354675614226102,,0.0,0.0,-0.0,-0.0
1573354675772157735,262,1573354675668061017,,0.0,-0.0,-1.99999994948e-05,-0.0
1573354675825753547,263,1573354675771718978,,0.0,9.99999974738e-06,-0.0,-0.0
1573354675878493654,264,1573354675825150012,,0.0,-0.0,-1.99999994948e-05,0.0
1573354675931875745,265,1573354675878428936,,0.0,-0.0,9.99999974738e-06,0.0
1573354675985397481,266,1573354675931480884,,0.0,0.0,-9.99999974738e-06,-0.0
1573354676039788343,267,1573354675985551118,,0.0,0.0,0.0,-0.0
1573354676093035188,268,1573354676039138078,,0.0,0.0,9.99999974738e-06,-0.0
1573354676447631347,269,1573354676092334032,,0.0,0.0,-9.99999974738e-06,9.99999974738e-06
1573354676498647232,270,1573354676447107076,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573354676551670179,271,1573354676498339891,,0.000699999975041,-0.000269999989541,-0.00065000000177,0.0
1573354676605461663,272,1573354676551352024,,0.00740000000224,-0.00161000003573,-0.00725999986753,7.00000018696e-05
1573354676658807789,273,1573354676604549884,,0.0137000000104,-0.00306000001729,-0.0133800003678,9.00000013644e-05
1573354676711873491,274,1573354676658426046,,0.0147000001743,-0.00328999990597,-0.0143299996853,3.99999989895e-05
1573354676766392278,275,1573354676712011098,,0.0142000000924,-0.000330000009853,-0.0142200002447,-9.00000013644e-05
1573354676819156528,276,1573354676765377044,,0.0146000003442,0.00479000015184,-0.0138299996033,-0.000119999996969
1573354676872362295,277,1573354676819423913,,0.0170000009239,0.0109799997881,-0.0129100000486,-5.99999984843e-05
1573354676925567729,278,1573354676871702909,,0.0201999992132,0.0163700003177,-0.0118100000545,-1.99999994948e-05
1573354676979057756,279,1573354676925143003,,0.0247000008821,0.0225099995732,-0.010150000453,-9.99999974738e-06
1573354677033097643,280,1573354676978493928,,0.0461999997497,0.0443399995565,-0.013030000031,-9.99999974738e-06
1573354677085289358,281,1573354677032136917,,0.0551999993622,0.0546200014651,-0.00812999997288,-1.99999994948e-05
1573354677138845875,282,1573354677084824085,,0.0668999999762,0.0665099993348,0.00730999978259,-0.000119999996969
1573354677192122736,283,1573354677138205051,,0.081200003624,0.0784299969673,0.0210699997842,-0.000159999995958
1573354677245231570,284,1573354677191508054,,0.0934000015259,0.0890899971128,0.028049999848,-7.9999997979e-05
1573354677298708504,285,1573354677245455980,,0.100199997425,0.0944200009108,0.0335800014436,0.000140000003739
1573354677403248158,286,1573354677298747062,,0.10490000248,0.0970899984241,0.0397799983621,0.000239999993937
1573354677456885144,287,1573354677402487993,,0.109600000083,0.0985599979758,0.0478600002825,0.000199999994948
1573354677510539082,288,1573354677457045078,,0.112700000405,0.0998099967837,0.0522699989378,0.000110000000859
1573354677564808486,289,1573354677511024951,,0.114900000393,0.100259996951,0.0560300014913,7.00000018696e-05
1573354677617254578,290,1573354677564115047,,0.118299998343,0.102009996772,0.0599000006914,4.99999987369e-05
1573354677671054213,291,1573354677617536067,,0.120099999011,0.102399997413,0.0626799985766,2.99999992421e-05
1573354677723902721,292,1573354677671195983,,0.121699996293,0.100699998438,0.0684100016952,0.0
1573354677777365140,293,1573354677723957061,,0.122400000691,0.0951900035143,0.0769499987364,4.99999987369e-05
1573354677830840840,294,1573354677777271032,,0.123599998653,0.0896300002933,0.085110001266,-9.99999974738e-06
1573354677884890456,295,1573354677830415964,,0.128099992871,0.0874399989843,0.0935499966145,-0.0
1573354677937634931,296,1573354677884145975,,0.130999997258,0.0861499980092,0.0987000018358,-3.99999989895e-05
1573354677991047213,297,1573354677936891078,,0.135900005698,0.0842799991369,0.106579996645,-0.000159999995958
1573354678043632855,298,1573354677990124940,,0.135100007057,0.0794799998403,0.109190002084,-0.000150000007125
1573354678096358878,299,1573354678043802022,,0.126800000668,0.0700500011444,0.105719998479,-7.00000018696e-05
1573354678149941103,300,1573354678096261978,,0.125699996948,0.0602499991655,0.110370002687,-4.99999987369e-05
1573354678203454142,301,1573354678149454116,,0.12729999423,0.0514199994504,0.116420000792,-0.0
1573354678256281787,302,1573354678202934980,,0.128299996257,0.0450100004673,0.12010999769,9.99999974738e-06
1573354678359508889,303,1573354678256282091,,0.123700000346,0.0423399992287,0.116269998252,-7.9999997979e-05
1573354678413684115,304,1573354678359518051,,0.103500001132,0.0352899990976,0.0972599983215,-1.99999994948e-05
1573354678466770802,305,1573354678412913084,,0.0900999978185,0.0249899998307,0.0866099968553,-0.000159999995958
