%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573356357016369331,158,1573356356961395025,,80.0
1573356357117989814,159,1573356357014672040,,80.0
1573356357172421152,160,1573356357117360115,,80.0
1573356357225140184,161,1573356357171236038,,80.0
1573356357278455150,162,1573356357224066972,,80.0
1573356357332066966,163,1573356357277928113,,80.0
1573356357436209965,164,1573356357331598043,,80.0
1573356357489684357,165,1573356357434937000,,80.0
1573356357543628464,166,1573356357488046884,,80.0
1573356357595324142,167,1573356357542212009,,80.0
1573356357699091098,168,1573356357594708919,,80.0
1573356357751828333,169,1573356357697721004,,80.0
1573356357805514690,170,1573356357751127004,,80.0
1573356357859357561,171,1573356357805136919,,80.0
1573356357913058723,172,1573356357858454942,,80.0
1573356357966669448,173,1573356357912672042,,80.0
1573356358020465730,174,1573356357965691089,,80.0
1573356358074428502,175,1573356358019965887,,80.0
1573356358178276379,176,1573356358073256015,,80.0
1573356358230973079,177,1573356358176923990,,80.0
1573356358286059223,178,1573356358230498075,,80.0
1573356358339997198,179,1573356358285336971,,80.0
1573356358393866204,180,1573356358338557004,,80.0
1573356358447142197,181,1573356358393222093,,80.0
1573356358500911601,182,1573356358446598052,,80.0
1573356358554338460,183,1573356358499650001,,80.0
1573356358607985395,184,1573356358552799940,,80.0
1573356358711650357,185,1573356358607327938,,80.0
1573356359066997515,186,1573356358710962057,,80.0
1573356359120637771,187,1573356359066032886,,80.0
1573356359173390077,188,1573356359119517087,,25.0
1573356359227704537,189,1573356359173094034,,10.0
1573356359281402924,190,1573356359226325035,,10.0
1573356359337703478,191,1573356359281236886,,10.0
1573356359390995557,192,1573356359336870908,,65.0
1573356359444237095,193,1573356359390039920,,10.0
1573356359499844810,194,1573356359443854093,,10.0
1573356359554242394,195,1573356359498476982,,10.0
1573356359658545647,196,1573356359552941083,,10.0
1573356359712320762,197,1573356359657980918,,10.0
1573356359766432676,198,1573356359711915016,,10.0
1573356359820055039,199,1573356359765281915,,10.0
1573356359923564670,200,1573356359819520950,,10.0
1573356359977265935,201,1573356359922904968,,10.0
1573356360031734281,202,1573356359976640939,,10.0
1573356360085377533,203,1573356360030569076,,10.0
1573356360138145473,204,1573356360084929943,,10.0
1573356360192028919,205,1573356360137197971,,10.0
1573356360295566423,206,1573356360190906047,,10.0
1573356360349053628,207,1573356360294867038,,10.0
1573356360403288973,208,1573356360348654031,,45.0790748596
1573356360456286853,209,1573356360402389049,,10.0
1573356360511064568,210,1573356360456130027,,10.0
1573356360564675880,211,1573356360510137081,,10.0
1573356360617884374,212,1573356360563718080,,10.0
1573356360670997079,213,1573356360616641998,,65.0
1573356360725337287,214,1573356360670604944,,80.0
1573356360779865840,215,1573356360723984003,,80.0
1573356360832733390,216,1573356360778244972,,25.0
1573356360885965962,217,1573356360831463098,,41.3396568298
1573356360940349626,218,1573356360884835958,,80.0
