%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573356742294267102,259,1573356742240709066,,80.0
1573356742347956134,260,1573356742293570995,,80.0
1573356742401142395,261,1573356742346760034,,80.0
1573356742454701271,262,1573356742400638103,,80.0
1573356742558682067,263,1573356742454313039,,80.0
1573356742612189125,264,1573356742558267116,,80.0
1573356742666399882,265,1573356742611906051,,80.0
1573356742719130181,266,1573356742665136098,,80.0
1573356742823350608,267,1573356742718846082,,80.0
1573356742876719352,268,1573356742821878910,,80.0
1573356742929645250,269,1573356742875128984,,80.0
1573356742982556396,270,1573356742929328918,,80.0
1573356743036185028,271,1573356742981528997,,80.0
1573356743088786835,272,1573356743034877061,,80.0
1573356743142662452,273,1573356743088093996,,80.0
1573356743195023882,274,1573356743141256093,,80.0
1573356743248723643,275,1573356743194554090,,80.0
1573356743352693828,276,1573356743248323917,,80.0
1573356743405332100,277,1573356743351476907,,80.0
1573356743459050006,278,1573356743404934883,,80.0
1573356743513069050,279,1573356743458502054,,80.0
1573356743567596942,280,1573356743511934995,,80.0
1573356743621211520,281,1573356743566808938,,80.0
1573356743674022820,282,1573356743619822978,,80.0
1573356743728310665,283,1573356743673427104,,80.0
1573356743831441443,284,1573356743727040052,,80.0
1573356743886866080,285,1573356743832258939,,80.0
1573356743938432680,286,1573356743885556936,,80.0
1573356743992570802,287,1573356743938077926,,80.0
1573356744044451696,288,1573356743991108894,,80.0
1573356744100544471,289,1573356744043848991,,80.0
1573356744152953249,290,1573356744098923921,,80.0
1573356744206318076,291,1573356744152502059,,80.0
1573356744259710491,292,1573356744205686092,,80.0
1573356744613141734,293,1573356744259059906,,80.0
1573356744666518542,294,1573356744612548112,,80.0
1573356744719398998,295,1573356744666207075,,25.0
1573356744772520613,296,1573356744718466043,,10.0
1573356744826130442,297,1573356744772033929,,10.0
1573356744879893034,298,1573356744825736999,,10.0
1573356744934313758,299,1573356744879405021,,65.0
1573356744987251326,300,1573356744932595014,,10.0
1573356745040041468,301,1573356744986092090,,10.0
1573356745094167803,302,1573356745039525032,,10.0
1573356745147304999,303,1573356745092768907,,10.0
1573356745200059261,304,1573356745146152019,,10.0
1573356745253785477,305,1573356745199537992,,10.0
1573356745307493376,306,1573356745252933025,,10.0
1573356745410772492,307,1573356745306272983,,10.0
1573356745464231934,308,1573356745409687042,,10.0
