%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573193726420162171,219,1573193726365777969,,50.0
1573193726474695486,220,1573193726419922113,,50.0
1573193726529232137,221,1573193726474467039,,50.0
1573193726582549922,222,1573193726528672933,,50.0
1573193726686163567,223,1573193726582515954,,50.0
1573193726739253589,224,1573193726685760974,,50.0
1573193726794084262,225,1573193726739018917,,50.0
1573193726898496045,226,1573193726794033050,,50.0
1573193726952147612,227,1573193726897954940,,50.0
1573193727007073311,228,1573193726951946020,,50.0
1573193727059785779,229,1573193727005247116,,50.0
1573193727114125219,230,1573193727059274911,,50.0
1573193727167820386,231,1573193727113249063,,50.0
1573193727220731244,232,1573193727167556047,,50.0
1573193727274822733,233,1573193727220423936,,50.0
1573193727328647434,234,1573193727274714946,,50.0
1573193727381590605,235,1573193727328098058,,50.0
1573193727434783773,236,1573193727380542993,,50.0
1573193727487177755,237,1573193727434597969,,50.0
1573193727541682125,238,1573193727486795902,,50.0
1573193727593543149,239,1573193727540081977,,50.0
1573193727647902402,240,1573193727593379974,,50.0
1573193727751886542,241,1573193727647492885,,50.0
1573193727806119085,242,1573193727751416921,,50.0
1573193727859191055,243,1573193727804950952,,50.0
1573193727914437438,244,1573193727858711004,,50.0
1573193727970085608,245,1573193727913583993,,50.0
1573193728023784118,246,1573193727969535112,,50.0
1573193728078899517,247,1573193728023588895,,50.0
1573193728134419625,248,1573193728078569889,,50.0
1573193728239045502,249,1573193728134287118,,50.0
1573193728292706004,250,1573193728238061904,,50.0
1573193728347037698,251,1573193728292510032,,50.0
1573193728400280831,252,1573193728346709966,,50.0
1573193728454552763,253,1573193728399992942,,50.0
1573193728510653923,254,1573193728456320047,,50.0
1573193728565044531,255,1573193728510013103,,50.0
1573193728619254241,256,1573193728564758062,,50.0
1573193728673381179,257,1573193728618797063,,50.0
1573193728726177810,258,1573193728672836065,,50.0
1573193728780525322,259,1573193728725770950,,50.0
1573193728834024307,260,1573193728779881000,,50.0
1573193728886240057,261,1573193728833702087,,50.0
1573193728989918664,262,1573193728886015892,,50.0
1573193729043538709,263,1573193728989295959,,50.0
1573193729097950045,264,1573193729043459892,,50.0
1573193729152066169,265,1573193729097111940,,50.0
1573193729505072608,266,1573193729151782989,,50.0
1573193729559716545,267,1573193729505578041,,50.0
1573193729612454073,268,1573193729559544086,,50.0
1573193729666760003,269,1573193729612119913,,50.0
1573193729720922358,270,1573193729666071891,,50.0
1573193729773167133,271,1573193729719599962,,50.0
1573193729825849345,272,1573193729772638082,,50.0
1573193729880523181,273,1573193729825495958,,50.0
1573193729933868794,274,1573193729880311965,,50.0
1573193729986395206,275,1573193729933151960,,50.0
1573193730040665045,276,1573193729986223936,,50.0
1573193730094657635,277,1573193730040291070,,50.0
1573193730197759956,278,1573193730094214916,,50.0
1573193730250991864,279,1573193730196815967,,50.0
1573193730304749029,280,1573193730250623941,,50.0
1573193730358468526,281,1573193730304301023,,50.0
1573193730414543091,282,1573193730357999086,,50.0
1573193730466487689,283,1573193730413134098,,50.0
