%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573193726419506971,1,1573193726365777969,,-3.50278569385e-05,4.46562626166e-05,2.55901359196e-05
1573193726473863037,2,1573193726419922113,,5.58847677894e-05,4.29152460129e-05,2.52738173003e-05
1573193726527757142,3,1573193726474467039,,-3.40616497851e-06,1.00120905699e-05,1.30025973704e-05
1573193726581685189,4,1573193726528672933,,-0.000162877826369,-7.75928710937e-05,-0.000129743406433
1573193726685708491,5,1573193726582515954,,-0.000286747992504,-7.73361316533e-05,-2.90149887405e-06
1573193726738693580,6,1573193726685760974,,-5.55463811907e-05,-1.62103333423e-05,1.41973430345e-06
1573193726792917517,7,1573193726739018917,,8.3782710135e-05,-5.2450250223e-05,-8.4676205006e-05
1573193726897523581,8,1573193726794033050,,1.37113220262e-05,-8.32691966934e-06,2.77468552667e-05
1573193726951164561,9,1573193726897954940,,-1.38319628604e-05,9.08090896701e-06,-9.46988711803e-06
1573193727005215241,10,1573193726951946020,,1.43519025642e-06,-1.47189075506e-05,1.27980865727e-05
1573193727058605524,11,1573193727005247116,,3.67024513253e-05,-2.53475864156e-05,-4.60303490399e-05
1573193727112538093,12,1573193727059274911,,-8.81227606442e-06,-2.45357587119e-05,7.68263089412e-06
1573193727166463360,13,1573193727113249063,,-1.21542771012e-05,3.89769120375e-05,3.7860907014e-06
1573193727219973881,14,1573193727167556047,,3.53111099685e-05,-5.21103975188e-05,-4.10570319218e-05
1573193727273979752,15,1573193727220423936,,-1.72557502083e-05,-5.32038175152e-05,9.29689940676e-06
1573193727327662744,16,1573193727274714946,,-0.000448231585324,-7.17639704817e-05,-5.93100594415e-05
1573193727380570596,17,1573193727328098058,,2.96955258818e-05,6.6671622335e-05,9.79175310931e-05
1573193727434008733,18,1573193727380542993,,-2.75749516732e-05,5.55853512196e-05,0.000116392584459
1573193727486610480,19,1573193727434597969,,-6.09747839917e-05,-9.50646353886e-05,-0.00016466845409
1573193727540687284,20,1573193727486795902,,-1.38167324621e-05,1.15175896553e-06,-3.08240378217e-05
1573193727592981276,21,1573193727540081977,,-2.55522190855e-05,8.36008475744e-05,0.000149665895151
1573193727646891350,22,1573193727593379974,,9.88138199318e-05,-4.93203551741e-05,-6.70763620292e-05
1573193727750849847,23,1573193727647492885,,-6.48898567306e-05,6.98969006407e-06,5.80490905122e-06
1573193727804829896,24,1573193727751416921,,2.06869899557e-05,3.61260208592e-05,3.87686850445e-05
1573193727858287816,25,1573193727804950952,,-0.00100930023473,-9.45597348618e-05,3.64658517356e-05
1573193727912809823,26,1573193727858711004,,-0.000261695036897,-1.46943621075e-05,1.01443092717e-05
1573193727968892811,27,1573193727913583993,,2.32283491641e-05,1.93711057364e-05,5.68905816181e-05
1573193728023025342,28,1573193727969535112,,-4.85524788019e-06,-8.82723688846e-05,-0.000128973828396
1573193728078156095,29,1573193728023588895,,-1.15009816e-05,-6.18792546447e-05,-8.83970860741e-05
1573193728133433429,30,1573193728078569889,,-0.000212863305933,-1.58020920935e-05,-1.85244371096e-05
1573193728238019333,31,1573193728134287118,,4.03158155677e-05,1.03738912003e-05,3.92942893086e-05
1573193728292170787,32,1573193728238061904,,-2.65298440354e-05,-3.81305799237e-05,-9.08786532818e-05
1573193728346089104,33,1573193728292510032,,4.65902157885e-05,8.19086653792e-06,2.16223452298e-05
1573193728399973288,34,1573193728346709966,,5.61908109376e-06,1.73335301952e-05,7.62465933803e-05
1573193728453539667,35,1573193728399992942,,-4.91657715429e-07,4.00411736337e-05,3.02590087813e-05
1573193728509751725,36,1573193728456320047,,-3.39952748618e-05,3.60131082289e-07,-5.9311428231e-06
1573193728564333964,37,1573193728510013103,,-0.000329572561895,-3.62002901966e-05,-3.60681042366e-05
1573193728618174901,38,1573193728564758062,,0.000103424019471,-2.85261139652e-05,-3.93866648665e-05
1573193728671864650,39,1573193728618797063,,9.98494397209e-06,4.26372898801e-05,5.81459134992e-05
1573193728725426786,40,1573193728672836065,,-1.45029107443e-05,4.70485829283e-05,0.000116240873467
1573193728779129470,41,1573193728725770950,,0.0044697006233,0.000568486982957,-0.000149758634507
1573193728833226320,42,1573193728779881000,,1.03540542113e-05,-3.32566778525e-05,-5.48381904082e-05
1573193728885715096,43,1573193728833702087,,-1.82459843927e-05,8.30039334687e-06,1.09799129859e-05
1573193728989741499,44,1573193728886015892,,0.000242138863541,6.52934841128e-06,-5.26995572727e-05
1573193729042760480,45,1573193728989295959,,0.000128850588226,1.61644038599e-05,7.09441792424e-06
1573193729096871800,46,1573193729043459892,,2.27231430472e-05,1.66671907209e-05,7.67598248785e-05
1573193729150844226,47,1573193729097111940,,1.72899108293e-05,-1.92014067579e-05,-1.22449373521e-05
1573193729504718839,48,1573193729151782989,,3.02182434098e-06,-2.26236643357e-05,1.11352946988e-05
1573193729558908209,49,1573193729505578041,,5.35787621629e-05,4.41781367044e-06,-6.48491477477e-05
1573193729611844477,50,1573193729559544086,,6.92773937772e-07,-3.88885491702e-05,-5.53034951736e-05
1573193729665094717,51,1573193729612119913,,4.56971210951e-05,-2.19034536713e-05,-3.54318508471e-05
1573193729719417377,52,1573193729666071891,,-5.62977729714e-05,-3.5717333958e-05,-5.2772982599e-05
1573193729772567738,53,1573193729719599962,,-0.00218519801274,-0.0139078078791,-0.000552471086849
1573193729824916635,54,1573193729772638082,,-0.0138478213921,-0.0674866437912,-0.0187069755048
1573193729879840758,55,1573193729825495958,,-0.0167265795171,-0.0806566476822,-0.0231562890112
1573193729933075879,56,1573193729880311965,,0.013176032342,-0.0524857975543,0.00880353245884
1573193729985746393,57,1573193729933151960,,0.0432565063238,-0.0223598070443,0.0333314575255
1573193730039981573,58,1573193729986223936,,0.0633689388633,-0.0115881245583,0.0472810901701
1573193730094819339,59,1573193730040291070,,0.0665748491883,-0.00957552436739,0.0507547743618
1573193730196422845,60,1573193730094214916,,0.0654826536775,-0.0049788323231,0.0481468290091
1573193730249723318,61,1573193730196815967,,0.0681542307138,-0.00208918191493,0.049877602607
1573193730303816208,62,1573193730250623941,,0.0672518536448,0.000561047170777,0.0501513667405
