%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573193813065463335,175,1573193813012566089,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573193813119731834,176,1573193813065030097,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573193813173220739,177,1573193813119190931,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1573193813225963995,178,1573193813173532962,,0.0,-0.0,-1.99999994948e-05,9.99999974738e-06
1573193813278009585,179,1573193813225523948,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573193813332483729,180,1573193813277686119,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1573193813384590107,181,1573193813332412958,,0.0,-0.0,-0.0,0.0
1573193813488443562,182,1573193813384552955,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1573193813543002918,183,1573193813488554954,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573193813597537179,184,1573193813543212890,,0.0,1.99999994948e-05,-2.99999992421e-05,-9.99999974738e-06
1573193813651413146,185,1573193813596975088,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573193813753528751,186,1573193813650957107,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573193813806988817,187,1573193813753067016,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1573193813862783169,188,1573193813806890964,,0.0,-9.99999974738e-06,3.99999989895e-05,-0.0
1573193813917194914,189,1573193813861879110,,0.0,-0.0,9.99999974738e-06,0.0
1573193814023857983,190,1573193813917331933,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573193814077681787,191,1573193814023302078,,0.0,0.0,-9.99999974738e-06,-0.0
1573193814132348108,192,1573193814076878070,,0.0,-1.99999994948e-05,1.99999994948e-05,9.99999974738e-06
1573193814185569756,193,1573193814131511926,,0.0,-0.0,0.0,0.0
1573193814240220634,194,1573193814184691905,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1573193814295545910,195,1573193814240238904,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573193814349614152,196,1573193814295577049,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573193814402087812,197,1573193814348910093,,0.0,-0.0,-1.99999994948e-05,0.0
1573193814503972596,198,1573193814401534080,,0.0,0.0,-9.99999974738e-06,0.0
