%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573193908819909705,201,1573193908767745971,,80.0
1573193908873481084,202,1573193908819442033,,80.0
1573193908925049338,203,1573193908872981071,,80.0
1573193908977192447,204,1573193908924659013,,80.0
1573193909029400010,205,1573193908976994991,,80.0
1573193909082061908,206,1573193909028708934,,80.0
1573193909136911830,207,1573193909081301927,,80.0
1573193909188091497,208,1573193909135543107,,80.0
1573193909289843585,209,1573193909187488079,,80.0
1573193909343768944,210,1573193909289264917,,80.0
1573193909394477761,211,1573193909342571020,,80.0
1573193909448437867,212,1573193909394272089,,80.0
1573193909499669867,213,1573193909447936058,,80.0
1573193909601335332,214,1573193909499553918,,80.0
1573193909654747525,215,1573193909600831985,,80.0
1573193909705997794,216,1573193909654267072,,80.0
1573193909759938100,217,1573193909705734014,,80.0
1573193909811371985,218,1573193909759205102,,80.0
1573193909865611020,219,1573193909811088085,,80.0
1573193909916670579,220,1573193909865176916,,80.0
1573193909972409918,221,1573193909916455030,,80.0
1573193910022911227,222,1573193909970838069,,80.0
1573193910073837643,223,1573193910022375106,,80.0
1573193910125601521,224,1573193910073585033,,80.0
1573193910177170570,225,1573193910125416994,,80.0
1573193910231653884,226,1573193910176692962,,80.0
1573193910282512384,227,1573193910231123924,,80.0
1573193910336846059,228,1573193910282351016,,80.0
1573193910437777285,229,1573193910336117982,,80.0
1573193910539906062,230,1573193910437608957,,80.0
1573193910591339028,231,1573193910539388895,,80.0
1573193910643046729,232,1573193910591021060,,80.0
1573193910694101678,233,1573193910642466068,,80.0
1573193910745016963,234,1573193910693614959,,80.0
1573193910796573291,235,1573193910744822978,,79.9499969482
1573193910847698103,236,1573193910796122074,,80.0
1573193910951704041,237,1573193910847352027,,80.0
1573193911003341978,238,1573193910950578927,,80.0
1573193911054197478,239,1573193911002770900,,80.0
1573193911107995460,240,1573193911053759098,,80.0
1573193911158923418,241,1573193911107084035,,80.0
1573193911213584048,242,1573193911158529996,,80.0
1573193911265284791,243,1573193911213124036,,80.0
1573193911566827408,244,1573193911264755964,,80.0
1573193911617760118,245,1573193911566226959,,80.0
1573193911671844997,246,1573193911617347002,,80.0
1573193911722691396,247,1573193911671200990,,80.0
1573193911773755667,248,1573193911722292900,,80.0
1573193911825113141,249,1573193911773550987,,80.0
1573193911876453941,250,1573193911824683904,,79.9499969482
1573193911931188520,251,1573193911876162052,,80.0
1573193911982379524,252,1573193911930666923,,79.9000015259
1573193912083501223,253,1573193911981967926,,77.4499969482
1573193912136852009,254,1573193912083292007,,72.75
1573193912188185941,255,1573193912136631965,,70.0500030518
1573193912242195929,256,1573193912187912940,,69.5500030518
1573193912293776261,257,1573193912242055892,,67.8000030518
1573193912345828264,258,1573193912293406009,,65.25
1573193912397604480,259,1573193912345733880,,63.3499984741
1573193912448449389,260,1573193912397047042,,62.7999992371
1573193912500314603,261,1573193912448164939,,62.7999992371
1573193912554509996,262,1573193912499752044,,62.6500015259
1573193912604526794,263,1573193912553035974,,62.4000015259
1573193912706200585,264,1573193912604301929,,58.7000007629
1573193912759821598,265,1573193912705770969,,56.0999984741
1573193912812661402,266,1573193912759458065,,54.7000007629
1573193912863864650,267,1573193912812388896,,53.75
1573193912917913937,268,1573193912863677978,,52.4000015259
1573193912968843251,269,1573193912917484998,,49.5
1573193913024210322,270,1573193912968559980,,45.5
1573193913078337931,271,1573193913023153066,,43.75
1573193913129004778,272,1573193913077037096,,43.9000015259
1573193913180722749,273,1573193913128760099,,43.75
1573193913232172172,274,1573193913180181980,,44.6999969482
1573193913283676188,275,1573193913231839895,,49.6500015259
1573193913335020211,276,1573193913283446073,,53.2999992371
1573193913386196071,277,1573193913334774017,,53.0499992371
1573193913439809624,278,1573193913385756015,,52.5
1573193913491768768,279,1573193913439363002,,52.1000022888
1573193913545332941,280,1573193913491463899,,51.0
1573193913596982183,281,1573193913545216083,,46.6500015259
1573193913647730773,282,1573193913596501111,,39.9500007629
1573193913701317164,283,1573193913647505044,,34.3000030518
1573193913752286129,284,1573193913700822114,,33.2999992371
1573193913804347744,285,1573193913751930952,,33.25
1573193913857761041,286,1573193913803697109,,35.0499992371
1573193913908669841,287,1573193913857127904,,40.7999992371
1573193913961474367,288,1573193913908397912,,47.1499977112
1573193914012489096,289,1573193913961195945,,53.5499992371
1573193914066665742,290,1573193914012288093,,59.7999992371
1573193914118079732,291,1573193914066195964,,65.9499969482
1573193914172959355,292,1573193914117625951,,72.3000030518
1573193914223843253,293,1573193914171497106,,78.6500015259
