%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573193908819562209,201,1573193908767745971,,0.0,-9.99999974738e-06,0.0,0.0
1573193908873598979,202,1573193908819442033,,0.0,-0.0,-0.0,-0.0
1573193908924916404,203,1573193908872981071,,0.0,0.0,9.99999974738e-06,-0.0
1573193908976956357,204,1573193908924659013,,0.0,0.0,-9.99999974738e-06,-0.0
1573193909029105572,205,1573193908976994991,,0.0,0.0,-0.0,-9.99999974738e-06
1573193909081238851,206,1573193909028708934,,0.0,0.0,-1.99999994948e-05,-0.0
1573193909135793471,207,1573193909081301927,,0.0,-0.0,1.99999994948e-05,-0.0
1573193909187871115,208,1573193909135543107,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573193909289506646,209,1573193909187488079,,0.0,-0.0,-0.0,0.0
1573193909342483937,210,1573193909289264917,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573193909394373400,211,1573193909342571020,,0.0,-0.0,-0.0,9.99999974738e-06
1573193909448109248,212,1573193909394272089,,0.0,9.99999974738e-06,0.0,-0.0
1573193909499471695,213,1573193909447936058,,0.0,-9.99999974738e-06,0.0,9.99999974738e-06
1573193909600988820,214,1573193909499553918,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573193909654121275,215,1573193909600831985,,0.0,0.0,0.0,0.0
1573193909705723258,216,1573193909654267072,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573193909759781975,217,1573193909705734014,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573193909811293272,218,1573193909759205102,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573193909865068664,219,1573193909811088085,,0.0,0.0,-0.0,-0.0
1573193909916476453,220,1573193909865176916,,0.0,1.99999994948e-05,-9.99999974738e-06,-1.99999994948e-05
1573193909970749547,221,1573193909916455030,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573193910022639245,222,1573193909970838069,,0.0,0.0,1.99999994948e-05,-0.0
1573193910073540423,223,1573193910022375106,,0.0,-9.99999974738e-06,-2.99999992421e-05,0.0
1573193910125665124,224,1573193910073585033,,0.0,0.0,-9.99999974738e-06,0.0
1573193910176692188,225,1573193910125416994,,0.0,-9.99999974738e-06,-2.99999992421e-05,0.0
1573193910230964763,226,1573193910176692962,,0.0,0.0,-9.99999974738e-06,-0.0
1573193910282328127,227,1573193910231123924,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573193910335831172,228,1573193910282351016,,0.0,0.0,-1.99999994948e-05,0.0
1573193910437801262,229,1573193910336117982,,0.0,-1.99999994948e-05,-0.0,9.99999974738e-06
1573193910539659923,230,1573193910437608957,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573193910591327031,231,1573193910539388895,,0.0,0.0,-0.0,-9.99999974738e-06
1573193910642806245,232,1573193910591021060,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1573193910693813812,233,1573193910642466068,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573193910745064251,234,1573193910693614959,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573193910796189179,235,1573193910744822978,,9.99999974738e-05,-9.99999974738e-06,4.99999987369e-05,9.99999974738e-06
1573193910847507760,236,1573193910796122074,,0.0,-0.0,9.99999974738e-06,-0.0
1573193910951188150,237,1573193910847352027,,0.0,-0.0,-9.99999974738e-06,-0.0
1573193911003059270,238,1573193910950578927,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1573193911053962736,239,1573193911002770900,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1573193911107449779,240,1573193911053759098,,0.0,-0.0,9.99999974738e-06,-0.0
1573193911158827535,241,1573193911107084035,,0.0,-0.0,-2.99999992421e-05,9.99999974738e-06
1573193911213106101,242,1573193911158529996,,0.0,1.99999994948e-05,-1.99999994948e-05,-0.0
1573193911265064357,243,1573193911213124036,,0.0,9.99999974738e-06,-1.99999994948e-05,0.0
1573193911566483223,244,1573193911264755964,,0.0,9.99999974738e-06,-1.99999994948e-05,0.0
1573193911617510047,245,1573193911566226959,,0.0,1.99999994948e-05,-3.99999989895e-05,-9.99999974738e-06
1573193911671092672,246,1573193911617347002,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573193911722456792,247,1573193911671200990,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1573193911773540545,248,1573193911722292900,,0.0,1.99999994948e-05,-3.99999989895e-05,-0.0
1573193911824933058,249,1573193911773550987,,0.0,1.99999994948e-05,-3.99999989895e-05,-9.99999974738e-06
1573193911876101503,250,1573193911824683904,,9.99999974738e-05,1.99999994948e-05,-4.99999987369e-05,-0.0
1573193911930554944,251,1573193911876162052,,0.0,1.99999994948e-05,-1.99999994948e-05,-0.0
1573193911981944241,252,1573193911930666923,,0.000199999994948,-9.00000013644e-05,-0.000169999999343,1.99999994948e-05
1573193912083501226,253,1573193911981967926,,0.00510000018403,-0.0010000000475,-0.0050499998033,2.99999992421e-05
1573193912136533058,254,1573193912083292007,,0.0144999995828,-0.000150000007125,-0.01446999982,-0.000269999989541
1573193912188098598,255,1573193912136631965,,0.0198999997228,0.00608000019565,-0.0189599990845,-0.000169999999343
1573193912241756814,256,1573193912187912940,,0.0208999998868,0.0129899997264,-0.0163400005549,-3.99999989895e-05
1573193912293588054,257,1573193912242055892,,0.0243999995291,0.0204799994826,-0.0132799996063,9.99999974738e-06
1573193912345784780,258,1573193912293406009,,0.0295000001788,0.0278500001878,-0.00987999979407,2.99999992421e-05
1573193912397454139,259,1573193912345733880,,0.0333000011742,0.0325100012124,-0.00726999994367,0.000239999993937
1573193912448179990,260,1573193912397047042,,0.0344000011683,0.0337999984622,-0.00646999990568,-2.99999992421e-05
1573193912499944174,261,1573193912448164939,,0.0344000011683,0.0337999984622,-0.00639999983832,-9.99999974738e-06
1573193912553412394,262,1573193912499752044,,0.034699998796,0.0341399982572,-0.00619000010192,-7.00000018696e-05
1573193912604490172,263,1573193912553035974,,0.0351999998093,0.0351999998093,0.000419999996666,-5.99999984843e-05
1573193912706288438,264,1573193912604301929,,0.0425999984145,0.0392399989069,0.0166200008243,0.000110000000859
1573193912759940161,265,1573193912705770969,,0.047800000757,0.0425300002098,0.0218599997461,0.000159999995958
1573193912812376024,266,1573193912759458065,,0.0505999997258,0.0437600016594,0.0253400001675,9.99999974738e-06
