%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573095777700047565,909,1573095777645452976,,80.0
1573095777753801942,910,1573095777699521064,,80.0
1573095777807191056,911,1573095777753762006,,80.0
1573095777861576571,912,1573095777806854009,,80.0
1573095777915373046,913,1573095777861058950,,80.0
1573095777971160133,914,1573095777915266990,,80.0
1573095778025488494,915,1573095777970828056,,80.0
1573095778129936973,916,1573095778025602102,,80.0
1573095778184076048,917,1573095778129637956,,80.0
1573095778237844148,918,1573095778183618068,,80.0
1573095778292388525,919,1573095778237462043,,80.0
1573095778394986189,920,1573095778291766881,,80.0
1573095779301369409,921,1573095778394601106,,80.0
1573095779354541380,922,1573095779301282882,,80.0
1573095779406691034,923,1573095779354351997,,80.0
1573095779460246970,924,1573095779406574010,,80.0
1573095779512976155,925,1573095779459742069,,80.0
1573095779565675875,926,1573095779512600898,,80.0
1573095779619880575,927,1573095779565500974,,80.0
1573095779674165867,928,1573095779620009899,,80.0
1573095779778607203,929,1573095779674073934,,80.0
1573095779832976844,930,1573095779778309106,,80.0
1573095779887071527,931,1573095779832645893,,80.0
1573095779941719734,932,1573095779886883020,,80.0
1573095779995580446,933,1573095779940958023,,80.0
1573095780050443710,934,1573095779995560884,,80.0
1573095780101268298,935,1573095780049535036,,80.0
1573095780154424156,936,1573095780101250886,,80.0
1573095780208039039,937,1573095780153621912,,80.0
1573095780311010712,938,1573095780207853078,,80.0
1573095780365169236,939,1573095780311032056,,80.0
1573095780419425644,940,1573095780364900112,,80.0
1573095780471920637,941,1573095780419301033,,80.0
1573095780523410655,942,1573095780471246004,,80.0
1573095780579247889,943,1573095780523205041,,80.0
1573095780633700110,944,1573095780579008102,,80.0
1573095780686281597,945,1573095780633064031,,80.0
1573095780790113668,946,1573095780685997962,,80.0
1573095780844492049,947,1573095780789808034,,80.0
1573095780898087570,948,1573095780844125986,,80.0
1573095780951887776,949,1573095780897910118,,80.0
1573095781006882945,950,1573095780951966047,,65.852180481
1573095781361700066,951,1573095781006189107,,80.0
1573095781415335128,952,1573095781360064983,,80.0
1573095781470378717,953,1573095781415261030,,25.0
1573095781524119220,954,1573095781469357013,,10.0
1573095781577188724,955,1573095781523664951,,10.0
1573095781631400894,956,1573095781576867103,,10.0
1573095781685668927,957,1573095781631053924,,10.0
1573095781738691268,958,1573095781685409069,,65.0
1573095781791867605,959,1573095781738728046,,80.0
1573095781846164136,960,1573095781791750907,,80.0
1573095781897933334,961,1573095781845827102,,25.0
1573095782003202757,962,1573095781897615909,,10.0
1573095782057528076,963,1573095782003123998,,10.0
1573095782110701969,964,1573095782057117938,,10.0
1573095782163101000,965,1573095782109777927,,10.0
1573095782217236182,966,1573095782162779092,,10.0
1573095782271354363,967,1573095782216814041,,10.0
1573095782324864318,968,1573095782271542072,,10.0
1573095782377811781,969,1573095782324649095,,10.0
1573095782483538516,970,1573095782377526044,,10.0
1573095782536171180,971,1573095782483011960,,10.0
1573095782590698501,972,1573095782536098957,,10.0
1573095782642875570,973,1573095782590147018,,10.0
1573095782698119016,974,1573095782642704963,,10.0
1573095782749412717,975,1573095782696721076,,10.0
1573095782802938637,976,1573095782748644113,,10.0
1573095782857081317,977,1573095782802175045,,10.0
1573095782911712667,978,1573095782857304096,,10.0
1573095783016275507,979,1573095782911304950,,10.0
1573095783070904143,980,1573095783014919996,,10.0
1573095783124051594,981,1573095783069277048,,10.0
1573095783227820731,982,1573095783123670101,,10.0
1573095783282339346,983,1573095783227888107,,10.0
1573095783336327380,984,1573095783282043933,,10.0
1573095783389037086,985,1573095783335908889,,10.0
1573095783443302180,986,1573095783388680934,,10.0
1573095783547672041,987,1573095783443322896,,10.0
1573095783601563179,988,1573095783547420978,,10.0
1573095783654490674,989,1573095783601335048,,10.0
1573095783708839957,990,1573095783654390096,,10.0
1573095783813794857,991,1573095783708498954,,10.0
1573095783867447712,992,1573095783812592029,,65.0
1573095783922462680,993,1573095783867117881,,80.0
1573095783976449764,994,1573095783922068119,,25.0
1573095784030450516,995,1573095783976196050,,80.0
1573095784083967419,996,1573095784030148983,,80.0
1573095784138384168,997,1573095784083692073,,80.0
1573095784194192576,998,1573095784138154983,,80.0
1573095784245623978,999,1573095784192336082,,80.0
1573095784298004439,1000,1573095784245498895,,80.0
1573095784351032815,1001,1573095784297772884,,80.0
1573095784405584539,1002,1573095784351135969,,80.0
1573095784459205205,1003,1573095784405986070,,80.0
1573095784513877462,1004,1573095784458882093,,80.0
1573095784566673741,1005,1573095784513190031,,80.0
1573095784671585469,1006,1573095784566435098,,65.9965438843
1573095784724267956,1007,1573095784671202898,,10.996547699
1573095784778732195,1008,1573095784724137067,,65.9965438843
1573095784833161021,1009,1573095784778546094,,80.0
1573095784888302577,1010,1573095784832551002,,80.0
1573095784943323393,1011,1573095784888163089,,80.0
1573095784995603394,1012,1573095784941900014,,27.6161651611
1573095785049904944,1013,1573095784995433092,,10.0
1573095785154063805,1014,1573095785049582958,,10.0
1573095785209106622,1015,1573095785153666973,,10.0
1573095785262168534,1016,1573095785207906007,,10.0
1573095785317272165,1017,1573095785261636018,,10.0
1573095785421234808,1018,1573095785316664934,,10.0
1573095785476159791,1019,1573095785420835018,,10.0
1573095785529377527,1020,1573095785474787950,,10.0
1573095785583658404,1021,1573095785528819084,,10.0
1573095785686191534,1022,1573095785583219051,,10.0
1573095785740463364,1023,1573095785685961008,,10.0
1573095785793424775,1024,1573095785740262031,,10.0
1573095785847812804,1025,1573095785793454885,,10.0
1573095785904934630,1026,1573095785847645044,,10.0
1573095785959451946,1027,1573095785904589891,,10.0
1573095786013835130,1028,1573095785958762884,,10.0
1573095786067843928,1029,1573095786013552904,,10.0
1573095786171879760,1030,1573095786067481040,,10.0
1573095786225815871,1031,1573095786171428918,,10.0
1573095786279585172,1032,1573095786225229978,,10.0
1573095786333699808,1033,1573095786279205083,,10.0
1573095786388920561,1034,1573095786333461046,,10.0
1573095786441170178,1035,1573095786387722015,,10.0
1573095786495916410,1036,1573095786440808057,,10.0
1573095786549090117,1037,1573095786494602918,,65.0
1573095786650635573,1038,1573095786548093080,,80.0
1573095786704650163,1039,1573095786650270938,,80.0
1573095786758712028,1040,1573095786704459905,,80.0
1573095786812374168,1041,1573095786758394956,,80.0
1573095786865510086,1042,1573095786811319112,,80.0
1573095786919550432,1043,1573095786865422964,,80.0
1573095786971764277,1044,1573095786919152975,,80.0
1573095787025747923,1045,1573095786971410036,,80.0
1573095787079330631,1046,1573095787024688005,,80.0
1573095787135803091,1047,1573095787078811883,,80.0
1573095787188901690,1048,1573095787134602069,,80.0
1573095787243489531,1049,1573095787189016103,,25.0
1573095787348165573,1050,1573095787243238925,,10.0
1573095787401024858,1051,1573095787346777915,,10.0
1573095787454078442,1052,1573095787400796890,,10.0
1573095787508030889,1053,1573095787453567028,,10.0
