%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573095196292720352,2921,1573095196188549041,,80.0
1573095196346703621,2922,1573095196292334079,,80.0
1573095196401038293,2923,1573095196346049070,,80.0
1573095196453828445,2924,1573095196400434970,,80.0
1573095196507990190,2925,1573095196453583955,,80.0
1573095196560880608,2926,1573095196507502079,,80.0
1573095196614010748,2927,1573095196560610055,,80.0
1573095196669138241,2928,1573095196613578081,,80.0
1573095196772164293,2929,1573095196667538881,,80.0
1573095196826478013,2930,1573095196771384000,,80.0
1573095197781418582,2931,1573095196825776100,,80.0
1573095197834061515,2932,1573095197780977010,,80.0
1573095197888371984,2933,1573095197833916902,,80.0
1573095197942465912,2934,1573095197888236045,,80.0
1573095197997324596,2935,1573095197942049980,,80.0
1573095198048458732,2936,1573095197997097969,,80.0
1573095198101921658,2937,1573095198048275947,,80.0
1573095198154640993,2938,1573095198100981950,,80.0
1573095198206941745,2939,1573095198153685092,,80.0
1573095198261323466,2940,1573095198206729888,,80.0
1573095198365207008,2941,1573095198260818004,,80.0
1573095198420111256,2942,1573095198364701986,,80.0
1573095198473008143,2943,1573095198418890953,,80.0
1573095198527126760,2944,1573095198472702980,,80.0
1573095198581502036,2945,1573095198526720046,,80.0
1573095198636900584,2946,1573095198582308053,,80.0
1573095198689831995,2947,1573095198636377096,,80.0
1573095198790980099,2948,1573095198689327001,,80.0
1573095198894777431,2949,1573095198790621995,,80.0
1573095198948716281,2950,1573095198894370079,,80.0
1573095199003361479,2951,1573095198948225021,,80.0
1573095199104693417,2952,1573095199002718925,,80.0
1573095199160193579,2953,1573095199104283094,,80.0
1573095199214989225,2954,1573095199159800052,,80.0
1573095199268385135,2955,1573095199214561939,,80.0
1573095199321377087,2956,1573095199267493009,,80.0
1573095199374415103,2957,1573095199321141958,,80.0
1573095199428265178,2958,1573095199374017000,,80.0
1573095199482873532,2959,1573095199427259922,,80.0
1573095199838850496,2960,1573095199482812881,,80.0
1573095199892371940,2961,1573095199838306903,,80.0
1573095199945882130,2962,1573095199891225099,,25.0
1573095199998235396,2963,1573095199945359945,,10.0
1573095200053065085,2964,1573095199997577905,,10.0
1573095200105935536,2965,1573095200051609039,,10.0
1573095200161944296,2966,1573095200105304002,,10.0
1573095200215759250,2967,1573095200161549091,,10.0
1573095200318677474,2968,1573095200215395927,,65.0
