%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573095777698611925,1,1573095777645452976,,7.08234292688e-05,-1.28004103317e-05,-4.90308084409e-05
1573095777753289970,2,1573095777699521064,,1.44512450788e-05,-2.78017196251e-05,-6.56043921481e-05
1573095777806251459,3,1573095777753762006,,-2.23304068641e-05,8.07198648545e-06,6.53131746731e-06
1573095777860098117,4,1573095777806854009,,8.4145765868e-05,5.07420263602e-05,2.26711199502e-05
1573095777914312972,5,1573095777861058950,,-0.0003913261462,-2.88357714453e-05,5.51314333279e-05
1573095777969910855,6,1573095777915266990,,-7.01770259184e-05,-1.14696986202e-05,-9.98571249511e-06
1573095778024561198,7,1573095777970828056,,-1.07659961941e-05,5.47170602658e-05,-9.98176547e-05
1573095778129104861,8,1573095778025602102,,4.33239220001e-05,-4.21795157308e-05,3.15075121762e-05
1573095778182823329,9,1573095778129637956,,5.46714363736e-05,-1.28439478431e-05,-1.66775350863e-06
1573095778236879741,10,1573095778183618068,,7.60512330089e-06,1.62178530445e-05,7.63204807299e-05
1573095778291208639,11,1573095778237462043,,-0.000129378124257,-3.41611030308e-06,-3.75716845156e-05
1573095778394164519,12,1573095778291766881,,-3.80879755539e-05,-5.27729462192e-05,-5.97538601141e-05
1573095779299969181,13,1573095778394601106,,-1.98509897018e-05,1.23951485875e-05,2.44863640546e-05
1573095779353829006,14,1573095779301282882,,1.35517097988e-06,-6.63302216708e-06,4.15240028815e-05
1573095779406395925,15,1573095779354351997,,0.000144633770105,6.2175236053e-06,1.11156241474e-05
1573095779458907637,16,1573095779406574010,,0.00966627988964,0.000692225818057,-0.000204183146707
1573095779512313082,17,1573095779459742069,,9.83307254501e-05,-1.78908649104e-05,5.59293803235e-05
1573095779565087048,18,1573095779512600898,,8.86249545147e-05,3.61576348951e-05,0.000129823005409
1573095779619227553,19,1573095779565500974,,2.57693463936e-05,2.64103400696e-05,-1.94576241483e-05
1573095779673023823,20,1573095779620009899,,-8.52086759551e-06,2.9243165045e-05,-4.11260298279e-05
1573095779777398767,21,1573095779674073934,,-0.000101851910586,-1.40534011734e-05,-3.01040799968e-05
1573095779831660384,22,1573095779778309106,,4.71649545943e-05,-5.15810279467e-06,-8.99417136679e-05
