%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573118956214787464,1,1573118956111426115,,-2.77834715234e-05,8.16424289951e-05,0.000144816978718
1573118956268485875,2,1573118956215181112,,-9.73306305241e-05,-9.54656934482e-05,-0.000124762780615
1573118956321912711,3,1573118956269287109,,3.62983792002e-06,-5.69252915739e-05,-1.97372028197e-05
1573118956376238122,4,1573118956322308063,,5.55733240617e-05,-2.85217265628e-05,-6.49258217891e-05
1573118956428784646,5,1573118956375557899,,0.00010972871678,4.58069371234e-05,8.04467781563e-05
1573118956483912586,6,1573118956429634094,,8.73853205121e-05,2.64904083451e-05,0.000141127864481
1573118956539132099,7,1573118956485774040,,-1.40129814099e-05,0.00013070818386,5.51115408598e-05
1573118956594512808,8,1573118956540056943,,8.57412378537e-05,2.68980747933e-05,8.49164862302e-05
1573118956647597657,9,1573118956593825101,,3.46003143932e-05,-3.59079604095e-05,4.18625131715e-05
1573118956701493082,10,1573118956648139953,,-3.53258001269e-05,-7.02338511473e-05,-6.18874109932e-05
1573118956756745142,11,1573118956701591014,,4.54711989732e-05,6.76217969158e-05,2.03258223337e-05
1573118956809138618,12,1573118956757076025,,-1.37132019518e-05,-8.61887474457e-06,-5.94540179009e-05
1573118956863374020,13,1573118956808811902,,-4.87196921313e-05,-9.96081653284e-05,-0.000197480185307
1573118956917678099,14,1573118956862993955,,-0.000139731229865,-8.71407755767e-05,-0.000194180203835
1573118956972621513,15,1573118956917921066,,-2.73213136097e-05,-7.29298917577e-05,-6.37857665424e-05
1573118957027669573,16,1573118956973160028,,3.92518777517e-05,-2.08744568226e-05,-7.44415956433e-05
1573118957080834478,17,1573118957028672933,,8.84993496584e-05,3.85720559279e-05,7.3618699389e-05
1573118957133953870,18,1573118957080771923,,5.70421179873e-05,-8.42729150463e-06,-1.62616979651e-05
1573118957239291001,19,1573118957134637117,,-2.20828246711e-06,2.78417101072e-05,5.00256610394e-05
1573118957293013981,20,1573118957239732027,,5.38925996807e-05,6.59420766169e-05,9.96145463432e-05
1573118957347146775,21,1573118957293517112,,-3.15613397106e-05,-8.22020956548e-06,-6.11058712821e-05
1573118957400998993,22,1573118957347232103,,-0.000152454405907,-0.000103499587567,-0.000168839513208
1573118957453498769,23,1573118957401065111,,-3.39352991432e-05,8.49897551234e-05,6.45774998702e-05
1573118957506963303,24,1573118957453664064,,2.76562459476e-05,-1.71872216015e-05,-3.27788111463e-05
1573118957559882441,25,1573118957507082939,,0.00012190243433,5.9358724684e-05,0.000108889544208
1573118957614263089,26,1573118957560691118,,8.97590216482e-05,3.30249349645e-05,7.06801947672e-05
1573118957717389378,27,1573118957613986968,,9.05578690436e-06,6.49633511784e-05,-2.44048060267e-05
1573118957771260414,28,1573118957717952013,,-2.47589991886e-06,-1.59200826602e-05,1.97736135306e-05
1573118957824880034,29,1573118957771610975,,3.20959043165e-05,-0.000164688317454,-1.2299530681e-05
1573118957878931451,30,1573118957825341939,,-4.12983026763e-05,2.45629121309e-06,-1.1687312508e-05
1573118957932897469,31,1573118957879270076,,7.76548913564e-05,4.09637141274e-05,7.61731571401e-05
1573118957987068888,32,1573118957933414936,,-2.14028805203e-05,-4.41570773546e-06,-5.07243748871e-05
1573118958041107018,33,1573118957987639904,,-9.72800262389e-05,-4.57928508695e-05,-0.000170540195541
1573118958095298285,34,1573118958041763067,,-9.82563433354e-05,-2.94582096103e-05,-0.000121313350974
1573118958199502014,35,1573118958096103906,,-9.03210602701e-05,-2.94382589345e-05,-6.62899310555e-06
1573118958252568168,36,1573118958200119018,,5.86219284742e-05,1.24943580886e-05,6.49060239084e-05
1573118958306215929,37,1573118958252727031,,-1.35667887662e-05,8.37019979372e-06,-1.83572210517e-05
1573118958359913058,38,1573118958306459903,,-5.11506586918e-05,8.35189057398e-05,-3.12264455715e-05
1573118958412359515,39,1573118958360671997,,-4.54736546089e-05,-2.14701449295e-05,-3.68492146663e-05
1573118958463410037,40,1573118958412313938,,-4.43633653049e-05,-6.37008124613e-05,-9.65041763266e-05
1573118958518361355,41,1573118958463432073,,2.19982284761e-05,-1.29756408569e-05,2.47124662565e-05
1573118958571965038,42,1573118958518413066,,8.46286638989e-05,7.77351378929e-05,8.06180978543e-05
1573118958626018143,43,1573118958572321891,,-5.75824051339e-05,8.94861659617e-05,1.8044926037e-05
1573118958679597325,44,1573118958626291036,,4.00146655011e-06,-1.71212032001e-05,4.43332392024e-05
1573118958732884627,45,1573118958680394887,,-2.26425800065e-05,-1.31020306071e-05,-7.88779143477e-05
1573118958787667168,46,1573118958733393907,,1.99801597773e-05,-2.32419642998e-05,-2.53674770647e-05
1573118958840088196,47,1573118958788606882,,4.99103152833e-05,-3.30522270815e-05,-5.80015475862e-05
1573118958893484802,48,1573118958840276002,,-1.87685952824e-06,-7.61682604207e-05,-0.000120051387057
1573118958946183821,49,1573118958893770933,,-3.34536634909e-05,2.72893817055e-06,-3.15364195558e-05
1573118958998965519,50,1573118958946533918,,3.83392180083e-05,-5.26838121004e-05,-7.26254220353e-05
1573118959052248278,51,1573118958999212980,,-3.29403264914e-05,-1.60865256476e-05,-6.12302756053e-05
1573118959106234076,52,1573118959053172111,,5.91639109189e-05,2.0937901354e-05,9.07083594939e-05
1573118959159704080,53,1573118959106935977,,5.37401865586e-05,-7.59201429901e-05,-0.000119998469017
1573118959213329576,54,1573118959159967899,,0.000252021796769,-8.58123312355e-05,-0.000105138999061
1573118959267003936,55,1573118959213547945,,-4.98082908962e-06,5.37563282705e-05,6.83848411427e-05
1573118959321217269,56,1573118959268095970,,-0.00110533891711,9.1885412985e-05,0.000121527766169
1573118959376488594,57,1573118959322067022,,0.00572187174112,-8.23575974209e-05,-0.000252454861766
1573118959430398932,58,1573118959376941919,,0.000141749595059,6.73207905493e-05,9.9950688309e-05
1573118959484059738,59,1573118959430779933,,9.03468680917e-05,-3.41002232744e-05,-2.10185262404e-05
1573118959586678427,60,1573118959484333038,,-9.32366820052e-05,-2.60613505816e-05,1.40814318002e-05
1573118959641498889,61,1573118959587697029,,6.22096122243e-05,-4.66451019747e-05,-3.05804314849e-05
1573118959696839965,62,1573118959642144918,,-0.00013946533727,4.06777598982e-06,-3.03828674078e-05
1573118959749547481,63,1573118959696172952,,5.81816448175e-06,-6.73435977205e-07,7.70299011492e-05
1573118959803076365,64,1573118959749764919,,0.000154834226123,2.06295430871e-06,-3.15152537951e-05
1573118959855864538,65,1573118959803719997,,7.16336799087e-05,2.37962449319e-05,0.000141491691465
1573118959908811591,66,1573118959856004953,,0.000118636402476,-1.31074993988e-05,0.000101869743958
1573118959961476071,67,1573118959909013032,,-3.68815999536e-05,1.3902331375e-06,-2.38689590333e-05
1573118960013331636,68,1573118959961776971,,-7.36009460525e-05,-1.02446010715e-05,-0.000111599896627
1573118960065368300,69,1573118960013407945,,-0.000148797946167,-4.53975408163e-05,-0.000103272563138
1573118960170698180,70,1573118960065572023,,7.20116950106e-05,3.84711311199e-05,7.11880347808e-05
1573118960223646695,71,1573118960171287059,,2.99967814499e-05,-2.6041199817e-05,-1.85155349754e-05
1573118960277187174,72,1573118960223537921,,-0.00022989831632,4.28339153586e-05,9.78416937869e-05
1573118960330667212,73,1573118960277566909,,-3.2292589367e-06,3.15836805385e-05,-2.28316221182e-05
1573118960383140541,74,1573118960331362009,,-8.55553807924e-05,-0.000177133333636,-0.000215351596125
1573118960485454531,75,1573118960383301019,,2.97963124467e-05,8.72201489983e-05,0.000162545387866
1573118960539556649,76,1573118960486077070,,-2.89951476589e-05,7.65398363001e-06,6.23982268735e-05
