%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573118956215748731,245,1573118956111426115,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118956269179785,246,1573118956215181112,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1573118956322731792,247,1573118956269287109,,0.0,-0.0,-1.99999994948e-05,0.0
1573118956376224000,248,1573118956322308063,,0.0,-9.99999974738e-06,-0.0,0.0
1573118956430256746,249,1573118956375557899,,0.0,0.0,-1.99999994948e-05,-0.0
1573118956485761614,250,1573118956429634094,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573118956539829714,251,1573118956485774040,,0.0,0.0,9.99999974738e-06,-0.0
1573118956593743603,252,1573118956540056943,,0.0,9.99999974738e-06,1.99999994948e-05,-9.99999974738e-06
1573118956648642381,253,1573118956593825101,,0.0,0.0,9.99999974738e-06,0.0
1573118956703014851,254,1573118956648139953,,0.0,-1.99999994948e-05,9.99999974738e-06,0.0
1573118956756968175,255,1573118956701591014,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573118956809256581,256,1573118956757076025,,0.0,-0.0,-9.99999974738e-06,9.99999974738e-06
1573118956863833286,257,1573118956808811902,,0.0,-0.0,9.99999974738e-06,0.0
1573118956918315218,258,1573118956862993955,,0.0,-9.99999974738e-06,0.0,0.0
1573118956973803629,259,1573118956917921066,,0.0,-0.0,9.99999974738e-06,0.0
1573118957029180533,260,1573118956973160028,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573118957081266229,261,1573118957028672933,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118957134357448,262,1573118957080771923,,0.0,-0.0,-1.99999994948e-05,0.0
1573118957239619773,263,1573118957134637117,,0.0,-1.99999994948e-05,2.99999992421e-05,9.99999974738e-06
1573118957293752876,264,1573118957239732027,,0.0,0.0,-9.99999974738e-06,0.0
1573118957347699571,265,1573118957293517112,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118957402222510,266,1573118957347232103,,0.0,-0.0,-0.0,-0.0
1573118957455194005,267,1573118957401065111,,0.0,-0.0,9.99999974738e-06,-0.0
1573118957506991032,268,1573118957453664064,,0.0,-0.0,2.99999992421e-05,-0.0
1573118957560603381,269,1573118957507082939,,0.0,0.0,9.99999974738e-06,-0.0
1573118957614857444,270,1573118957560691118,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118957718580089,271,1573118957613986968,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573118957771683070,272,1573118957717952013,,0.0,-0.0,9.99999974738e-06,0.0
1573118957826047877,273,1573118957771610975,,0.0,-0.0,-9.99999974738e-06,-0.0
1573118957879187031,274,1573118957825341939,,0.0,0.0,-0.0,-0.0
1573118957934198692,275,1573118957879270076,,0.0,0.0,1.99999994948e-05,0.0
1573118957987325603,276,1573118957933414936,,0.0,1.99999994948e-05,-0.0,-9.99999974738e-06
1573118958041601803,277,1573118957987639904,,0.0,0.0,-1.99999994948e-05,0.0
1573118958096154511,278,1573118958041763067,,0.0,9.99999974738e-06,-3.99999989895e-05,-0.0
1573118958200441034,279,1573118958096103906,,0.0,9.99999974738e-06,-3.99999989895e-05,-9.99999974738e-06
1573118958253186587,280,1573118958200119018,,0.0,9.99999974738e-06,-0.0,-0.0
1573118958307155094,281,1573118958252727031,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573118958360509068,282,1573118958306459903,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573118958412722503,283,1573118958360671997,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573118958463417199,284,1573118958412313938,,0.0,-0.0,1.99999994948e-05,0.0
1573118958519317905,285,1573118958463432073,,0.0,-0.0,0.0,0.0
1573118958572938593,286,1573118958518413066,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118958626711746,287,1573118958572321891,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573118958680502417,288,1573118958626291036,,0.0,9.99999974738e-06,2.99999992421e-05,-0.0
1573118958733463054,289,1573118958680394887,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1573118958788331578,290,1573118958733393907,,0.0,1.99999994948e-05,9.99999974738e-06,-9.99999974738e-06
1573118958840618437,291,1573118958788606882,,0.0,9.99999974738e-06,-0.0,-0.0
1573118958894299086,292,1573118958840276002,,0.0,-0.0,-9.99999974738e-06,-0.0
1573118958947176739,293,1573118958893770933,,0.0,0.0,-1.99999994948e-05,-0.0
1573118958999743583,294,1573118958946533918,,0.0,-0.0,-1.99999994948e-05,0.0
1573118959053713963,295,1573118958999212980,,0.0,0.0,-1.99999994948e-05,-0.0
1573118959107333429,296,1573118959053172111,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573118959160387799,297,1573118959106935977,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573118959214304979,298,1573118959159967899,,0.0,9.99999974738e-06,-2.99999992421e-05,-9.99999974738e-06
1573118959267957510,299,1573118959213547945,,0.0,-9.99999974738e-06,0.0,0.0
1573118959322874494,300,1573118959268095970,,0.0,-1.99999994948e-05,-9.99999974738e-06,9.99999974738e-06
1573118959376823379,301,1573118959322067022,,0.0,0.0,-1.99999994948e-05,-0.0
1573118959430713015,302,1573118959376941919,,0.0,0.0,0.0,0.0
1573118959485086280,303,1573118959430779933,,0.0,0.0,1.99999994948e-05,0.0
1573118959588619110,304,1573118959484333038,,0.0,9.99999974738e-06,1.99999994948e-05,-0.0
1573118959642030049,305,1573118959587697029,,0.0,-0.0,9.99999974738e-06,0.0
1573118959696156787,306,1573118959642144918,,0.0,0.0,1.99999994948e-05,-0.0
1573118959749701391,307,1573118959696172952,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118959803584950,308,1573118959749764919,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118959856356696,309,1573118959803719997,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573118959909212592,310,1573118959856004953,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573118959962472210,311,1573118959909013032,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573118960013905106,312,1573118959961776971,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118960065516676,313,1573118960013407945,,0.0,0.0,-0.0,-0.0
1573118960171046099,314,1573118960065572023,,0.0,-0.0,-9.99999974738e-06,-0.0
1573118960223665403,315,1573118960171287059,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573118960277385651,316,1573118960223537921,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573118960331699016,317,1573118960277566909,,0.0,9.99999974738e-06,1.99999994948e-05,-0.0
1573118960383206036,318,1573118960331362009,,0.0,-0.0,-9.99999974738e-06,0.0
1573118960485890826,319,1573118960383301019,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118960540284901,320,1573118960486077070,,0.0,-0.0,9.99999974738e-06,0.0
1573118960591678419,321,1573118960540437936,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1573118960646108371,322,1573118960591485977,,0.0,9.99999974738e-06,1.99999994948e-05,0.0
1573118960699798998,323,1573118960645226955,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573118960753218413,324,1573118960699019908,,0.0,9.99999974738e-06,0.0,-0.0
1573118960807189979,325,1573118960753377914,,0.0,9.99999974738e-06,0.0,0.0
1573118960862686371,326,1573118960807322978,,0.0,0.0,-3.99999989895e-05,-0.0
1573118960915270345,327,1573118960861962080,,0.0,-9.99999974738e-06,-1.99999994948e-05,0.0
1573118961019340208,328,1573118960914937019,,0.0,9.99999974738e-06,4.99999987369e-05,-9.99999974738e-06
1573118961071907207,329,1573118961018665075,,0.0,0.0,-9.99999974738e-06,-0.0
1573118961124918167,330,1573118961071557998,,0.0,9.99999974738e-06,-0.0,-9.99999974738e-06
1573118961178619070,331,1573118961124191045,,0.0,-0.0,1.99999994948e-05,-0.0
1573118961231880906,332,1573118961178215026,,0.0,-0.0,-9.99999974738e-06,-0.0
1573118961285486027,333,1573118961232074975,,0.0,9.99999974738e-06,-0.0,-0.0
1573118961337994567,334,1573118961284840106,,0.0,-0.0,0.0,0.0
1573118961391923150,335,1573118961337723970,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118961445536568,336,1573118961391988039,,0.0,9.99999974738e-06,3.99999989895e-05,0.0
1573118961498353836,337,1573118961445312976,,0.0,0.0,1.99999994948e-05,0.0
1573118961550806805,338,1573118961497956991,,0.0,0.0,-2.99999992421e-05,0.0
1573118961604520540,339,1573118961550786972,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118961659695881,340,1573118961604362964,,0.0,-9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
1573118961713518495,341,1573118961658974885,,9.99999974738e-05,-9.99999974738e-06,-4.99999987369e-05,9.99999974738e-06
1573118961814396230,342,1573118961712779045,,0.0,9.99999974738e-06,-0.0,-0.0
1573118961868629500,343,1573118961814208030,,0.0,9.99999974738e-06,0.0,-9.99999974738e-06
1573118961922642367,344,1573118961867887020,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573118961976285564,345,1573118961921978950,,0.0,9.99999974738e-06,9.99999974738e-06,0.0
1573118962028311770,346,1573118961975574016,,9.99999974738e-05,-9.99999974738e-06,-4.99999987369e-05,0.0
1573118962132055289,347,1573118962027945041,,0.0,-0.0,-9.99999974738e-06,0.0
1573118962186512609,348,1573118962132081031,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573118962240351426,349,1573118962186554908,,0.0,9.99999974738e-06,2.99999992421e-05,-9.99999974738e-06
1573118962346487272,350,1573118962240444898,,0.0,9.99999974738e-06,0.0,-0.0
1573118962401665826,351,1573118962345761060,,0.0,0.0,2.99999992421e-05,-0.0
1573118962454471006,352,1573118962400769948,,0.0,-9.99999974738e-06,-0.0,0.0
1573118962508943022,353,1573118962454560041,,0.0,-9.99999974738e-06,-9.99999974738e-06,0.0
1573118962563947290,354,1573118962508285999,,0.0,1.99999994948e-05,-1.99999994948e-05,-9.99999974738e-06
1573118962616014419,355,1573118962563246011,,0.0,-9.99999974738e-06,-0.0,0.0
1573118962669034835,356,1573118962616195917,,0.0,9.99999974738e-06,1.99999994948e-05,-0.0
1573118962722311491,357,1573118962669123888,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573118962775977403,358,1573118962721673011,,0.0,0.0,0.0,0.0
1573118962878416408,359,1573118962775405883,,0.0,-0.0,0.0,-0.0
1573118962932613481,360,1573118962878787040,,0.0,-0.0,-9.99999974738e-06,0.0
1573118962985417412,361,1573118962932691097,,0.0,9.99999974738e-06,-1.99999994948e-05,-9.99999974738e-06
1573118963037468406,362,1573118962985457897,,0.0,0.0,-9.99999974738e-06,0.0
1573118963088432402,363,1573118963037314891,,0.0,0.0,-9.99999974738e-06,-0.0
1573118963142849931,364,1573118963088210105,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573118963193354411,365,1573118963142163991,,0.0,0.0,-0.0,-0.0
1573118963245925793,366,1573118963193380117,,0.0,0.0,0.0,-0.0
1573118963299460147,367,1573118963245644092,,0.0,-0.0,0.0,0.0
1573118963351484088,368,1573118963299719095,,0.0,-2.99999992421e-05,-9.99999974738e-06,9.99999974738e-06
1573118963405406504,369,1573118963351166963,,0.0,-0.0,-9.99999974738e-06,0.0
1573118963458138946,370,1573118963404757022,,0.0,-0.0,9.99999974738e-06,0.0
1573118963511376498,371,1573118963457324981,,0.0,-9.99999974738e-06,2.99999992421e-05,9.99999974738e-06
1573118963614985724,372,1573118963511415958,,0.0,0.0,9.99999974738e-06,-0.0
1573118963969330705,373,1573118963615612983,,0.0,-1.99999994948e-05,9.99999974738e-06,9.99999974738e-06
1573118964024102439,374,1573118963969757080,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573118964077276679,375,1573118964024478912,,0.001200000057,-0.00112999998964,-0.000209999998333,0.000209999998333
1573118964131460298,376,1573118964077666997,,0.00520000001416,-0.0047800000757,-0.00197000009939,-0.000110000000859
1573118964187169013,377,1573118964131817102,,0.0111999996006,-0.0101800002158,-0.00466000009328,-0.000310000003083
1573118964238879352,378,1573118964185661077,,0.017100000754,-0.0154499998316,-0.00724999979138,-0.000419999996666
