%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1569827397942007271,13350,1569827397840111970,,0.0,9.99999974738e-06,-9.99999974738e-06,-1.99999994948e-05
1569827398042895485,13351,1569827397941342115,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1569827398145059838,13352,1569827398043164014,,0.0,-9.99999974738e-06,-9.99999974738e-06,-0.0
1569827398246213801,13353,1569827398144470930,,0.0,-9.99999974738e-06,-0.0,0.0
1569827398347326067,13354,1569827398245491981,,0.0,-0.0,-0.0,0.0
1569827398498656072,13355,1569827398346669912,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1569827398599272153,13356,1569827398497936010,,0.0,-1.99999994948e-05,-9.99999974738e-06,-0.0
1569827398700669589,13357,1569827398599348068,,0.0,-9.99999974738e-06,-9.99999974738e-06,-0.0
1569827398802019172,13358,1569827398700701951,,0.0,-9.99999974738e-06,-0.0,-9.99999974738e-06
1569827398903326790,13359,1569827398801964044,,0.0,-0.0,0.0,0.0
1569827399004904671,13360,1569827398903215885,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1569827399106866006,13361,1569827399004494905,,0.0,-0.0,9.99999974738e-06,9.99999974738e-06
1569827399257541001,13362,1569827399106046915,,0.0,0.0,9.99999974738e-06,1.99999994948e-05
1569827400058738306,13363,1569827399257481098,,0.0,-0.0,-9.99999974738e-06,1.99999994948e-05
1569827400160609273,13364,1569827400058768033,,0.0,-9.99999974738e-06,-0.0,-9.99999974738e-06
1569827400261366145,13365,1569827400159989118,,0.0,0.0,-9.99999974738e-06,-9.99999974738e-06
1569827400363100874,13366,1569827400261590003,,0.0,1.99999994948e-05,-9.99999974738e-06,-9.99999974738e-06
1569827400464871810,13367,1569827400362998962,,0.0,1.99999994948e-05,-9.99999974738e-06,-0.0
1569827400565768484,13368,1569827400464178085,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1569827400667846879,13369,1569827400565417051,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1569827400769333137,13370,1569827400667315959,,0.0,9.99999974738e-06,1.99999994948e-05,9.99999974738e-06
