%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value
1573194155807716306,113,1573194155756026029,,80.0
1573194155860605411,114,1573194155807326078,,80.0
1573194155911337269,115,1573194155859915018,,80.0
1573194155965400944,116,1573194155911139011,,80.0
1573194156017427885,117,1573194155964931964,,80.0
1573194156068286987,118,1573194156016736030,,80.0
1573194156122020774,119,1573194156067874908,,80.0
1573194156175113469,120,1573194156120966911,,80.0
1573194156227022580,121,1573194156174417018,,80.0
1573194156328434088,122,1573194156226681947,,80.0
1573194156379369593,123,1573194156328056097,,80.0
1573194156430259903,124,1573194156378946065,,80.0
1573194156485121118,125,1573194156429882049,,80.0
1573194156536018726,126,1573194156484267950,,80.0
1573194156589865028,127,1573194156535826921,,80.0
1573194156691006843,128,1573194156589451074,,80.0
1573194156742004904,129,1573194156690458059,,80.0
1573194156795625796,130,1573194156741730928,,80.0
1573194156849346760,131,1573194156794795989,,80.0
1573194156899624410,132,1573194156848121881,,80.0
1573194156955513746,133,1573194156899405002,,80.0
1573194157006624453,134,1573194156954921007,,80.0
1573194157057461318,135,1573194157006264925,,80.0
1573194157111011111,136,1573194157057260990,,80.0
1573194157163316114,137,1573194157110819101,,80.0
1573194157264372858,138,1573194157163001060,,80.0
1573194157317511208,139,1573194157263984918,,80.0
1573194157369539104,140,1573194157317085027,,80.0
1573194157420771289,141,1573194157369220972,,80.0
1573194157474542660,142,1573194157420583963,,80.0
1573194157578511073,143,1573194157473953008,,80.0
1573194157629466515,144,1573194157577517986,,79.9499969482
1573194157683832772,145,1573194157629213094,,80.0
1573194157735271330,146,1573194157683089971,,80.0
1573194157837001008,147,1573194157734962940,,80.0
1573194157890297668,148,1573194157836698055,,80.0
1573194157941037032,149,1573194157889358997,,80.0
1573194157992127801,150,1573194157940501928,,80.0
1573194158045549827,151,1573194157991683006,,80.0
1573194158096532901,152,1573194158045166015,,80.0
1573194158150470726,153,1573194158096335887,,80.0
1573194158253548159,154,1573194158149363994,,79.9499969482
1573194158304557575,155,1573194158252892971,,80.0
1573194158359099937,156,1573194158304399013,,80.0
1573194158410126644,157,1573194158357960939,,80.0
1573194158511579018,158,1573194158409908056,,80.0
1573194158562408367,159,1573194158511039018,,80.0
1573194158617010524,160,1573194158562177896,,80.0
1573194158667821764,161,1573194158615459918,,80.0
1573194158721160865,162,1573194158667092084,,80.0
1573194158772393938,163,1573194158720674037,,80.0
1573194158823505267,164,1573194158772203922,,80.0
1573194158877901923,165,1573194158823074102,,80.0
1573194158929479951,166,1573194158876363992,,80.0
1573194158980387110,167,1573194158929162025,,80.0
1573194159035296791,168,1573194158980266094,,80.0
1573194159086756809,169,1573194159034672021,,80.0
1573194159187868965,170,1573194159086519956,,80.0
1573194159241788596,171,1573194159187577009,,80.0
1573194159294100122,172,1573194159241558074,,80.0
1573194159347252150,173,1573194159293730020,,80.0
1573194159398774325,174,1573194159346575975,,80.0
1573194159452134046,175,1573194159398164987,,80.0
1573194159553819253,176,1573194159451586008,,80.0
1573194159606581560,177,1573194159553281068,,80.0
1573194159658733500,178,1573194159606091976,,80.0
1573194159709918887,179,1573194159658480882,,80.0
1573194159811536706,180,1573194159709832906,,80.0
1573194159866931377,181,1573194159811058998,,80.0
1573194160267876532,182,1573194159865636110,,80.0
1573194160321630914,183,1573194160267610073,,80.0
1573194160375002451,184,1573194160320730924,,79.25
1573194160427334130,185,1573194160374341011,,76.75
1573194160481474289,186,1573194160426630020,,74.4000015259
1573194160532611861,187,1573194160481095075,,73.3000030518
1573194160586365100,188,1573194160532458066,,73.4499969482
1573194160637225400,189,1573194160585357904,,73.8000030518
1573194160688580259,190,1573194160636836051,,73.9000015259
1573194160740000604,191,1573194160688410997,,73.3499984741
1573194160843471188,192,1573194160739722013,,72.8000030518
1573194160895108319,193,1573194160843199014,,66.1500015259
1573194160946854980,194,1573194160894881010,,64.3499984741
1573194160997550046,195,1573194160946269035,,61.3499984741
1573194161051478211,196,1573194160997194051,,57.0999984741
1573194161155581129,197,1573194161051009893,,53.5499992371
1573194161205761677,198,1573194161154206991,,51.2999992371
1573194161259466889,199,1573194161205594062,,50.5499992371
1573194161311716130,200,1573194161259248971,,49.5499992371
1573194161365394984,201,1573194161311084032,,49.0
1573194161416052595,202,1573194161364434003,,48.0
1573194161470541144,203,1573194161415661096,,46.6500015259
1573194161520889704,204,1573194161468905925,,45.75
1573194161575353984,205,1573194161520704030,,44.7999992371
1573194161626120640,206,1573194161574043989,,44.1500015259
1573194161727100146,207,1573194161625741958,,43.2000007629
1573194161829295043,208,1573194161726907968,,42.0499992371
1573194161880303891,209,1573194161828911066,,41.3999977112
1573194161934221698,210,1573194161879822969,,41.0
1573194161985104761,211,1573194161932847023,,40.4000015259
1573194162086954402,212,1573194161984811067,,40.1500015259
1573194162140690434,213,1573194162086699008,,39.5
1573194162191868576,214,1573194162140230894,,39.6000022888
1573194162242759293,215,1573194162191298961,,39.8000030518
1573194162293950131,216,1573194162242594957,,38.75
1573194162347636567,217,1573194162293653964,,38.0
1573194162448680169,218,1573194162347242116,,36.0499992371
1573194162499626111,219,1573194162448189020,,34.0
1573194162554843584,220,1573194162499381065,,32.6499977112
1573194162608732350,221,1573194162554474115,,32.0
1573194162660911725,222,1573194162608112096,,33.5499992371
1573194162711728668,223,1573194162660366058,,34.3499984741
1573194162762669342,224,1573194162711251020,,34.3499984741
1573194162816417228,225,1573194162762478113,,34.3499984741
1573194162867488335,226,1573194162815872907,,35.4000015259
1573194162921121101,227,1573194162867028951,,36.3000030518
1573194162973021922,228,1573194162920799970,,37.7000007629
1573194163026905628,229,1573194162972822904,,40.5499992371
1573194163131844261,230,1573194163026372909,,44.8500022888
1573194163184235513,231,1573194163131465911,,51.5499992371
1573194163236756719,232,1573194163183510065,,53.2999992371
1573194163287600749,233,1573194163236331939,,56.0999984741
1573194163340542653,234,1573194163287429094,,58.2000007629
1573194163391529535,235,1573194163339979887,,59.1499977112
1573194163443866346,236,1573194163391297101,,59.6500015259
1573194163494735880,237,1573194163443223953,,59.5999984741
1573194163546074979,238,1573194163494498968,,59.5999984741
1573194163596956951,239,1573194163545572042,,59.2999992371
1573194163648266803,240,1573194163596702098,,59.25
1573194163700009157,241,1573194163647710084,,60.1499977112
1573194163800959882,242,1573194163699316024,,61.0
1573194163854015303,243,1573194163800673961,,60.9500007629
1573194163904546192,244,1573194163853032112,,59.9500007629
1573194163958015292,245,1573194163904340982,,57.7000007629
1573194164060959767,246,1573194163956944942,,53.5499992371
1573194164112345202,247,1573194164060739994,,47.4500007629
1573194164164515571,248,1573194164112085103,,41.6499977112
1573194164219296103,249,1573194164164094924,,37.75
1573194164270386902,250,1573194164217538118,,36.7999992371
1573194164321623447,251,1573194164270291090,,36.4500007629
1573194164376726601,252,1573194164321446895,,35.9500007629
1573194164427430652,253,1573194164376020908,,35.4000015259
1573194164481730726,254,1573194164427263021,,34.9000015259
1573194164532815381,255,1573194164480550050,,33.9500007629
1573194164583698843,256,1573194164532099962,,33.4000015259
1573194164634966102,257,1573194164583158016,,31.9000015259
1573194164738437002,258,1573194164634763002,,31.4000015259
1573194164788849812,259,1573194164737272024,,30.4499988556
1573194164840737809,260,1573194164788333892,,29.4500007629
1573194164891855988,261,1573194164840164899,,28.6999988556
1573194164945377388,262,1573194164891377925,,28.3999977112
1573194164996597864,263,1573194164945122957,,27.8500003815
1573194165049271835,264,1573194164996128082,,26.8999996185
1573194165100178072,265,1573194165048899888,,26.6000003815
1573194165153332153,266,1573194165099972963,,26.1500015259
1573194165203648801,267,1573194165152215957,,25.4500007629
1573194165257776926,268,1573194165203293085,,25.2000007629
1573194165308652147,269,1573194165256726980,,24.4499988556
1573194165361264274,270,1573194165308147907,,24.8000011444
1573194165413561635,271,1573194165360892057,,25.7999992371
1573194165465757673,272,1573194165413044929,,26.8000011444
1573194165516623886,273,1573194165465415954,,28.25
