%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed,field.vx,field.vy,field.vz
1573194155807510250,113,1573194155756026029,,0.0,-9.99999974738e-06,-2.99999992421e-05,9.99999974738e-06
1573194155860312115,114,1573194155807326078,,0.0,0.0,-9.99999974738e-06,-0.0
1573194155911272405,115,1573194155859915018,,0.0,-9.99999974738e-06,3.99999989895e-05,0.0
1573194155964672445,116,1573194155911139011,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1573194156017044018,117,1573194155964931964,,0.0,0.0,0.0,-9.99999974738e-06
1573194156068199837,118,1573194156016736030,,0.0,-9.99999974738e-06,2.99999992421e-05,0.0
1573194156121386014,119,1573194156067874908,,0.0,-0.0,-1.99999994948e-05,-0.0
1573194156174184740,120,1573194156120966911,,0.0,-0.0,9.99999974738e-06,0.0
1573194156226744302,121,1573194156174417018,,0.0,-0.0,-2.99999992421e-05,0.0
1573194156328024720,122,1573194156226681947,,0.0,-1.99999994948e-05,9.99999974738e-06,0.0
1573194156379022531,123,1573194156328056097,,0.0,0.0,9.99999974738e-06,-0.0
1573194156430112253,124,1573194156378946065,,0.0,0.0,1.99999994948e-05,-0.0
1573194156484072183,125,1573194156429882049,,0.0,-0.0,-9.99999974738e-06,0.0
1573194156536014066,126,1573194156484267950,,0.0,9.99999974738e-06,-0.0,-0.0
1573194156589275646,127,1573194156535826921,,0.0,-0.0,-0.0,9.99999974738e-06
1573194156690609604,128,1573194156589451074,,0.0,9.99999974738e-06,-9.99999974738e-06,-0.0
1573194156741832795,129,1573194156690458059,,0.0,0.0,-0.0,-0.0
1573194156795395765,130,1573194156741730928,,0.0,-0.0,-9.99999974738e-06,0.0
1573194156848056601,131,1573194156794795989,,0.0,-9.99999974738e-06,3.99999989895e-05,0.0
1573194156899383696,132,1573194156848121881,,0.0,9.99999974738e-06,0.0,-0.0
1573194156955451370,133,1573194156899405002,,0.0,-9.99999974738e-06,9.99999974738e-06,9.99999974738e-06
1573194157006363778,134,1573194156954921007,,0.0,-9.99999974738e-06,-9.99999974738e-06,9.99999974738e-06
1573194157057444911,135,1573194157006264925,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573194157110942685,136,1573194157057260990,,0.0,-9.99999974738e-06,1.99999994948e-05,0.0
1573194157162792866,137,1573194157110819101,,0.0,0.0,9.99999974738e-06,-0.0
1573194157264030785,138,1573194157163001060,,0.0,-9.99999974738e-06,1.99999994948e-05,-0.0
1573194157317111279,139,1573194157263984918,,0.0,-0.0,-0.0,0.0
1573194157369433263,140,1573194157317085027,,0.0,0.0,-1.99999994948e-05,0.0
1573194157420776171,141,1573194157369220972,,0.0,0.0,-9.99999974738e-06,0.0
1573194157474871836,142,1573194157420583963,,0.0,-0.0,2.99999992421e-05,-0.0
1573194157577269814,143,1573194157473953008,,0.0,0.0,-0.0,-0.0
1573194157629159312,144,1573194157577517986,,9.99999974738e-05,1.99999994948e-05,-4.99999987369e-05,-0.0
1573194157683566535,145,1573194157629213094,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573194157734896621,146,1573194157683089971,,0.0,1.99999994948e-05,-3.99999989895e-05,-9.99999974738e-06
1573194157836989639,147,1573194157734962940,,0.0,0.0,-9.99999974738e-06,-0.0
1573194157889286152,148,1573194157836698055,,0.0,-0.0,9.99999974738e-06,0.0
1573194157940718635,149,1573194157889358997,,0.0,9.99999974738e-06,9.99999974738e-06,-0.0
1573194157991906617,150,1573194157940501928,,0.0,0.0,1.99999994948e-05,-9.99999974738e-06
1573194158045312497,151,1573194157991683006,,0.0,9.99999974738e-06,-1.99999994948e-05,-0.0
1573194158096534052,152,1573194158045166015,,0.0,9.99999974738e-06,-3.99999989895e-05,-9.99999974738e-06
1573194158150297189,153,1573194158096335887,,0.0,9.99999974738e-06,-9.99999974738e-06,-9.99999974738e-06
1573194158253346751,154,1573194158149363994,,9.99999974738e-05,-1.99999994948e-05,5.99999984843e-05,9.99999974738e-06
1573194158304320084,155,1573194158252892971,,0.0,0.0,9.99999974738e-06,-0.0
1573194158357935934,156,1573194158304399013,,0.0,-9.99999974738e-06,9.99999974738e-06,0.0
1573194158410039393,157,1573194158357960939,,0.0,9.99999974738e-06,9.99999974738e-06,-9.99999974738e-06
1573194158511272424,158,1573194158409908056,,0.0,-9.99999974738e-06,-0.0,9.99999974738e-06
1573194158562205520,159,1573194158511039018,,0.0,-0.0,-0.0,-0.0
